DSM|CGO,|CGO|PEK|ORD|DSM|
DSM|CSX,|CSX|PEK|ORD|DSM|
DSM|SHE,|SHE|ICN|YVR|DEN|DSM|
DSM|SJW,|SJW|DLC|ICN|YVR|DEN|DSM|
DSM|WUH,|WUH|PEK|ORD|DSM|
DSM|SZX,|SZX|PVG|YVR|DEN|DSM|
DSM|CKG,|CKG|PEK|ORD|DSM|
DSM|KMG,|KMG|PEK|ORD|DSM|
DSM|FOC,|FOC|PEK|ORD|DSM|
DSM|NNG,|NNG|PEK|ORD|DSM|
DSM|SWA,|SWA|PEK|ORD|DSM|
DSM|ACX,|ACX|CAN|PEK|ORD|DSM|
DSM|AQG,|AQG|CAN|PEK|ORD|DSM|
DSM|AVA,|AVA|CAN|PEK|ORD|DSM|
DSM|BFJ,|BFJ|CAN|PEK|ORD|DSM|
DSM|BHY,|BHY|CGO|PEK|ORD|DSM|
DSM|BNE,|BNE|CAN|PEK|ORD|DSM|
DSM|CGD,|CGD|PEK|ORD|DSM|
DSM|CGK,|CGK|CAN|PEK|ORD|DSM|
DSM|CGQ,|CGQ|ICN|YVR|DEN|DSM|
DSM|CIH,|CIH|PEK|ORD|DSM|
DSM|CNX,|CNX|CAN|PEK|ORD|DSM|
DSM|CZX,|CZX|SHE|ICN|YVR|DEN|DSM|
DSM|DAC,|DAC|IST|ORD|DSM|
DSM|DAD,|DAD|CAN|PEK|ORD|DSM|
DSM|DEL,|DEL|EWR|DSM|
DSM|DIG,|DIG|KMG|PEK|ORD|DSM|
DSM|DLC,|DLC|ICN|YVR|DEN|DSM|
DSM|DPS,|DPS|SZX|PVG|YVR|DEN|DSM|
DSM|DXB,|DXB|IST|ORD|DSM|
DSM|DYG,|DYG|PEK|ORD|DSM|
DSM|FUG,|FUG|CAN|PEK|ORD|DSM|
DSM|FUK,|FUK|ICN|YVR|DEN|DSM|
DSM|HAK,|HAK|PEK|ORD|DSM|
DSM|HAN,|HAN|PEK|ORD|DSM|
DSM|HDG,|HDG|CAN|PEK|ORD|DSM|
DSM|HET,|HET|DLC|ICN|YVR|DEN|DSM|
DSM|HFE,|HFE|XIY|PEK|ORD|DSM|
DSM|HJJ,|HJJ|CSX|PEK|ORD|DSM|
DSM|HKT,|HKT|KWE|PEK|ORD|DSM|
DSM|HRB,|HRB|ICN|YVR|DEN|DSM|
DSM|HZH,|HZH|CAN|PEK|ORD|DSM|
DSM|JIU,|JIU|CAN|PEK|ORD|DSM|
DSM|JJN,|JJN|PEK|ORD|DSM|
DSM|JNG,|JNG|CAN|PEK|ORD|DSM|
DSM|KHN,|KHN|DLC|ICN|YVR|DEN|DSM|
DSM|KIX,|KIX|SFO|DEN|DSM|
DSM|KOW,|KOW|PEK|ORD|DSM|
DSM|KTM,|KTM|IST|ORD|DSM|
DSM|KUL,|KUL|CAN|PEK|ORD|DSM|
DSM|KWE,|KWE|PEK|ORD|DSM|
DSM|KWL,|KWL|PEK|ORD|DSM|
DSM|LHW,|LHW|CGO|PEK|ORD|DSM|
DSM|LYA,|LYA|KHN|DLC|ICN|YVR|DEN|DSM|
DSM|LYG,|LYG|HSN|PEK|ORD|DSM|
DSM|LZH,|LZH|CAN|PEK|ORD|DSM|
DSM|MEL,|MEL|SYD|LAX|DEN|DSM|
DSM|MIG,|MIG|CSX|PEK|ORD|DSM|
DSM|MLE,|MLE|IST|ORD|DSM|
DSM|MNL,|MNL|XMN|PEK|ORD|DSM|
DSM|MXZ,|MXZ|CAN|PEK|ORD|DSM|
DSM|NAO,|NAO|PEK|ORD|DSM|
DSM|NGB,|NGB|PEK|ORD|DSM|
DSM|NKG,|NKG|DLC|ICN|YVR|DEN|DSM|
DSM|NNY,|NNY|CGO|PEK|ORD|DSM|
DSM|PEN,|PEN|CAN|PEK|ORD|DSM|
DSM|PER,|PER|CAN|PEK|ORD|DSM|
DSM|PNH,|PNH|CAN|PEK|ORD|DSM|
DSM|REP,|REP|CAN|PEK|ORD|DSM|
DSM|RGN,|RGN|CAN|PEK|ORD|DSM|
DSM|SGN,|SGN|CAN|PEK|ORD|DSM|
DSM|SHA,|SHA|PEK|ORD|DSM|
DSM|SIN,|SIN|HKG|ORD|DSM|
DSM|SVO,|SVO|URC|TSE|FRA|ORD|DSM|
DSM|SYX,|SYX|PEK|ORD|DSM|
DSM|TAO,|TAO|DLC|ICN|YVR|DEN|DSM|
DSM|TEN,|TEN|PEK|ORD|DSM|
DSM|TNA,|TNA|DLC|ICN|YVR|DEN|DSM|
DSM|TPE,|TPE|PVG|YVR|DEN|DSM|
DSM|TSN,|TSN|DLC|ICN|YVR|DEN|DSM|
DSM|TXN,|TXN|DLC|ICN|YVR|DEN|DSM|
DSM|TYN,|TYN|DLC|ICN|YVR|DEN|DSM|
DSM|WNZ,|WNZ|CGO|PEK|ORD|DSM|
DSM|WUX,|WUX|CAN|PEK|ORD|DSM|
DSM|XFN,|XFN|XMN|PEK|ORD|DSM|
DSM|XIY,|XIY|PEK|ORD|DSM|
DSM|XUZ,|XUZ|LYG|HSN|PEK|ORD|DSM|
DSM|YIH,|YIH|CKG|PEK|ORD|DSM|
