AJI|BAV,|BAV|URC|TBS|SAW|ESB|AJI|
AJI|CJU,|CJU|DLC|PEK|IST|AJI|
AJI|DSN,|DSN|CGO|URC|TBS|SAW|ESB|AJI|
AJI|HMI,|HMI|URC|TBS|SAW|ESB|AJI|
AJI|INC,|INC|URC|TBS|SAW|ESB|AJI|
AJI|KHH,|KHH|WUH|URC|TBS|SAW|ESB|AJI|
AJI|UYN,|UYN|XIY|URC|TBS|SAW|ESB|AJI|
AJI|XNN,|XNN|URC|TBS|SAW|ESB|AJI|
AJI|ZUH,|ZUH|KWE|URC|TBS|SAW|ESB|AJI|
AJI|YNJ,|YNJ|PEK|IST|AJI|
AJI|DAT,|DAT|TYN|URC|TBS|SAW|ESB|AJI|
AJI|JHG,|JHG|KMG|CTU|URC|TBS|SAW|ESB|AJI|
AJI|LJG,|LJG|KMG|CTU|URC|TBS|SAW|ESB|AJI|
AJI|LXA,|LXA|CKG|URC|TBS|SAW|ESB|AJI|
AJI|YCU,|YCU|CKG|URC|TBS|SAW|ESB|AJI|
AJI|LZO,|LZO|CSX|URC|TBS|SAW|ESB|AJI|
AJI|MDG,|MDG|DLC|PEK|IST|AJI|
AJI|NGO,|NGO|ICN|IST|AJI|
AJI|TOY,|TOY|DLC|PEK|IST|AJI|
AJI|MFM,|MFM|XMN|CSX|URC|TBS|SAW|ESB|AJI|
AJI|TGO,|TGO|HET|URC|TBS|SAW|ESB|AJI|
AJI|XIL,|XIL|HET|URC|TBS|SAW|ESB|AJI|
AJI|HEK,|HEK|HRB|PEK|IST|AJI|
AJI|KIJ,|KIJ|HRB|PEK|IST|AJI|
AJI|LDS,|LDS|HRB|PEK|IST|AJI|
AJI|OHE,|OHE|HRB|PEK|IST|AJI|
AJI|HSN,|HSN|LYG|XUZ|INC|URC|TBS|SAW|ESB|AJI|
AJI|DLU,|DLU|KMG|CTU|URC|TBS|SAW|ESB|AJI|
AJI|SYM,|SYM|KMG|CTU|URC|TBS|SAW|ESB|AJI|
AJI|ZAT,|ZAT|KMG|CTU|URC|TBS|SAW|ESB|AJI|
AJI|LUN,|LUN|NBO|IST|AJI|
AJI|AOG,|AOG|PEK|IST|AJI|
AJI|GMP,|GMP|PEK|IST|AJI|
AJI|ISB,|ISB|IST|AJI|
AJI|TAS,|TAS|IST|AJI|
AJI|WUS,|WUS|PEK|IST|AJI|
AJI|JMU,|JMU|PVG|URC|TBS|SAW|ESB|AJI|
AJI|NDG,|NDG|PVG|URC|TBS|SAW|ESB|AJI|
AJI|JXA,|JXA|SHE|PEK|IST|AJI|
AJI|PUS,|PUS|SHE|PEK|IST|AJI|
AJI|BKI,|BKI|SZX|CKG|URC|TBS|SAW|ESB|AJI|
AJI|AKU,|AKU|URC|TBS|SAW|ESB|AJI|
AJI|ALA,|ALA|IST|AJI|
AJI|ASB,|ASB|IST|AJI|
AJI|DNH,|DNH|URC|TBS|SAW|ESB|AJI|
AJI|DYU,|DYU|IST|AJI|
