HKG|YTS,|YTS|YYZ|HKG|
HKG|YYB,|YYB|YYZ|HKG|
HKG|YZR,|YZR|YYZ|HKG|
HKG|CAN,|CAN|HKG|
HKG|URC,|URC|CAN|HKG|
HKG|CTU,|CTU|CAN|HKG|
HKG|HGH,|HGH|XMN|HKG|
HKG|XMN,|XMN|HKG|
HKG|CGO,|CGO|HKG|
HKG|CSX,|CSX|CAN|HKG|
HKG|SHE,|SHE|HKG|
HKG|SJW,|SJW|CAN|HKG|
HKG|WUH,|WUH|HKG|
HKG|SZX,|SZX|MXZ|HKG|
HKG|CKG,|CKG|CAN|HKG|
HKG|KMG,|KMG|CAN|HKG|
HKG|FOC,|FOC|CAN|HKG|
HKG|NNG,|NNG|CAN|HKG|
HKG|SWA,|SWA|HKG|
HKG|ACX,|ACX|CAN|HKG|
HKG|AQG,|AQG|CAN|HKG|
HKG|AVA,|AVA|CAN|HKG|
HKG|BFJ,|BFJ|CAN|HKG|
HKG|BHY,|BHY|CAN|HKG|
HKG|BNE,|BNE|CAN|HKG|
HKG|CGD,|CGD|CAN|HKG|
HKG|CGK,|CGK|SIN|HKG|
HKG|CGQ,|CGQ|CAN|HKG|
HKG|CIH,|CIH|CAN|HKG|
HKG|CNX,|CNX|CAN|HKG|
HKG|CZX,|CZX|CAN|HKG|
HKG|DAC,|DAC|CAN|HKG|
HKG|DAD,|DAD|CAN|HKG|
HKG|DEL,|DEL|CAN|HKG|
HKG|DIG,|DIG|CAN|HKG|
HKG|DLC,|DLC|CAN|HKG|
HKG|DPS,|DPS|CAN|HKG|
HKG|DXB,|DXB|CAN|HKG|
HKG|DYG,|DYG|CAN|HKG|
HKG|FUG,|FUG|CAN|HKG|
HKG|FUK,|FUK|CAN|HKG|
HKG|HAK,|HAK|CAN|HKG|
HKG|HAN,|HAN|CAN|HKG|
HKG|HDG,|HDG|CAN|HKG|
HKG|HET,|HET|CAN|HKG|
HKG|HFE,|HFE|CAN|HKG|
HKG|HJJ,|HJJ|CAN|HKG|
HKG|HKT,|HKT|CAN|HKG|
HKG|HRB,|HRB|CAN|HKG|
HKG|HZH,|HZH|CAN|HKG|
HKG|JIU,|JIU|CAN|HKG|
HKG|JJN,|JJN|CAN|HKG|
HKG|JNG,|JNG|CAN|HKG|
HKG|KHN,|KHN|CAN|HKG|
HKG|KIX,|KIX|CAN|HKG|
HKG|KOW,|KOW|CAN|HKG|
HKG|KTM,|KTM|CAN|HKG|
HKG|KUL,|KUL|CAN|HKG|
HKG|KWE,|KWE|CAN|HKG|
HKG|KWL,|KWL|CAN|HKG|
HKG|LHW,|LHW|CAN|HKG|
HKG|LYA,|LYA|CAN|HKG|
HKG|LYG,|LYG|CAN|HKG|
HKG|LZH,|LZH|CAN|HKG|
HKG|MEL,|MEL|CAN|HKG|
HKG|MIG,|MIG|CAN|HKG|
HKG|MLE,|MLE|CAN|HKG|
HKG|MNL,|MNL|CAN|HKG|
HKG|MXZ,|MXZ|HKG|
HKG|NAO,|NAO|CAN|HKG|
HKG|NGB,|NGB|SWA|HKG|
HKG|NKG,|NKG|CAN|HKG|
HKG|NNY,|NNY|CAN|HKG|
HKG|PEN,|PEN|CAN|HKG|
HKG|PER,|PER|CAN|HKG|
HKG|PNH,|PNH|CAN|HKG|
HKG|REP,|REP|CAN|HKG|
HKG|RGN,|RGN|CAN|HKG|
HKG|SGN,|SGN|HKG|
HKG|SHA,|SHA|SWA|HKG|
HKG|SIN,|SIN|HKG|
HKG|SVO,|SVO|CAN|HKG|
HKG|SYX,|SYX|CAN|HKG|
HKG|TAO,|TAO|CAN|HKG|
HKG|TEN,|TEN|CAN|HKG|
HKG|TNA,|TNA|WUH|HKG|
HKG|TPE,|TPE|CAN|HKG|
HKG|TSN,|TSN|WUH|HKG|
HKG|TXN,|TXN|CAN|HKG|
HKG|TYN,|TYN|WUH|HKG|
HKG|WNZ,|WNZ|CAN|HKG|
HKG|WUX,|WUX|CAN|HKG|
HKG|XFN,|XFN|CAN|HKG|
HKG|XIY,|XIY|CAN|HKG|
HKG|XUZ,|XUZ|CAN|HKG|
HKG|YIH,|YIH|CAN|HKG|
HKG|YIW,|YIW|SWA|HKG|
HKG|YNT,|YNT|CAN|HKG|
HKG|YNZ,|YNZ|CAN|HKG|
HKG|YTY,|YTY|CAN|HKG|
HKG|ZHA,|ZHA|CAN|HKG|
HKG|ZYI,|ZYI|CAN|HKG|
HKG|BAV,|BAV|CSX|CAN|HKG|
HKG|CJU,|CJU|CSX|CAN|HKG|
HKG|DSN,|DSN|CGO|HKG|
HKG|HMI,|HMI|CGO|HKG|
HKG|INC,|INC|XIY|CAN|HKG|
HKG|KHH,|KHH|WUH|HKG|
HKG|UYN,|UYN|XIY|CAN|HKG|
HKG|XNN,|XNN|CKG|CAN|HKG|
HKG|ZUH,|ZUH|SWA|HKG|
HKG|YNJ,|YNJ|ICN|CAN|HKG|
HKG|DAT,|DAT|CIH|CAN|HKG|
HKG|JHG,|JHG|KMG|CAN|HKG|
HKG|LJG,|LJG|KMG|CAN|HKG|
HKG|LXA,|LXA|CKG|CAN|HKG|
HKG|YCU,|YCU|CSX|CAN|HKG|
HKG|LZO,|LZO|CSX|CAN|HKG|
HKG|MDG,|MDG|DLC|CAN|HKG|
HKG|NGO,|NGO|PVG|CAN|HKG|
HKG|TOY,|TOY|DLC|CAN|HKG|
HKG|MFM,|MFM|XMN|HKG|
HKG|TGO,|TGO|HET|CAN|HKG|
HKG|XIL,|XIL|HET|CAN|HKG|
HKG|HEK,|HEK|HRB|CAN|HKG|
HKG|KIJ,|KIJ|HRB|CAN|HKG|
HKG|LDS,|LDS|HRB|CAN|HKG|
HKG|OHE,|OHE|HRB|CAN|HKG|
HKG|HSN,|HSN|XMN|HKG|
HKG|DLU,|DLU|KMG|CAN|HKG|
HKG|SYM,|SYM|KMG|CAN|HKG|
HKG|ZAT,|ZAT|KMG|CAN|HKG|
HKG|LUN,|LUN|NBO|CAN|HKG|
HKG|AOG,|AOG|PEK|HKG|
HKG|GMP,|GMP|PEK|HKG|
HKG|ISB,|ISB|URC|CAN|HKG|
HKG|TAS,|TAS|URC|CAN|HKG|
HKG|WUS,|WUS|PEK|HKG|
HKG|JMU,|JMU|PVG|CAN|HKG|
HKG|NDG,|NDG|PVG|CAN|HKG|
HKG|JXA,|JXA|SHE|HKG|
HKG|PUS,|PUS|SHE|HKG|
HKG|BKI,|BKI|SZX|MXZ|HKG|
HKG|AKU,|AKU|URC|CAN|HKG|
HKG|ALA,|ALA|URC|CAN|HKG|
HKG|ASB,|ASB|URC|CAN|HKG|
HKG|DNH,|DNH|XIY|CAN|HKG|
HKG|DYU,|DYU|URC|CAN|HKG|
HKG|FRU,|FRU|URC|CAN|HKG|
HKG|GYD,|GYD|URC|CAN|HKG|
HKG|HTN,|HTN|URC|CAN|HKG|
HKG|IKA,|IKA|URC|CAN|HKG|
HKG|KCA,|KCA|URC|CAN|HKG|
HKG|KHG,|KHG|URC|CAN|HKG|
HKG|KRL,|KRL|URC|CAN|HKG|
HKG|KRY,|KRY|URC|CAN|HKG|
HKG|LBD,|LBD|URC|CAN|HKG|
HKG|NLT,|NLT|URC|CAN|HKG|
HKG|OSS,|OSS|URC|CAN|HKG|
HKG|OVB,|OVB|URC|CAN|HKG|
HKG|TBS,|TBS|URC|CAN|HKG|
HKG|TCG,|TCG|URC|CAN|HKG|
HKG|TSE,|TSE|URC|CAN|HKG|
HKG|YIN,|YIN|URC|CAN|HKG|
HKG|ENH,|ENH|WUH|HKG|
HKG|ENY,|ENY|XIY|CAN|HKG|
HKG|WXN,|WXN|XMN|HKG|
HKG|BLL,|BLL|IST|HKG|
HKG|ESB,|ESB|IST|HKG|
HKG|SAW,|SAW|TBS|URC|CAN|HKG|
HKG|HAM,|HAM|IST|HKG|
HKG|HRE,|HRE|ADD|IST|HKG|
HKG|JUB,|JUB|CAI|IST|HKG|
HKG|SSG,|SSG|DLA|IST|HKG|
HKG|BGW,|BGW|IST|HKG|
HKG|EBL,|EBL|IST|HKG|
HKG|VKO,|VKO|IST|HKG|
HKG|MCT,|MCT|IST|HKG|
HKG|AYT,|AYT|IST|HKG|
HKG|SCQ,|SCQ|BIO|IST|HKG|
HKG|AAL,|AAL|IST|HKG|
HKG|AOE,|AOE|BRU|IST|HKG|
HKG|JNB,|JNB|IST|HKG|
HKG|LBV,|LBV|DLA|IST|HKG|
HKG|ADA,|ADA|IST|HKG|
HKG|ADB,|ADB|IST|HKG|
HKG|ADF,|ADF|IST|HKG|
HKG|AJI,|AJI|IST|HKG|
HKG|BAL,|BAL|IST|HKG|
HKG|BJV,|BJV|IST|HKG|
HKG|CKZ,|CKZ|ESB|IST|HKG|
HKG|DIY,|DIY|IST|HKG|
HKG|ECN,|ECN|IST|HKG|
HKG|ERC,|ERC|IST|HKG|
HKG|ERZ,|ERZ|IST|HKG|
HKG|EZS,|EZS|IST|HKG|
HKG|GNY,|GNY|IST|HKG|
HKG|GZP,|GZP|ESB|IST|HKG|
HKG|GZT,|GZT|IST|HKG|
HKG|HTY,|HTY|IST|HKG|
HKG|KCM,|KCM|IST|HKG|
HKG|KSY,|KSY|IST|HKG|
HKG|MLX,|MLX|IST|HKG|
HKG|MQM,|MQM|IST|HKG|
HKG|MSR,|MSR|IST|HKG|
HKG|TEQ,|TEQ|ESB|IST|HKG|
HKG|TZX,|TZX|IST|HKG|
HKG|VAN,|VAN|IST|HKG|
HKG|ULN,|ULN|FRU|URC|CAN|HKG|
HKG|HIJ,|HIJ|ICN|CAN|HKG|
HKG|VVO,|VVO|ICN|CAN|HKG|
HKG|ACC,|ACC|IST|HKG|
HKG|AER,|AER|IST|HKG|
HKG|AGP,|AGP|IST|HKG|
HKG|ALG,|ALG|IST|HKG|
HKG|AMM,|AMM|IST|HKG|
HKG|AQJ,|AQJ|IST|HKG|
HKG|ARN,|ARN|IST|HKG|
HKG|ASR,|ASR|IST|HKG|
HKG|ATH,|ATH|IST|HKG|
HKG|BAH,|BAH|IST|HKG|
HKG|BEG,|BEG|IST|HKG|
HKG|BEN,|BEN|IST|HKG|
HKG|BEY,|BEY|IST|HKG|
HKG|BHX,|BHX|IST|HKG|
HKG|BIO,|BIO|IST|HKG|
HKG|BLQ,|BLQ|IST|HKG|
HKG|BOM,|BOM|IST|HKG|
HKG|BRE,|BRE|IST|HKG|
HKG|BSL,|BSL|IST|HKG|
HKG|BSR,|BSR|IST|HKG|
HKG|BUD,|BUD|IST|HKG|
HKG|BUS,|BUS|IST|HKG|
HKG|CAI,|CAI|IST|HKG|
HKG|CGN,|CGN|IST|HKG|
HKG|CMN,|CMN|IST|HKG|
HKG|CND,|CND|IST|HKG|
HKG|DAR,|DAR|NBO|CAN|HKG|
HKG|DLM,|DLM|IST|HKG|
HKG|DMM,|DMM|IST|HKG|
HKG|DNK,|DNK|IST|HKG|
HKG|DNZ,|DNZ|IST|HKG|
HKG|DOK,|DOK|IST|HKG|
HKG|DUS,|DUS|IST|HKG|
