BSR|GGT,|GGT|FLL|MCO|FRA|IST|BSR|
BSR|GND,|GND|YYZ|IST|BSR|
BSR|GRU,|GRU|IST|BSR|
BSR|HAV,|HAV|YYZ|IST|BSR|
BSR|IND,|IND|YYZ|IST|BSR|
BSR|JFK,|JFK|IST|BSR|
BSR|KIN,|KIN|YYZ|IST|BSR|
BSR|LIM,|LIM|MIA|ZRH|IST|BSR|
BSR|LIR,|LIR|EWR|BHX|IST|BSR|
BSR|MCI,|MCI|ORD|IST|BSR|
BSR|MDT,|MDT|IAD|IST|BSR|
BSR|MIA,|MIA|ZRH|IST|BSR|
BSR|MKE,|MKE|YYZ|IST|BSR|
BSR|MSP,|MSP|YUL|FRA|IST|BSR|
BSR|NAS,|NAS|EWR|BHX|IST|BSR|
BSR|PHL,|PHL|IAD|IST|BSR|
BSR|PHX,|PHX|DEN|FRA|IST|BSR|
BSR|PIT,|PIT|YYZ|IST|BSR|
BSR|PLS,|PLS|EWR|BHX|IST|BSR|
BSR|POP,|POP|EWR|BHX|IST|BSR|
BSR|RDU,|RDU|EWR|BHX|IST|BSR|
BSR|ROC,|ROC|YYZ|IST|BSR|
BSR|RSW,|RSW|MCO|FRA|IST|BSR|
BSR|SAN,|SAN|LAX|IST|BSR|
BSR|SJO,|SJO|EWR|BHX|IST|BSR|
BSR|STL,|STL|ORD|IST|BSR|
BSR|SYR,|SYR|EWR|BHX|IST|BSR|
BSR|TLV,|TLV|IST|BSR|
BSR|TPA,|TPA|EWR|BHX|IST|BSR|
BSR|UVF,|UVF|EWR|BHX|IST|BSR|
BSR|VIE,|VIE|IST|BSR|
BSR|YAM,|YAM|YYZ|IST|BSR|
BSR|YGK,|YGK|YYZ|IST|BSR|
BSR|YQG,|YQG|YYZ|IST|BSR|
BSR|YSB,|YSB|YYZ|IST|BSR|
BSR|YTS,|YTS|YYZ|IST|BSR|
BSR|YYB,|YYB|YYZ|IST|BSR|
BSR|YZR,|YZR|YYZ|IST|BSR|
BSR|CAN,|CAN|IST|BSR|
BSR|URC,|URC|IST|BSR|
BSR|CTU,|CTU|URC|IST|BSR|
BSR|HGH,|HGH|URC|IST|BSR|
BSR|XMN,|XMN|CSX|URC|IST|BSR|
BSR|CGO,|CGO|URC|IST|BSR|
BSR|CSX,|CSX|URC|IST|BSR|
BSR|SHE,|SHE|PEK|IST|BSR|
BSR|SJW,|SJW|URC|IST|BSR|
BSR|WUH,|WUH|URC|IST|BSR|
BSR|SZX,|SZX|CKG|URC|IST|BSR|
BSR|CKG,|CKG|URC|IST|BSR|
BSR|KMG,|KMG|CTU|URC|IST|BSR|
BSR|FOC,|FOC|XIY|URC|IST|BSR|
BSR|NNG,|NNG|KWE|URC|IST|BSR|
BSR|SWA,|SWA|CAN|IST|BSR|
BSR|ACX,|ACX|CAN|IST|BSR|
BSR|AQG,|AQG|CAN|IST|BSR|
BSR|AVA,|AVA|CAN|IST|BSR|
BSR|BFJ,|BFJ|CAN|IST|BSR|
BSR|BHY,|BHY|CKG|URC|IST|BSR|
BSR|BNE,|BNE|BKK|IST|BSR|
BSR|CGD,|CGD|PEK|IST|BSR|
BSR|CGK,|CGK|SIN|IST|BSR|
BSR|CGQ,|CGQ|HET|URC|IST|BSR|
BSR|CIH,|CIH|PEK|IST|BSR|
BSR|CNX,|CNX|CAN|IST|BSR|
BSR|CZX,|CZX|TYN|URC|IST|BSR|
BSR|DAC,|DAC|IST|BSR|
BSR|DAD,|DAD|CAN|IST|BSR|
BSR|DEL,|DEL|IST|BSR|
BSR|DIG,|DIG|KMG|CTU|URC|IST|BSR|
BSR|DLC,|DLC|PEK|IST|BSR|
BSR|DPS,|DPS|CAN|IST|BSR|
BSR|DXB,|DXB|IST|BSR|
BSR|DYG,|DYG|CSX|URC|IST|BSR|
BSR|FUG,|FUG|CAN|IST|BSR|
BSR|FUK,|FUK|ICN|IST|BSR|
BSR|HAK,|HAK|CTU|URC|IST|BSR|
BSR|HAN,|HAN|CAN|IST|BSR|
BSR|HDG,|HDG|CAN|IST|BSR|
BSR|HET,|HET|URC|IST|BSR|
BSR|HFE,|HFE|XIY|URC|IST|BSR|
BSR|HJJ,|HJJ|CSX|URC|IST|BSR|
BSR|HKT,|HKT|KWE|URC|IST|BSR|
BSR|HRB,|HRB|PEK|IST|BSR|
BSR|HZH,|HZH|CAN|IST|BSR|
BSR|JIU,|JIU|CAN|IST|BSR|
BSR|JJN,|JJN|CSX|URC|IST|BSR|
BSR|JNG,|JNG|CAN|IST|BSR|
BSR|KHN,|KHN|XIY|URC|IST|BSR|
BSR|KIX,|KIX|IST|BSR|
BSR|KOW,|KOW|CAN|IST|BSR|
BSR|KTM,|KTM|IST|BSR|
BSR|KUL,|KUL|IST|BSR|
BSR|KWE,|KWE|URC|IST|BSR|
BSR|KWL,|KWL|CKG|URC|IST|BSR|
BSR|LHW,|LHW|URC|IST|BSR|
BSR|LYA,|LYA|KHN|XIY|URC|IST|BSR|
BSR|LYG,|LYG|XUZ|INC|URC|IST|BSR|
BSR|LZH,|LZH|CAN|IST|BSR|
BSR|MEL,|MEL|BKK|IST|BSR|
BSR|MIG,|MIG|CSX|URC|IST|BSR|
BSR|MLE,|MLE|IST|BSR|
BSR|MNL,|MNL|CAN|IST|BSR|
BSR|MXZ,|MXZ|CAN|IST|BSR|
BSR|NAO,|NAO|PEK|IST|BSR|
BSR|NGB,|NGB|WUH|URC|IST|BSR|
BSR|NKG,|NKG|URC|IST|BSR|
BSR|NNY,|NNY|CGO|URC|IST|BSR|
BSR|PEN,|PEN|CAN|IST|BSR|
BSR|PER,|PER|BKK|IST|BSR|
BSR|PNH,|PNH|CAN|IST|BSR|
BSR|REP,|REP|CAN|IST|BSR|
BSR|RGN,|RGN|CAN|IST|BSR|
BSR|SGN,|SGN|BKK|IST|BSR|
BSR|SHA,|SHA|URC|IST|BSR|
BSR|SIN,|SIN|IST|BSR|
BSR|SVO,|SVO|URC|IST|BSR|
BSR|SYX,|SYX|CKG|URC|IST|BSR|
BSR|TAO,|TAO|TYN|URC|IST|BSR|
BSR|TEN,|TEN|CAN|IST|BSR|
BSR|TNA,|TNA|URC|IST|BSR|
BSR|TPE,|TPE|URC|IST|BSR|
BSR|TSN,|TSN|HET|URC|IST|BSR|
BSR|TXN,|TXN|TYN|URC|IST|BSR|
BSR|TYN,|TYN|URC|IST|BSR|
BSR|WNZ,|WNZ|XIY|URC|IST|BSR|
BSR|WUX,|WUX|CAN|IST|BSR|
BSR|XFN,|XFN|CAN|IST|BSR|
BSR|XIY,|XIY|URC|IST|BSR|
BSR|XUZ,|XUZ|INC|URC|IST|BSR|
BSR|YIH,|YIH|CKG|URC|IST|BSR|
BSR|YIW,|YIW|URC|IST|BSR|
BSR|YNT,|YNT|SHE|PEK|IST|BSR|
BSR|YNZ,|YNZ|WUH|URC|IST|BSR|
BSR|YTY,|YTY|CGO|URC|IST|BSR|
BSR|ZHA,|ZHA|CAN|IST|BSR|
BSR|ZYI,|ZYI|CAN|IST|BSR|
BSR|BAV,|BAV|URC|IST|BSR|
BSR|CJU,|CJU|DLC|PEK|IST|BSR|
BSR|DSN,|DSN|CGO|URC|IST|BSR|
BSR|HMI,|HMI|URC|IST|BSR|
BSR|INC,|INC|URC|IST|BSR|
BSR|KHH,|KHH|WUH|URC|IST|BSR|
BSR|UYN,|UYN|XIY|URC|IST|BSR|
BSR|XNN,|XNN|URC|IST|BSR|
BSR|ZUH,|ZUH|KWE|URC|IST|BSR|
BSR|YNJ,|YNJ|PEK|IST|BSR|
BSR|DAT,|DAT|TYN|URC|IST|BSR|
BSR|JHG,|JHG|KMG|CTU|URC|IST|BSR|
BSR|LJG,|LJG|KMG|CTU|URC|IST|BSR|
BSR|LXA,|LXA|CKG|URC|IST|BSR|
BSR|YCU,|YCU|CKG|URC|IST|BSR|
BSR|LZO,|LZO|CSX|URC|IST|BSR|
BSR|MDG,|MDG|DLC|PEK|IST|BSR|
BSR|NGO,|NGO|ICN|IST|BSR|
BSR|TOY,|TOY|DLC|PEK|IST|BSR|
BSR|MFM,|MFM|XMN|CSX|URC|IST|BSR|
BSR|TGO,|TGO|HET|URC|IST|BSR|
BSR|XIL,|XIL|HET|URC|IST|BSR|
BSR|HEK,|HEK|HRB|PEK|IST|BSR|
BSR|KIJ,|KIJ|HRB|PEK|IST|BSR|
BSR|LDS,|LDS|HRB|PEK|IST|BSR|
BSR|OHE,|OHE|HRB|PEK|IST|BSR|
BSR|HSN,|HSN|LYG|XUZ|INC|URC|IST|BSR|
BSR|DLU,|DLU|KMG|CTU|URC|IST|BSR|
BSR|SYM,|SYM|KMG|CTU|URC|IST|BSR|
BSR|ZAT,|ZAT|KMG|CTU|URC|IST|BSR|
BSR|LUN,|LUN|NBO|IST|BSR|
BSR|AOG,|AOG|PEK|IST|BSR|
BSR|GMP,|GMP|PEK|IST|BSR|
BSR|ISB,|ISB|IST|BSR|
BSR|TAS,|TAS|IST|BSR|
BSR|WUS,|WUS|PEK|IST|BSR|
BSR|JMU,|JMU|PVG|IST|BSR|
BSR|NDG,|NDG|PVG|IST|BSR|
BSR|JXA,|JXA|SHE|PEK|IST|BSR|
BSR|PUS,|PUS|SHE|PEK|IST|BSR|
BSR|BKI,|BKI|SZX|CKG|URC|IST|BSR|
BSR|AKU,|AKU|URC|IST|BSR|
BSR|ALA,|ALA|IST|BSR|
BSR|ASB,|ASB|IST|BSR|
BSR|DNH,|DNH|URC|IST|BSR|
BSR|DYU,|DYU|IST|BSR|
BSR|FRU,|FRU|IST|BSR|
BSR|GYD,|GYD|IST|BSR|
BSR|HTN,|HTN|URC|IST|BSR|
BSR|IKA,|IKA|IST|BSR|
BSR|KCA,|KCA|URC|IST|BSR|
BSR|KHG,|KHG|URC|IST|BSR|
BSR|KRL,|KRL|URC|IST|BSR|
BSR|KRY,|KRY|URC|IST|BSR|
BSR|LBD,|LBD|URC|IST|BSR|
BSR|NLT,|NLT|URC|IST|BSR|
BSR|OSS,|OSS|IST|BSR|
BSR|OVB,|OVB|IST|BSR|
BSR|TBS,|TBS|IST|BSR|
BSR|TCG,|TCG|URC|IST|BSR|
BSR|TSE,|TSE|IST|BSR|
BSR|YIN,|YIN|URC|IST|BSR|
BSR|ENH,|ENH|WUH|URC|IST|BSR|
BSR|ENY,|ENY|XIY|URC|IST|BSR|
BSR|WXN,|WXN|XIY|URC|IST|BSR|
BSR|BLL,|BLL|IST|BSR|
BSR|ESB,|ESB|IST|BSR|
BSR|SAW,|SAW|ADB|IST|BSR|
BSR|HAM,|HAM|IST|BSR|
BSR|HRE,|HRE|ADD|IST|BSR|
BSR|JUB,|JUB|CAI|IST|BSR|
BSR|SSG,|SSG|DLA|IST|BSR|
BSR|BGW,|BGW|IST|BSR|
BSR|EBL,|EBL|IST|BSR|
BSR|VKO,|VKO|IST|BSR|
BSR|MCT,|MCT|IST|BSR|
BSR|AYT,|AYT|IST|BSR|
BSR|SCQ,|SCQ|BIO|IST|BSR|
BSR|AAL,|AAL|IST|BSR|
BSR|AOE,|AOE|BRU|IST|BSR|
BSR|JNB,|JNB|IST|BSR|
BSR|LBV,|LBV|DLA|IST|BSR|
BSR|ADA,|ADA|IST|BSR|
BSR|ADB,|ADB|IST|BSR|
BSR|ADF,|ADF|IST|BSR|
BSR|AJI,|AJI|IST|BSR|
BSR|BAL,|BAL|IST|BSR|
BSR|BJV,|BJV|IST|BSR|
BSR|CKZ,|CKZ|ESB|IST|BSR|
BSR|DIY,|DIY|IST|BSR|
BSR|ECN,|ECN|IST|BSR|
BSR|ERC,|ERC|IST|BSR|
BSR|ERZ,|ERZ|IST|BSR|
BSR|EZS,|EZS|IST|BSR|
BSR|GNY,|GNY|IST|BSR|
BSR|GZP,|GZP|ESB|IST|BSR|
BSR|GZT,|GZT|IST|BSR|
BSR|HTY,|HTY|IST|BSR|
BSR|KCM,|KCM|IST|BSR|
BSR|KSY,|KSY|IST|BSR|
BSR|MLX,|MLX|IST|BSR|
BSR|MQM,|MQM|IST|BSR|
