PDX|AVA,|AVA|CAN|ICN|SEA|PDX|
PDX|BFJ,|BFJ|CAN|ICN|SEA|PDX|
PDX|BHY,|BHY|CSX|ICN|SEA|PDX|
PDX|BNE,|BNE|CAN|ICN|SEA|PDX|
PDX|CGD,|CGD|PEK|SEA|PDX|
PDX|CGK,|CGK|CAN|ICN|SEA|PDX|
PDX|CGQ,|CGQ|ICN|SEA|PDX|
PDX|CIH,|CIH|PEK|SEA|PDX|
PDX|CNX,|CNX|CAN|ICN|SEA|PDX|
PDX|CZX,|CZX|SHE|ICN|SEA|PDX|
PDX|DAC,|DAC|CAN|ICN|SEA|PDX|
PDX|DAD,|DAD|CAN|ICN|SEA|PDX|
PDX|DEL,|DEL|CAN|ICN|SEA|PDX|
PDX|DIG,|DIG|KMG|PEK|SEA|PDX|
PDX|DLC,|DLC|ICN|SEA|PDX|
PDX|DPS,|DPS|SZX|PVG|ICN|SEA|PDX|
PDX|DXB,|DXB|IST|FRA|SEA|PDX|
PDX|DYG,|DYG|PEK|SEA|PDX|
PDX|FUG,|FUG|CAN|ICN|SEA|PDX|
PDX|FUK,|FUK|ICN|SEA|PDX|
PDX|HAK,|HAK|CAN|ICN|SEA|PDX|
PDX|HAN,|HAN|PEK|SEA|PDX|
PDX|HDG,|HDG|CAN|ICN|SEA|PDX|
PDX|HET,|HET|DLC|ICN|SEA|PDX|
PDX|HFE,|HFE|TYN|DLC|ICN|SEA|PDX|
PDX|HJJ,|HJJ|CSX|ICN|SEA|PDX|
PDX|HKT,|HKT|KWE|PEK|SEA|PDX|
PDX|HRB,|HRB|ICN|SEA|PDX|
PDX|HZH,|HZH|CAN|ICN|SEA|PDX|
PDX|JIU,|JIU|CAN|ICN|SEA|PDX|
PDX|JJN,|JJN|PEK|SEA|PDX|
PDX|JNG,|JNG|CAN|ICN|SEA|PDX|
PDX|KHN,|KHN|DLC|ICN|SEA|PDX|
PDX|KIX,|KIX|SFO|PDX|
PDX|KOW,|KOW|PEK|SEA|PDX|
PDX|KTM,|KTM|CAN|ICN|SEA|PDX|
PDX|KUL,|KUL|CAN|ICN|SEA|PDX|
PDX|KWE,|KWE|PEK|SEA|PDX|
PDX|KWL,|KWL|PEK|SEA|PDX|
PDX|LHW,|LHW|CGO|PEK|SEA|PDX|
PDX|LYA,|LYA|KHN|DLC|ICN|SEA|PDX|
PDX|LYG,|LYG|HSN|PEK|SEA|PDX|
PDX|LZH,|LZH|CAN|ICN|SEA|PDX|
PDX|MEL,|MEL|SYD|SFO|PDX|
PDX|MIG,|MIG|CSX|ICN|SEA|PDX|
PDX|MLE,|MLE|CAN|ICN|SEA|PDX|
PDX|MNL,|MNL|XMN|PEK|SEA|PDX|
PDX|MXZ,|MXZ|CAN|ICN|SEA|PDX|
PDX|NAO,|NAO|PEK|SEA|PDX|
PDX|NGB,|NGB|DLC|ICN|SEA|PDX|
PDX|NKG,|NKG|DLC|ICN|SEA|PDX|
PDX|NNY,|NNY|CGO|PEK|SEA|PDX|
PDX|PEN,|PEN|CAN|ICN|SEA|PDX|
PDX|PER,|PER|CAN|ICN|SEA|PDX|
PDX|PNH,|PNH|CAN|ICN|SEA|PDX|
PDX|REP,|REP|ICN|SEA|PDX|
PDX|RGN,|RGN|CAN|ICN|SEA|PDX|
PDX|SGN,|SGN|CAN|ICN|SEA|PDX|
PDX|SHA,|SHA|PEK|SEA|PDX|
PDX|SIN,|SIN|NRT|SEA|PDX|
PDX|SVO,|SVO|URC|PEK|SEA|PDX|
PDX|SYX,|SYX|CAN|ICN|SEA|PDX|
PDX|TAO,|TAO|DLC|ICN|SEA|PDX|
PDX|TEN,|TEN|PEK|SEA|PDX|
PDX|TNA,|TNA|DLC|ICN|SEA|PDX|
PDX|TPE,|TPE|PVG|ICN|SEA|PDX|
PDX|TSN,|TSN|DLC|ICN|SEA|PDX|
PDX|TXN,|TXN|DLC|ICN|SEA|PDX|
PDX|TYN,|TYN|DLC|ICN|SEA|PDX|
PDX|WNZ,|WNZ|CGO|PEK|SEA|PDX|
PDX|WUX,|WUX|CAN|ICN|SEA|PDX|
PDX|XFN,|XFN|CAN|ICN|SEA|PDX|
PDX|XIY,|XIY|PEK|SEA|PDX|
PDX|XUZ,|XUZ|LYG|HSN|PEK|SEA|PDX|
PDX|YIH,|YIH|CKG|PEK|SEA|PDX|
PDX|YIW,|YIW|PEK|SEA|PDX|
PDX|YNT,|YNT|SHE|ICN|SEA|PDX|
PDX|YNZ,|YNZ|DLC|ICN|SEA|PDX|
PDX|YTY,|YTY|DLC|ICN|SEA|PDX|
PDX|ZHA,|ZHA|CAN|ICN|SEA|PDX|
PDX|ZYI,|ZYI|PEK|SEA|PDX|
PDX|BAV,|BAV|SJW|DLC|ICN|SEA|PDX|
PDX|CJU,|CJU|DLC|ICN|SEA|PDX|
PDX|DSN,|DSN|CGO|PEK|SEA|PDX|
PDX|HMI,|HMI|CGO|PEK|SEA|PDX|
PDX|INC,|INC|PEK|SEA|PDX|
PDX|KHH,|KHH|CGO|PEK|SEA|PDX|
PDX|UYN,|UYN|CGO|PEK|SEA|PDX|
PDX|XNN,|XNN|PEK|SEA|PDX|
PDX|ZUH,|ZUH|PVG|ICN|SEA|PDX|
PDX|YNJ,|YNJ|ICN|SEA|PDX|
PDX|DAT,|DAT|CIH|PEK|SEA|PDX|
PDX|JHG,|JHG|CKG|PEK|SEA|PDX|
PDX|LJG,|LJG|CKG|PEK|SEA|PDX|
PDX|LXA,|LXA|XIY|PEK|SEA|PDX|
PDX|YCU,|YCU|CSX|ICN|SEA|PDX|
PDX|LZO,|LZO|CSX|ICN|SEA|PDX|
PDX|MDG,|MDG|ICN|SEA|PDX|
PDX|NGO,|NGO|ICN|SEA|PDX|
