NKG|TAS,|TAS|URC|NKG|
NKG|WUS,|WUS|PEK|DLC|NKG|
NKG|JMU,|JMU|PVG|CSX|NKG|
NKG|NDG,|NDG|PVG|CSX|NKG|
NKG|JXA,|JXA|SHE|NKG|
NKG|PUS,|PUS|SHE|NKG|
NKG|BKI,|BKI|SZX|NKG|
NKG|AKU,|AKU|URC|NKG|
NKG|ALA,|ALA|URC|NKG|
NKG|ASB,|ASB|URC|NKG|
NKG|DNH,|DNH|XIY|NKG|
NKG|DYU,|DYU|URC|NKG|
NKG|FRU,|FRU|URC|NKG|
NKG|GYD,|GYD|URC|NKG|
NKG|HTN,|HTN|URC|NKG|
NKG|IKA,|IKA|URC|NKG|
NKG|KCA,|KCA|URC|NKG|
NKG|KHG,|KHG|URC|NKG|
NKG|KRL,|KRL|URC|NKG|
NKG|KRY,|KRY|URC|NKG|
NKG|LBD,|LBD|URC|NKG|
NKG|NLT,|NLT|URC|NKG|
NKG|OSS,|OSS|URC|NKG|
NKG|OVB,|OVB|URC|NKG|
NKG|TBS,|TBS|URC|NKG|
NKG|TCG,|TCG|URC|NKG|
NKG|TSE,|TSE|URC|NKG|
NKG|YIN,|YIN|URC|NKG|
NKG|ENH,|ENH|WUH|FOC|NKG|
NKG|ENY,|ENY|XIY|NKG|
NKG|WXN,|WXN|XIY|NKG|
NKG|BLL,|BLL|IST|URC|NKG|
NKG|ESB,|ESB|SAW|TBS|URC|NKG|
NKG|SAW,|SAW|TBS|URC|NKG|
NKG|HAM,|HAM|IST|URC|NKG|
NKG|HRE,|HRE|ADD|IST|URC|NKG|
NKG|JUB,|JUB|CAI|IST|URC|NKG|
NKG|SSG,|SSG|DLA|IST|URC|NKG|
NKG|BGW,|BGW|ESB|SAW|TBS|URC|NKG|
NKG|EBL,|EBL|IST|URC|NKG|
NKG|VKO,|VKO|IST|URC|NKG|
NKG|MCT,|MCT|IST|URC|NKG|
NKG|AYT,|AYT|IST|URC|NKG|
NKG|SCQ,|SCQ|BIO|IST|URC|NKG|
NKG|AAL,|AAL|IST|URC|NKG|
NKG|AOE,|AOE|BRU|IST|URC|NKG|
NKG|JNB,|JNB|IST|URC|NKG|
NKG|LBV,|LBV|DLA|IST|URC|NKG|
NKG|ADA,|ADA|SAW|TBS|URC|NKG|
NKG|ADB,|ADB|IST|URC|NKG|
NKG|ADF,|ADF|ESB|SAW|TBS|URC|NKG|
NKG|AJI,|AJI|ESB|SAW|TBS|URC|NKG|
NKG|BAL,|BAL|ESB|SAW|TBS|URC|NKG|
NKG|BJV,|BJV|IST|URC|NKG|
NKG|CKZ,|CKZ|ESB|SAW|TBS|URC|NKG|
NKG|DIY,|DIY|SAW|TBS|URC|NKG|
NKG|ECN,|ECN|SAW|TBS|URC|NKG|
NKG|ERC,|ERC|ESB|SAW|TBS|URC|NKG|
NKG|ERZ,|ERZ|SAW|TBS|URC|NKG|
NKG|EZS,|EZS|SAW|TBS|URC|NKG|
NKG|GNY,|GNY|ESB|SAW|TBS|URC|NKG|
NKG|GZP,|GZP|ESB|SAW|TBS|URC|NKG|
NKG|GZT,|GZT|SAW|TBS|URC|NKG|
NKG|HTY,|HTY|SAW|TBS|URC|NKG|
NKG|KCM,|KCM|ESB|SAW|TBS|URC|NKG|
NKG|KSY,|KSY|SAW|TBS|URC|NKG|
NKG|MLX,|MLX|ESB|SAW|TBS|URC|NKG|
NKG|MQM,|MQM|SAW|TBS|URC|NKG|
NKG|MSR,|MSR|ESB|SAW|TBS|URC|NKG|
NKG|TEQ,|TEQ|ESB|SAW|TBS|URC|NKG|
NKG|TZX,|TZX|SAW|TBS|URC|NKG|
NKG|VAN,|VAN|SAW|TBS|URC|NKG|
NKG|ULN,|ULN|FRU|URC|NKG|
NKG|HIJ,|HIJ|ICN|DLC|NKG|
NKG|VVO,|VVO|ICN|DLC|NKG|
NKG|ACC,|ACC|IST|URC|NKG|
NKG|AER,|AER|IST|URC|NKG|
NKG|AGP,|AGP|IST|URC|NKG|
NKG|ALG,|ALG|IST|URC|NKG|
NKG|AMM,|AMM|IST|URC|NKG|
NKG|AQJ,|AQJ|IST|URC|NKG|
NKG|ARN,|ARN|IST|URC|NKG|
NKG|ASR,|ASR|SAW|TBS|URC|NKG|
NKG|ATH,|ATH|IST|URC|NKG|
NKG|BAH,|BAH|KWI|SAW|TBS|URC|NKG|
NKG|BEG,|BEG|IST|URC|NKG|
NKG|BEN,|BEN|IST|URC|NKG|
NKG|BEY,|BEY|IST|URC|NKG|
NKG|BHX,|BHX|IST|URC|NKG|
NKG|BIO,|BIO|IST|URC|NKG|
NKG|BLQ,|BLQ|IST|URC|NKG|
NKG|BOM,|BOM|IST|URC|NKG|
NKG|BRE,|BRE|IST|URC|NKG|
NKG|BSL,|BSL|IST|URC|NKG|
NKG|BSR,|BSR|IST|URC|NKG|
NKG|BUD,|BUD|IST|URC|NKG|
NKG|BUS,|BUS|IST|URC|NKG|
NKG|CAI,|CAI|IST|URC|NKG|
NKG|CGN,|CGN|IST|URC|NKG|
NKG|CMN,|CMN|IST|URC|NKG|
NKG|CND,|CND|IST|URC|NKG|
NKG|DAR,|DAR|NBO|CAN|NKG|
NKG|DLM,|DLM|IST|URC|NKG|
NKG|DMM,|DMM|IST|URC|NKG|
NKG|DNK,|DNK|IST|URC|NKG|
NKG|DNZ,|DNZ|IST|URC|NKG|
NKG|DOK,|DOK|IST|URC|NKG|
NKG|DUS,|DUS|IST|URC|NKG|
NKG|EDI,|EDI|IST|URC|NKG|
NKG|ELQ,|ELQ|IST|URC|NKG|
NKG|FDH,|FDH|IST|URC|NKG|
NKG|GOA,|GOA|IST|URC|NKG|
NKG|GOT,|GOT|IST|URC|NKG|
NKG|HAJ,|HAJ|IST|URC|NKG|
NKG|HBE,|HBE|IST|URC|NKG|
NKG|HEL,|HEL|IST|URC|NKG|
NKG|HRG,|HRG|IST|URC|NKG|
NKG|IFN,|IFN|IST|URC|NKG|
NKG|ISE,|ISE|IST|URC|NKG|
NKG|ISU,|ISU|IST|URC|NKG|
NKG|JIB,|JIB|IST|URC|NKG|
NKG|JRO,|JRO|IST|URC|NKG|
NKG|KAN,|KAN|IST|URC|NKG|
NKG|KBL,|KBL|IST|URC|NKG|
NKG|KBP,|KBP|IST|URC|NKG|
NKG|KFS,|KFS|IST|URC|NKG|
