PHX|TAO,|TAO|DLC|ICN|SFO|PHX|
PHX|TEN,|TEN|PEK|SEA|PHX|
PHX|TNA,|TNA|DLC|ICN|SFO|PHX|
PHX|TPE,|TPE|SFO|PHX|
PHX|TSN,|TSN|DLC|ICN|SFO|PHX|
PHX|TXN,|TXN|DLC|ICN|SFO|PHX|
PHX|TYN,|TYN|DLC|ICN|SFO|PHX|
PHX|WNZ,|WNZ|CGO|PEK|SEA|PHX|
PHX|WUX,|WUX|CAN|PVG|SFO|PHX|
PHX|XFN,|XFN|CAN|PVG|SFO|PHX|
PHX|XIY,|XIY|PEK|SEA|PHX|
PHX|XUZ,|XUZ|LYG|HSN|PEK|SEA|PHX|
PHX|YIH,|YIH|CKG|PEK|SEA|PHX|
PHX|YIW,|YIW|PEK|SEA|PHX|
PHX|YNT,|YNT|SHE|ICN|SFO|PHX|
PHX|YNZ,|YNZ|DLC|ICN|SFO|PHX|
PHX|YTY,|YTY|DLC|ICN|SFO|PHX|
PHX|ZHA,|ZHA|CAN|PVG|SFO|PHX|
PHX|ZYI,|ZYI|PEK|SEA|PHX|
PHX|BAV,|BAV|SJW|DLC|ICN|SFO|PHX|
PHX|CJU,|CJU|DLC|ICN|SFO|PHX|
PHX|DSN,|DSN|CGO|PEK|SEA|PHX|
PHX|HMI,|HMI|CGO|PEK|SEA|PHX|
PHX|INC,|INC|PEK|SEA|PHX|
PHX|KHH,|KHH|WUH|ICN|SFO|PHX|
PHX|UYN,|UYN|CGO|PEK|SEA|PHX|
PHX|XNN,|XNN|PEK|SEA|PHX|
PHX|ZUH,|ZUH|PVG|SFO|PHX|
PHX|YNJ,|YNJ|ICN|SFO|PHX|
PHX|DAT,|DAT|CIH|PEK|SEA|PHX|
PHX|JHG,|JHG|CKG|PEK|SEA|PHX|
PHX|LJG,|LJG|CKG|PEK|SEA|PHX|
PHX|LXA,|LXA|XIY|PEK|SEA|PHX|
PHX|YCU,|YCU|CSX|ICN|SFO|PHX|
PHX|LZO,|LZO|CSX|ICN|SFO|PHX|
PHX|MDG,|MDG|ICN|SFO|PHX|
PHX|NGO,|NGO|ICN|SFO|PHX|
PHX|TOY,|TOY|DLC|ICN|SFO|PHX|
PHX|MFM,|MFM|HGH|DLC|ICN|SFO|PHX|
PHX|TGO,|TGO|HET|DLC|ICN|SFO|PHX|
PHX|XIL,|XIL|HET|DLC|ICN|SFO|PHX|
PHX|HEK,|HEK|HRB|ICN|SFO|PHX|
PHX|KIJ,|KIJ|HRB|ICN|SFO|PHX|
PHX|LDS,|LDS|HRB|ICN|SFO|PHX|
PHX|OHE,|OHE|HRB|ICN|SFO|PHX|
PHX|HSN,|HSN|PEK|SEA|PHX|
PHX|DLU,|DLU|KMG|PEK|SEA|PHX|
PHX|SYM,|SYM|KMG|PEK|SEA|PHX|
PHX|ZAT,|ZAT|KMG|PEK|SEA|PHX|
PHX|LUN,|LUN|NBO|ZRH|ORD|PHX|
PHX|AOG,|AOG|PEK|SEA|PHX|
PHX|GMP,|GMP|PEK|SEA|PHX|
PHX|ISB,|ISB|PEK|SEA|PHX|
PHX|TAS,|TAS|IST|FRA|DEN|PHX|
PHX|WUS,|WUS|PEK|SEA|PHX|
PHX|JMU,|JMU|PVG|SFO|PHX|
PHX|NDG,|NDG|PVG|SFO|PHX|
PHX|JXA,|JXA|SHE|ICN|SFO|PHX|
PHX|PUS,|PUS|SHE|ICN|SFO|PHX|
PHX|BKI,|BKI|SZX|PVG|SFO|PHX|
PHX|AKU,|AKU|URC|PEK|SEA|PHX|
PHX|ALA,|ALA|URC|PEK|SEA|PHX|
PHX|ASB,|ASB|GYD|FRA|DEN|PHX|
PHX|DNH,|DNH|XIY|PEK|SEA|PHX|
PHX|DYU,|DYU|IST|FRA|DEN|PHX|
PHX|FRU,|FRU|URC|PEK|SEA|PHX|
PHX|GYD,|GYD|FRA|DEN|PHX|
PHX|HTN,|HTN|URC|PEK|SEA|PHX|
PHX|IKA,|IKA|SAW|FRA|DEN|PHX|
