BRE|TPA,|TPA|EWR|BHX|IST|BRE|
BRE|UVF,|UVF|EWR|BHX|IST|BRE|
BRE|VIE,|VIE|IST|BRE|
BRE|YAM,|YAM|YYZ|IST|BRE|
BRE|YGK,|YGK|YYZ|IST|BRE|
BRE|YQG,|YQG|YYZ|IST|BRE|
BRE|YSB,|YSB|YYZ|IST|BRE|
BRE|YTS,|YTS|YYZ|IST|BRE|
BRE|YYB,|YYB|YYZ|IST|BRE|
BRE|YZR,|YZR|YYZ|IST|BRE|
BRE|CAN,|CAN|IST|BRE|
BRE|URC,|URC|IST|BRE|
BRE|CTU,|CTU|URC|IST|BRE|
BRE|HGH,|HGH|URC|IST|BRE|
BRE|XMN,|XMN|CSX|URC|IST|BRE|
BRE|CGO,|CGO|URC|IST|BRE|
BRE|CSX,|CSX|URC|IST|BRE|
BRE|SHE,|SHE|PEK|IST|BRE|
BRE|SJW,|SJW|URC|IST|BRE|
BRE|WUH,|WUH|URC|IST|BRE|
BRE|SZX,|SZX|CKG|URC|IST|BRE|
BRE|CKG,|CKG|URC|IST|BRE|
BRE|KMG,|KMG|CTU|URC|IST|BRE|
BRE|FOC,|FOC|XIY|URC|IST|BRE|
BRE|NNG,|NNG|KWE|URC|IST|BRE|
BRE|SWA,|SWA|CAN|IST|BRE|
BRE|ACX,|ACX|CAN|IST|BRE|
BRE|AQG,|AQG|CAN|IST|BRE|
BRE|AVA,|AVA|CAN|IST|BRE|
BRE|BFJ,|BFJ|CAN|IST|BRE|
BRE|BHY,|BHY|CKG|URC|IST|BRE|
BRE|BNE,|BNE|BKK|IST|BRE|
BRE|CGD,|CGD|PEK|IST|BRE|
BRE|CGK,|CGK|SIN|IST|BRE|
BRE|CGQ,|CGQ|HET|URC|IST|BRE|
BRE|CIH,|CIH|PEK|IST|BRE|
BRE|CNX,|CNX|CAN|IST|BRE|
BRE|CZX,|CZX|TYN|URC|IST|BRE|
BRE|DAC,|DAC|IST|BRE|
BRE|DAD,|DAD|CAN|IST|BRE|
BRE|DEL,|DEL|IST|BRE|
BRE|DIG,|DIG|KMG|CTU|URC|IST|BRE|
BRE|DLC,|DLC|PEK|IST|BRE|
BRE|DPS,|DPS|CAN|IST|BRE|
BRE|DXB,|DXB|IST|BRE|
BRE|DYG,|DYG|CSX|URC|IST|BRE|
BRE|FUG,|FUG|CAN|IST|BRE|
BRE|FUK,|FUK|ICN|IST|BRE|
BRE|HAK,|HAK|CTU|URC|IST|BRE|
BRE|HAN,|HAN|CAN|IST|BRE|
BRE|HDG,|HDG|CAN|IST|BRE|
BRE|HET,|HET|URC|IST|BRE|
BRE|HFE,|HFE|XIY|URC|IST|BRE|
BRE|HJJ,|HJJ|CSX|URC|IST|BRE|
BRE|HKT,|HKT|KWE|URC|IST|BRE|
BRE|HRB,|HRB|PEK|IST|BRE|
BRE|HZH,|HZH|CAN|IST|BRE|
BRE|JIU,|JIU|CAN|IST|BRE|
BRE|JJN,|JJN|CSX|URC|IST|BRE|
BRE|JNG,|JNG|CAN|IST|BRE|
BRE|KHN,|KHN|XIY|URC|IST|BRE|
BRE|KIX,|KIX|IST|BRE|
BRE|KOW,|KOW|CAN|IST|BRE|
BRE|KTM,|KTM|IST|BRE|
BRE|KUL,|KUL|IST|BRE|
BRE|KWE,|KWE|URC|IST|BRE|
BRE|KWL,|KWL|CKG|URC|IST|BRE|
BRE|LHW,|LHW|URC|IST|BRE|
BRE|LYA,|LYA|KHN|XIY|URC|IST|BRE|
BRE|LYG,|LYG|XUZ|INC|URC|IST|BRE|
BRE|LZH,|LZH|CAN|IST|BRE|
BRE|MEL,|MEL|BKK|IST|BRE|
BRE|MIG,|MIG|CSX|URC|IST|BRE|
BRE|MLE,|MLE|IST|BRE|
BRE|MNL,|MNL|CAN|IST|BRE|
BRE|MXZ,|MXZ|CAN|IST|BRE|
BRE|NAO,|NAO|PEK|IST|BRE|
BRE|NGB,|NGB|WUH|URC|IST|BRE|
BRE|NKG,|NKG|URC|IST|BRE|
BRE|NNY,|NNY|CGO|URC|IST|BRE|
BRE|PEN,|PEN|CAN|IST|BRE|
BRE|PER,|PER|BKK|IST|BRE|
BRE|PNH,|PNH|CAN|IST|BRE|
BRE|REP,|REP|CAN|IST|BRE|
BRE|RGN,|RGN|CAN|IST|BRE|
BRE|SGN,|SGN|BKK|IST|BRE|
BRE|SHA,|SHA|URC|IST|BRE|
BRE|SIN,|SIN|IST|BRE|
BRE|SVO,|SVO|URC|IST|BRE|
BRE|SYX,|SYX|CKG|URC|IST|BRE|
BRE|TAO,|TAO|TYN|URC|IST|BRE|
BRE|TEN,|TEN|CAN|IST|BRE|
BRE|TNA,|TNA|URC|IST|BRE|
BRE|TPE,|TPE|URC|IST|BRE|
BRE|TSN,|TSN|HET|URC|IST|BRE|
BRE|TXN,|TXN|TYN|URC|IST|BRE|
BRE|TYN,|TYN|URC|IST|BRE|
