BGM|NDG,|NDG|PVG|YYZ|IAD|BGM|
BGM|JXA,|JXA|SHE|PEK|IAD|BGM|
BGM|PUS,|PUS|SHE|PEK|IAD|BGM|
BGM|BKI,|BKI|SZX|PEK|IAD|BGM|
BGM|AKU,|AKU|URC|TSE|FRA|IAD|BGM|
BGM|ALA,|ALA|TSE|FRA|IAD|BGM|
BGM|ASB,|ASB|GYD|FRA|IAD|BGM|
BGM|DNH,|DNH|URC|TSE|FRA|IAD|BGM|
BGM|DYU,|DYU|IST|IAD|BGM|
BGM|FRU,|FRU|IST|IAD|BGM|
BGM|GYD,|GYD|FRA|IAD|BGM|
BGM|HTN,|HTN|URC|TSE|FRA|IAD|BGM|
BGM|IKA,|IKA|SAW|FRA|IAD|BGM|
BGM|KCA,|KCA|URC|TSE|FRA|IAD|BGM|
BGM|KHG,|KHG|URC|TSE|FRA|IAD|BGM|
BGM|KRL,|KRL|URC|TSE|FRA|IAD|BGM|
BGM|KRY,|KRY|URC|TSE|FRA|IAD|BGM|
BGM|LBD,|LBD|URC|TSE|FRA|IAD|BGM|
BGM|NLT,|NLT|URC|TSE|FRA|IAD|BGM|
BGM|OSS,|OSS|IST|IAD|BGM|
BGM|OVB,|OVB|IST|IAD|BGM|
BGM|TBS,|TBS|SAW|FRA|IAD|BGM|
BGM|TCG,|TCG|URC|TSE|FRA|IAD|BGM|
BGM|TSE,|TSE|FRA|IAD|BGM|
BGM|YIN,|YIN|URC|TSE|FRA|IAD|BGM|
BGM|ENH,|ENH|WUH|PEK|IAD|BGM|
BGM|ENY,|ENY|XIY|PEK|IAD|BGM|
BGM|WXN,|WXN|XIY|PEK|IAD|BGM|
BGM|BLL,|BLL|IST|IAD|BGM|
BGM|ESB,|ESB|VIE|IAD|BGM|
BGM|SAW,|SAW|FRA|IAD|BGM|
BGM|HAM,|HAM|EWR|IAD|BGM|
BGM|HRE,|HRE|ADD|JED|FRA|IAD|BGM|
BGM|JUB,|JUB|CAI|JFK|IAD|BGM|
BGM|SSG,|SSG|DLA|BRU|IAD|BGM|
