CMX|ACX,|ACX|CAN|PEK|ORD|CMX|
CMX|AQG,|AQG|CAN|PEK|ORD|CMX|
CMX|AVA,|AVA|CAN|PEK|ORD|CMX|
CMX|BFJ,|BFJ|CAN|PEK|ORD|CMX|
CMX|BHY,|BHY|CGO|PEK|ORD|CMX|
CMX|BNE,|BNE|CAN|PEK|ORD|CMX|
CMX|CGD,|CGD|PEK|ORD|CMX|
CMX|CGK,|CGK|CAN|PEK|ORD|CMX|
CMX|CGQ,|CGQ|PEK|ORD|CMX|
CMX|CIH,|CIH|PEK|ORD|CMX|
CMX|CNX,|CNX|CAN|PEK|ORD|CMX|
CMX|CZX,|CZX|SHE|PEK|ORD|CMX|
CMX|DAC,|DAC|IST|ORD|CMX|
CMX|DAD,|DAD|CAN|PEK|ORD|CMX|
CMX|DEL,|DEL|EWR|ORD|CMX|
CMX|DIG,|DIG|KMG|PEK|ORD|CMX|
CMX|DLC,|DLC|PEK|ORD|CMX|
CMX|DPS,|DPS|SZX|PEK|ORD|CMX|
CMX|DXB,|DXB|IST|ORD|CMX|
CMX|DYG,|DYG|PEK|ORD|CMX|
CMX|FUG,|FUG|CAN|PEK|ORD|CMX|
CMX|FUK,|FUK|ICN|YVR|ORD|CMX|
CMX|HAK,|HAK|PEK|ORD|CMX|
CMX|HAN,|HAN|PEK|ORD|CMX|
CMX|HDG,|HDG|CAN|PEK|ORD|CMX|
CMX|HET,|HET|DLC|PEK|ORD|CMX|
CMX|HFE,|HFE|XIY|PEK|ORD|CMX|
CMX|HJJ,|HJJ|CSX|PEK|ORD|CMX|
CMX|HKT,|HKT|KWE|PEK|ORD|CMX|
CMX|HRB,|HRB|PEK|ORD|CMX|
CMX|HZH,|HZH|CAN|PEK|ORD|CMX|
CMX|JIU,|JIU|CAN|PEK|ORD|CMX|
CMX|JJN,|JJN|PEK|ORD|CMX|
CMX|JNG,|JNG|CAN|PEK|ORD|CMX|
CMX|KHN,|KHN|DLC|PEK|ORD|CMX|
CMX|KIX,|KIX|SFO|ORD|CMX|
CMX|KOW,|KOW|PEK|ORD|CMX|
CMX|KTM,|KTM|IST|ORD|CMX|
CMX|KUL,|KUL|CAN|PEK|ORD|CMX|
CMX|KWE,|KWE|PEK|ORD|CMX|
CMX|KWL,|KWL|PEK|ORD|CMX|
CMX|LHW,|LHW|CGO|PEK|ORD|CMX|
CMX|LYA,|LYA|KHN|DLC|PEK|ORD|CMX|
CMX|LYG,|LYG|HSN|PEK|ORD|CMX|
CMX|LZH,|LZH|CAN|PEK|ORD|CMX|
CMX|MEL,|MEL|SYD|LAX|ORD|CMX|
CMX|MIG,|MIG|CSX|PEK|ORD|CMX|
CMX|MLE,|MLE|IST|ORD|CMX|
CMX|MNL,|MNL|XMN|PEK|ORD|CMX|
CMX|MXZ,|MXZ|CAN|PEK|ORD|CMX|
CMX|NAO,|NAO|PEK|ORD|CMX|
CMX|NGB,|NGB|PEK|ORD|CMX|
CMX|NKG,|NKG|DLC|PEK|ORD|CMX|
CMX|NNY,|NNY|CGO|PEK|ORD|CMX|
CMX|PEN,|PEN|CAN|PEK|ORD|CMX|
CMX|PER,|PER|CAN|PEK|ORD|CMX|
CMX|PNH,|PNH|CAN|PEK|ORD|CMX|
CMX|REP,|REP|CAN|PEK|ORD|CMX|
CMX|RGN,|RGN|CAN|PEK|ORD|CMX|
CMX|SGN,|SGN|CAN|PEK|ORD|CMX|
CMX|SHA,|SHA|PEK|ORD|CMX|
CMX|SIN,|SIN|HKG|ORD|CMX|
CMX|SVO,|SVO|URC|TSE|FRA|ORD|CMX|
CMX|SYX,|SYX|PEK|ORD|CMX|
CMX|TAO,|TAO|DLC|PEK|ORD|CMX|
CMX|TEN,|TEN|PEK|ORD|CMX|
CMX|TNA,|TNA|DLC|PEK|ORD|CMX|
CMX|TPE,|TPE|PVG|ORD|CMX|
CMX|TSN,|TSN|DLC|PEK|ORD|CMX|
CMX|TXN,|TXN|DLC|PEK|ORD|CMX|
CMX|TYN,|TYN|DAT|CIH|PEK|ORD|CMX|
CMX|WNZ,|WNZ|CGO|PEK|ORD|CMX|
CMX|WUX,|WUX|CAN|PEK|ORD|CMX|
CMX|XFN,|XFN|XMN|PEK|ORD|CMX|
