ANC|AVA,|AVA|CAN|ICN|SEA|ANC|
ANC|BFJ,|BFJ|CAN|ICN|SEA|ANC|
ANC|BHY,|BHY|CSX|ICN|SEA|ANC|
ANC|BNE,|BNE|CAN|ICN|SEA|ANC|
ANC|CGD,|CGD|PEK|SEA|ANC|
ANC|CGK,|CGK|CAN|ICN|SEA|ANC|
ANC|CGQ,|CGQ|ICN|SEA|ANC|
ANC|CIH,|CIH|PEK|SEA|ANC|
ANC|CNX,|CNX|CAN|ICN|SEA|ANC|
ANC|CZX,|CZX|SHE|ICN|SEA|ANC|
ANC|DAC,|DAC|CAN|ICN|SEA|ANC|
ANC|DAD,|DAD|CAN|ICN|SEA|ANC|
ANC|DEL,|DEL|CAN|ICN|SEA|ANC|
ANC|DIG,|DIG|KMG|PEK|SEA|ANC|
ANC|DLC,|DLC|ICN|SEA|ANC|
ANC|DPS,|DPS|SZX|PVG|ICN|SEA|ANC|
ANC|DXB,|DXB|IST|FRA|SEA|ANC|
ANC|DYG,|DYG|PEK|SEA|ANC|
ANC|FUG,|FUG|CAN|ICN|SEA|ANC|
ANC|FUK,|FUK|ICN|SEA|ANC|
ANC|HAK,|HAK|CAN|ICN|SEA|ANC|
ANC|HAN,|HAN|PEK|SEA|ANC|
ANC|HDG,|HDG|CAN|ICN|SEA|ANC|
ANC|HET,|HET|DLC|ICN|SEA|ANC|
ANC|HFE,|HFE|TYN|DLC|ICN|SEA|ANC|
ANC|HJJ,|HJJ|CSX|ICN|SEA|ANC|
ANC|HKT,|HKT|KWE|PEK|SEA|ANC|
ANC|HRB,|HRB|ICN|SEA|ANC|
ANC|HZH,|HZH|CAN|ICN|SEA|ANC|
ANC|JIU,|JIU|CAN|ICN|SEA|ANC|
ANC|JJN,|JJN|PEK|SEA|ANC|
ANC|JNG,|JNG|CAN|ICN|SEA|ANC|
ANC|KHN,|KHN|DLC|ICN|SEA|ANC|
ANC|KIX,|KIX|SFO|SEA|ANC|
ANC|KOW,|KOW|PEK|SEA|ANC|
ANC|KTM,|KTM|CAN|ICN|SEA|ANC|
ANC|KUL,|KUL|CAN|ICN|SEA|ANC|
ANC|KWE,|KWE|PEK|SEA|ANC|
ANC|KWL,|KWL|PEK|SEA|ANC|
ANC|LHW,|LHW|CGO|PEK|SEA|ANC|
ANC|LYA,|LYA|KHN|DLC|ICN|SEA|ANC|
ANC|LYG,|LYG|HSN|PEK|SEA|ANC|
ANC|LZH,|LZH|CAN|ICN|SEA|ANC|
ANC|MEL,|MEL|SYD|YVR|SEA|ANC|
ANC|MIG,|MIG|CSX|ICN|SEA|ANC|
ANC|MLE,|MLE|CAN|ICN|SEA|ANC|
ANC|MNL,|MNL|XMN|PEK|SEA|ANC|
ANC|MXZ,|MXZ|CAN|ICN|SEA|ANC|
ANC|NAO,|NAO|PEK|SEA|ANC|
ANC|NGB,|NGB|DLC|ICN|SEA|ANC|
ANC|NKG,|NKG|DLC|ICN|SEA|ANC|
ANC|NNY,|NNY|CGO|PEK|SEA|ANC|
ANC|PEN,|PEN|CAN|ICN|SEA|ANC|
ANC|PER,|PER|CAN|ICN|SEA|ANC|
ANC|PNH,|PNH|CAN|ICN|SEA|ANC|
ANC|REP,|REP|ICN|SEA|ANC|
ANC|RGN,|RGN|CAN|ICN|SEA|ANC|
ANC|SGN,|SGN|CAN|ICN|SEA|ANC|
ANC|SHA,|SHA|PEK|SEA|ANC|
ANC|SIN,|SIN|NRT|SEA|ANC|
ANC|SVO,|SVO|URC|PEK|SEA|ANC|
ANC|SYX,|SYX|CAN|ICN|SEA|ANC|
ANC|TAO,|TAO|DLC|ICN|SEA|ANC|
ANC|TEN,|TEN|PEK|SEA|ANC|
ANC|TNA,|TNA|DLC|ICN|SEA|ANC|
ANC|TPE,|TPE|PVG|ICN|SEA|ANC|
ANC|TSN,|TSN|DLC|ICN|SEA|ANC|
ANC|TXN,|TXN|DLC|ICN|SEA|ANC|
ANC|TYN,|TYN|DLC|ICN|SEA|ANC|
ANC|WNZ,|WNZ|CGO|PEK|SEA|ANC|
ANC|WUX,|WUX|CAN|ICN|SEA|ANC|
ANC|XFN,|XFN|CAN|ICN|SEA|ANC|
ANC|XIY,|XIY|PEK|SEA|ANC|
ANC|XUZ,|XUZ|LYG|HSN|PEK|SEA|ANC|
ANC|YIH,|YIH|CKG|PEK|SEA|ANC|
ANC|YIW,|YIW|PEK|SEA|ANC|
ANC|YNT,|YNT|SHE|ICN|SEA|ANC|
ANC|YNZ,|YNZ|DLC|ICN|SEA|ANC|
ANC|YTY,|YTY|DLC|ICN|SEA|ANC|
ANC|ZHA,|ZHA|CAN|ICN|SEA|ANC|
ANC|ZYI,|ZYI|PEK|SEA|ANC|
ANC|BAV,|BAV|SJW|DLC|ICN|SEA|ANC|
ANC|CJU,|CJU|DLC|ICN|SEA|ANC|
ANC|DSN,|DSN|CGO|PEK|SEA|ANC|
ANC|HMI,|HMI|CGO|PEK|SEA|ANC|
ANC|INC,|INC|PEK|SEA|ANC|
ANC|KHH,|KHH|CGO|PEK|SEA|ANC|
ANC|UYN,|UYN|CGO|PEK|SEA|ANC|
ANC|XNN,|XNN|PEK|SEA|ANC|
ANC|ZUH,|ZUH|PVG|ICN|SEA|ANC|
ANC|YNJ,|YNJ|ICN|SEA|ANC|
ANC|DAT,|DAT|CIH|PEK|SEA|ANC|
ANC|JHG,|JHG|CKG|PEK|SEA|ANC|
ANC|LJG,|LJG|CKG|PEK|SEA|ANC|
ANC|LXA,|LXA|XIY|PEK|SEA|ANC|
ANC|YCU,|YCU|CSX|ICN|SEA|ANC|
ANC|LZO,|LZO|CSX|ICN|SEA|ANC|
ANC|MDG,|MDG|ICN|SEA|ANC|
ANC|NGO,|NGO|ICN|SEA|ANC|
ANC|TOY,|TOY|DLC|ICN|SEA|ANC|
ANC|MFM,|MFM|HGH|DLC|ICN|SEA|ANC|
