MDT|CGO,|CGO|PEK|YYZ|MDT|
MDT|CSX,|CSX|PEK|YYZ|MDT|
MDT|SHE,|SHE|PEK|YYZ|MDT|
MDT|SJW,|SJW|DLC|PEK|YYZ|MDT|
MDT|WUH,|WUH|PEK|YYZ|MDT|
MDT|SZX,|SZX|PEK|YYZ|MDT|
MDT|CKG,|CKG|PEK|YYZ|MDT|
MDT|KMG,|KMG|PEK|YYZ|MDT|
MDT|FOC,|FOC|PEK|YYZ|MDT|
MDT|NNG,|NNG|PEK|YYZ|MDT|
MDT|SWA,|SWA|PEK|YYZ|MDT|
MDT|ACX,|ACX|CAN|PEK|YYZ|MDT|
MDT|AQG,|AQG|CAN|PEK|YYZ|MDT|
MDT|AVA,|AVA|CAN|PEK|YYZ|MDT|
MDT|BFJ,|BFJ|CAN|PEK|YYZ|MDT|
MDT|BHY,|BHY|CGO|PEK|YYZ|MDT|
MDT|BNE,|BNE|CAN|PEK|YYZ|MDT|
MDT|CGD,|CGD|PEK|YYZ|MDT|
MDT|CGK,|CGK|CAN|PEK|YYZ|MDT|
MDT|CGQ,|CGQ|PEK|YYZ|MDT|
MDT|CIH,|CIH|PEK|YYZ|MDT|
MDT|CNX,|CNX|CAN|PEK|YYZ|MDT|
MDT|CZX,|CZX|SHE|PEK|YYZ|MDT|
MDT|DAC,|DAC|IST|IAD|MDT|
MDT|DAD,|DAD|CAN|PEK|YYZ|MDT|
MDT|DEL,|DEL|EWR|IAD|MDT|
MDT|DIG,|DIG|KMG|PEK|YYZ|MDT|
MDT|DLC,|DLC|PEK|YYZ|MDT|
MDT|DPS,|DPS|SZX|PEK|YYZ|MDT|
MDT|DXB,|DXB|IAD|MDT|
MDT|DYG,|DYG|PEK|YYZ|MDT|
MDT|FUG,|FUG|CAN|PEK|YYZ|MDT|
MDT|FUK,|FUK|ICN|JFK|IAD|MDT|
MDT|HAK,|HAK|PEK|YYZ|MDT|
MDT|HAN,|HAN|PEK|YYZ|MDT|
MDT|HDG,|HDG|CAN|PEK|YYZ|MDT|
MDT|HET,|HET|DLC|PEK|YYZ|MDT|
MDT|HFE,|HFE|XIY|PEK|YYZ|MDT|
MDT|HJJ,|HJJ|CSX|PEK|YYZ|MDT|
MDT|HKT,|HKT|KWE|PEK|YYZ|MDT|
MDT|HRB,|HRB|PEK|YYZ|MDT|
MDT|HZH,|HZH|CAN|PEK|YYZ|MDT|
MDT|JIU,|JIU|CAN|PEK|YYZ|MDT|
MDT|JJN,|JJN|PEK|YYZ|MDT|
MDT|JNG,|JNG|CAN|PEK|YYZ|MDT|
MDT|KHN,|KHN|DLC|PEK|YYZ|MDT|
