BKI|KRL,|KRL|URC|CKG|SZX|BKI|
BKI|KRY,|KRY|URC|CKG|SZX|BKI|
BKI|LBD,|LBD|URC|CKG|SZX|BKI|
BKI|NLT,|NLT|URC|CKG|SZX|BKI|
BKI|OSS,|OSS|URC|CKG|SZX|BKI|
BKI|OVB,|OVB|URC|CKG|SZX|BKI|
BKI|TBS,|TBS|URC|CKG|SZX|BKI|
BKI|TCG,|TCG|URC|CKG|SZX|BKI|
BKI|TSE,|TSE|URC|CKG|SZX|BKI|
BKI|YIN,|YIN|URC|CKG|SZX|BKI|
BKI|ENH,|ENH|WUH|SZX|BKI|
BKI|ENY,|ENY|XIY|SZX|BKI|
BKI|WXN,|WXN|XMN|SZX|BKI|
BKI|BLL,|BLL|IST|URC|CKG|SZX|BKI|
BKI|ESB,|ESB|SAW|TBS|URC|CKG|SZX|BKI|
BKI|SAW,|SAW|TBS|URC|CKG|SZX|BKI|
BKI|HAM,|HAM|IST|URC|CKG|SZX|BKI|
BKI|HRE,|HRE|ADD|IST|URC|CKG|SZX|BKI|
BKI|JUB,|JUB|CAI|IST|URC|CKG|SZX|BKI|
BKI|SSG,|SSG|DLA|IST|URC|CKG|SZX|BKI|
BKI|BGW,|BGW|ESB|SAW|TBS|URC|CKG|SZX|BKI|
BKI|EBL,|EBL|IST|URC|CKG|SZX|BKI|
BKI|VKO,|VKO|IST|URC|CKG|SZX|BKI|
BKI|MCT,|MCT|IST|URC|CKG|SZX|BKI|
BKI|AYT,|AYT|IST|URC|CKG|SZX|BKI|
BKI|SCQ,|SCQ|BIO|IST|URC|CKG|SZX|BKI|
BKI|AAL,|AAL|IST|URC|CKG|SZX|BKI|
BKI|AOE,|AOE|BRU|IST|URC|CKG|SZX|BKI|
BKI|JNB,|JNB|IST|URC|CKG|SZX|BKI|
BKI|LBV,|LBV|DLA|IST|URC|CKG|SZX|BKI|
BKI|ADA,|ADA|SAW|TBS|URC|CKG|SZX|BKI|
BKI|ADB,|ADB|IST|URC|CKG|SZX|BKI|
BKI|ADF,|ADF|ESB|SAW|TBS|URC|CKG|SZX|BKI|
