HBE|GGT,|GGT|FLL|MCO|FRA|IST|HBE|
HBE|GND,|GND|YYZ|IST|HBE|
HBE|GRU,|GRU|IST|HBE|
HBE|HAV,|HAV|YYZ|IST|HBE|
HBE|IND,|IND|YYZ|IST|HBE|
HBE|JFK,|JFK|IST|HBE|
HBE|KIN,|KIN|YYZ|IST|HBE|
HBE|LIM,|LIM|MIA|ZRH|IST|HBE|
HBE|LIR,|LIR|EWR|BHX|IST|HBE|
HBE|MCI,|MCI|ORD|IST|HBE|
HBE|MDT,|MDT|IAD|IST|HBE|
HBE|MIA,|MIA|ZRH|IST|HBE|
HBE|MKE,|MKE|YYZ|IST|HBE|
HBE|MSP,|MSP|YUL|FRA|IST|HBE|
HBE|NAS,|NAS|EWR|BHX|IST|HBE|
HBE|PHL,|PHL|IAD|IST|HBE|
HBE|PHX,|PHX|DEN|FRA|IST|HBE|
HBE|PIT,|PIT|YYZ|IST|HBE|
HBE|PLS,|PLS|EWR|BHX|IST|HBE|
HBE|POP,|POP|EWR|BHX|IST|HBE|
HBE|RDU,|RDU|EWR|BHX|IST|HBE|
HBE|ROC,|ROC|YYZ|IST|HBE|
HBE|RSW,|RSW|MCO|FRA|IST|HBE|
HBE|SAN,|SAN|LAX|IST|HBE|
HBE|SJO,|SJO|EWR|BHX|IST|HBE|
HBE|STL,|STL|ORD|IST|HBE|
HBE|SYR,|SYR|EWR|BHX|IST|HBE|
HBE|TLV,|TLV|IST|HBE|
HBE|TPA,|TPA|EWR|BHX|IST|HBE|
HBE|UVF,|UVF|EWR|BHX|IST|HBE|
HBE|VIE,|VIE|IST|HBE|
HBE|YAM,|YAM|YYZ|IST|HBE|
HBE|YGK,|YGK|YYZ|IST|HBE|
HBE|YQG,|YQG|YYZ|IST|HBE|
HBE|YSB,|YSB|YYZ|IST|HBE|
HBE|YTS,|YTS|YYZ|IST|HBE|
HBE|YYB,|YYB|YYZ|IST|HBE|
HBE|YZR,|YZR|YYZ|IST|HBE|
HBE|CAN,|CAN|IST|HBE|
HBE|URC,|URC|IST|HBE|
HBE|CTU,|CTU|URC|IST|HBE|
HBE|HGH,|HGH|URC|IST|HBE|
HBE|XMN,|XMN|CSX|URC|IST|HBE|
HBE|CGO,|CGO|URC|IST|HBE|
HBE|CSX,|CSX|URC|IST|HBE|
HBE|SHE,|SHE|PEK|IST|HBE|
HBE|SJW,|SJW|URC|IST|HBE|
HBE|WUH,|WUH|URC|IST|HBE|
HBE|SZX,|SZX|CKG|URC|IST|HBE|
HBE|CKG,|CKG|URC|IST|HBE|
HBE|KMG,|KMG|CTU|URC|IST|HBE|
HBE|FOC,|FOC|XIY|URC|IST|HBE|
HBE|NNG,|NNG|KWE|URC|IST|HBE|
HBE|SWA,|SWA|CAN|IST|HBE|
HBE|ACX,|ACX|CAN|IST|HBE|
HBE|AQG,|AQG|CAN|IST|HBE|
HBE|AVA,|AVA|CAN|IST|HBE|
HBE|BFJ,|BFJ|CAN|IST|HBE|
HBE|BHY,|BHY|CKG|URC|IST|HBE|
HBE|BNE,|BNE|BKK|IST|HBE|
HBE|CGD,|CGD|PEK|IST|HBE|
HBE|CGK,|CGK|SIN|IST|HBE|
HBE|CGQ,|CGQ|HET|URC|IST|HBE|
HBE|CIH,|CIH|PEK|IST|HBE|
HBE|CNX,|CNX|CAN|IST|HBE|
HBE|CZX,|CZX|TYN|URC|IST|HBE|
HBE|DAC,|DAC|IST|HBE|
HBE|DAD,|DAD|CAN|IST|HBE|
HBE|DEL,|DEL|IST|HBE|
HBE|DIG,|DIG|KMG|CTU|URC|IST|HBE|
HBE|DLC,|DLC|PEK|IST|HBE|
HBE|DPS,|DPS|CAN|IST|HBE|
HBE|DXB,|DXB|IST|HBE|
HBE|DYG,|DYG|CSX|URC|IST|HBE|
HBE|FUG,|FUG|CAN|IST|HBE|
HBE|FUK,|FUK|ICN|IST|HBE|
HBE|HAK,|HAK|CTU|URC|IST|HBE|
HBE|HAN,|HAN|CAN|IST|HBE|
HBE|HDG,|HDG|CAN|IST|HBE|
HBE|HET,|HET|URC|IST|HBE|
HBE|HFE,|HFE|XIY|URC|IST|HBE|
HBE|HJJ,|HJJ|CSX|URC|IST|HBE|
HBE|HKT,|HKT|KWE|URC|IST|HBE|
HBE|HRB,|HRB|PEK|IST|HBE|
HBE|HZH,|HZH|CAN|IST|HBE|
HBE|JIU,|JIU|CAN|IST|HBE|
HBE|JJN,|JJN|CSX|URC|IST|HBE|
HBE|JNG,|JNG|CAN|IST|HBE|
HBE|KHN,|KHN|XIY|URC|IST|HBE|
HBE|KIX,|KIX|IST|HBE|
HBE|KOW,|KOW|CAN|IST|HBE|
HBE|KTM,|KTM|IST|HBE|
HBE|KUL,|KUL|IST|HBE|
HBE|KWE,|KWE|URC|IST|HBE|
HBE|KWL,|KWL|CKG|URC|IST|HBE|
HBE|LHW,|LHW|URC|IST|HBE|
HBE|LYA,|LYA|KHN|XIY|URC|IST|HBE|
HBE|LYG,|LYG|XUZ|INC|URC|IST|HBE|
HBE|LZH,|LZH|CAN|IST|HBE|
HBE|MEL,|MEL|BKK|IST|HBE|
HBE|MIG,|MIG|CSX|URC|IST|HBE|
HBE|MLE,|MLE|IST|HBE|
HBE|MNL,|MNL|CAN|IST|HBE|
HBE|MXZ,|MXZ|CAN|IST|HBE|
HBE|NAO,|NAO|PEK|IST|HBE|
HBE|NGB,|NGB|WUH|URC|IST|HBE|
HBE|NKG,|NKG|URC|IST|HBE|
HBE|NNY,|NNY|CGO|URC|IST|HBE|
HBE|PEN,|PEN|CAN|IST|HBE|
HBE|PER,|PER|BKK|IST|HBE|
HBE|PNH,|PNH|CAN|IST|HBE|
HBE|REP,|REP|CAN|IST|HBE|
HBE|RGN,|RGN|CAN|IST|HBE|
HBE|SGN,|SGN|BKK|IST|HBE|
HBE|SHA,|SHA|URC|IST|HBE|
HBE|SIN,|SIN|IST|HBE|
HBE|SVO,|SVO|URC|IST|HBE|
HBE|SYX,|SYX|CKG|URC|IST|HBE|
HBE|TAO,|TAO|TYN|URC|IST|HBE|
HBE|TEN,|TEN|CAN|IST|HBE|
HBE|TNA,|TNA|URC|IST|HBE|
HBE|TPE,|TPE|URC|IST|HBE|
HBE|TSN,|TSN|HET|URC|IST|HBE|
HBE|TXN,|TXN|TYN|URC|IST|HBE|
HBE|TYN,|TYN|URC|IST|HBE|
HBE|WNZ,|WNZ|XIY|URC|IST|HBE|
HBE|WUX,|WUX|CAN|IST|HBE|
HBE|XFN,|XFN|CAN|IST|HBE|
