PBI|POP,|POP|EWR|PBI|
PBI|RDU,|RDU|TPA|PBI|
PBI|ROC,|ROC|BWI|PBI|
PBI|RSW,|RSW|MCO|GNV|TPA|PBI|
PBI|SAN,|SAN|IAH|PBI|
PBI|SJO,|SJO|IAH|PBI|
PBI|STL,|STL|ATL|PBI|
PBI|SYR,|SYR|EWR|PBI|
PBI|TLV,|TLV|EWR|PBI|
PBI|TPA,|TPA|PBI|
PBI|UVF,|UVF|EWR|PBI|
PBI|VIE,|VIE|IAD|TPA|PBI|
PBI|YAM,|YAM|YYZ|CLE|PBI|
PBI|YGK,|YGK|YYZ|CLE|PBI|
PBI|YQG,|YQG|YYZ|CLE|PBI|
PBI|YSB,|YSB|YYZ|CLE|PBI|
PBI|YTS,|YTS|YYZ|CLE|PBI|
PBI|YYB,|YYB|YYZ|CLE|PBI|
PBI|YZR,|YZR|YYZ|CLE|PBI|
PBI|CAN,|CAN|PEK|ORD|ATL|PBI|
PBI|URC,|URC|TSE|FRA|EWR|PBI|
PBI|CTU,|CTU|PEK|ORD|ATL|PBI|
PBI|HGH,|HGH|PEK|ORD|ATL|PBI|
PBI|XMN,|XMN|PEK|ORD|ATL|PBI|
PBI|CGO,|CGO|PEK|ORD|ATL|PBI|
PBI|CSX,|CSX|PEK|ORD|ATL|PBI|
PBI|SHE,|SHE|PEK|ORD|ATL|PBI|
PBI|SJW,|SJW|DLC|PEK|ORD|ATL|PBI|
PBI|WUH,|WUH|PEK|ORD|ATL|PBI|
PBI|SZX,|SZX|PEK|ORD|ATL|PBI|
PBI|CKG,|CKG|PEK|ORD|ATL|PBI|
PBI|KMG,|KMG|PEK|ORD|ATL|PBI|
PBI|FOC,|FOC|PEK|ORD|ATL|PBI|
PBI|NNG,|NNG|PEK|ORD|ATL|PBI|
PBI|SWA,|SWA|PEK|ORD|ATL|PBI|
PBI|ACX,|ACX|CAN|PEK|ORD|ATL|PBI|
PBI|AQG,|AQG|CAN|PEK|ORD|ATL|PBI|
PBI|AVA,|AVA|CAN|PEK|ORD|ATL|PBI|
PBI|BFJ,|BFJ|CAN|PEK|ORD|ATL|PBI|
PBI|BHY,|BHY|CGO|PEK|ORD|ATL|PBI|
PBI|BNE,|BNE|CAN|PEK|ORD|ATL|PBI|
PBI|CGD,|CGD|PEK|ORD|ATL|PBI|
PBI|CGK,|CGK|CAN|PEK|ORD|ATL|PBI|
PBI|CGQ,|CGQ|PEK|ORD|ATL|PBI|
PBI|CIH,|CIH|PEK|ORD|ATL|PBI|
PBI|CNX,|CNX|CAN|PEK|ORD|ATL|PBI|
PBI|CZX,|CZX|SHE|PEK|ORD|ATL|PBI|
PBI|DAC,|DAC|IST|BHX|EWR|PBI|
PBI|DAD,|DAD|CAN|PEK|ORD|ATL|PBI|
PBI|DEL,|DEL|EWR|PBI|
PBI|DIG,|DIG|KMG|PEK|ORD|ATL|PBI|
PBI|DLC,|DLC|PEK|ORD|ATL|PBI|
PBI|DPS,|DPS|SZX|PEK|ORD|ATL|PBI|
PBI|DXB,|DXB|IST|BHX|EWR|PBI|
PBI|DYG,|DYG|PEK|ORD|ATL|PBI|
PBI|FUG,|FUG|CAN|PEK|ORD|ATL|PBI|
PBI|FUK,|FUK|ICN|YVR|DEN|TPA|PBI|
PBI|HAK,|HAK|PEK|ORD|ATL|PBI|
PBI|HAN,|HAN|PEK|ORD|ATL|PBI|
PBI|HDG,|HDG|CAN|PEK|ORD|ATL|PBI|
PBI|HET,|HET|DLC|PEK|ORD|ATL|PBI|
PBI|HFE,|HFE|XIY|PEK|ORD|ATL|PBI|
PBI|HJJ,|HJJ|CSX|PEK|ORD|ATL|PBI|
PBI|HKT,|HKT|KWE|PEK|ORD|ATL|PBI|
PBI|HRB,|HRB|PEK|ORD|ATL|PBI|
PBI|HZH,|HZH|CAN|PEK|ORD|ATL|PBI|
PBI|JIU,|JIU|CAN|PEK|ORD|ATL|PBI|
PBI|JJN,|JJN|PEK|ORD|ATL|PBI|
PBI|JNG,|JNG|CAN|PEK|ORD|ATL|PBI|
PBI|KHN,|KHN|DLC|PEK|ORD|ATL|PBI|
PBI|KIX,|KIX|SFO|LAS|TPA|PBI|
PBI|KOW,|KOW|PEK|ORD|ATL|PBI|
PBI|KTM,|KTM|IST|BHX|EWR|PBI|
PBI|KUL,|KUL|CAN|PEK|ORD|ATL|PBI|
PBI|KWE,|KWE|PEK|ORD|ATL|PBI|
PBI|KWL,|KWL|PEK|ORD|ATL|PBI|
PBI|LHW,|LHW|CGO|PEK|ORD|ATL|PBI|
PBI|LYA,|LYA|KHN|DLC|PEK|ORD|ATL|PBI|
PBI|LYG,|LYG|HSN|PEK|ORD|ATL|PBI|
PBI|LZH,|LZH|CAN|PEK|ORD|ATL|PBI|
PBI|MEL,|MEL|SYD|LAX|MSY|TPA|PBI|
PBI|MIG,|MIG|CSX|PEK|ORD|ATL|PBI|
PBI|MLE,|MLE|IST|BHX|EWR|PBI|
PBI|MNL,|MNL|XMN|PEK|ORD|ATL|PBI|
PBI|MXZ,|MXZ|CAN|PEK|ORD|ATL|PBI|
PBI|NAO,|NAO|PEK|ORD|ATL|PBI|
PBI|NGB,|NGB|PEK|ORD|ATL|PBI|
PBI|NKG,|NKG|DLC|PEK|ORD|ATL|PBI|
PBI|NNY,|NNY|CGO|PEK|ORD|ATL|PBI|
PBI|PEN,|PEN|CAN|PEK|ORD|ATL|PBI|
PBI|PER,|PER|CAN|PEK|ORD|ATL|PBI|
PBI|PNH,|PNH|CAN|PEK|ORD|ATL|PBI|
PBI|REP,|REP|CAN|PEK|ORD|ATL|PBI|
PBI|RGN,|RGN|CAN|PEK|ORD|ATL|PBI|
PBI|SGN,|SGN|CAN|PEK|ORD|ATL|PBI|
PBI|SHA,|SHA|PEK|ORD|ATL|PBI|
PBI|SIN,|SIN|HKG|ORD|ATL|PBI|
PBI|SVO,|SVO|URC|TSE|FRA|EWR|PBI|
PBI|SYX,|SYX|PEK|ORD|ATL|PBI|
PBI|TAO,|TAO|DLC|PEK|ORD|ATL|PBI|
PBI|TEN,|TEN|PEK|ORD|ATL|PBI|
PBI|TNA,|TNA|DLC|PEK|ORD|ATL|PBI|
PBI|TPE,|TPE|PVG|ORD|ATL|PBI|
PBI|TSN,|TSN|DLC|PEK|ORD|ATL|PBI|
PBI|TXN,|TXN|DLC|PEK|ORD|ATL|PBI|
PBI|TYN,|TYN|DAT|CIH|PEK|ORD|ATL|PBI|
PBI|WNZ,|WNZ|CGO|PEK|ORD|ATL|PBI|
PBI|WUX,|WUX|CAN|PEK|ORD|ATL|PBI|
PBI|XFN,|XFN|XMN|PEK|ORD|ATL|PBI|
PBI|XIY,|XIY|PEK|ORD|ATL|PBI|
PBI|XUZ,|XUZ|LYG|HSN|PEK|ORD|ATL|PBI|
PBI|YIH,|YIH|CKG|PEK|ORD|ATL|PBI|
PBI|YIW,|YIW|PEK|ORD|ATL|PBI|
PBI|YNT,|YNT|SHE|PEK|ORD|ATL|PBI|
PBI|YNZ,|YNZ|DLC|PEK|ORD|ATL|PBI|
PBI|YTY,|YTY|DLC|PEK|ORD|ATL|PBI|
PBI|ZHA,|ZHA|CAN|PEK|ORD|ATL|PBI|
PBI|ZYI,|ZYI|PEK|ORD|ATL|PBI|
PBI|BAV,|BAV|CGO|PEK|ORD|ATL|PBI|
PBI|CJU,|CJU|DLC|PEK|ORD|ATL|PBI|
PBI|DSN,|DSN|CGO|PEK|ORD|ATL|PBI|
PBI|HMI,|HMI|URC|TSE|FRA|EWR|PBI|
PBI|INC,|INC|PEK|ORD|ATL|PBI|
PBI|KHH,|KHH|CGO|PEK|ORD|ATL|PBI|
PBI|UYN,|UYN|CGO|PEK|ORD|ATL|PBI|
PBI|XNN,|XNN|PEK|ORD|ATL|PBI|
PBI|ZUH,|ZUH|PEK|ORD|ATL|PBI|
PBI|YNJ,|YNJ|ICN|YVR|DEN|TPA|PBI|
PBI|DAT,|DAT|CIH|PEK|ORD|ATL|PBI|
PBI|JHG,|JHG|CKG|PEK|ORD|ATL|PBI|
PBI|LJG,|LJG|CKG|PEK|ORD|ATL|PBI|
PBI|LXA,|LXA|XIY|PEK|ORD|ATL|PBI|
PBI|YCU,|YCU|CSX|PEK|ORD|ATL|PBI|
PBI|LZO,|LZO|CSX|PEK|ORD|ATL|PBI|
PBI|MDG,|MDG|ICN|YVR|DEN|TPA|PBI|
PBI|NGO,|NGO|ICN|YVR|DEN|TPA|PBI|
PBI|TOY,|TOY|DLC|PEK|ORD|ATL|PBI|
PBI|MFM,|MFM|XMN|PEK|ORD|ATL|PBI|
PBI|TGO,|TGO|HET|DLC|PEK|ORD|ATL|PBI|
PBI|XIL,|XIL|HET|DLC|PEK|ORD|ATL|PBI|
PBI|HEK,|HEK|HRB|PEK|ORD|ATL|PBI|
PBI|KIJ,|KIJ|HRB|PEK|ORD|ATL|PBI|
PBI|LDS,|LDS|HRB|PEK|ORD|ATL|PBI|
PBI|OHE,|OHE|HRB|PEK|ORD|ATL|PBI|
PBI|HSN,|HSN|PEK|ORD|ATL|PBI|
PBI|DLU,|DLU|KMG|PEK|ORD|ATL|PBI|
PBI|SYM,|SYM|KMG|PEK|ORD|ATL|PBI|
PBI|ZAT,|ZAT|KMG|PEK|ORD|ATL|PBI|
PBI|LUN,|LUN|NBO|ZRH|EWR|PBI|
PBI|AOG,|AOG|PEK|ORD|ATL|PBI|
PBI|GMP,|GMP|PEK|ORD|ATL|PBI|
PBI|ISB,|ISB|IST|BHX|EWR|PBI|
PBI|TAS,|TAS|IST|BHX|EWR|PBI|
PBI|WUS,|WUS|PEK|ORD|ATL|PBI|
PBI|JMU,|JMU|PVG|ORD|ATL|PBI|
PBI|NDG,|NDG|PVG|ORD|ATL|PBI|
PBI|JXA,|JXA|SHE|PEK|ORD|ATL|PBI|
PBI|PUS,|PUS|SHE|PEK|ORD|ATL|PBI|
PBI|BKI,|BKI|SZX|PEK|ORD|ATL|PBI|
PBI|AKU,|AKU|URC|TSE|FRA|EWR|PBI|
PBI|ALA,|ALA|TSE|FRA|EWR|PBI|
PBI|ASB,|ASB|GYD|FRA|EWR|PBI|
PBI|DNH,|DNH|URC|TSE|FRA|EWR|PBI|
PBI|DYU,|DYU|IST|BHX|EWR|PBI|
PBI|FRU,|FRU|IST|BHX|EWR|PBI|
PBI|GYD,|GYD|FRA|EWR|PBI|
PBI|HTN,|HTN|URC|TSE|FRA|EWR|PBI|
PBI|IKA,|IKA|SAW|FRA|EWR|PBI|
PBI|KCA,|KCA|URC|TSE|FRA|EWR|PBI|
PBI|KHG,|KHG|URC|TSE|FRA|EWR|PBI|
PBI|KRL,|KRL|URC|TSE|FRA|EWR|PBI|
PBI|KRY,|KRY|URC|TSE|FRA|EWR|PBI|
PBI|LBD,|LBD|URC|TSE|FRA|EWR|PBI|
PBI|NLT,|NLT|URC|TSE|FRA|EWR|PBI|
PBI|OSS,|OSS|IST|BHX|EWR|PBI|
PBI|OVB,|OVB|IST|BHX|EWR|PBI|
PBI|TBS,|TBS|SAW|FRA|EWR|PBI|
PBI|TCG,|TCG|URC|TSE|FRA|EWR|PBI|
PBI|TSE,|TSE|FRA|EWR|PBI|
PBI|YIN,|YIN|URC|TSE|FRA|EWR|PBI|
PBI|ENH,|ENH|WUH|PEK|ORD|ATL|PBI|
PBI|ENY,|ENY|XIY|PEK|ORD|ATL|PBI|
PBI|WXN,|WXN|XIY|PEK|ORD|ATL|PBI|
PBI|BLL,|BLL|IST|BHX|EWR|PBI|
PBI|ESB,|ESB|FRA|EWR|PBI|
PBI|SAW,|SAW|FRA|EWR|PBI|
PBI|HAM,|HAM|EWR|PBI|
PBI|HRE,|HRE|ADD|JED|FRA|EWR|PBI|
PBI|JUB,|JUB|CAI|IST|BHX|EWR|PBI|
PBI|SSG,|SSG|DLA|BRU|EWR|PBI|
PBI|BGW,|BGW|ESB|FRA|EWR|PBI|
PBI|EBL,|EBL|IST|BHX|EWR|PBI|
PBI|VKO,|VKO|IST|BHX|EWR|PBI|
PBI|MCT,|MCT|IST|BHX|EWR|PBI|
PBI|AYT,|AYT|IST|BHX|EWR|PBI|
PBI|SCQ,|SCQ|BIO|IST|BHX|EWR|PBI|
PBI|AAL,|AAL|IST|BHX|EWR|PBI|
PBI|AOE,|AOE|BRU|EWR|PBI|
PBI|JNB,|JNB|DKR|IAD|TPA|PBI|
PBI|LBV,|LBV|DLA|BRU|EWR|PBI|
PBI|ADA,|ADA|SAW|FRA|EWR|PBI|
PBI|ADB,|ADB|HAM|EWR|PBI|
PBI|ADF,|ADF|ESB|FRA|EWR|PBI|
