CLD|SWA,|SWA|WUH|ICN|LAX|CLD|
CLD|ACX,|ACX|CAN|LAX|CLD|
CLD|AQG,|AQG|CAN|LAX|CLD|
CLD|AVA,|AVA|CAN|LAX|CLD|
CLD|BFJ,|BFJ|CAN|LAX|CLD|
CLD|BHY,|BHY|CSX|ICN|LAX|CLD|
CLD|BNE,|BNE|CAN|LAX|CLD|
CLD|CGD,|CGD|PEK|LAX|CLD|
CLD|CGK,|CGK|CAN|LAX|CLD|
CLD|CGQ,|CGQ|NRT|LAX|CLD|
CLD|CIH,|CIH|PEK|LAX|CLD|
CLD|CNX,|CNX|CAN|LAX|CLD|
CLD|CZX,|CZX|SHE|ICN|LAX|CLD|
CLD|DAC,|DAC|CAN|LAX|CLD|
CLD|DAD,|DAD|CAN|LAX|CLD|
CLD|DEL,|DEL|CAN|LAX|CLD|
CLD|DIG,|DIG|KMG|PEK|LAX|CLD|
CLD|DLC,|DLC|ICN|LAX|CLD|
CLD|DPS,|DPS|SZX|PVG|LAX|CLD|
CLD|DXB,|DXB|IST|LAX|CLD|
CLD|DYG,|DYG|PEK|LAX|CLD|
CLD|FUG,|FUG|CAN|LAX|CLD|
CLD|FUK,|FUK|ICN|LAX|CLD|
CLD|HAK,|HAK|PVG|LAX|CLD|
CLD|HAN,|HAN|PEK|LAX|CLD|
CLD|HDG,|HDG|CAN|LAX|CLD|
CLD|HET,|HET|DLC|ICN|LAX|CLD|
CLD|HFE,|HFE|TYN|DLC|ICN|LAX|CLD|
CLD|HJJ,|HJJ|CSX|ICN|LAX|CLD|
CLD|HKT,|HKT|CAN|LAX|CLD|
CLD|HRB,|HRB|ICN|LAX|CLD|
CLD|HZH,|HZH|CAN|LAX|CLD|
CLD|JIU,|JIU|CAN|LAX|CLD|
CLD|JJN,|JJN|HGH|DLC|ICN|LAX|CLD|
CLD|JNG,|JNG|CAN|LAX|CLD|
CLD|KHN,|KHN|DLC|ICN|LAX|CLD|
CLD|KIX,|KIX|SFO|LAX|CLD|
CLD|KOW,|KOW|PEK|LAX|CLD|
CLD|KTM,|KTM|CAN|LAX|CLD|
CLD|KUL,|KUL|PVG|LAX|CLD|
CLD|KWE,|KWE|PEK|LAX|CLD|
