DGO|HDG,|HDG|CAN|LAX|DGO|
DGO|HET,|HET|DLC|ICN|LAX|DGO|
DGO|HFE,|HFE|TYN|DLC|ICN|LAX|DGO|
DGO|HJJ,|HJJ|CSX|ICN|LAX|DGO|
DGO|HKT,|HKT|CAN|LAX|DGO|
DGO|HRB,|HRB|ICN|LAX|DGO|
DGO|HZH,|HZH|CAN|LAX|DGO|
DGO|JIU,|JIU|CAN|LAX|DGO|
DGO|JJN,|JJN|HGH|DLC|ICN|LAX|DGO|
DGO|JNG,|JNG|CAN|LAX|DGO|
DGO|KHN,|KHN|DLC|ICN|LAX|DGO|
DGO|KIX,|KIX|SFO|LAX|DGO|
DGO|KOW,|KOW|PEK|LAX|DGO|
DGO|KTM,|KTM|CAN|LAX|DGO|
DGO|KUL,|KUL|PVG|LAX|DGO|
DGO|KWE,|KWE|PEK|LAX|DGO|
DGO|KWL,|KWL|WUH|ICN|LAX|DGO|
DGO|LHW,|LHW|CGO|PEK|LAX|DGO|
DGO|LYA,|LYA|KHN|DLC|ICN|LAX|DGO|
DGO|LYG,|LYG|HSN|PEK|LAX|DGO|
DGO|LZH,|LZH|CAN|LAX|DGO|
DGO|MEL,|MEL|SYD|LAX|DGO|
DGO|MIG,|MIG|CSX|ICN|LAX|DGO|
DGO|MLE,|MLE|IST|IAH|DGO|
DGO|MNL,|MNL|GUM|HNL|LAX|DGO|
DGO|MXZ,|MXZ|CAN|LAX|DGO|
DGO|NAO,|NAO|PEK|LAX|DGO|
DGO|NGB,|NGB|DLC|ICN|LAX|DGO|
DGO|NKG,|NKG|DLC|ICN|LAX|DGO|
DGO|NNY,|NNY|CGO|PEK|LAX|DGO|
DGO|PEN,|PEN|CAN|LAX|DGO|
DGO|PER,|PER|CAN|LAX|DGO|
DGO|PNH,|PNH|CAN|LAX|DGO|
DGO|REP,|REP|CAN|LAX|DGO|
DGO|RGN,|RGN|CAN|LAX|DGO|
DGO|SGN,|SGN|HKG|SFO|LAX|DGO|
DGO|SHA,|SHA|PEK|LAX|DGO|
DGO|SIN,|SIN|NRT|LAX|DGO|
DGO|SVO,|SVO|URC|PEK|LAX|DGO|
DGO|SYX,|SYX|PVG|LAX|DGO|
DGO|TAO,|TAO|DLC|ICN|LAX|DGO|
DGO|TEN,|TEN|PEK|LAX|DGO|
DGO|TNA,|TNA|DLC|ICN|LAX|DGO|
DGO|TPE,|TPE|SFO|LAX|DGO|
DGO|TSN,|TSN|DLC|ICN|LAX|DGO|
DGO|TXN,|TXN|DLC|ICN|LAX|DGO|
DGO|TYN,|TYN|DLC|ICN|LAX|DGO|
DGO|WNZ,|WNZ|WUH|ICN|LAX|DGO|
DGO|WUX,|WUX|CAN|LAX|DGO|
DGO|XFN,|XFN|CAN|LAX|DGO|
DGO|XIY,|XIY|PEK|LAX|DGO|
DGO|XUZ,|XUZ|LYG|HSN|PEK|LAX|DGO|
DGO|YIH,|YIH|CKG|PEK|LAX|DGO|
DGO|YIW,|YIW|PEK|LAX|DGO|
DGO|YNT,|YNT|SHE|ICN|LAX|DGO|
DGO|YNZ,|YNZ|DLC|ICN|LAX|DGO|
DGO|YTY,|YTY|DLC|ICN|LAX|DGO|
DGO|ZHA,|ZHA|CAN|LAX|DGO|
DGO|ZYI,|ZYI|PEK|LAX|DGO|
DGO|BAV,|BAV|SJW|DLC|ICN|LAX|DGO|
DGO|CJU,|CJU|DLC|ICN|LAX|DGO|
DGO|DSN,|DSN|CGO|PEK|LAX|DGO|
DGO|HMI,|HMI|CGO|PEK|LAX|DGO|
DGO|INC,|INC|PEK|LAX|DGO|
DGO|KHH,|KHH|WUH|ICN|LAX|DGO|
DGO|UYN,|UYN|CGO|PEK|LAX|DGO|
DGO|XNN,|XNN|PEK|LAX|DGO|
DGO|ZUH,|ZUH|PVG|LAX|DGO|
DGO|YNJ,|YNJ|ICN|LAX|DGO|
