LAN|DYG,|DYG|PEK|ORD|LAN|
LAN|FUG,|FUG|CAN|PEK|ORD|LAN|
LAN|FUK,|FUK|ICN|YVR|ORD|LAN|
LAN|HAK,|HAK|PEK|ORD|LAN|
LAN|HAN,|HAN|PEK|ORD|LAN|
LAN|HDG,|HDG|CAN|PEK|ORD|LAN|
LAN|HET,|HET|DLC|PEK|ORD|LAN|
LAN|HFE,|HFE|XIY|PEK|ORD|LAN|
LAN|HJJ,|HJJ|CSX|PEK|ORD|LAN|
LAN|HKT,|HKT|KWE|PEK|ORD|LAN|
LAN|HRB,|HRB|PEK|ORD|LAN|
LAN|HZH,|HZH|CAN|PEK|ORD|LAN|
LAN|JIU,|JIU|CAN|PEK|ORD|LAN|
LAN|JJN,|JJN|PEK|ORD|LAN|
LAN|JNG,|JNG|CAN|PEK|ORD|LAN|
LAN|KHN,|KHN|DLC|PEK|ORD|LAN|
LAN|KIX,|KIX|SFO|ORD|LAN|
LAN|KOW,|KOW|PEK|ORD|LAN|
LAN|KTM,|KTM|IST|ORD|LAN|
LAN|KUL,|KUL|CAN|PEK|ORD|LAN|
LAN|KWE,|KWE|PEK|ORD|LAN|
LAN|KWL,|KWL|PEK|ORD|LAN|
LAN|LHW,|LHW|CGO|PEK|ORD|LAN|
LAN|LYA,|LYA|KHN|DLC|PEK|ORD|LAN|
LAN|LYG,|LYG|HSN|PEK|ORD|LAN|
LAN|LZH,|LZH|CAN|PEK|ORD|LAN|
LAN|MEL,|MEL|SYD|LAX|ORD|LAN|
LAN|MIG,|MIG|CSX|PEK|ORD|LAN|
LAN|MLE,|MLE|IST|ORD|LAN|
LAN|MNL,|MNL|XMN|PEK|ORD|LAN|
LAN|MXZ,|MXZ|CAN|PEK|ORD|LAN|
LAN|NAO,|NAO|PEK|ORD|LAN|
LAN|NGB,|NGB|PEK|ORD|LAN|
LAN|NKG,|NKG|DLC|PEK|ORD|LAN|
LAN|NNY,|NNY|CGO|PEK|ORD|LAN|
LAN|PEN,|PEN|CAN|PEK|ORD|LAN|
LAN|PER,|PER|CAN|PEK|ORD|LAN|
LAN|PNH,|PNH|CAN|PEK|ORD|LAN|
LAN|REP,|REP|CAN|PEK|ORD|LAN|
LAN|RGN,|RGN|CAN|PEK|ORD|LAN|
LAN|SGN,|SGN|CAN|PEK|ORD|LAN|
LAN|SHA,|SHA|PEK|ORD|LAN|
LAN|SIN,|SIN|HKG|ORD|LAN|
