SCL|LYA,|LYA|KHN|DLC|PEK|YYZ|SCL|
SCL|LYG,|LYG|HSN|PEK|YYZ|SCL|
SCL|LZH,|LZH|CAN|PEK|YYZ|SCL|
SCL|MEL,|MEL|SYD|LAX|IAH|EZE|SCL|
SCL|MIG,|MIG|CSX|PEK|YYZ|SCL|
SCL|MLE,|MLE|IST|GRU|EZE|SCL|
SCL|MNL,|MNL|XMN|PEK|YYZ|SCL|
SCL|MXZ,|MXZ|CAN|PEK|YYZ|SCL|
SCL|NAO,|NAO|PEK|YYZ|SCL|
SCL|NGB,|NGB|PEK|YYZ|SCL|
SCL|NKG,|NKG|DLC|PEK|YYZ|SCL|
SCL|NNY,|NNY|CGO|PEK|YYZ|SCL|
SCL|PEN,|PEN|CAN|PEK|YYZ|SCL|
SCL|PER,|PER|BKK|IST|GRU|EZE|SCL|
SCL|PNH,|PNH|CAN|PEK|YYZ|SCL|
SCL|REP,|REP|CAN|PEK|YYZ|SCL|
SCL|RGN,|RGN|CAN|PEK|YYZ|SCL|
SCL|SGN,|SGN|BKK|IST|GRU|EZE|SCL|
SCL|SHA,|SHA|PEK|YYZ|SCL|
SCL|SIN,|SIN|IST|GRU|EZE|SCL|
SCL|SVO,|SVO|URC|IST|GRU|EZE|SCL|
SCL|SYX,|SYX|PEK|YYZ|SCL|
SCL|TAO,|TAO|DLC|PEK|YYZ|SCL|
SCL|TEN,|TEN|PEK|YYZ|SCL|
SCL|TNA,|TNA|DLC|PEK|YYZ|SCL|
SCL|TPE,|TPE|PVG|YYZ|SCL|
SCL|TSN,|TSN|DLC|PEK|YYZ|SCL|
SCL|TXN,|TXN|DLC|PEK|YYZ|SCL|
SCL|TYN,|TYN|URC|IST|GRU|EZE|SCL|
SCL|WNZ,|WNZ|CGO|PEK|YYZ|SCL|
SCL|WUX,|WUX|CAN|PEK|YYZ|SCL|
SCL|XFN,|XFN|XMN|PEK|YYZ|SCL|
SCL|XIY,|XIY|PEK|YYZ|SCL|
SCL|XUZ,|XUZ|INC|URC|IST|GRU|EZE|SCL|
SCL|YIH,|YIH|CKG|URC|IST|GRU|EZE|SCL|
SCL|YIW,|YIW|PEK|YYZ|SCL|
SCL|YNT,|YNT|SHE|PEK|YYZ|SCL|
SCL|YNZ,|YNZ|DLC|PEK|YYZ|SCL|
SCL|YTY,|YTY|DLC|PEK|YYZ|SCL|
SCL|ZHA,|ZHA|CAN|PEK|YYZ|SCL|
SCL|ZYI,|ZYI|PEK|YYZ|SCL|
SCL|BAV,|BAV|URC|IST|GRU|EZE|SCL|
SCL|CJU,|CJU|DLC|PEK|YYZ|SCL|
SCL|DSN,|DSN|CGO|PEK|YYZ|SCL|
SCL|HMI,|HMI|URC|IST|GRU|EZE|SCL|
SCL|INC,|INC|URC|IST|GRU|EZE|SCL|
SCL|KHH,|KHH|CGO|PEK|YYZ|SCL|
SCL|UYN,|UYN|CGO|PEK|YYZ|SCL|
SCL|XNN,|XNN|URC|IST|GRU|EZE|SCL|
SCL|ZUH,|ZUH|PEK|YYZ|SCL|
SCL|YNJ,|YNJ|PEK|YYZ|SCL|
SCL|DAT,|DAT|CIH|PEK|YYZ|SCL|
SCL|JHG,|JHG|KMG|CTU|URC|IST|GRU|EZE|SCL|
SCL|LJG,|LJG|KMG|CTU|URC|IST|GRU|EZE|SCL|
SCL|LXA,|LXA|XIY|PEK|YYZ|SCL|
SCL|YCU,|YCU|CKG|URC|IST|GRU|EZE|SCL|
SCL|LZO,|LZO|CSX|PEK|YYZ|SCL|
SCL|MDG,|MDG|DLC|PEK|YYZ|SCL|
SCL|NGO,|NGO|DLC|PEK|YYZ|SCL|
SCL|TOY,|TOY|DLC|PEK|YYZ|SCL|
SCL|MFM,|MFM|XMN|PEK|YYZ|SCL|
SCL|TGO,|TGO|HET|URC|IST|GRU|EZE|SCL|
SCL|XIL,|XIL|HET|URC|IST|GRU|EZE|SCL|
SCL|HEK,|HEK|HRB|PEK|YYZ|SCL|
SCL|KIJ,|KIJ|HRB|PEK|YYZ|SCL|
SCL|LDS,|LDS|HRB|PEK|YYZ|SCL|
SCL|OHE,|OHE|HRB|PEK|YYZ|SCL|
SCL|HSN,|HSN|PEK|YYZ|SCL|
SCL|DLU,|DLU|KMG|CTU|URC|IST|GRU|EZE|SCL|
SCL|SYM,|SYM|KMG|CTU|URC|IST|GRU|EZE|SCL|
