SAF|DSN,|DSN|CGO|PEK|YVR|DEN|SAF|
SAF|HMI,|HMI|CGO|PEK|YVR|DEN|SAF|
SAF|INC,|INC|PEK|YVR|DEN|SAF|
SAF|KHH,|KHH|CGO|PEK|YVR|DEN|SAF|
SAF|UYN,|UYN|CGO|PEK|YVR|DEN|SAF|
SAF|XNN,|XNN|PEK|YVR|DEN|SAF|
SAF|ZUH,|ZUH|PVG|YVR|DEN|SAF|
SAF|YNJ,|YNJ|ICN|YVR|DEN|SAF|
SAF|DAT,|DAT|CIH|PEK|YVR|DEN|SAF|
SAF|JHG,|JHG|CKG|PEK|YVR|DEN|SAF|
SAF|LJG,|LJG|CKG|PEK|YVR|DEN|SAF|
SAF|LXA,|LXA|XIY|PEK|YVR|DEN|SAF|
SAF|YCU,|YCU|CSX|ICN|YVR|DEN|SAF|
SAF|LZO,|LZO|CSX|ICN|YVR|DEN|SAF|
SAF|MDG,|MDG|ICN|YVR|DEN|SAF|
SAF|NGO,|NGO|ICN|YVR|DEN|SAF|
SAF|TOY,|TOY|DLC|ICN|YVR|DEN|SAF|
SAF|MFM,|MFM|XMN|PEK|YVR|DEN|SAF|
SAF|TGO,|TGO|HET|DLC|ICN|YVR|DEN|SAF|
SAF|XIL,|XIL|HET|DLC|ICN|YVR|DEN|SAF|
SAF|HEK,|HEK|HRB|ICN|YVR|DEN|SAF|
SAF|KIJ,|KIJ|HRB|ICN|YVR|DEN|SAF|
SAF|LDS,|LDS|HRB|ICN|YVR|DEN|SAF|
SAF|OHE,|OHE|HRB|ICN|YVR|DEN|SAF|
SAF|HSN,|HSN|PEK|YVR|DEN|SAF|
SAF|DLU,|DLU|KMG|PEK|YVR|DEN|SAF|
SAF|SYM,|SYM|KMG|PEK|YVR|DEN|SAF|
SAF|ZAT,|ZAT|KMG|PEK|YVR|DEN|SAF|
SAF|LUN,|LUN|NBO|ZRH|ORD|DEN|SAF|
SAF|AOG,|AOG|PEK|YVR|DEN|SAF|
SAF|GMP,|GMP|PEK|YVR|DEN|SAF|
SAF|ISB,|ISB|IST|FRA|DEN|SAF|
SAF|TAS,|TAS|IST|FRA|DEN|SAF|
SAF|WUS,|WUS|PEK|YVR|DEN|SAF|
SAF|JMU,|JMU|PVG|YVR|DEN|SAF|
SAF|NDG,|NDG|PVG|YVR|DEN|SAF|
SAF|JXA,|JXA|SHE|ICN|YVR|DEN|SAF|
SAF|PUS,|PUS|SHE|ICN|YVR|DEN|SAF|
SAF|BKI,|BKI|SZX|PVG|YVR|DEN|SAF|
SAF|AKU,|AKU|URC|PEK|YVR|DEN|SAF|
SAF|ALA,|ALA|TSE|FRA|DEN|SAF|
SAF|ASB,|ASB|GYD|FRA|DEN|SAF|
SAF|DNH,|DNH|XIY|PEK|YVR|DEN|SAF|
SAF|DYU,|DYU|IST|FRA|DEN|SAF|
SAF|FRU,|FRU|IST|FRA|DEN|SAF|
SAF|GYD,|GYD|FRA|DEN|SAF|
SAF|HTN,|HTN|URC|PEK|YVR|DEN|SAF|
SAF|IKA,|IKA|SAW|FRA|DEN|SAF|
SAF|KCA,|KCA|URC|PEK|YVR|DEN|SAF|
SAF|KHG,|KHG|URC|PEK|YVR|DEN|SAF|
SAF|KRL,|KRL|URC|PEK|YVR|DEN|SAF|
SAF|KRY,|KRY|URC|PEK|YVR|DEN|SAF|
SAF|LBD,|LBD|URC|PEK|YVR|DEN|SAF|
SAF|NLT,|NLT|URC|PEK|YVR|DEN|SAF|
SAF|OSS,|OSS|IST|FRA|DEN|SAF|
SAF|OVB,|OVB|URC|PEK|YVR|DEN|SAF|
SAF|TBS,|TBS|SAW|FRA|DEN|SAF|
SAF|TCG,|TCG|URC|PEK|YVR|DEN|SAF|
SAF|TSE,|TSE|FRA|DEN|SAF|
SAF|YIN,|YIN|URC|PEK|YVR|DEN|SAF|
SAF|ENH,|ENH|WUH|ICN|YVR|DEN|SAF|
SAF|ENY,|ENY|XIY|PEK|YVR|DEN|SAF|
SAF|WXN,|WXN|XIY|PEK|YVR|DEN|SAF|
SAF|BLL,|BLL|IST|FRA|DEN|SAF|
SAF|ESB,|ESB|FRA|DEN|SAF|
SAF|SAW,|SAW|FRA|DEN|SAF|
SAF|HAM,|HAM|EWR|DEN|SAF|
SAF|HRE,|HRE|ADD|JED|FRA|DEN|SAF|
SAF|JUB,|JUB|CAI|IST|FRA|DEN|SAF|
SAF|SSG,|SSG|DLA|BRU|ORD|DEN|SAF|
SAF|BGW,|BGW|ESB|FRA|DEN|SAF|
SAF|EBL,|EBL|IST|FRA|DEN|SAF|
SAF|VKO,|VKO|IST|FRA|DEN|SAF|
SAF|MCT,|MCT|IST|FRA|DEN|SAF|
SAF|AYT,|AYT|IST|FRA|DEN|SAF|
SAF|SCQ,|SCQ|BIO|IST|FRA|DEN|SAF|
SAF|AAL,|AAL|IST|FRA|DEN|SAF|
SAF|AOE,|AOE|BRU|ORD|DEN|SAF|
SAF|JNB,|JNB|DKR|IAD|DEN|SAF|
SAF|LBV,|LBV|DLA|BRU|ORD|DEN|SAF|
SAF|ADA,|ADA|SAW|FRA|DEN|SAF|
SAF|ADB,|ADB|IST|FRA|DEN|SAF|
SAF|ADF,|ADF|ESB|FRA|DEN|SAF|
SAF|AJI,|AJI|ESB|FRA|DEN|SAF|
SAF|BAL,|BAL|ESB|FRA|DEN|SAF|
SAF|BJV,|BJV|IST|FRA|DEN|SAF|
SAF|CKZ,|CKZ|ESB|FRA|DEN|SAF|
SAF|DIY,|DIY|ESB|FRA|DEN|SAF|
SAF|ECN,|ECN|IST|FRA|DEN|SAF|
SAF|ERC,|ERC|ESB|FRA|DEN|SAF|
SAF|ERZ,|ERZ|ESB|FRA|DEN|SAF|
SAF|EZS,|EZS|ESB|FRA|DEN|SAF|
SAF|GNY,|GNY|ESB|FRA|DEN|SAF|
SAF|GZP,|GZP|ESB|FRA|DEN|SAF|
SAF|GZT,|GZT|ESB|FRA|DEN|SAF|
SAF|HTY,|HTY|SAW|FRA|DEN|SAF|
SAF|KCM,|KCM|ESB|FRA|DEN|SAF|
SAF|KSY,|KSY|ESB|FRA|DEN|SAF|
SAF|MLX,|MLX|ESB|FRA|DEN|SAF|
SAF|MQM,|MQM|ESB|FRA|DEN|SAF|
SAF|MSR,|MSR|ESB|FRA|DEN|SAF|
SAF|TEQ,|TEQ|ESB|FRA|DEN|SAF|
SAF|TZX,|TZX|ESB|FRA|DEN|SAF|
SAF|VAN,|VAN|ESB|FRA|DEN|SAF|
SAF|ULN,|ULN|FRU|IST|FRA|DEN|SAF|
SAF|HIJ,|HIJ|ICN|YVR|DEN|SAF|
SAF|VVO,|VVO|ICN|YVR|DEN|SAF|
SAF|ACC,|ACC|IST|FRA|DEN|SAF|
SAF|AER,|AER|IST|FRA|DEN|SAF|
SAF|AGP,|AGP|IST|FRA|DEN|SAF|
SAF|ALG,|ALG|IST|FRA|DEN|SAF|
SAF|AMM,|AMM|IST|FRA|DEN|SAF|
SAF|AQJ,|AQJ|IST|FRA|DEN|SAF|
SAF|ARN,|ARN|EWR|DEN|SAF|
SAF|ASR,|ASR|SAW|FRA|DEN|SAF|
SAF|ATH,|ATH|IST|FRA|DEN|SAF|
SAF|BAH,|BAH|IST|FRA|DEN|SAF|
SAF|BEG,|BEG|IST|FRA|DEN|SAF|
SAF|BEN,|BEN|IST|FRA|DEN|SAF|
SAF|BEY,|BEY|IST|FRA|DEN|SAF|
SAF|BHX,|BHX|EWR|DEN|SAF|
SAF|BIO,|BIO|IST|FRA|DEN|SAF|
SAF|BLQ,|BLQ|IST|FRA|DEN|SAF|
SAF|BOM,|BOM|IST|FRA|DEN|SAF|
SAF|BRE,|BRE|IST|FRA|DEN|SAF|
SAF|BSL,|BSL|IST|FRA|DEN|SAF|
SAF|BSR,|BSR|IST|FRA|DEN|SAF|
SAF|BUD,|BUD|IST|FRA|DEN|SAF|
SAF|BUS,|BUS|IST|FRA|DEN|SAF|
SAF|CAI,|CAI|IST|FRA|DEN|SAF|
SAF|CGN,|CGN|IST|FRA|DEN|SAF|
SAF|CMN,|CMN|IST|FRA|DEN|SAF|
SAF|CND,|CND|IST|FRA|DEN|SAF|
SAF|DAR,|DAR|NBO|ZRH|ORD|DEN|SAF|
SAF|DLM,|DLM|IST|FRA|DEN|SAF|
SAF|DMM,|DMM|IST|FRA|DEN|SAF|
SAF|DNK,|DNK|IST|FRA|DEN|SAF|
SAF|DNZ,|DNZ|IST|FRA|DEN|SAF|
SAF|DOK,|DOK|IST|FRA|DEN|SAF|
SAF|DUS,|DUS|ORD|DEN|SAF|
SAF|EDI,|EDI|EWR|DEN|SAF|
SAF|ELQ,|ELQ|IST|FRA|DEN|SAF|
SAF|FDH,|FDH|IST|FRA|DEN|SAF|
SAF|GOA,|GOA|IST|FRA|DEN|SAF|
SAF|GOT,|GOT|BRU|ORD|DEN|SAF|
SAF|HAJ,|HAJ|BRU|ORD|DEN|SAF|
SAF|HBE,|HBE|IST|FRA|DEN|SAF|
SAF|HEL,|HEL|IST|FRA|DEN|SAF|
SAF|HRG,|HRG|IST|FRA|DEN|SAF|
SAF|IFN,|IFN|IST|FRA|DEN|SAF|
SAF|ISE,|ISE|IST|FRA|DEN|SAF|
SAF|ISU,|ISU|IST|FRA|DEN|SAF|
SAF|JIB,|JIB|IST|FRA|DEN|SAF|
SAF|JRO,|JRO|IST|FRA|DEN|SAF|
SAF|KAN,|KAN|IST|FRA|DEN|SAF|
SAF|KBL,|KBL|IST|FRA|DEN|SAF|
SAF|KBP,|KBP|IST|FRA|DEN|SAF|
SAF|KFS,|KFS|IST|FRA|DEN|SAF|
SAF|KHI,|KHI|IST|FRA|DEN|SAF|
SAF|KIV,|KIV|IST|FRA|DEN|SAF|
SAF|KRT,|KRT|IST|FRA|DEN|SAF|
SAF|KSH,|KSH|IST|FRA|DEN|SAF|
SAF|KVD,|KVD|IST|FRA|DEN|SAF|
SAF|KWI,|KWI|SAW|FRA|DEN|SAF|
SAF|KYA,|KYA|IST|FRA|DEN|SAF|
SAF|KZN,|KZN|IST|FRA|DEN|SAF|
SAF|KZR,|KZR|IST|FRA|DEN|SAF|
SAF|LED,|LED|VIE|ORD|DEN|SAF|
SAF|LEJ,|LEJ|IST|FRA|DEN|SAF|
SAF|LGW,|LGW|IST|FRA|DEN|SAF|
SAF|LHE,|LHE|IST|FRA|DEN|SAF|
SAF|LIS,|LIS|EWR|DEN|SAF|
SAF|LJU,|LJU|IST|FRA|DEN|SAF|
SAF|LOS,|LOS|IAH|DEN|SAF|
SAF|LUX,|LUX|IST|FRA|DEN|SAF|
SAF|LWO,|LWO|IST|FRA|DEN|SAF|
SAF|LYS,|LYS|IST|FRA|DEN|SAF|
SAF|MAD,|MAD|EWR|DEN|SAF|
SAF|MAN,|MAN|EWR|DEN|SAF|
SAF|MED,|MED|IST|FRA|DEN|SAF|
SAF|MHD,|MHD|IST|FRA|DEN|SAF|
SAF|MLA,|MLA|IST|FRA|DEN|SAF|
SAF|MRS,|MRS|IST|FRA|DEN|SAF|
SAF|MSQ,|MSQ|IST|FRA|DEN|SAF|
SAF|MXP,|MXP|EWR|DEN|SAF|
SAF|MZH,|MZH|IST|FRA|DEN|SAF|
SAF|MZR,|MZR|IST|FRA|DEN|SAF|
