NRT|PHX,|PHX|SFO|NRT|
NRT|PIT,|PIT|YYZ|NRT|
NRT|PLS,|PLS|YYZ|NRT|
NRT|POP,|POP|YYZ|NRT|
NRT|RDU,|RDU|ORD|NRT|
NRT|ROC,|ROC|YYZ|NRT|
NRT|RSW,|RSW|MCO|YYC|NRT|
NRT|SAN,|SAN|LAX|NRT|
NRT|SJO,|SJO|IAH|NRT|
NRT|STL,|STL|ORD|NRT|
NRT|SYR,|SYR|YYZ|NRT|
NRT|TLV,|TLV|IST|NRT|
NRT|TPA,|TPA|ORD|NRT|
NRT|UVF,|UVF|EWR|NRT|
NRT|VIE,|VIE|IST|NRT|
NRT|YAM,|YAM|YYZ|NRT|
NRT|YGK,|YGK|YYZ|NRT|
NRT|YQG,|YQG|YYC|NRT|
NRT|YSB,|YSB|YYZ|NRT|
NRT|YTS,|YTS|YYZ|NRT|
NRT|YYB,|YYB|YYZ|NRT|
NRT|YZR,|YZR|YYZ|NRT|
NRT|CAN,|CAN|NRT|
NRT|URC,|URC|PEK|NRT|
NRT|CTU,|CTU|CGO|ICN|NRT|
NRT|HGH,|HGH|DLC|NRT|
NRT|XMN,|XMN|YNZ|DLC|NRT|
NRT|CGO,|CGO|ICN|NRT|
NRT|CSX,|CSX|ICN|NRT|
NRT|SHE,|SHE|NRT|
NRT|SJW,|SJW|DLC|NRT|
NRT|WUH,|WUH|ICN|NRT|
NRT|SZX,|SZX|PVG|ICN|NRT|
NRT|CKG,|CKG|CGO|ICN|NRT|
NRT|KMG,|KMG|WUH|ICN|NRT|
NRT|FOC,|FOC|HGH|DLC|NRT|
NRT|NNG,|NNG|CAN|NRT|
NRT|SWA,|SWA|CAN|NRT|
NRT|ACX,|ACX|CAN|NRT|
NRT|AQG,|AQG|CAN|NRT|
NRT|AVA,|AVA|CAN|NRT|
NRT|BFJ,|BFJ|CAN|NRT|
NRT|BHY,|BHY|CAN|NRT|
NRT|BNE,|BNE|CAN|NRT|
NRT|CGD,|CGD|PEK|NRT|
NRT|CGK,|CGK|SIN|NRT|
NRT|CGQ,|CGQ|NRT|
NRT|CIH,|CIH|PEK|NRT|
NRT|CNX,|CNX|CAN|NRT|
NRT|CZX,|CZX|SHE|NRT|
NRT|DAC,|DAC|CAN|NRT|
NRT|DAD,|DAD|CAN|NRT|
NRT|DEL,|DEL|CAN|NRT|
NRT|DIG,|DIG|KMG|WUH|ICN|NRT|
NRT|DLC,|DLC|NRT|
NRT|DPS,|DPS|CAN|NRT|
NRT|DXB,|DXB|CAN|NRT|
NRT|DYG,|DYG|CSX|ICN|NRT|
NRT|FUG,|FUG|CAN|NRT|
NRT|FUK,|FUK|ICN|NRT|
NRT|HAK,|HAK|CAN|NRT|
NRT|HAN,|HAN|CAN|NRT|
NRT|HDG,|HDG|CAN|NRT|
NRT|HET,|HET|DLC|NRT|
NRT|HFE,|HFE|CGQ|NRT|
NRT|HJJ,|HJJ|CSX|ICN|NRT|
NRT|HKT,|HKT|CAN|NRT|
NRT|HRB,|HRB|ICN|NRT|
NRT|HZH,|HZH|CAN|NRT|
NRT|JIU,|JIU|CAN|NRT|
NRT|JJN,|JJN|HGH|DLC|NRT|
NRT|JNG,|JNG|CAN|NRT|
NRT|KHN,|KHN|DLC|NRT|
NRT|KIX,|KIX|SHE|NRT|
NRT|KOW,|KOW|CAN|NRT|
NRT|KTM,|KTM|CAN|NRT|
NRT|KUL,|KUL|CAN|NRT|
NRT|KWE,|KWE|WUH|ICN|NRT|
NRT|KWL,|KWL|CAN|NRT|
NRT|LHW,|LHW|TNA|DLC|NRT|
NRT|LYA,|LYA|KHN|DLC|NRT|
NRT|LYG,|LYG|HSN|PEK|NRT|
NRT|LZH,|LZH|CAN|NRT|
NRT|MEL,|MEL|SYD|ICN|NRT|
NRT|MIG,|MIG|CSX|ICN|NRT|
NRT|MLE,|MLE|CAN|NRT|
NRT|MNL,|MNL|CAN|NRT|
NRT|MXZ,|MXZ|CAN|NRT|
NRT|NAO,|NAO|PEK|NRT|
NRT|NGB,|NGB|DLC|NRT|
NRT|NKG,|NKG|DLC|NRT|
NRT|NNY,|NNY|CGO|ICN|NRT|
NRT|PEN,|PEN|CAN|NRT|
NRT|PER,|PER|CAN|NRT|
NRT|PNH,|PNH|CAN|NRT|
NRT|REP,|REP|CAN|NRT|
NRT|RGN,|RGN|CAN|NRT|
NRT|SGN,|SGN|CAN|NRT|
NRT|SHA,|SHA|PEK|NRT|
NRT|SIN,|SIN|NRT|
NRT|SVO,|SVO|URC|PEK|NRT|
NRT|SYX,|SYX|CAN|NRT|
NRT|TAO,|TAO|DLC|NRT|
NRT|TEN,|TEN|CAN|NRT|
NRT|TNA,|TNA|DLC|NRT|
NRT|TPE,|TPE|PVG|ICN|NRT|
NRT|TSN,|TSN|DLC|NRT|
NRT|TXN,|TXN|DLC|NRT|
NRT|TYN,|TYN|DLC|NRT|
NRT|WNZ,|WNZ|WUH|ICN|NRT|
NRT|WUX,|WUX|CAN|NRT|
NRT|XFN,|XFN|CAN|NRT|
NRT|XIY,|XIY|DLC|NRT|
NRT|XUZ,|XUZ|LYG|HSN|PEK|NRT|
NRT|YIH,|YIH|CAN|NRT|
NRT|YIW,|YIW|SHE|NRT|
NRT|YNT,|YNT|SHE|NRT|
NRT|YNZ,|YNZ|DLC|NRT|
NRT|YTY,|YTY|DLC|NRT|
NRT|ZHA,|ZHA|CAN|NRT|
NRT|ZYI,|ZYI|CAN|NRT|
NRT|BAV,|BAV|SHE|NRT|
NRT|CJU,|CJU|DLC|NRT|
NRT|DSN,|DSN|CGO|ICN|NRT|
NRT|HMI,|HMI|CGO|ICN|NRT|
NRT|INC,|INC|PEK|NRT|
NRT|KHH,|KHH|WUH|ICN|NRT|
NRT|UYN,|UYN|CGO|ICN|NRT|
NRT|XNN,|XNN|PEK|NRT|
NRT|ZUH,|ZUH|PVG|ICN|NRT|
NRT|YNJ,|YNJ|CGQ|NRT|
NRT|DAT,|DAT|TYN|DLC|NRT|
NRT|JHG,|JHG|KMG|WUH|ICN|NRT|
NRT|LJG,|LJG|CKG|CGO|ICN|NRT|
NRT|LXA,|LXA|XIY|DLC|NRT|
NRT|YCU,|YCU|CSX|ICN|NRT|
NRT|LZO,|LZO|CSX|ICN|NRT|
NRT|MDG,|MDG|ICN|NRT|
NRT|NGO,|NGO|ICN|NRT|
NRT|TOY,|TOY|DLC|NRT|
NRT|MFM,|MFM|HGH|DLC|NRT|
NRT|TGO,|TGO|HET|DLC|NRT|
NRT|XIL,|XIL|HET|DLC|NRT|
NRT|HEK,|HEK|HRB|ICN|NRT|
NRT|KIJ,|KIJ|HRB|ICN|NRT|
NRT|LDS,|LDS|HRB|ICN|NRT|
NRT|OHE,|OHE|HRB|ICN|NRT|
NRT|HSN,|HSN|PEK|NRT|
NRT|DLU,|DLU|KWE|WUH|ICN|NRT|
NRT|SYM,|SYM|KMG|WUH|ICN|NRT|
NRT|ZAT,|ZAT|KMG|WUH|ICN|NRT|
NRT|LUN,|LUN|NBO|CAN|NRT|
NRT|AOG,|AOG|PEK|NRT|
NRT|GMP,|GMP|PEK|NRT|
NRT|ISB,|ISB|PEK|NRT|
NRT|TAS,|TAS|PEK|NRT|
NRT|WUS,|WUS|PEK|NRT|
NRT|JMU,|JMU|PVG|ICN|NRT|
NRT|NDG,|NDG|PVG|ICN|NRT|
NRT|JXA,|JXA|SHE|NRT|
NRT|PUS,|PUS|SHE|NRT|
NRT|BKI,|BKI|SZX|PVG|ICN|NRT|
NRT|AKU,|AKU|URC|PEK|NRT|
NRT|ALA,|ALA|URC|PEK|NRT|
NRT|ASB,|ASB|URC|PEK|NRT|
NRT|DNH,|DNH|XIY|DLC|NRT|
NRT|DYU,|DYU|URC|PEK|NRT|
NRT|FRU,|FRU|URC|PEK|NRT|
NRT|GYD,|GYD|URC|PEK|NRT|
NRT|HTN,|HTN|URC|PEK|NRT|
NRT|IKA,|IKA|URC|PEK|NRT|
NRT|KCA,|KCA|URC|PEK|NRT|
NRT|KHG,|KHG|URC|PEK|NRT|
NRT|KRL,|KRL|URC|PEK|NRT|
NRT|KRY,|KRY|URC|PEK|NRT|
NRT|LBD,|LBD|URC|PEK|NRT|
NRT|NLT,|NLT|URC|PEK|NRT|
NRT|OSS,|OSS|URC|PEK|NRT|
NRT|OVB,|OVB|URC|PEK|NRT|
NRT|TBS,|TBS|URC|PEK|NRT|
NRT|TCG,|TCG|URC|PEK|NRT|
NRT|TSE,|TSE|URC|PEK|NRT|
NRT|YIN,|YIN|URC|PEK|NRT|
NRT|ENH,|ENH|WUH|ICN|NRT|
NRT|ENY,|ENY|XIY|DLC|NRT|
NRT|WXN,|WXN|XIY|DLC|NRT|
NRT|BLL,|BLL|IST|NRT|
NRT|ESB,|ESB|IST|NRT|
NRT|SAW,|SAW|TBS|URC|PEK|NRT|
NRT|HAM,|HAM|IST|NRT|
NRT|HRE,|HRE|ADD|IST|NRT|
NRT|JUB,|JUB|CAI|IST|NRT|
NRT|SSG,|SSG|DLA|IST|NRT|
NRT|BGW,|BGW|IST|NRT|
NRT|EBL,|EBL|IST|NRT|
NRT|VKO,|VKO|IST|NRT|
NRT|MCT,|MCT|IST|NRT|
NRT|AYT,|AYT|IST|NRT|
NRT|SCQ,|SCQ|BIO|IST|NRT|
NRT|AAL,|AAL|IST|NRT|
NRT|AOE,|AOE|BRU|IST|NRT|
NRT|JNB,|JNB|IST|NRT|
NRT|LBV,|LBV|DLA|IST|NRT|
NRT|ADA,|ADA|IST|NRT|
NRT|ADB,|ADB|IST|NRT|
NRT|ADF,|ADF|IST|NRT|
NRT|AJI,|AJI|IST|NRT|
NRT|BAL,|BAL|IST|NRT|
NRT|BJV,|BJV|IST|NRT|
NRT|CKZ,|CKZ|ESB|IST|NRT|
NRT|DIY,|DIY|IST|NRT|
NRT|ECN,|ECN|IST|NRT|
NRT|ERC,|ERC|IST|NRT|
NRT|ERZ,|ERZ|IST|NRT|
NRT|EZS,|EZS|IST|NRT|
NRT|GNY,|GNY|IST|NRT|
NRT|GZP,|GZP|ESB|IST|NRT|
NRT|GZT,|GZT|IST|NRT|
NRT|HTY,|HTY|IST|NRT|
NRT|KCM,|KCM|IST|NRT|
NRT|KSY,|KSY|IST|NRT|
NRT|MLX,|MLX|IST|NRT|
NRT|MQM,|MQM|IST|NRT|
NRT|MSR,|MSR|IST|NRT|
NRT|TEQ,|TEQ|ESB|IST|NRT|
NRT|TZX,|TZX|IST|NRT|
NRT|VAN,|VAN|IST|NRT|
NRT|ULN,|ULN|FRU|URC|PEK|NRT|
NRT|HIJ,|HIJ|ICN|NRT|
NRT|VVO,|VVO|ICN|NRT|
NRT|ACC,|ACC|IST|NRT|
NRT|AER,|AER|IST|NRT|
NRT|AGP,|AGP|IST|NRT|
NRT|ALG,|ALG|IST|NRT|
NRT|AMM,|AMM|IST|NRT|
NRT|AQJ,|AQJ|IST|NRT|
NRT|ARN,|ARN|IST|NRT|
NRT|ASR,|ASR|IST|NRT|
NRT|ATH,|ATH|IST|NRT|
NRT|BAH,|BAH|IST|NRT|
NRT|BEG,|BEG|IST|NRT|
NRT|BEN,|BEN|IST|NRT|
NRT|BEY,|BEY|IST|NRT|
NRT|BHX,|BHX|IST|NRT|
NRT|BIO,|BIO|IST|NRT|
NRT|BLQ,|BLQ|IST|NRT|
NRT|BOM,|BOM|IST|NRT|
NRT|BRE,|BRE|IST|NRT|
NRT|BSL,|BSL|IST|NRT|
NRT|BSR,|BSR|IST|NRT|
NRT|BUD,|BUD|IST|NRT|
NRT|BUS,|BUS|IST|NRT|
NRT|CAI,|CAI|IST|NRT|
NRT|CGN,|CGN|IST|NRT|
NRT|CMN,|CMN|IST|NRT|
NRT|CND,|CND|IST|NRT|
NRT|DAR,|DAR|NBO|CAN|NRT|
NRT|DLM,|DLM|IST|NRT|
NRT|DMM,|DMM|IST|NRT|
NRT|DNK,|DNK|IST|NRT|
NRT|DNZ,|DNZ|IST|NRT|
NRT|DOK,|DOK|IST|NRT|
NRT|DUS,|DUS|IST|NRT|
NRT|EDI,|EDI|IST|NRT|
NRT|ELQ,|ELQ|IST|NRT|
NRT|FDH,|FDH|IST|NRT|
NRT|GOA,|GOA|IST|NRT|
NRT|GOT,|GOT|IST|NRT|
NRT|HAJ,|HAJ|IST|NRT|
NRT|HBE,|HBE|IST|NRT|
NRT|HEL,|HEL|IST|NRT|
NRT|HRG,|HRG|IST|NRT|
NRT|IFN,|IFN|IST|NRT|
NRT|ISE,|ISE|IST|NRT|
NRT|ISU,|ISU|IST|NRT|
NRT|JIB,|JIB|IST|NRT|
NRT|JRO,|JRO|IST|NRT|
NRT|KAN,|KAN|IST|NRT|
NRT|KBL,|KBL|IST|NRT|
NRT|KBP,|KBP|IST|NRT|
NRT|KFS,|KFS|IST|NRT|
NRT|KHI,|KHI|IST|NRT|
NRT|KIV,|KIV|IST|NRT|
NRT|KRT,|KRT|IST|NRT|
NRT|KSH,|KSH|IST|NRT|
NRT|KVD,|KVD|IST|NRT|
NRT|KWI,|KWI|IST|NRT|
NRT|KYA,|KYA|IST|NRT|
NRT|KZN,|KZN|IST|NRT|
NRT|KZR,|KZR|IST|NRT|
NRT|LED,|LED|IST|NRT|
NRT|LEJ,|LEJ|IST|NRT|
NRT|LGW,|LGW|IST|NRT|
NRT|LHE,|LHE|IST|NRT|
NRT|LIS,|LIS|IST|NRT|
NRT|LJU,|LJU|IST|NRT|
NRT|LOS,|LOS|IST|NRT|
NRT|LUX,|LUX|IST|NRT|
NRT|LWO,|LWO|IST|NRT|
NRT|LYS,|LYS|IST|NRT|
NRT|MAD,|MAD|IST|NRT|
