LJG|DTW,|DTW|PEK|CKG|LJG|
LJG|DUB,|DUB|IST|URC|CTU|KMG|LJG|
LJG|FCO,|FCO|IST|URC|CTU|KMG|LJG|
LJG|GCM,|GCM|YYZ|PEK|CKG|LJG|
LJG|GGT,|GGT|YYZ|PEK|CKG|LJG|
LJG|GND,|GND|YYZ|PEK|CKG|LJG|
LJG|GRU,|GRU|IST|URC|CTU|KMG|LJG|
LJG|HAV,|HAV|YYZ|PEK|CKG|LJG|
LJG|IND,|IND|ORD|PEK|CKG|LJG|
LJG|JFK,|JFK|PEK|CKG|LJG|
LJG|KIN,|KIN|YYZ|PEK|CKG|LJG|
LJG|LIM,|LIM|IAH|PEK|CKG|LJG|
LJG|LIR,|LIR|IAH|PEK|CKG|LJG|
LJG|MCI,|MCI|DEN|YVR|PEK|CKG|LJG|
LJG|MDT,|MDT|YYZ|PEK|CKG|LJG|
LJG|MIA,|MIA|ORD|PEK|CKG|LJG|
LJG|MKE,|MKE|ORD|PEK|CKG|LJG|
LJG|MSP,|MSP|ORD|PEK|CKG|LJG|
LJG|NAS,|NAS|YYZ|PEK|CKG|LJG|
LJG|PHL,|PHL|YYZ|PEK|CKG|LJG|
LJG|PHX,|PHX|SEA|PEK|CKG|LJG|
LJG|PIT,|PIT|YYZ|PEK|CKG|LJG|
LJG|PLS,|PLS|EWR|PEK|CKG|LJG|
LJG|POP,|POP|EWR|PEK|CKG|LJG|
LJG|RDU,|RDU|YYZ|PEK|CKG|LJG|
LJG|ROC,|ROC|YYZ|PEK|CKG|LJG|
LJG|RSW,|RSW|ORD|PEK|CKG|LJG|
LJG|SAN,|SAN|LAX|PEK|CKG|LJG|
LJG|SJO,|SJO|IAH|PEK|CKG|LJG|
LJG|STL,|STL|ORD|PEK|CKG|LJG|
LJG|SYR,|SYR|YYZ|PEK|CKG|LJG|
LJG|TLV,|TLV|SAW|TBS|URC|CTU|KMG|LJG|
LJG|TPA,|TPA|ORD|PEK|CKG|LJG|
LJG|UVF,|UVF|EWR|PEK|CKG|LJG|
LJG|VIE,|VIE|IST|URC|CTU|KMG|LJG|
LJG|YAM,|YAM|YYZ|PEK|CKG|LJG|
