PHL|SYR,|SYR|IAD|PHL|
PHL|TLV,|TLV|EWR|IAD|PHL|
PHL|TPA,|TPA|PHL|
PHL|UVF,|UVF|EWR|IAD|PHL|
PHL|VIE,|VIE|IAD|PHL|
PHL|YAM,|YAM|YYZ|PHL|
PHL|YGK,|YGK|YYZ|PHL|
PHL|YQG,|YQG|YYZ|PHL|
PHL|YSB,|YSB|YYZ|PHL|
PHL|YTS,|YTS|YYZ|PHL|
PHL|YYB,|YYB|YYZ|PHL|
PHL|YZR,|YZR|YYZ|PHL|
PHL|CAN,|CAN|PEK|YYZ|PHL|
PHL|URC,|URC|TSE|FRA|IAD|PHL|
PHL|CTU,|CTU|PEK|YYZ|PHL|
PHL|HGH,|HGH|PEK|YYZ|PHL|
PHL|XMN,|XMN|PEK|YYZ|PHL|
PHL|CGO,|CGO|PEK|YYZ|PHL|
PHL|CSX,|CSX|PEK|YYZ|PHL|
PHL|SHE,|SHE|PEK|YYZ|PHL|
PHL|SJW,|SJW|DLC|PEK|YYZ|PHL|
PHL|WUH,|WUH|PEK|YYZ|PHL|
PHL|SZX,|SZX|PEK|YYZ|PHL|
PHL|CKG,|CKG|PEK|YYZ|PHL|
PHL|KMG,|KMG|PEK|YYZ|PHL|
PHL|FOC,|FOC|PEK|YYZ|PHL|
PHL|NNG,|NNG|PEK|YYZ|PHL|
PHL|SWA,|SWA|PEK|YYZ|PHL|
PHL|ACX,|ACX|CAN|PEK|YYZ|PHL|
PHL|AQG,|AQG|CAN|PEK|YYZ|PHL|
PHL|AVA,|AVA|CAN|PEK|YYZ|PHL|
PHL|BFJ,|BFJ|CAN|PEK|YYZ|PHL|
PHL|BHY,|BHY|CGO|PEK|YYZ|PHL|
PHL|BNE,|BNE|CAN|PEK|YYZ|PHL|
PHL|CGD,|CGD|PEK|YYZ|PHL|
PHL|CGK,|CGK|CAN|PEK|YYZ|PHL|
PHL|CGQ,|CGQ|PEK|YYZ|PHL|
PHL|CIH,|CIH|PEK|YYZ|PHL|
PHL|CNX,|CNX|CAN|PEK|YYZ|PHL|
PHL|CZX,|CZX|SHE|PEK|YYZ|PHL|
PHL|DAC,|DAC|IST|IAD|PHL|
PHL|DAD,|DAD|CAN|PEK|YYZ|PHL|
PHL|DEL,|DEL|EWR|IAD|PHL|
PHL|DIG,|DIG|KMG|PEK|YYZ|PHL|
PHL|DLC,|DLC|PEK|YYZ|PHL|
PHL|DPS,|DPS|SZX|PEK|YYZ|PHL|
PHL|DXB,|DXB|IAD|PHL|
PHL|DYG,|DYG|PEK|YYZ|PHL|
PHL|FUG,|FUG|CAN|PEK|YYZ|PHL|
PHL|FUK,|FUK|ICN|JFK|IAD|PHL|
PHL|HAK,|HAK|PEK|YYZ|PHL|
PHL|HAN,|HAN|PEK|YYZ|PHL|
PHL|HDG,|HDG|CAN|PEK|YYZ|PHL|
PHL|HET,|HET|DLC|PEK|YYZ|PHL|
PHL|HFE,|HFE|XIY|PEK|YYZ|PHL|
PHL|HJJ,|HJJ|CSX|PEK|YYZ|PHL|
PHL|HKT,|HKT|KWE|PEK|YYZ|PHL|
PHL|HRB,|HRB|PEK|YYZ|PHL|
PHL|HZH,|HZH|CAN|PEK|YYZ|PHL|
PHL|JIU,|JIU|CAN|PEK|YYZ|PHL|
PHL|JJN,|JJN|PEK|YYZ|PHL|
PHL|JNG,|JNG|CAN|PEK|YYZ|PHL|
PHL|KHN,|KHN|DLC|PEK|YYZ|PHL|
PHL|KIX,|KIX|SFO|PHL|
PHL|KOW,|KOW|PEK|YYZ|PHL|
PHL|KTM,|KTM|IST|IAD|PHL|
PHL|KUL,|KUL|CAN|PEK|YYZ|PHL|
PHL|KWE,|KWE|PEK|YYZ|PHL|
PHL|KWL,|KWL|PEK|YYZ|PHL|
PHL|LHW,|LHW|CGO|PEK|YYZ|PHL|
PHL|LYA,|LYA|KHN|DLC|PEK|YYZ|PHL|
PHL|LYG,|LYG|HSN|PEK|YYZ|PHL|
PHL|LZH,|LZH|CAN|PEK|YYZ|PHL|
PHL|MEL,|MEL|SYD|LAX|STL|PHL|
PHL|MIG,|MIG|CSX|PEK|YYZ|PHL|
PHL|MLE,|MLE|IST|IAD|PHL|
PHL|MNL,|MNL|XMN|PEK|YYZ|PHL|
PHL|MXZ,|MXZ|CAN|PEK|YYZ|PHL|
PHL|NAO,|NAO|PEK|YYZ|PHL|
PHL|NGB,|NGB|PEK|YYZ|PHL|
PHL|NKG,|NKG|DLC|PEK|YYZ|PHL|
PHL|NNY,|NNY|CGO|PEK|YYZ|PHL|
PHL|PEN,|PEN|CAN|PEK|YYZ|PHL|
PHL|PER,|PER|CAN|PEK|YYZ|PHL|
PHL|PNH,|PNH|CAN|PEK|YYZ|PHL|
PHL|REP,|REP|CAN|PEK|YYZ|PHL|
PHL|RGN,|RGN|CAN|PEK|YYZ|PHL|
PHL|SGN,|SGN|CAN|PEK|YYZ|PHL|
PHL|SHA,|SHA|PEK|YYZ|PHL|
PHL|SIN,|SIN|CAN|PEK|YYZ|PHL|
PHL|SVO,|SVO|URC|TSE|FRA|IAD|PHL|
PHL|SYX,|SYX|PEK|YYZ|PHL|
PHL|TAO,|TAO|DLC|PEK|YYZ|PHL|
PHL|TEN,|TEN|PEK|YYZ|PHL|
PHL|TNA,|TNA|DLC|PEK|YYZ|PHL|
PHL|TPE,|TPE|PVG|YYZ|PHL|
PHL|TSN,|TSN|DLC|PEK|YYZ|PHL|
PHL|TXN,|TXN|DLC|PEK|YYZ|PHL|
PHL|TYN,|TYN|DAT|CIH|PEK|YYZ|PHL|
PHL|WNZ,|WNZ|CGO|PEK|YYZ|PHL|
PHL|WUX,|WUX|CAN|PEK|YYZ|PHL|
PHL|XFN,|XFN|XMN|PEK|YYZ|PHL|
PHL|XIY,|XIY|PEK|YYZ|PHL|
PHL|XUZ,|XUZ|LYG|HSN|PEK|YYZ|PHL|
PHL|YIH,|YIH|CKG|PEK|YYZ|PHL|
PHL|YIW,|YIW|PEK|YYZ|PHL|
PHL|YNT,|YNT|SHE|PEK|YYZ|PHL|
PHL|YNZ,|YNZ|DLC|PEK|YYZ|PHL|
PHL|YTY,|YTY|DLC|PEK|YYZ|PHL|
PHL|ZHA,|ZHA|CAN|PEK|YYZ|PHL|
PHL|ZYI,|ZYI|PEK|YYZ|PHL|
PHL|BAV,|BAV|CGO|PEK|YYZ|PHL|
PHL|CJU,|CJU|DLC|PEK|YYZ|PHL|
PHL|DSN,|DSN|CGO|PEK|YYZ|PHL|
PHL|HMI,|HMI|URC|TSE|FRA|IAD|PHL|
PHL|INC,|INC|PEK|YYZ|PHL|
PHL|KHH,|KHH|CGO|PEK|YYZ|PHL|
PHL|UYN,|UYN|CGO|PEK|YYZ|PHL|
PHL|XNN,|XNN|PEK|YYZ|PHL|
PHL|ZUH,|ZUH|PEK|YYZ|PHL|
PHL|YNJ,|YNJ|PEK|YYZ|PHL|
PHL|DAT,|DAT|CIH|PEK|YYZ|PHL|
PHL|JHG,|JHG|CKG|PEK|YYZ|PHL|
PHL|LJG,|LJG|CKG|PEK|YYZ|PHL|
PHL|LXA,|LXA|XIY|PEK|YYZ|PHL|
PHL|YCU,|YCU|CSX|PEK|YYZ|PHL|
PHL|LZO,|LZO|CSX|PEK|YYZ|PHL|
PHL|MDG,|MDG|DLC|PEK|YYZ|PHL|
PHL|NGO,|NGO|ICN|JFK|IAD|PHL|
PHL|TOY,|TOY|DLC|PEK|YYZ|PHL|
PHL|MFM,|MFM|XMN|PEK|YYZ|PHL|
PHL|TGO,|TGO|HET|DLC|PEK|YYZ|PHL|
PHL|XIL,|XIL|HET|DLC|PEK|YYZ|PHL|
PHL|HEK,|HEK|HRB|PEK|YYZ|PHL|
PHL|KIJ,|KIJ|HRB|PEK|YYZ|PHL|
PHL|LDS,|LDS|HRB|PEK|YYZ|PHL|
PHL|OHE,|OHE|HRB|PEK|YYZ|PHL|
PHL|HSN,|HSN|PEK|YYZ|PHL|
PHL|DLU,|DLU|KMG|PEK|YYZ|PHL|
PHL|SYM,|SYM|KMG|PEK|YYZ|PHL|
PHL|ZAT,|ZAT|KMG|PEK|YYZ|PHL|
PHL|LUN,|LUN|NBO|ZRH|IAD|PHL|
PHL|AOG,|AOG|PEK|YYZ|PHL|
PHL|GMP,|GMP|PEK|YYZ|PHL|
PHL|ISB,|ISB|IST|IAD|PHL|
PHL|TAS,|TAS|IST|IAD|PHL|
PHL|WUS,|WUS|PEK|YYZ|PHL|
PHL|JMU,|JMU|PVG|YYZ|PHL|
PHL|NDG,|NDG|PVG|YYZ|PHL|
PHL|JXA,|JXA|SHE|PEK|YYZ|PHL|
PHL|PUS,|PUS|SHE|PEK|YYZ|PHL|
PHL|BKI,|BKI|SZX|PEK|YYZ|PHL|
PHL|AKU,|AKU|URC|TSE|FRA|IAD|PHL|
PHL|ALA,|ALA|TSE|FRA|IAD|PHL|
PHL|ASB,|ASB|GYD|FRA|IAD|PHL|
PHL|DNH,|DNH|URC|TSE|FRA|IAD|PHL|
PHL|DYU,|DYU|IST|IAD|PHL|
PHL|FRU,|FRU|IST|IAD|PHL|
PHL|GYD,|GYD|FRA|IAD|PHL|
PHL|HTN,|HTN|URC|TSE|FRA|IAD|PHL|
PHL|IKA,|IKA|SAW|FRA|IAD|PHL|
PHL|KCA,|KCA|URC|TSE|FRA|IAD|PHL|
PHL|KHG,|KHG|URC|TSE|FRA|IAD|PHL|
PHL|KRL,|KRL|URC|TSE|FRA|IAD|PHL|
PHL|KRY,|KRY|URC|TSE|FRA|IAD|PHL|
PHL|LBD,|LBD|URC|TSE|FRA|IAD|PHL|
PHL|NLT,|NLT|URC|TSE|FRA|IAD|PHL|
PHL|OSS,|OSS|IST|IAD|PHL|
PHL|OVB,|OVB|IST|IAD|PHL|
PHL|TBS,|TBS|SAW|FRA|IAD|PHL|
PHL|TCG,|TCG|URC|TSE|FRA|IAD|PHL|
PHL|TSE,|TSE|FRA|IAD|PHL|
PHL|YIN,|YIN|URC|TSE|FRA|IAD|PHL|
PHL|ENH,|ENH|WUH|PEK|YYZ|PHL|
PHL|ENY,|ENY|XIY|PEK|YYZ|PHL|
PHL|WXN,|WXN|XIY|PEK|YYZ|PHL|
PHL|BLL,|BLL|IST|IAD|PHL|
PHL|ESB,|ESB|VIE|IAD|PHL|
PHL|SAW,|SAW|FRA|IAD|PHL|
PHL|HAM,|HAM|EWR|IAD|PHL|
PHL|HRE,|HRE|ADD|JED|FRA|IAD|PHL|
PHL|JUB,|JUB|CAI|JFK|IAD|PHL|
PHL|SSG,|SSG|DLA|BRU|IAD|PHL|
PHL|BGW,|BGW|ESB|VIE|IAD|PHL|
PHL|EBL,|EBL|IST|IAD|PHL|
PHL|VKO,|VKO|IST|IAD|PHL|
