DAC|MDT,|MDT|IAD|IST|DAC|
DAC|MIA,|MIA|ZRH|IST|DAC|
DAC|MKE,|MKE|YYZ|IST|DAC|
DAC|MSP,|MSP|YUL|FRA|IST|DAC|
DAC|NAS,|NAS|EWR|BHX|IST|DAC|
DAC|PHL,|PHL|IAD|IST|DAC|
DAC|PHX,|PHX|SFO|PVG|CAN|DAC|
DAC|PIT,|PIT|YYZ|IST|DAC|
DAC|PLS,|PLS|EWR|BHX|IST|DAC|
DAC|POP,|POP|EWR|BHX|IST|DAC|
DAC|RDU,|RDU|EWR|BHX|IST|DAC|
DAC|ROC,|ROC|YYZ|IST|DAC|
DAC|RSW,|RSW|MCO|FRA|IST|DAC|
DAC|SAN,|SAN|LAX|CAN|DAC|
DAC|SJO,|SJO|EWR|BHX|IST|DAC|
DAC|STL,|STL|ORD|IST|DAC|
DAC|SYR,|SYR|EWR|BHX|IST|DAC|
DAC|TLV,|TLV|IST|DAC|
DAC|TPA,|TPA|EWR|BHX|IST|DAC|
DAC|UVF,|UVF|EWR|BHX|IST|DAC|
DAC|VIE,|VIE|IST|DAC|
DAC|YAM,|YAM|YYZ|IST|DAC|
DAC|YGK,|YGK|YYZ|IST|DAC|
DAC|YQG,|YQG|YYZ|IST|DAC|
DAC|YSB,|YSB|YYZ|IST|DAC|
DAC|YTS,|YTS|YYZ|IST|DAC|
DAC|YYB,|YYB|YYZ|IST|DAC|
DAC|YZR,|YZR|YYZ|IST|DAC|
DAC|CAN,|CAN|DAC|
DAC|URC,|URC|CAN|DAC|
DAC|CTU,|CTU|CAN|DAC|
DAC|HGH,|HGH|CAN|DAC|
DAC|XMN,|XMN|CAN|DAC|
DAC|CGO,|CGO|CAN|DAC|
DAC|CSX,|CSX|CAN|DAC|
DAC|SHE,|SHE|CAN|DAC|
DAC|SJW,|SJW|CAN|DAC|
DAC|WUH,|WUH|CAN|DAC|
DAC|SZX,|SZX|MXZ|CAN|DAC|
DAC|CKG,|CKG|CAN|DAC|
DAC|KMG,|KMG|CAN|DAC|
DAC|FOC,|FOC|CAN|DAC|
DAC|NNG,|NNG|CAN|DAC|
DAC|SWA,|SWA|CAN|DAC|
DAC|ACX,|ACX|CAN|DAC|
DAC|AQG,|AQG|CAN|DAC|
DAC|AVA,|AVA|CAN|DAC|
DAC|BFJ,|BFJ|CAN|DAC|
DAC|BHY,|BHY|CAN|DAC|
DAC|BNE,|BNE|CAN|DAC|
DAC|CGD,|CGD|CAN|DAC|
DAC|CGK,|CGK|CAN|DAC|
DAC|CGQ,|CGQ|CAN|DAC|
DAC|CIH,|CIH|CAN|DAC|
DAC|CNX,|CNX|CAN|DAC|
DAC|CZX,|CZX|CAN|DAC|
DAC|DAD,|DAD|CAN|DAC|
DAC|DEL,|DEL|CAN|DAC|
DAC|DIG,|DIG|CAN|DAC|
DAC|DLC,|DLC|CAN|DAC|
DAC|DPS,|DPS|CAN|DAC|
DAC|DXB,|DXB|CAN|DAC|
DAC|DYG,|DYG|CAN|DAC|
DAC|FUG,|FUG|CAN|DAC|
DAC|FUK,|FUK|CAN|DAC|
DAC|HAK,|HAK|CAN|DAC|
DAC|HAN,|HAN|CAN|DAC|
DAC|HDG,|HDG|CAN|DAC|
DAC|HET,|HET|CAN|DAC|
DAC|HFE,|HFE|CAN|DAC|
DAC|HJJ,|HJJ|CAN|DAC|
DAC|HKT,|HKT|CAN|DAC|
DAC|HRB,|HRB|CAN|DAC|
DAC|HZH,|HZH|CAN|DAC|
DAC|JIU,|JIU|CAN|DAC|
DAC|JJN,|JJN|CAN|DAC|
DAC|JNG,|JNG|CAN|DAC|
DAC|KHN,|KHN|CAN|DAC|
DAC|KIX,|KIX|CAN|DAC|
DAC|KOW,|KOW|CAN|DAC|
DAC|KTM,|KTM|CAN|DAC|
DAC|KUL,|KUL|CAN|DAC|
DAC|KWE,|KWE|CAN|DAC|
DAC|KWL,|KWL|CAN|DAC|
DAC|LHW,|LHW|CAN|DAC|
DAC|LYA,|LYA|CAN|DAC|
DAC|LYG,|LYG|CAN|DAC|
DAC|LZH,|LZH|CAN|DAC|
DAC|MEL,|MEL|CAN|DAC|
DAC|MIG,|MIG|CAN|DAC|
DAC|MLE,|MLE|CAN|DAC|
DAC|MNL,|MNL|CAN|DAC|
DAC|MXZ,|MXZ|CAN|DAC|
DAC|NAO,|NAO|CAN|DAC|
DAC|NGB,|NGB|CAN|DAC|
DAC|NKG,|NKG|CAN|DAC|
DAC|NNY,|NNY|CAN|DAC|
DAC|PEN,|PEN|CAN|DAC|
DAC|PER,|PER|CAN|DAC|
DAC|PNH,|PNH|CAN|DAC|
DAC|REP,|REP|CAN|DAC|
DAC|RGN,|RGN|CAN|DAC|
DAC|SGN,|SGN|CAN|DAC|
DAC|SHA,|SHA|CAN|DAC|
DAC|SIN,|SIN|CAN|DAC|
DAC|SVO,|SVO|CAN|DAC|
DAC|SYX,|SYX|CAN|DAC|
DAC|TAO,|TAO|CAN|DAC|
DAC|TEN,|TEN|CAN|DAC|
DAC|TNA,|TNA|CAN|DAC|
DAC|TPE,|TPE|CAN|DAC|
DAC|TSN,|TSN|CAN|DAC|
DAC|TXN,|TXN|CAN|DAC|
DAC|TYN,|TYN|CAN|DAC|
DAC|WNZ,|WNZ|CAN|DAC|
DAC|WUX,|WUX|CAN|DAC|
DAC|XFN,|XFN|CAN|DAC|
DAC|XIY,|XIY|CAN|DAC|
DAC|XUZ,|XUZ|CAN|DAC|
DAC|YIH,|YIH|CAN|DAC|
DAC|YIW,|YIW|CAN|DAC|
DAC|YNT,|YNT|CAN|DAC|
DAC|YNZ,|YNZ|CAN|DAC|
DAC|YTY,|YTY|CAN|DAC|
DAC|ZHA,|ZHA|CAN|DAC|
DAC|ZYI,|ZYI|CAN|DAC|
DAC|BAV,|BAV|CSX|CAN|DAC|
DAC|CJU,|CJU|CSX|CAN|DAC|
DAC|DSN,|DSN|CGO|CAN|DAC|
DAC|HMI,|HMI|CGO|CAN|DAC|
DAC|INC,|INC|XIY|CAN|DAC|
DAC|KHH,|KHH|WUH|CAN|DAC|
DAC|UYN,|UYN|XIY|CAN|DAC|
DAC|XNN,|XNN|CKG|CAN|DAC|
DAC|ZUH,|ZUH|MXZ|CAN|DAC|
DAC|YNJ,|YNJ|ICN|CAN|DAC|
DAC|DAT,|DAT|CIH|CAN|DAC|
DAC|JHG,|JHG|KMG|CAN|DAC|
DAC|LJG,|LJG|KMG|CAN|DAC|
DAC|LXA,|LXA|CKG|CAN|DAC|
DAC|YCU,|YCU|CSX|CAN|DAC|
DAC|LZO,|LZO|CSX|CAN|DAC|
DAC|MDG,|MDG|DLC|CAN|DAC|
DAC|NGO,|NGO|PVG|CAN|DAC|
DAC|TOY,|TOY|DLC|CAN|DAC|
DAC|MFM,|MFM|XMN|CAN|DAC|
DAC|TGO,|TGO|HET|CAN|DAC|
DAC|XIL,|XIL|HET|CAN|DAC|
DAC|HEK,|HEK|HRB|CAN|DAC|
DAC|KIJ,|KIJ|HRB|CAN|DAC|
DAC|LDS,|LDS|HRB|CAN|DAC|
DAC|OHE,|OHE|HRB|CAN|DAC|
DAC|HSN,|HSN|XMN|CAN|DAC|
DAC|DLU,|DLU|KMG|CAN|DAC|
DAC|SYM,|SYM|KMG|CAN|DAC|
DAC|ZAT,|ZAT|KMG|CAN|DAC|
DAC|LUN,|LUN|NBO|IST|DAC|
DAC|AOG,|AOG|PEK|CAN|DAC|
DAC|GMP,|GMP|PEK|CAN|DAC|
DAC|ISB,|ISB|URC|CAN|DAC|
DAC|TAS,|TAS|URC|CAN|DAC|
DAC|WUS,|WUS|PEK|CAN|DAC|
DAC|JMU,|JMU|PVG|CAN|DAC|
DAC|NDG,|NDG|PVG|CAN|DAC|
DAC|JXA,|JXA|SHE|CAN|DAC|
DAC|PUS,|PUS|SHE|CAN|DAC|
DAC|BKI,|BKI|SZX|MXZ|CAN|DAC|
DAC|AKU,|AKU|URC|CAN|DAC|
