MLI|TEN,|TEN|PEK|ORD|MLI|
MLI|TNA,|TNA|DLC|PEK|ORD|MLI|
MLI|TPE,|TPE|PVG|ORD|MLI|
MLI|TSN,|TSN|DLC|PEK|ORD|MLI|
MLI|TXN,|TXN|DLC|PEK|ORD|MLI|
MLI|TYN,|TYN|DAT|CIH|PEK|ORD|MLI|
MLI|WNZ,|WNZ|CGO|PEK|ORD|MLI|
MLI|WUX,|WUX|CAN|PEK|ORD|MLI|
MLI|XFN,|XFN|XMN|PEK|ORD|MLI|
MLI|XIY,|XIY|PEK|ORD|MLI|
MLI|XUZ,|XUZ|LYG|HSN|PEK|ORD|MLI|
MLI|YIH,|YIH|CKG|PEK|ORD|MLI|
MLI|YIW,|YIW|PEK|ORD|MLI|
MLI|YNT,|YNT|SHE|PEK|ORD|MLI|
MLI|YNZ,|YNZ|DLC|PEK|ORD|MLI|
MLI|YTY,|YTY|DLC|PEK|ORD|MLI|
MLI|ZHA,|ZHA|CAN|PEK|ORD|MLI|
MLI|ZYI,|ZYI|PEK|ORD|MLI|
MLI|BAV,|BAV|CGO|PEK|ORD|MLI|
MLI|CJU,|CJU|DLC|PEK|ORD|MLI|
MLI|DSN,|DSN|CGO|PEK|ORD|MLI|
MLI|HMI,|HMI|CGO|PEK|ORD|MLI|
MLI|INC,|INC|PEK|ORD|MLI|
MLI|KHH,|KHH|CGO|PEK|ORD|MLI|
MLI|UYN,|UYN|CGO|PEK|ORD|MLI|
MLI|XNN,|XNN|PEK|ORD|MLI|
MLI|ZUH,|ZUH|PEK|ORD|MLI|
MLI|YNJ,|YNJ|ICN|YVR|DEN|MLI|
MLI|DAT,|DAT|CIH|PEK|ORD|MLI|
MLI|JHG,|JHG|CKG|PEK|ORD|MLI|
MLI|LJG,|LJG|CKG|PEK|ORD|MLI|
MLI|LXA,|LXA|XIY|PEK|ORD|MLI|
MLI|YCU,|YCU|CSX|PEK|ORD|MLI|
MLI|LZO,|LZO|CSX|PEK|ORD|MLI|
MLI|MDG,|MDG|ICN|YVR|DEN|MLI|
MLI|NGO,|NGO|ICN|YVR|DEN|MLI|
MLI|TOY,|TOY|DLC|PEK|ORD|MLI|
MLI|MFM,|MFM|XMN|PEK|ORD|MLI|
MLI|TGO,|TGO|HET|DLC|PEK|ORD|MLI|
MLI|XIL,|XIL|HET|DLC|PEK|ORD|MLI|
MLI|HEK,|HEK|HRB|PEK|ORD|MLI|
MLI|KIJ,|KIJ|HRB|PEK|ORD|MLI|
MLI|LDS,|LDS|HRB|PEK|ORD|MLI|
MLI|OHE,|OHE|HRB|PEK|ORD|MLI|
MLI|HSN,|HSN|PEK|ORD|MLI|
MLI|DLU,|DLU|KMG|PEK|ORD|MLI|
MLI|SYM,|SYM|KMG|PEK|ORD|MLI|
MLI|ZAT,|ZAT|KMG|PEK|ORD|MLI|
MLI|LUN,|LUN|NBO|ZRH|ORD|MLI|
MLI|AOG,|AOG|PEK|ORD|MLI|
MLI|GMP,|GMP|PEK|ORD|MLI|
MLI|ISB,|ISB|IST|ORD|MLI|
MLI|TAS,|TAS|IST|ORD|MLI|
MLI|WUS,|WUS|PEK|ORD|MLI|
MLI|JMU,|JMU|PVG|ORD|MLI|
MLI|NDG,|NDG|PVG|ORD|MLI|
MLI|JXA,|JXA|SHE|PEK|ORD|MLI|
MLI|PUS,|PUS|SHE|PEK|ORD|MLI|
MLI|BKI,|BKI|SZX|PEK|ORD|MLI|
MLI|AKU,|AKU|URC|TSE|FRA|ORD|MLI|
MLI|ALA,|ALA|TSE|FRA|ORD|MLI|
MLI|ASB,|ASB|GYD|FRA|ORD|MLI|
MLI|DNH,|DNH|XIY|PEK|ORD|MLI|
MLI|DYU,|DYU|IST|ORD|MLI|
MLI|FRU,|FRU|IST|ORD|MLI|
MLI|GYD,|GYD|FRA|ORD|MLI|
MLI|HTN,|HTN|URC|TSE|FRA|ORD|MLI|
MLI|IKA,|IKA|SAW|VIE|ORD|MLI|
MLI|KCA,|KCA|URC|TSE|FRA|ORD|MLI|
MLI|KHG,|KHG|URC|TSE|FRA|ORD|MLI|
MLI|KRL,|KRL|URC|TSE|FRA|ORD|MLI|
MLI|KRY,|KRY|URC|TSE|FRA|ORD|MLI|
MLI|LBD,|LBD|URC|TSE|FRA|ORD|MLI|
MLI|NLT,|NLT|URC|TSE|FRA|ORD|MLI|
MLI|OSS,|OSS|IST|ORD|MLI|
MLI|OVB,|OVB|IST|ORD|MLI|
MLI|TBS,|TBS|SAW|VIE|ORD|MLI|
MLI|TCG,|TCG|URC|TSE|FRA|ORD|MLI|
MLI|TSE,|TSE|FRA|ORD|MLI|
MLI|YIN,|YIN|URC|TSE|FRA|ORD|MLI|
MLI|ENH,|ENH|WUH|PEK|ORD|MLI|
MLI|ENY,|ENY|XIY|PEK|ORD|MLI|
MLI|WXN,|WXN|XIY|PEK|ORD|MLI|
MLI|BLL,|BLL|IST|ORD|MLI|
MLI|ESB,|ESB|VIE|ORD|MLI|
MLI|SAW,|SAW|VIE|ORD|MLI|
MLI|HAM,|HAM|EWR|ORD|MLI|
MLI|HRE,|HRE|ADD|IST|ORD|MLI|
MLI|JUB,|JUB|CAI|IST|ORD|MLI|
MLI|SSG,|SSG|DLA|BRU|ORD|MLI|
MLI|BGW,|BGW|ESB|VIE|ORD|MLI|
MLI|EBL,|EBL|IST|ORD|MLI|
MLI|VKO,|VKO|IST|ORD|MLI|
MLI|MCT,|MCT|IST|ORD|MLI|
MLI|AYT,|AYT|IST|ORD|MLI|
MLI|SCQ,|SCQ|BIO|IST|ORD|MLI|
MLI|AAL,|AAL|IST|ORD|MLI|
MLI|AOE,|AOE|BRU|ORD|MLI|
MLI|JNB,|JNB|DKR|IAD|ORD|MLI|
MLI|LBV,|LBV|DLA|BRU|ORD|MLI|
MLI|ADA,|ADA|IST|ORD|MLI|
MLI|ADB,|ADB|IST|ORD|MLI|
MLI|ADF,|ADF|ESB|VIE|ORD|MLI|
MLI|AJI,|AJI|ESB|VIE|ORD|MLI|
MLI|BAL,|BAL|ESB|VIE|ORD|MLI|
MLI|BJV,|BJV|IST|ORD|MLI|
MLI|CKZ,|CKZ|ESB|VIE|ORD|MLI|
MLI|DIY,|DIY|ESB|VIE|ORD|MLI|
MLI|ECN,|ECN|IST|ORD|MLI|
MLI|ERC,|ERC|ESB|VIE|ORD|MLI|
MLI|ERZ,|ERZ|ESB|VIE|ORD|MLI|
MLI|EZS,|EZS|ESB|VIE|ORD|MLI|
MLI|GNY,|GNY|ESB|VIE|ORD|MLI|
MLI|GZP,|GZP|ESB|VIE|ORD|MLI|
MLI|GZT,|GZT|ESB|VIE|ORD|MLI|
MLI|HTY,|HTY|IST|ORD|MLI|
MLI|KCM,|KCM|ESB|VIE|ORD|MLI|
MLI|KSY,|KSY|ESB|VIE|ORD|MLI|
MLI|MLX,|MLX|ESB|VIE|ORD|MLI|
MLI|MQM,|MQM|ESB|VIE|ORD|MLI|
MLI|MSR,|MSR|ESB|VIE|ORD|MLI|
MLI|TEQ,|TEQ|ESB|VIE|ORD|MLI|
MLI|TZX,|TZX|ESB|VIE|ORD|MLI|
MLI|VAN,|VAN|ESB|VIE|ORD|MLI|
MLI|ULN,|ULN|FRU|IST|ORD|MLI|
MLI|HIJ,|HIJ|ICN|YVR|DEN|MLI|
MLI|VVO,|VVO|ICN|YVR|DEN|MLI|
