GND|URC,|URC|TSE|FRA|YYZ|GND|
GND|CTU,|CTU|PEK|YYZ|GND|
GND|HGH,|HGH|PEK|YYZ|GND|
GND|XMN,|XMN|PEK|YYZ|GND|
GND|CGO,|CGO|PEK|YYZ|GND|
GND|CSX,|CSX|PEK|YYZ|GND|
GND|SHE,|SHE|PEK|YYZ|GND|
GND|SJW,|SJW|DLC|PEK|YYZ|GND|
GND|WUH,|WUH|PEK|YYZ|GND|
GND|SZX,|SZX|PEK|YYZ|GND|
GND|CKG,|CKG|PEK|YYZ|GND|
GND|KMG,|KMG|PEK|YYZ|GND|
GND|FOC,|FOC|PEK|YYZ|GND|
GND|NNG,|NNG|PEK|YYZ|GND|
GND|SWA,|SWA|PEK|YYZ|GND|
GND|ACX,|ACX|CAN|PEK|YYZ|GND|
GND|AQG,|AQG|CAN|PEK|YYZ|GND|
GND|AVA,|AVA|CAN|PEK|YYZ|GND|
GND|BFJ,|BFJ|CAN|PEK|YYZ|GND|
GND|BHY,|BHY|CGO|PEK|YYZ|GND|
GND|BNE,|BNE|CAN|PEK|YYZ|GND|
GND|CGD,|CGD|PEK|YYZ|GND|
GND|CGK,|CGK|CAN|PEK|YYZ|GND|
GND|CGQ,|CGQ|PEK|YYZ|GND|
GND|CIH,|CIH|PEK|YYZ|GND|
GND|CNX,|CNX|CAN|PEK|YYZ|GND|
GND|CZX,|CZX|SHE|PEK|YYZ|GND|
GND|DAC,|DAC|IST|YYZ|GND|
GND|DAD,|DAD|CAN|PEK|YYZ|GND|
GND|DEL,|DEL|EWR|YYZ|GND|
GND|DIG,|DIG|KMG|PEK|YYZ|GND|
GND|DLC,|DLC|PEK|YYZ|GND|
GND|DPS,|DPS|SZX|PEK|YYZ|GND|
GND|DXB,|DXB|IST|YYZ|GND|
GND|DYG,|DYG|PEK|YYZ|GND|
GND|FUG,|FUG|CAN|PEK|YYZ|GND|
GND|FUK,|FUK|ICN|PEK|YYZ|GND|
GND|HAK,|HAK|PEK|YYZ|GND|
GND|HAN,|HAN|PEK|YYZ|GND|
GND|HDG,|HDG|CAN|PEK|YYZ|GND|
GND|HET,|HET|DLC|PEK|YYZ|GND|
GND|HFE,|HFE|XIY|PEK|YYZ|GND|
GND|HJJ,|HJJ|CSX|PEK|YYZ|GND|
GND|HKT,|HKT|KWE|PEK|YYZ|GND|
GND|HRB,|HRB|PEK|YYZ|GND|
GND|HZH,|HZH|CAN|PEK|YYZ|GND|
GND|JIU,|JIU|CAN|PEK|YYZ|GND|
GND|JJN,|JJN|PEK|YYZ|GND|
GND|JNG,|JNG|CAN|PEK|YYZ|GND|
GND|KHN,|KHN|DLC|PEK|YYZ|GND|
GND|KIX,|KIX|SFO|YYZ|GND|
GND|KOW,|KOW|PEK|YYZ|GND|
GND|KTM,|KTM|IST|YYZ|GND|
GND|KUL,|KUL|CAN|PEK|YYZ|GND|
GND|KWE,|KWE|PEK|YYZ|GND|
GND|KWL,|KWL|PEK|YYZ|GND|
GND|LHW,|LHW|CGO|PEK|YYZ|GND|
GND|LYA,|LYA|KHN|DLC|PEK|YYZ|GND|
GND|LYG,|LYG|HSN|PEK|YYZ|GND|
GND|LZH,|LZH|CAN|PEK|YYZ|GND|
GND|MEL,|MEL|SYD|LAX|YYZ|GND|
GND|MIG,|MIG|CSX|PEK|YYZ|GND|
GND|MLE,|MLE|IST|YYZ|GND|
GND|MNL,|MNL|XMN|PEK|YYZ|GND|
GND|MXZ,|MXZ|CAN|PEK|YYZ|GND|
GND|NAO,|NAO|PEK|YYZ|GND|
GND|NGB,|NGB|PEK|YYZ|GND|
GND|NKG,|NKG|DLC|PEK|YYZ|GND|
GND|NNY,|NNY|CGO|PEK|YYZ|GND|
GND|PEN,|PEN|CAN|PEK|YYZ|GND|
GND|PER,|PER|CAN|PEK|YYZ|GND|
GND|PNH,|PNH|CAN|PEK|YYZ|GND|
GND|REP,|REP|CAN|PEK|YYZ|GND|
GND|RGN,|RGN|CAN|PEK|YYZ|GND|
GND|SGN,|SGN|CAN|PEK|YYZ|GND|
GND|SHA,|SHA|PEK|YYZ|GND|
GND|SIN,|SIN|CAN|PEK|YYZ|GND|
GND|SVO,|SVO|URC|TSE|FRA|YYZ|GND|
GND|SYX,|SYX|PEK|YYZ|GND|
GND|TAO,|TAO|DLC|PEK|YYZ|GND|
GND|TEN,|TEN|PEK|YYZ|GND|
GND|TNA,|TNA|DLC|PEK|YYZ|GND|
GND|TPE,|TPE|PVG|YYZ|GND|
GND|TSN,|TSN|DLC|PEK|YYZ|GND|
GND|TXN,|TXN|DLC|PEK|YYZ|GND|
GND|TYN,|TYN|DAT|CIH|PEK|YYZ|GND|
GND|WNZ,|WNZ|CGO|PEK|YYZ|GND|
GND|WUX,|WUX|CAN|PEK|YYZ|GND|
GND|XFN,|XFN|XMN|PEK|YYZ|GND|
GND|XIY,|XIY|PEK|YYZ|GND|
GND|XUZ,|XUZ|LYG|HSN|PEK|YYZ|GND|
GND|YIH,|YIH|CKG|PEK|YYZ|GND|
GND|YIW,|YIW|PEK|YYZ|GND|
GND|YNT,|YNT|SHE|PEK|YYZ|GND|
GND|YNZ,|YNZ|DLC|PEK|YYZ|GND|
GND|YTY,|YTY|DLC|PEK|YYZ|GND|
GND|ZHA,|ZHA|CAN|PEK|YYZ|GND|
GND|ZYI,|ZYI|PEK|YYZ|GND|
GND|BAV,|BAV|CGO|PEK|YYZ|GND|
GND|CJU,|CJU|DLC|PEK|YYZ|GND|
GND|DSN,|DSN|CGO|PEK|YYZ|GND|
GND|HMI,|HMI|URC|TSE|FRA|YYZ|GND|
GND|INC,|INC|PEK|YYZ|GND|
GND|KHH,|KHH|CGO|PEK|YYZ|GND|
GND|UYN,|UYN|CGO|PEK|YYZ|GND|
GND|XNN,|XNN|PEK|YYZ|GND|
GND|ZUH,|ZUH|PEK|YYZ|GND|
GND|YNJ,|YNJ|PEK|YYZ|GND|
GND|DAT,|DAT|CIH|PEK|YYZ|GND|
GND|JHG,|JHG|CKG|PEK|YYZ|GND|
GND|LJG,|LJG|CKG|PEK|YYZ|GND|
GND|LXA,|LXA|XIY|PEK|YYZ|GND|
GND|YCU,|YCU|CSX|PEK|YYZ|GND|
GND|LZO,|LZO|CSX|PEK|YYZ|GND|
GND|MDG,|MDG|DLC|PEK|YYZ|GND|
GND|NGO,|NGO|DLC|PEK|YYZ|GND|
GND|TOY,|TOY|DLC|PEK|YYZ|GND|
GND|MFM,|MFM|XMN|PEK|YYZ|GND|
GND|TGO,|TGO|HET|DLC|PEK|YYZ|GND|
GND|XIL,|XIL|HET|DLC|PEK|YYZ|GND|
GND|HEK,|HEK|HRB|PEK|YYZ|GND|
GND|KIJ,|KIJ|HRB|PEK|YYZ|GND|
GND|LDS,|LDS|HRB|PEK|YYZ|GND|
GND|OHE,|OHE|HRB|PEK|YYZ|GND|
GND|HSN,|HSN|PEK|YYZ|GND|
GND|DLU,|DLU|KMG|PEK|YYZ|GND|
GND|SYM,|SYM|KMG|PEK|YYZ|GND|
GND|ZAT,|ZAT|KMG|PEK|YYZ|GND|
GND|LUN,|LUN|NBO|ZRH|YYZ|GND|
GND|AOG,|AOG|PEK|YYZ|GND|
GND|GMP,|GMP|PEK|YYZ|GND|
GND|ISB,|ISB|IST|YYZ|GND|
GND|TAS,|TAS|IST|YYZ|GND|
GND|WUS,|WUS|PEK|YYZ|GND|
GND|JMU,|JMU|PVG|YYZ|GND|
GND|NDG,|NDG|PVG|YYZ|GND|
GND|JXA,|JXA|SHE|PEK|YYZ|GND|
GND|PUS,|PUS|SHE|PEK|YYZ|GND|
GND|BKI,|BKI|SZX|PEK|YYZ|GND|
GND|AKU,|AKU|URC|TSE|FRA|YYZ|GND|
GND|ALA,|ALA|TSE|FRA|YYZ|GND|
GND|ASB,|ASB|GYD|FRA|YYZ|GND|
GND|DNH,|DNH|URC|TSE|FRA|YYZ|GND|
GND|DYU,|DYU|IST|YYZ|GND|
GND|FRU,|FRU|IST|YYZ|GND|
GND|GYD,|GYD|FRA|YYZ|GND|
GND|HTN,|HTN|URC|TSE|FRA|YYZ|GND|
GND|IKA,|IKA|SAW|VIE|YYZ|GND|
GND|KCA,|KCA|URC|TSE|FRA|YYZ|GND|
GND|KHG,|KHG|URC|TSE|FRA|YYZ|GND|
GND|KRL,|KRL|URC|TSE|FRA|YYZ|GND|
GND|KRY,|KRY|URC|TSE|FRA|YYZ|GND|
GND|LBD,|LBD|URC|TSE|FRA|YYZ|GND|
GND|NLT,|NLT|URC|TSE|FRA|YYZ|GND|
GND|OSS,|OSS|IST|YYZ|GND|
GND|OVB,|OVB|IST|YYZ|GND|
