TAS|PHX,|PHX|DEN|FRA|IST|TAS|
TAS|PIT,|PIT|YYZ|IST|TAS|
TAS|PLS,|PLS|EWR|BHX|IST|TAS|
TAS|POP,|POP|EWR|BHX|IST|TAS|
TAS|RDU,|RDU|EWR|BHX|IST|TAS|
TAS|ROC,|ROC|YYZ|IST|TAS|
TAS|RSW,|RSW|MCO|FRA|IST|TAS|
TAS|SAN,|SAN|LAX|PEK|TAS|
TAS|SJO,|SJO|EWR|BHX|IST|TAS|
TAS|STL,|STL|ORD|IST|TAS|
TAS|SYR,|SYR|EWR|BHX|IST|TAS|
TAS|TLV,|TLV|IST|TAS|
TAS|TPA,|TPA|EWR|BHX|IST|TAS|
TAS|UVF,|UVF|EWR|BHX|IST|TAS|
TAS|VIE,|VIE|IST|TAS|
TAS|YAM,|YAM|YYZ|IST|TAS|
TAS|YGK,|YGK|YYZ|IST|TAS|
TAS|YQG,|YQG|YYZ|IST|TAS|
TAS|YSB,|YSB|YYZ|IST|TAS|
TAS|YTS,|YTS|YYZ|IST|TAS|
TAS|YYB,|YYB|YYZ|IST|TAS|
TAS|YZR,|YZR|YYZ|IST|TAS|
TAS|CAN,|CAN|URC|TAS|
TAS|URC,|URC|TAS|
TAS|CTU,|CTU|URC|TAS|
TAS|HGH,|HGH|URC|TAS|
TAS|XMN,|XMN|CSX|URC|TAS|
TAS|CGO,|CGO|URC|TAS|
TAS|CSX,|CSX|URC|TAS|
TAS|SHE,|SHE|HET|URC|TAS|
TAS|SJW,|SJW|URC|TAS|
TAS|WUH,|WUH|URC|TAS|
TAS|SZX,|SZX|CKG|URC|TAS|
TAS|CKG,|CKG|URC|TAS|
TAS|KMG,|KMG|CTU|URC|TAS|
TAS|FOC,|FOC|XIY|URC|TAS|
TAS|NNG,|NNG|KWE|URC|TAS|
TAS|SWA,|SWA|CSX|URC|TAS|
TAS|ACX,|ACX|CAN|URC|TAS|
TAS|AQG,|AQG|CAN|URC|TAS|
TAS|AVA,|AVA|CAN|URC|TAS|
TAS|BFJ,|BFJ|CAN|URC|TAS|
TAS|BHY,|BHY|CKG|URC|TAS|
TAS|BNE,|BNE|CAN|URC|TAS|
TAS|CGD,|CGD|PEK|TAS|
TAS|CGK,|CGK|CAN|URC|TAS|
TAS|CGQ,|CGQ|HET|URC|TAS|
TAS|CIH,|CIH|DAT|TYN|URC|TAS|
TAS|CNX,|CNX|CAN|URC|TAS|
TAS|CZX,|CZX|TYN|URC|TAS|
TAS|DAC,|DAC|CAN|URC|TAS|
TAS|DAD,|DAD|CAN|URC|TAS|
TAS|DEL,|DEL|IST|TAS|
TAS|DIG,|DIG|KMG|CTU|URC|TAS|
TAS|DLC,|DLC|PEK|TAS|
TAS|DPS,|DPS|CAN|URC|TAS|
TAS|DXB,|DXB|IST|TAS|
TAS|DYG,|DYG|CSX|URC|TAS|
TAS|FUG,|FUG|CAN|URC|TAS|
TAS|FUK,|FUK|ICN|PEK|TAS|
TAS|HAK,|HAK|CTU|URC|TAS|
TAS|HAN,|HAN|CAN|URC|TAS|
TAS|HDG,|HDG|CAN|URC|TAS|
TAS|HET,|HET|URC|TAS|
TAS|HFE,|HFE|XIY|URC|TAS|
TAS|HJJ,|HJJ|CSX|URC|TAS|
TAS|HKT,|HKT|KWE|URC|TAS|
TAS|HRB,|HRB|PEK|TAS|
TAS|HZH,|HZH|CAN|URC|TAS|
TAS|JIU,|JIU|CAN|URC|TAS|
TAS|JJN,|JJN|CSX|URC|TAS|
TAS|JNG,|JNG|CAN|URC|TAS|
TAS|KHN,|KHN|XIY|URC|TAS|
TAS|KIX,|KIX|DLC|PEK|TAS|
TAS|KOW,|KOW|CAN|URC|TAS|
TAS|KTM,|KTM|CAN|URC|TAS|
TAS|KUL,|KUL|BKK|NNG|KWE|URC|TAS|
TAS|KWE,|KWE|URC|TAS|
TAS|KWL,|KWL|CKG|URC|TAS|
TAS|LHW,|LHW|URC|TAS|
TAS|LYA,|LYA|KHN|XIY|URC|TAS|
TAS|LYG,|LYG|XUZ|INC|URC|TAS|
TAS|LZH,|LZH|CAN|URC|TAS|
TAS|MEL,|MEL|CAN|URC|TAS|
TAS|MIG,|MIG|CSX|URC|TAS|
TAS|MLE,|MLE|IST|TAS|
