ASR|PLS,|PLS|EWR|FRA|SAW|ASR|
ASR|POP,|POP|EWR|FRA|SAW|ASR|
ASR|RDU,|RDU|EWR|FRA|SAW|ASR|
ASR|ROC,|ROC|YYZ|VIE|SAW|ASR|
ASR|RSW,|RSW|MCO|FRA|SAW|ASR|
ASR|SAN,|SAN|LAX|IST|ASR|
ASR|SJO,|SJO|EWR|FRA|SAW|ASR|
ASR|STL,|STL|ORD|VIE|SAW|ASR|
ASR|SYR,|SYR|EWR|FRA|SAW|ASR|
ASR|TLV,|TLV|SAW|ASR|
ASR|TPA,|TPA|EWR|FRA|SAW|ASR|
ASR|UVF,|UVF|EWR|FRA|SAW|ASR|
ASR|VIE,|VIE|SAW|ASR|
ASR|YAM,|YAM|YYZ|VIE|SAW|ASR|
ASR|YGK,|YGK|YYZ|VIE|SAW|ASR|
ASR|YQG,|YQG|YYZ|VIE|SAW|ASR|
ASR|YSB,|YSB|YYZ|VIE|SAW|ASR|
ASR|YTS,|YTS|YYZ|VIE|SAW|ASR|
ASR|YYB,|YYB|YYZ|VIE|SAW|ASR|
ASR|YZR,|YZR|YYZ|VIE|SAW|ASR|
ASR|CAN,|CAN|IST|ASR|
ASR|URC,|URC|TBS|SAW|ASR|
ASR|CTU,|CTU|URC|TBS|SAW|ASR|
ASR|HGH,|HGH|URC|TBS|SAW|ASR|
ASR|XMN,|XMN|CSX|URC|TBS|SAW|ASR|
ASR|CGO,|CGO|URC|TBS|SAW|ASR|
ASR|CSX,|CSX|URC|TBS|SAW|ASR|
ASR|SHE,|SHE|PEK|IST|ASR|
ASR|SJW,|SJW|URC|TBS|SAW|ASR|
ASR|WUH,|WUH|URC|TBS|SAW|ASR|
ASR|SZX,|SZX|CKG|URC|TBS|SAW|ASR|
ASR|CKG,|CKG|URC|TBS|SAW|ASR|
ASR|KMG,|KMG|CTU|URC|TBS|SAW|ASR|
ASR|FOC,|FOC|XIY|URC|TBS|SAW|ASR|
ASR|NNG,|NNG|KWE|URC|TBS|SAW|ASR|
ASR|SWA,|SWA|CSX|URC|TBS|SAW|ASR|
ASR|ACX,|ACX|CAN|IST|ASR|
ASR|AQG,|AQG|CAN|IST|ASR|
ASR|AVA,|AVA|CAN|IST|ASR|
ASR|BFJ,|BFJ|CAN|IST|ASR|
ASR|BHY,|BHY|CKG|URC|TBS|SAW|ASR|
ASR|BNE,|BNE|BKK|IST|ASR|
ASR|CGD,|CGD|PEK|IST|ASR|
ASR|CGK,|CGK|SIN|IST|ASR|
ASR|CGQ,|CGQ|HET|URC|TBS|SAW|ASR|
ASR|CIH,|CIH|PEK|IST|ASR|
ASR|CNX,|CNX|CAN|IST|ASR|
ASR|CZX,|CZX|TYN|URC|TBS|SAW|ASR|
ASR|DAC,|DAC|IST|ASR|
ASR|DAD,|DAD|CAN|IST|ASR|
ASR|DEL,|DEL|IST|ASR|
ASR|DIG,|DIG|KMG|CTU|URC|TBS|SAW|ASR|
ASR|DLC,|DLC|PEK|IST|ASR|
ASR|DPS,|DPS|CAN|IST|ASR|
ASR|DXB,|DXB|IST|ASR|
ASR|DYG,|DYG|CSX|URC|TBS|SAW|ASR|
ASR|FUG,|FUG|CAN|IST|ASR|
ASR|FUK,|FUK|ICN|IST|ASR|
ASR|HAK,|HAK|CTU|URC|TBS|SAW|ASR|
ASR|HAN,|HAN|CAN|IST|ASR|
ASR|HDG,|HDG|CAN|IST|ASR|
ASR|HET,|HET|URC|TBS|SAW|ASR|
ASR|HFE,|HFE|XIY|URC|TBS|SAW|ASR|
ASR|HJJ,|HJJ|CSX|URC|TBS|SAW|ASR|
ASR|HKT,|HKT|KWE|URC|TBS|SAW|ASR|
ASR|HRB,|HRB|PEK|IST|ASR|
ASR|HZH,|HZH|CAN|IST|ASR|
ASR|JIU,|JIU|CAN|IST|ASR|
ASR|JJN,|JJN|CSX|URC|TBS|SAW|ASR|
ASR|JNG,|JNG|CAN|IST|ASR|
ASR|KHN,|KHN|XIY|URC|TBS|SAW|ASR|
ASR|KIX,|KIX|IST|ASR|
ASR|KOW,|KOW|CAN|IST|ASR|
ASR|KTM,|KTM|IST|ASR|
ASR|KUL,|KUL|IST|ASR|
ASR|KWE,|KWE|URC|TBS|SAW|ASR|
ASR|KWL,|KWL|CKG|URC|TBS|SAW|ASR|
ASR|LHW,|LHW|URC|TBS|SAW|ASR|
ASR|LYA,|LYA|KHN|XIY|URC|TBS|SAW|ASR|
ASR|LYG,|LYG|XUZ|INC|URC|TBS|SAW|ASR|
ASR|LZH,|LZH|CAN|IST|ASR|
ASR|MEL,|MEL|BKK|IST|ASR|
ASR|MIG,|MIG|CSX|URC|TBS|SAW|ASR|
ASR|MLE,|MLE|IST|ASR|
ASR|MNL,|MNL|CAN|IST|ASR|
ASR|MXZ,|MXZ|CAN|IST|ASR|
ASR|NAO,|NAO|PEK|IST|ASR|
ASR|NGB,|NGB|WUH|URC|TBS|SAW|ASR|
ASR|NKG,|NKG|URC|TBS|SAW|ASR|
ASR|NNY,|NNY|CGO|URC|TBS|SAW|ASR|
ASR|PEN,|PEN|CAN|IST|ASR|
ASR|PER,|PER|BKK|IST|ASR|
ASR|PNH,|PNH|CAN|IST|ASR|
ASR|REP,|REP|CAN|IST|ASR|
ASR|RGN,|RGN|CAN|IST|ASR|
ASR|SGN,|SGN|BKK|IST|ASR|
ASR|SHA,|SHA|URC|TBS|SAW|ASR|
ASR|SIN,|SIN|IST|ASR|
ASR|SVO,|SVO|URC|TBS|SAW|ASR|
ASR|SYX,|SYX|CKG|URC|TBS|SAW|ASR|
ASR|TAO,|TAO|TYN|URC|TBS|SAW|ASR|
ASR|TEN,|TEN|CAN|IST|ASR|
ASR|TNA,|TNA|URC|TBS|SAW|ASR|
ASR|TPE,|TPE|URC|TBS|SAW|ASR|
ASR|TSN,|TSN|HET|URC|TBS|SAW|ASR|
ASR|TXN,|TXN|TYN|URC|TBS|SAW|ASR|
ASR|TYN,|TYN|URC|TBS|SAW|ASR|
ASR|WNZ,|WNZ|XIY|URC|TBS|SAW|ASR|
ASR|WUX,|WUX|CAN|IST|ASR|
ASR|XFN,|XFN|CAN|IST|ASR|
ASR|XIY,|XIY|URC|TBS|SAW|ASR|
ASR|XUZ,|XUZ|INC|URC|TBS|SAW|ASR|
ASR|YIH,|YIH|CKG|URC|TBS|SAW|ASR|
ASR|YIW,|YIW|URC|TBS|SAW|ASR|
ASR|YNT,|YNT|SHE|PEK|IST|ASR|
ASR|YNZ,|YNZ|WUH|URC|TBS|SAW|ASR|
ASR|YTY,|YTY|CGO|URC|TBS|SAW|ASR|
ASR|ZHA,|ZHA|CAN|IST|ASR|
ASR|ZYI,|ZYI|CAN|IST|ASR|
ASR|BAV,|BAV|URC|TBS|SAW|ASR|
ASR|CJU,|CJU|DLC|PEK|IST|ASR|
ASR|DSN,|DSN|CGO|URC|TBS|SAW|ASR|
ASR|HMI,|HMI|URC|TBS|SAW|ASR|
ASR|INC,|INC|URC|TBS|SAW|ASR|
ASR|KHH,|KHH|WUH|URC|TBS|SAW|ASR|
ASR|UYN,|UYN|XIY|URC|TBS|SAW|ASR|
ASR|XNN,|XNN|URC|TBS|SAW|ASR|
ASR|ZUH,|ZUH|KWE|URC|TBS|SAW|ASR|
ASR|YNJ,|YNJ|PEK|IST|ASR|
ASR|DAT,|DAT|TYN|URC|TBS|SAW|ASR|
ASR|JHG,|JHG|KMG|CTU|URC|TBS|SAW|ASR|
ASR|LJG,|LJG|KMG|CTU|URC|TBS|SAW|ASR|
ASR|LXA,|LXA|CKG|URC|TBS|SAW|ASR|
ASR|YCU,|YCU|CKG|URC|TBS|SAW|ASR|
ASR|LZO,|LZO|CSX|URC|TBS|SAW|ASR|
ASR|MDG,|MDG|DLC|PEK|IST|ASR|
ASR|NGO,|NGO|ICN|IST|ASR|
ASR|TOY,|TOY|DLC|PEK|IST|ASR|
ASR|MFM,|MFM|XMN|CSX|URC|TBS|SAW|ASR|
ASR|TGO,|TGO|HET|URC|TBS|SAW|ASR|
ASR|XIL,|XIL|HET|URC|TBS|SAW|ASR|
ASR|HEK,|HEK|HRB|PEK|IST|ASR|
ASR|KIJ,|KIJ|HRB|PEK|IST|ASR|
ASR|LDS,|LDS|HRB|PEK|IST|ASR|
ASR|OHE,|OHE|HRB|PEK|IST|ASR|
ASR|HSN,|HSN|LYG|XUZ|INC|URC|TBS|SAW|ASR|
ASR|DLU,|DLU|KMG|CTU|URC|TBS|SAW|ASR|
ASR|SYM,|SYM|KMG|CTU|URC|TBS|SAW|ASR|
ASR|ZAT,|ZAT|KMG|CTU|URC|TBS|SAW|ASR|
ASR|LUN,|LUN|NBO|IST|ASR|
ASR|AOG,|AOG|PEK|IST|ASR|
ASR|GMP,|GMP|PEK|IST|ASR|
ASR|ISB,|ISB|IST|ASR|
ASR|TAS,|TAS|IST|ASR|
ASR|WUS,|WUS|PEK|IST|ASR|
ASR|JMU,|JMU|PVG|URC|TBS|SAW|ASR|
ASR|NDG,|NDG|PVG|URC|TBS|SAW|ASR|
ASR|JXA,|JXA|SHE|PEK|IST|ASR|
ASR|PUS,|PUS|SHE|PEK|IST|ASR|
ASR|BKI,|BKI|SZX|CKG|URC|TBS|SAW|ASR|
ASR|AKU,|AKU|URC|TBS|SAW|ASR|
ASR|ALA,|ALA|IST|ASR|
ASR|ASB,|ASB|IST|ASR|
ASR|DNH,|DNH|URC|TBS|SAW|ASR|
ASR|DYU,|DYU|IST|ASR|
ASR|FRU,|FRU|IST|ASR|
ASR|GYD,|GYD|IST|ASR|
ASR|HTN,|HTN|URC|TBS|SAW|ASR|
ASR|IKA,|IKA|SAW|ASR|
ASR|KCA,|KCA|URC|TBS|SAW|ASR|
ASR|KHG,|KHG|URC|TBS|SAW|ASR|
ASR|KRL,|KRL|URC|TBS|SAW|ASR|
ASR|KRY,|KRY|URC|TBS|SAW|ASR|
ASR|LBD,|LBD|URC|TBS|SAW|ASR|
ASR|NLT,|NLT|URC|TBS|SAW|ASR|
ASR|OSS,|OSS|IST|ASR|
ASR|OVB,|OVB|IST|ASR|
ASR|TBS,|TBS|SAW|ASR|
ASR|TCG,|TCG|URC|TBS|SAW|ASR|
ASR|TSE,|TSE|IST|ASR|
ASR|YIN,|YIN|URC|TBS|SAW|ASR|
ASR|ENH,|ENH|WUH|URC|TBS|SAW|ASR|
ASR|ENY,|ENY|XIY|URC|TBS|SAW|ASR|
ASR|WXN,|WXN|XIY|URC|TBS|SAW|ASR|
ASR|BLL,|BLL|IST|ASR|
ASR|ESB,|ESB|SAW|ASR|
ASR|SAW,|SAW|ASR|
ASR|HAM,|HAM|IST|ASR|
ASR|HRE,|HRE|ADD|IST|ASR|
ASR|JUB,|JUB|CAI|IST|ASR|
ASR|SSG,|SSG|DLA|IST|ASR|
ASR|BGW,|BGW|ESB|SAW|ASR|
ASR|EBL,|EBL|IST|ASR|
ASR|VKO,|VKO|IST|ASR|
ASR|MCT,|MCT|BAH|KWI|SAW|ASR|
ASR|AYT,|AYT|SAW|ASR|
ASR|SCQ,|SCQ|BIO|IST|ASR|
ASR|AAL,|AAL|IST|ASR|
ASR|AOE,|AOE|BRU|SAW|ASR|
ASR|JNB,|JNB|IST|ASR|
ASR|LBV,|LBV|DLA|IST|ASR|
ASR|ADA,|ADA|SAW|ASR|
ASR|ADB,|ADB|SAW|ASR|
ASR|ADF,|ADF|ESB|SAW|ASR|
ASR|AJI,|AJI|ESB|SAW|ASR|
ASR|BAL,|BAL|ESB|SAW|ASR|
ASR|BJV,|BJV|SAW|ASR|
ASR|CKZ,|CKZ|ESB|SAW|ASR|
ASR|DIY,|DIY|SAW|ASR|
ASR|ECN,|ECN|SAW|ASR|
ASR|ERC,|ERC|ESB|SAW|ASR|
ASR|ERZ,|ERZ|SAW|ASR|
ASR|EZS,|EZS|SAW|ASR|
ASR|GNY,|GNY|ESB|SAW|ASR|
ASR|GZP,|GZP|ESB|SAW|ASR|
ASR|GZT,|GZT|SAW|ASR|
ASR|HTY,|HTY|SAW|ASR|
ASR|KCM,|KCM|ESB|SAW|ASR|
ASR|KSY,|KSY|SAW|ASR|
ASR|MLX,|MLX|ESB|SAW|ASR|
ASR|MQM,|MQM|SAW|ASR|
ASR|MSR,|MSR|ESB|SAW|ASR|
ASR|TEQ,|TEQ|ESB|SAW|ASR|
ASR|TZX,|TZX|SAW|ASR|
ASR|VAN,|VAN|SAW|ASR|
ASR|ULN,|ULN|FRU|IST|ASR|
ASR|HIJ,|HIJ|ICN|IST|ASR|
ASR|VVO,|VVO|ICN|IST|ASR|
ASR|ACC,|ACC|IST|ASR|
ASR|AER,|AER|IST|ASR|
ASR|AGP,|AGP|IST|ASR|
ASR|ALG,|ALG|IST|ASR|
ASR|AMM,|AMM|IST|ASR|
ASR|AQJ,|AQJ|IST|ASR|
ASR|ARN,|ARN|IST|ASR|
ASR|ATH,|ATH|IST|ASR|
ASR|BAH,|BAH|KWI|SAW|ASR|
ASR|BEG,|BEG|IST|ASR|
ASR|BEN,|BEN|IST|ASR|
ASR|BEY,|BEY|IST|ASR|
ASR|BHX,|BHX|BRU|SAW|ASR|
ASR|BIO,|BIO|IST|ASR|
ASR|BLQ,|BLQ|IST|ASR|
ASR|BOM,|BOM|IST|ASR|
ASR|BRE,|BRE|IST|ASR|
ASR|BSL,|BSL|IST|ASR|
ASR|BSR,|BSR|IST|ASR|
ASR|BUD,|BUD|IST|ASR|
ASR|BUS,|BUS|IST|ASR|
ASR|CAI,|CAI|IST|ASR|
ASR|CGN,|CGN|IST|ASR|
ASR|CMN,|CMN|IST|ASR|
ASR|CND,|CND|IST|ASR|
ASR|DAR,|DAR|IST|ASR|
ASR|DLM,|DLM|IST|ASR|
ASR|DMM,|DMM|IST|ASR|
ASR|DNK,|DNK|IST|ASR|
ASR|DNZ,|DNZ|IST|ASR|
ASR|DOK,|DOK|IST|ASR|
ASR|DUS,|DUS|SAW|ASR|
ASR|EDI,|EDI|IST|ASR|
ASR|ELQ,|ELQ|IST|ASR|
ASR|FDH,|FDH|IST|ASR|
ASR|GOA,|GOA|IST|ASR|
ASR|GOT,|GOT|IST|ASR|
ASR|HAJ,|HAJ|IST|ASR|
ASR|HBE,|HBE|IST|ASR|
ASR|HEL,|HEL|IST|ASR|
ASR|HRG,|HRG|IST|ASR|
ASR|IFN,|IFN|IST|ASR|
ASR|ISE,|ISE|IST|ASR|
ASR|ISU,|ISU|IST|ASR|
ASR|JIB,|JIB|IST|ASR|
ASR|JRO,|JRO|IST|ASR|
ASR|KAN,|KAN|IST|ASR|
ASR|KBL,|KBL|IST|ASR|
ASR|KBP,|KBP|SAW|ASR|
ASR|KFS,|KFS|IST|ASR|
ASR|KHI,|KHI|IST|ASR|
ASR|KIV,|KIV|IST|ASR|
ASR|KRT,|KRT|IST|ASR|
ASR|KSH,|KSH|IST|ASR|
ASR|KVD,|KVD|IST|ASR|
ASR|KWI,|KWI|SAW|ASR|
ASR|KYA,|KYA|SAW|ASR|
ASR|KZN,|KZN|IST|ASR|
ASR|KZR,|KZR|IST|ASR|
ASR|LED,|LED|IST|ASR|
ASR|LEJ,|LEJ|IST|ASR|
ASR|LGW,|LGW|SAW|ASR|
ASR|LHE,|LHE|IST|ASR|
ASR|LIS,|LIS|IST|ASR|
ASR|LJU,|LJU|IST|ASR|
ASR|LOS,|LOS|IST|ASR|
ASR|LUX,|LUX|IST|ASR|
ASR|LWO,|LWO|IST|ASR|
ASR|LYS,|LYS|IST|ASR|
ASR|MAD,|MAD|IST|ASR|
ASR|MAN,|MAN|IST|ASR|
ASR|MED,|MED|IST|ASR|
ASR|MHD,|MHD|IST|ASR|
ASR|MLA,|MLA|SAW|ASR|
ASR|MRS,|MRS|IST|ASR|
ASR|MSQ,|MSQ|IST|ASR|
ASR|MXP,|MXP|SAW|ASR|
ASR|MZH,|MZH|IST|ASR|
ASR|MZR,|MZR|IST|ASR|
ASR|NAJ,|NAJ|IST|ASR|
ASR|NAV,|NAV|IST|ASR|
ASR|NCE,|NCE|IST|ASR|
ASR|NIM,|NIM|IST|ASR|
ASR|NJF,|NJF|IST|ASR|
ASR|NSI,|NSI|IST|ASR|
ASR|NUE,|NUE|IST|ASR|
ASR|ODS,|ODS|IST|ASR|
ASR|ORN,|ORN|IST|ASR|
ASR|OTP,|OTP|IST|ASR|
ASR|PRG,|PRG|IST|ASR|
ASR|PRN,|PRN|IST|ASR|
ASR|RIX,|RIX|IST|ASR|
ASR|ROV,|ROV|IST|ASR|
ASR|RTM,|RTM|IST|ASR|
ASR|RUH,|RUH|IST|ASR|
ASR|SAH,|SAH|IST|ASR|
ASR|SJJ,|SJJ|SAW|ASR|
ASR|SKG,|SKG|IST|ASR|
ASR|SKP,|SKP|IST|ASR|
ASR|SSH,|SSH|IST|ASR|
