SHD|KHG,|KHG|URC|TSE|FRA|IAD|SHD|
SHD|KRL,|KRL|URC|TSE|FRA|IAD|SHD|
SHD|KRY,|KRY|URC|TSE|FRA|IAD|SHD|
SHD|LBD,|LBD|URC|TSE|FRA|IAD|SHD|
SHD|NLT,|NLT|URC|TSE|FRA|IAD|SHD|
SHD|OSS,|OSS|IST|IAD|SHD|
SHD|OVB,|OVB|IST|IAD|SHD|
SHD|TBS,|TBS|SAW|FRA|IAD|SHD|
SHD|TCG,|TCG|URC|TSE|FRA|IAD|SHD|
SHD|TSE,|TSE|FRA|IAD|SHD|
SHD|YIN,|YIN|URC|TSE|FRA|IAD|SHD|
SHD|ENH,|ENH|WUH|PEK|IAD|SHD|
SHD|ENY,|ENY|XIY|PEK|IAD|SHD|
SHD|WXN,|WXN|XIY|PEK|IAD|SHD|
SHD|BLL,|BLL|IST|IAD|SHD|
SHD|ESB,|ESB|VIE|IAD|SHD|
SHD|SAW,|SAW|FRA|IAD|SHD|
SHD|HAM,|HAM|EWR|IAD|SHD|
SHD|HRE,|HRE|ADD|JED|FRA|IAD|SHD|
SHD|JUB,|JUB|CAI|JFK|IAD|SHD|
SHD|SSG,|SSG|DLA|BRU|IAD|SHD|
SHD|BGW,|BGW|ESB|VIE|IAD|SHD|
SHD|EBL,|EBL|IST|IAD|SHD|
SHD|VKO,|VKO|IST|IAD|SHD|
SHD|MCT,|MCT|IST|IAD|SHD|
SHD|AYT,|AYT|IST|IAD|SHD|
SHD|SCQ,|SCQ|BIO|IST|IAD|SHD|
SHD|AAL,|AAL|IST|IAD|SHD|
SHD|AOE,|AOE|BRU|IAD|SHD|
SHD|JNB,|JNB|DKR|IAD|SHD|
SHD|LBV,|LBV|DLA|BRU|IAD|SHD|
SHD|ADA,|ADA|SAW|FRA|IAD|SHD|
SHD|ADB,|ADB|HAM|EWR|IAD|SHD|
SHD|ADF,|ADF|ESB|VIE|IAD|SHD|
SHD|AJI,|AJI|ESB|VIE|IAD|SHD|
SHD|BAL,|BAL|ESB|VIE|IAD|SHD|
SHD|BJV,|BJV|IST|IAD|SHD|
SHD|CKZ,|CKZ|ESB|VIE|IAD|SHD|
SHD|DIY,|DIY|ESB|VIE|IAD|SHD|
SHD|ECN,|ECN|IST|IAD|SHD|
SHD|ERC,|ERC|ESB|VIE|IAD|SHD|
SHD|ERZ,|ERZ|ESB|VIE|IAD|SHD|
