SAP|HAM,|HAM|EWR|SAP|
SAP|HRE,|HRE|ADD|IST|ZRH|MIA|SAP|
SAP|JUB,|JUB|CAI|IST|ZRH|MIA|SAP|
SAP|SSG,|SSG|DLA|BRU|EWR|SAP|
SAP|BGW,|BGW|IST|ZRH|MIA|SAP|
SAP|EBL,|EBL|IST|ZRH|MIA|SAP|
SAP|VKO,|VKO|IST|ZRH|MIA|SAP|
SAP|MCT,|MCT|IST|ZRH|MIA|SAP|
SAP|AYT,|AYT|IST|ZRH|MIA|SAP|
SAP|SCQ,|SCQ|BIO|IST|ZRH|MIA|SAP|
SAP|AAL,|AAL|IST|ZRH|MIA|SAP|
SAP|AOE,|AOE|BRU|EWR|SAP|
SAP|JNB,|JNB|DKR|IAD|MIA|SAP|
SAP|LBV,|LBV|DLA|BRU|EWR|SAP|
SAP|ADA,|ADA|IST|ZRH|MIA|SAP|
SAP|ADB,|ADB|IST|ZRH|MIA|SAP|
SAP|ADF,|ADF|ESB|FRA|MIA|SAP|
SAP|AJI,|AJI|ESB|FRA|MIA|SAP|
SAP|BAL,|BAL|ESB|FRA|MIA|SAP|
SAP|BJV,|BJV|IST|ZRH|MIA|SAP|
SAP|CKZ,|CKZ|ESB|FRA|MIA|SAP|
SAP|DIY,|DIY|ESB|FRA|MIA|SAP|
SAP|ECN,|ECN|IST|ZRH|MIA|SAP|
SAP|ERC,|ERC|ESB|FRA|MIA|SAP|
SAP|ERZ,|ERZ|ESB|FRA|MIA|SAP|
SAP|EZS,|EZS|ESB|FRA|MIA|SAP|
SAP|GNY,|GNY|ESB|FRA|MIA|SAP|
SAP|GZP,|GZP|ESB|FRA|MIA|SAP|
SAP|GZT,|GZT|IST|ZRH|MIA|SAP|
SAP|HTY,|HTY|IST|ZRH|MIA|SAP|
SAP|KCM,|KCM|IST|ZRH|MIA|SAP|
SAP|KSY,|KSY|IST|ZRH|MIA|SAP|
SAP|MLX,|MLX|ESB|FRA|MIA|SAP|
SAP|MQM,|MQM|ESB|FRA|MIA|SAP|
SAP|MSR,|MSR|ESB|FRA|MIA|SAP|
SAP|TEQ,|TEQ|ESB|FRA|MIA|SAP|
SAP|TZX,|TZX|IST|ZRH|MIA|SAP|
SAP|VAN,|VAN|ESB|FRA|MIA|SAP|
SAP|ULN,|ULN|FRU|IST|ZRH|MIA|SAP|
SAP|HIJ,|HIJ|ICN|YVR|IAH|SAP|
SAP|VVO,|VVO|ICN|YVR|IAH|SAP|
SAP|ACC,|ACC|IST|ZRH|MIA|SAP|
SAP|AER,|AER|IST|ZRH|MIA|SAP|
SAP|AGP,|AGP|IST|ZRH|MIA|SAP|
SAP|ALG,|ALG|IST|ZRH|MIA|SAP|
SAP|AMM,|AMM|IST|ZRH|MIA|SAP|
SAP|AQJ,|AQJ|IST|ZRH|MIA|SAP|
SAP|ARN,|ARN|EWR|SAP|
SAP|ASR,|ASR|IST|ZRH|MIA|SAP|
SAP|ATH,|ATH|IST|ZRH|MIA|SAP|
SAP|BAH,|BAH|IST|ZRH|MIA|SAP|
SAP|BEG,|BEG|IST|ZRH|MIA|SAP|
SAP|BEN,|BEN|IST|ZRH|MIA|SAP|
SAP|BEY,|BEY|IST|ZRH|MIA|SAP|
SAP|BHX,|BHX|EWR|SAP|
SAP|BIO,|BIO|IST|ZRH|MIA|SAP|
SAP|BLQ,|BLQ|IST|ZRH|MIA|SAP|
SAP|BOM,|BOM|EWR|SAP|
SAP|BRE,|BRE|IST|ZRH|MIA|SAP|
SAP|BSL,|BSL|IST|ZRH|MIA|SAP|
SAP|BSR,|BSR|IST|ZRH|MIA|SAP|
SAP|BUD,|BUD|IST|ZRH|MIA|SAP|
SAP|BUS,|BUS|IST|ZRH|MIA|SAP|
SAP|CAI,|CAI|IST|ZRH|MIA|SAP|
SAP|CGN,|CGN|IST|ZRH|MIA|SAP|
SAP|CMN,|CMN|IST|ZRH|MIA|SAP|
SAP|CND,|CND|IST|ZRH|MIA|SAP|
SAP|DAR,|DAR|NBO|ZRH|MIA|SAP|
SAP|DLM,|DLM|IST|ZRH|MIA|SAP|
SAP|DMM,|DMM|IST|ZRH|MIA|SAP|
SAP|DNK,|DNK|IST|ZRH|MIA|SAP|
SAP|DNZ,|DNZ|IST|ZRH|MIA|SAP|
SAP|DOK,|DOK|IST|ZRH|MIA|SAP|
SAP|DUS,|DUS|EWR|SAP|
SAP|EDI,|EDI|EWR|SAP|
SAP|ELQ,|ELQ|IST|ZRH|MIA|SAP|
SAP|FDH,|FDH|IST|ZRH|MIA|SAP|
SAP|GOA,|GOA|IST|ZRH|MIA|SAP|
SAP|GOT,|GOT|BRU|EWR|SAP|
SAP|HAJ,|HAJ|BRU|EWR|SAP|
SAP|HBE,|HBE|IST|ZRH|MIA|SAP|
SAP|HEL,|HEL|IST|ZRH|MIA|SAP|
SAP|HRG,|HRG|IST|ZRH|MIA|SAP|
SAP|IFN,|IFN|IST|ZRH|MIA|SAP|
SAP|ISE,|ISE|IST|ZRH|MIA|SAP|
SAP|ISU,|ISU|IST|ZRH|MIA|SAP|
SAP|JIB,|JIB|IST|ZRH|MIA|SAP|
SAP|JRO,|JRO|IST|ZRH|MIA|SAP|
SAP|KAN,|KAN|IST|ZRH|MIA|SAP|
SAP|KBL,|KBL|IST|ZRH|MIA|SAP|
SAP|KBP,|KBP|IST|ZRH|MIA|SAP|
SAP|KFS,|KFS|IST|ZRH|MIA|SAP|
SAP|KHI,|KHI|IST|ZRH|MIA|SAP|
SAP|KIV,|KIV|IST|ZRH|MIA|SAP|
SAP|KRT,|KRT|IST|ZRH|MIA|SAP|
SAP|KSH,|KSH|IST|ZRH|MIA|SAP|
SAP|KVD,|KVD|IST|ZRH|MIA|SAP|
SAP|KWI,|KWI|IST|ZRH|MIA|SAP|
SAP|KYA,|KYA|IST|ZRH|MIA|SAP|
SAP|KZN,|KZN|IST|ZRH|MIA|SAP|
SAP|KZR,|KZR|IST|ZRH|MIA|SAP|
SAP|LED,|LED|VIE|IAD|MIA|SAP|
SAP|LEJ,|LEJ|IST|ZRH|MIA|SAP|
SAP|LGW,|LGW|IST|ZRH|MIA|SAP|
SAP|LHE,|LHE|IST|ZRH|MIA|SAP|
SAP|LIS,|LIS|MIA|SAP|
SAP|LJU,|LJU|IST|ZRH|MIA|SAP|
SAP|LOS,|LOS|IAH|SAP|
SAP|LUX,|LUX|IST|ZRH|MIA|SAP|
SAP|LWO,|LWO|IST|ZRH|MIA|SAP|
SAP|LYS,|LYS|IST|ZRH|MIA|SAP|
SAP|MAD,|MAD|EWR|SAP|
SAP|MAN,|MAN|EWR|SAP|
SAP|MED,|MED|IST|ZRH|MIA|SAP|
SAP|MHD,|MHD|IST|ZRH|MIA|SAP|
SAP|MLA,|MLA|IST|ZRH|MIA|SAP|
SAP|MRS,|MRS|IST|ZRH|MIA|SAP|
SAP|MSQ,|MSQ|IST|ZRH|MIA|SAP|
SAP|MXP,|MXP|EWR|SAP|
SAP|MZH,|MZH|IST|ZRH|MIA|SAP|
SAP|MZR,|MZR|IST|ZRH|MIA|SAP|
SAP|NAJ,|NAJ|IST|ZRH|MIA|SAP|
SAP|NAV,|NAV|IST|ZRH|MIA|SAP|
SAP|NCE,|NCE|IST|ZRH|MIA|SAP|
SAP|NIM,|NIM|IST|ZRH|MIA|SAP|
SAP|NJF,|NJF|IST|ZRH|MIA|SAP|
SAP|NSI,|NSI|BRU|EWR|SAP|
SAP|NUE,|NUE|IST|ZRH|MIA|SAP|
SAP|ODS,|ODS|IST|ZRH|MIA|SAP|
