RIC|DNK,|DNK|IST|BHX|EWR|RIC|
RIC|DNZ,|DNZ|IST|BHX|EWR|RIC|
RIC|DOK,|DOK|IST|BHX|EWR|RIC|
RIC|DUS,|DUS|EWR|RIC|
RIC|EDI,|EDI|EWR|RIC|
RIC|ELQ,|ELQ|IST|BHX|EWR|RIC|
RIC|FDH,|FDH|IST|BHX|EWR|RIC|
RIC|GOA,|GOA|IST|BHX|EWR|RIC|
RIC|GOT,|GOT|BRU|EWR|RIC|
RIC|HAJ,|HAJ|BRU|EWR|RIC|
RIC|HBE,|HBE|IST|BHX|EWR|RIC|
RIC|HEL,|HEL|IST|BHX|EWR|RIC|
RIC|HRG,|HRG|IST|BHX|EWR|RIC|
RIC|IFN,|IFN|IST|BHX|EWR|RIC|
RIC|ISE,|ISE|IST|BHX|EWR|RIC|
RIC|ISU,|ISU|IST|BHX|EWR|RIC|
RIC|JIB,|JIB|IST|BHX|EWR|RIC|
RIC|JRO,|JRO|IST|BHX|EWR|RIC|
RIC|KAN,|KAN|IST|BHX|EWR|RIC|
RIC|KBL,|KBL|IST|BHX|EWR|RIC|
RIC|KBP,|KBP|IST|BHX|EWR|RIC|
RIC|KFS,|KFS|IST|BHX|EWR|RIC|
RIC|KHI,|KHI|IST|BHX|EWR|RIC|
RIC|KIV,|KIV|IST|BHX|EWR|RIC|
RIC|KRT,|KRT|IST|BHX|EWR|RIC|
RIC|KSH,|KSH|IST|BHX|EWR|RIC|
RIC|KVD,|KVD|IST|BHX|EWR|RIC|
RIC|KWI,|KWI|SAW|FRA|EWR|RIC|
RIC|KYA,|KYA|IST|BHX|EWR|RIC|
RIC|KZN,|KZN|IST|BHX|EWR|RIC|
RIC|KZR,|KZR|IST|BHX|EWR|RIC|
RIC|LED,|LED|VIE|IAD|RIC|
RIC|LEJ,|LEJ|IST|BHX|EWR|RIC|
RIC|LGW,|LGW|IST|BHX|EWR|RIC|
RIC|LHE,|LHE|IST|BHX|EWR|RIC|
RIC|LIS,|LIS|EWR|RIC|
RIC|LJU,|LJU|IST|BHX|EWR|RIC|
RIC|LOS,|LOS|FRA|EWR|RIC|
RIC|LUX,|LUX|IST|BHX|EWR|RIC|
RIC|LWO,|LWO|IST|BHX|EWR|RIC|
RIC|LYS,|LYS|IST|BHX|EWR|RIC|
RIC|MAD,|MAD|EWR|RIC|
RIC|MAN,|MAN|EWR|RIC|
RIC|MED,|MED|IST|BHX|EWR|RIC|
RIC|MHD,|MHD|IST|BHX|EWR|RIC|
RIC|MLA,|MLA|IST|BHX|EWR|RIC|
RIC|MRS,|MRS|IST|BHX|EWR|RIC|
RIC|MSQ,|MSQ|IST|BHX|EWR|RIC|
RIC|MXP,|MXP|EWR|RIC|
RIC|MZH,|MZH|IST|BHX|EWR|RIC|
RIC|MZR,|MZR|IST|BHX|EWR|RIC|
RIC|NAJ,|NAJ|IST|BHX|EWR|RIC|
RIC|NAV,|NAV|IST|BHX|EWR|RIC|
RIC|NCE,|NCE|IST|BHX|EWR|RIC|
RIC|NIM,|NIM|IST|BHX|EWR|RIC|
RIC|NJF,|NJF|IST|BHX|EWR|RIC|
RIC|NSI,|NSI|BRU|EWR|RIC|
RIC|NUE,|NUE|IST|BHX|EWR|RIC|
RIC|ODS,|ODS|IST|BHX|EWR|RIC|
RIC|ORN,|ORN|IST|BHX|EWR|RIC|
RIC|OTP,|OTP|IST|BHX|EWR|RIC|
