ENH|DFW,|DFW|YVR|ICN|WUH|ENH|
ENH|DTW,|DTW|PEK|WUH|ENH|
ENH|DUB,|DUB|IST|URC|WUH|ENH|
ENH|FCO,|FCO|IST|URC|WUH|ENH|
ENH|GCM,|GCM|YYZ|PEK|WUH|ENH|
ENH|GGT,|GGT|YYZ|PEK|WUH|ENH|
ENH|GND,|GND|YYZ|PEK|WUH|ENH|
ENH|GRU,|GRU|IST|URC|WUH|ENH|
ENH|HAV,|HAV|YYZ|PEK|WUH|ENH|
ENH|IND,|IND|ORD|PEK|WUH|ENH|
ENH|JFK,|JFK|PEK|WUH|ENH|
ENH|KIN,|KIN|YYZ|PEK|WUH|ENH|
ENH|LIM,|LIM|IAH|PEK|WUH|ENH|
ENH|LIR,|LIR|IAH|PEK|WUH|ENH|
ENH|MCI,|MCI|DEN|YVR|ICN|WUH|ENH|
ENH|MDT,|MDT|YYZ|PEK|WUH|ENH|
ENH|MIA,|MIA|ORD|PEK|WUH|ENH|
ENH|MKE,|MKE|ORD|PEK|WUH|ENH|
ENH|MSP,|MSP|ORD|PEK|WUH|ENH|
ENH|NAS,|NAS|YYZ|PEK|WUH|ENH|
ENH|PHL,|PHL|YYZ|PEK|WUH|ENH|
ENH|PHX,|PHX|SFO|ICN|WUH|ENH|
ENH|PIT,|PIT|YYZ|PEK|WUH|ENH|
ENH|PLS,|PLS|EWR|PEK|WUH|ENH|
ENH|POP,|POP|EWR|PEK|WUH|ENH|
ENH|RDU,|RDU|YYZ|PEK|WUH|ENH|
ENH|ROC,|ROC|YYZ|PEK|WUH|ENH|
ENH|RSW,|RSW|ORD|PEK|WUH|ENH|
ENH|SAN,|SAN|LAX|ICN|WUH|ENH|
ENH|SJO,|SJO|IAH|PEK|WUH|ENH|
ENH|STL,|STL|ORD|PEK|WUH|ENH|
ENH|SYR,|SYR|YYZ|PEK|WUH|ENH|
ENH|TLV,|TLV|SAW|TBS|URC|WUH|ENH|
ENH|TPA,|TPA|ORD|PEK|WUH|ENH|
ENH|UVF,|UVF|EWR|PEK|WUH|ENH|
ENH|VIE,|VIE|IST|URC|WUH|ENH|
ENH|YAM,|YAM|YYZ|PEK|WUH|ENH|
ENH|YGK,|YGK|YYZ|PEK|WUH|ENH|
ENH|YQG,|YQG|YYZ|PEK|WUH|ENH|
ENH|YSB,|YSB|YYZ|PEK|WUH|ENH|
ENH|YTS,|YTS|YYZ|PEK|WUH|ENH|
ENH|YYB,|YYB|YYZ|PEK|WUH|ENH|
ENH|YZR,|YZR|YYZ|PEK|WUH|ENH|
ENH|CAN,|CAN|WUH|ENH|
ENH|URC,|URC|WUH|ENH|
ENH|CTU,|CTU|WUH|ENH|
ENH|HGH,|HGH|WUH|ENH|
ENH|XMN,|XMN|WUH|ENH|
ENH|CGO,|CGO|HGH|WUH|ENH|
ENH|CSX,|CSX|HGH|WUH|ENH|
ENH|SHE,|SHE|WUH|ENH|
ENH|SJW,|SJW|BAV|WUH|ENH|
ENH|WUH,|WUH|ENH|
ENH|SZX,|SZX|WUH|ENH|
ENH|CKG,|CKG|WUH|ENH|
ENH|KMG,|KMG|WUH|ENH|
ENH|FOC,|FOC|WUH|ENH|
ENH|NNG,|NNG|WUH|ENH|
ENH|SWA,|SWA|WUH|ENH|
ENH|ACX,|ACX|CAN|WUH|ENH|
ENH|AQG,|AQG|CAN|WUH|ENH|
ENH|AVA,|AVA|CAN|WUH|ENH|
ENH|BFJ,|BFJ|CAN|WUH|ENH|
ENH|BHY,|BHY|CAN|WUH|ENH|
ENH|BNE,|BNE|CAN|WUH|ENH|
ENH|CGD,|CGD|CAN|WUH|ENH|
ENH|CGK,|CGK|CAN|WUH|ENH|
ENH|CGQ,|CGQ|WUH|ENH|
ENH|CIH,|CIH|DAT|TYN|WUH|ENH|
ENH|CNX,|CNX|CAN|WUH|ENH|
ENH|CZX,|CZX|FOC|WUH|ENH|
ENH|DAC,|DAC|CAN|WUH|ENH|
ENH|DAD,|DAD|CAN|WUH|ENH|
ENH|DEL,|DEL|CAN|WUH|ENH|
ENH|DIG,|DIG|KMG|WUH|ENH|
ENH|DLC,|DLC|WUH|ENH|
ENH|DPS,|DPS|SZX|WUH|ENH|
ENH|DXB,|DXB|CAN|WUH|ENH|
ENH|DYG,|DYG|CAN|WUH|ENH|
ENH|FUG,|FUG|CAN|WUH|ENH|
ENH|FUK,|FUK|ICN|WUH|ENH|
ENH|HAK,|HAK|WUH|ENH|
ENH|HAN,|HAN|CAN|WUH|ENH|
ENH|HDG,|HDG|CAN|WUH|ENH|
ENH|HET,|HET|TNA|WUH|ENH|
ENH|HFE,|HFE|XIY|WUH|ENH|
ENH|HJJ,|HJJ|CAN|WUH|ENH|
ENH|HKT,|HKT|KWE|WUH|ENH|
ENH|HRB,|HRB|TNA|WUH|ENH|
ENH|HZH,|HZH|CAN|WUH|ENH|
ENH|JIU,|JIU|CAN|WUH|ENH|
ENH|JJN,|JJN|WUH|ENH|
ENH|JNG,|JNG|CAN|WUH|ENH|
ENH|KHN,|KHN|XMN|WUH|ENH|
ENH|KIX,|KIX|DLC|WUH|ENH|
ENH|KOW,|KOW|CAN|WUH|ENH|
ENH|KTM,|KTM|CAN|WUH|ENH|
ENH|KUL,|KUL|CAN|WUH|ENH|
ENH|KWE,|KWE|WUH|ENH|
ENH|KWL,|KWL|WUH|ENH|
ENH|LHW,|LHW|WUH|ENH|
ENH|LYA,|LYA|KHN|XMN|WUH|ENH|
ENH|LYG,|LYG|HSN|JJN|WUH|ENH|
ENH|LZH,|LZH|CAN|WUH|ENH|
ENH|MEL,|MEL|CAN|WUH|ENH|
ENH|MIG,|MIG|CAN|WUH|ENH|
ENH|MLE,|MLE|CAN|WUH|ENH|
ENH|MNL,|MNL|XMN|WUH|ENH|
ENH|MXZ,|MXZ|CAN|WUH|ENH|
ENH|NAO,|NAO|CAN|WUH|ENH|
ENH|NGB,|NGB|WUH|ENH|
ENH|NKG,|NKG|FOC|WUH|ENH|
ENH|NNY,|NNY|HGH|WUH|ENH|
ENH|PEN,|PEN|CAN|WUH|ENH|
ENH|PER,|PER|CAN|WUH|ENH|
ENH|PNH,|PNH|CAN|WUH|ENH|
ENH|REP,|REP|CAN|WUH|ENH|
ENH|RGN,|RGN|CAN|WUH|ENH|
ENH|SGN,|SGN|CAN|WUH|ENH|
ENH|SHA,|SHA|WUH|ENH|
ENH|SIN,|SIN|CAN|WUH|ENH|
ENH|SVO,|SVO|URC|WUH|ENH|
ENH|SYX,|SYX|WUH|ENH|
ENH|TAO,|TAO|WUH|ENH|
ENH|TEN,|TEN|CAN|WUH|ENH|
ENH|TNA,|TNA|WUH|ENH|
ENH|TPE,|TPE|WUH|ENH|
ENH|TSN,|TSN|WUH|ENH|
ENH|TXN,|TXN|XMN|WUH|ENH|
ENH|TYN,|TYN|WUH|ENH|
ENH|WNZ,|WNZ|WUH|ENH|
ENH|WUX,|WUX|CAN|WUH|ENH|
ENH|XFN,|XFN|CAN|WUH|ENH|
ENH|XIY,|XIY|WUH|ENH|
ENH|XUZ,|XUZ|CAN|WUH|ENH|
ENH|YIH,|YIH|CKG|WUH|ENH|
ENH|YIW,|YIW|XMN|WUH|ENH|
ENH|YNT,|YNT|SHE|WUH|ENH|
ENH|YNZ,|YNZ|WUH|ENH|
ENH|YTY,|YTY|DLC|WUH|ENH|
ENH|ZHA,|ZHA|CAN|WUH|ENH|
ENH|ZYI,|ZYI|CAN|WUH|ENH|
ENH|BAV,|BAV|WUH|ENH|
ENH|CJU,|CJU|DLC|WUH|ENH|
ENH|DSN,|DSN|CGO|HGH|WUH|ENH|
ENH|HMI,|HMI|URC|WUH|ENH|
ENH|INC,|INC|WUH|ENH|
ENH|KHH,|KHH|WUH|ENH|
ENH|UYN,|UYN|XIY|WUH|ENH|
ENH|XNN,|XNN|XIY|WUH|ENH|
ENH|ZUH,|ZUH|WUH|ENH|
ENH|YNJ,|YNJ|DLC|WUH|ENH|
ENH|DAT,|DAT|TYN|WUH|ENH|
ENH|JHG,|JHG|KMG|WUH|ENH|
ENH|LJG,|LJG|CKG|WUH|ENH|
ENH|LXA,|LXA|CKG|WUH|ENH|
ENH|YCU,|YCU|CKG|WUH|ENH|
ENH|LZO,|LZO|SZX|WUH|ENH|
ENH|MDG,|MDG|DLC|WUH|ENH|
ENH|NGO,|NGO|PVG|WUH|ENH|
ENH|TOY,|TOY|DLC|WUH|ENH|
ENH|MFM,|MFM|XMN|WUH|ENH|
ENH|TGO,|TGO|HET|TNA|WUH|ENH|
ENH|XIL,|XIL|HET|TNA|WUH|ENH|
ENH|HEK,|HEK|HRB|TNA|WUH|ENH|
ENH|KIJ,|KIJ|HRB|TNA|WUH|ENH|
ENH|LDS,|LDS|HRB|TNA|WUH|ENH|
ENH|OHE,|OHE|HRB|TNA|WUH|ENH|
ENH|HSN,|HSN|JJN|WUH|ENH|
ENH|DLU,|DLU|KWE|WUH|ENH|
ENH|SYM,|SYM|KMG|WUH|ENH|
ENH|ZAT,|ZAT|KMG|WUH|ENH|
ENH|LUN,|LUN|NBO|CAN|WUH|ENH|
ENH|AOG,|AOG|PEK|WUH|ENH|
ENH|GMP,|GMP|PEK|WUH|ENH|
ENH|ISB,|ISB|URC|WUH|ENH|
ENH|TAS,|TAS|URC|WUH|ENH|
ENH|WUS,|WUS|PEK|WUH|ENH|
ENH|JMU,|JMU|PVG|WUH|ENH|
