MFE|DXB,|DXB|IST|IAH|MFE|
MFE|DYG,|DYG|PEK|IAH|MFE|
MFE|FUG,|FUG|CAN|YVR|IAH|MFE|
MFE|FUK,|FUK|ICN|YVR|IAH|MFE|
MFE|HAK,|HAK|CAN|YVR|IAH|MFE|
MFE|HAN,|HAN|PEK|IAH|MFE|
MFE|HDG,|HDG|CAN|YVR|IAH|MFE|
MFE|HET,|HET|DLC|ICN|YVR|IAH|MFE|
MFE|HFE,|HFE|XIY|PEK|IAH|MFE|
MFE|HJJ,|HJJ|CSX|PEK|IAH|MFE|
MFE|HKT,|HKT|KWE|PEK|IAH|MFE|
MFE|HRB,|HRB|ICN|YVR|IAH|MFE|
MFE|HZH,|HZH|CAN|YVR|IAH|MFE|
MFE|JIU,|JIU|CAN|YVR|IAH|MFE|
MFE|JJN,|JJN|PEK|IAH|MFE|
MFE|JNG,|JNG|CAN|YVR|IAH|MFE|
MFE|KHN,|KHN|DLC|ICN|YVR|IAH|MFE|
MFE|KIX,|KIX|SFO|IAH|MFE|
MFE|KOW,|KOW|PEK|IAH|MFE|
MFE|KTM,|KTM|IST|IAH|MFE|
MFE|KUL,|KUL|PVG|YVR|IAH|MFE|
MFE|KWE,|KWE|PEK|IAH|MFE|
MFE|KWL,|KWL|PEK|IAH|MFE|
MFE|LHW,|LHW|CGO|PEK|IAH|MFE|
MFE|LYA,|LYA|KHN|DLC|ICN|YVR|IAH|MFE|
MFE|LYG,|LYG|HSN|PEK|IAH|MFE|
MFE|LZH,|LZH|CAN|YVR|IAH|MFE|
MFE|MEL,|MEL|SYD|LAX|IAH|MFE|
MFE|MIG,|MIG|CSX|PEK|IAH|MFE|
MFE|MLE,|MLE|IST|IAH|MFE|
MFE|MNL,|MNL|XMN|PEK|IAH|MFE|
MFE|MXZ,|MXZ|CAN|YVR|IAH|MFE|
MFE|NAO,|NAO|PEK|IAH|MFE|
MFE|NGB,|NGB|PEK|IAH|MFE|
MFE|NKG,|NKG|DLC|ICN|YVR|IAH|MFE|
MFE|NNY,|NNY|CGO|PEK|IAH|MFE|
MFE|PEN,|PEN|CAN|YVR|IAH|MFE|
MFE|PER,|PER|CAN|YVR|IAH|MFE|
MFE|PNH,|PNH|CAN|YVR|IAH|MFE|
MFE|REP,|REP|ICN|YVR|IAH|MFE|
MFE|RGN,|RGN|CAN|YVR|IAH|MFE|
MFE|SGN,|SGN|HKG|YVR|IAH|MFE|
MFE|SHA,|SHA|PEK|IAH|MFE|
MFE|SIN,|SIN|HKG|YVR|IAH|MFE|
MFE|SVO,|SVO|URC|PEK|IAH|MFE|
MFE|SYX,|SYX|CAN|YVR|IAH|MFE|
