RIX|MGQ,|MGQ|JIB|IST|RIX|
RIX|CPT,|CPT|JNB|IST|RIX|
RIX|MBA,|MBA|JRO|IST|RIX|
RIX|NDJ,|NDJ|KAN|IST|RIX|
RIX|CMB,|CMB|MLE|IST|RIX|
RIX|ADE,|ADE|SAH|IST|RIX|
RIX|ASF,|ASF|SAW|ADB|IST|RIX|
RIX|STW,|STW|SAW|ADB|IST|RIX|
RIX|LFW,|LFW|ABJ|OUA|NIM|IST|RIX|
RIX|CEC,|CEC|ACV|SMF|SEA|FRA|IST|RIX|
RIX|SMF,|SMF|SEA|FRA|IST|RIX|
RIX|CDR,|CDR|AIA|DEN|FRA|IST|RIX|
RIX|FMN,|FMN|DEN|FRA|IST|RIX|
RIX|JST,|JST|IAD|IST|RIX|
RIX|JHW,|JHW|CLE|YYZ|IST|RIX|
RIX|SHD,|SHD|IAD|IST|RIX|
RIX|PTY,|PTY|MIA|ZRH|IST|RIX|
RIX|FNA,|FNA|BRU|IST|RIX|
RIX|SXB,|SXB|BRU|IST|RIX|
RIX|ACV,|ACV|SMF|SEA|FRA|IST|RIX|
RIX|MGW,|MGW|IAD|IST|RIX|
RIX|ALB,|ALB|EWR|BHX|IST|RIX|
RIX|AUS,|AUS|ORD|IST|RIX|
RIX|BFD,|BFD|CLE|YYZ|IST|RIX|
RIX|BUF,|BUF|EWR|BHX|IST|RIX|
RIX|CHS,|CHS|EWR|BHX|IST|RIX|
RIX|DAY,|DAY|CLE|YYZ|IST|RIX|
RIX|DUJ,|DUJ|CLE|YYZ|IST|RIX|
RIX|ERI,|ERI|CLE|YYZ|IST|RIX|
RIX|FKL,|FKL|CLE|YYZ|IST|RIX|
RIX|FNT,|FNT|CLE|YYZ|IST|RIX|
RIX|GRR,|GRR|CLE|YYZ|IST|RIX|
RIX|GSP,|GSP|EWR|BHX|IST|RIX|
RIX|PBI,|PBI|EWR|BHX|IST|RIX|
RIX|PKB,|PKB|CLE|YYZ|IST|RIX|
RIX|RIC,|RIC|EWR|BHX|IST|RIX|
RIX|SDF,|SDF|CLE|YYZ|IST|RIX|
RIX|GUM,|GUM|FUK|ICN|IST|RIX|
RIX|WRL,|WRL|CYS|DEN|FRA|IST|RIX|
RIX|LBL,|RIX|
RIX|ABQ,|ABQ|DEN|FRA|IST|RIX|
