ABJ|JIU,|JIU|CAN|IST|ABJ|
ABJ|JJN,|JJN|CSX|URC|IST|ABJ|
ABJ|JNG,|JNG|CAN|IST|ABJ|
ABJ|KHN,|KHN|XIY|URC|IST|ABJ|
ABJ|KIX,|KIX|IST|ABJ|
ABJ|KOW,|KOW|CAN|IST|ABJ|
ABJ|KTM,|KTM|IST|ABJ|
ABJ|KUL,|KUL|IST|ABJ|
ABJ|KWE,|KWE|URC|IST|ABJ|
ABJ|KWL,|KWL|CKG|URC|IST|ABJ|
ABJ|LHW,|LHW|URC|IST|ABJ|
ABJ|LYA,|LYA|KHN|XIY|URC|IST|ABJ|
ABJ|LYG,|LYG|XUZ|INC|URC|IST|ABJ|
ABJ|LZH,|LZH|CAN|IST|ABJ|
ABJ|MEL,|MEL|BKK|IST|ABJ|
ABJ|MIG,|MIG|CSX|URC|IST|ABJ|
ABJ|MLE,|MLE|IST|ABJ|
ABJ|MNL,|MNL|CAN|IST|ABJ|
ABJ|MXZ,|MXZ|CAN|IST|ABJ|
ABJ|NAO,|NAO|PEK|IST|ABJ|
ABJ|NGB,|NGB|WUH|URC|IST|ABJ|
ABJ|NKG,|NKG|URC|IST|ABJ|
ABJ|NNY,|NNY|CGO|URC|IST|ABJ|
ABJ|PEN,|PEN|CAN|IST|ABJ|
ABJ|PER,|PER|BKK|IST|ABJ|
ABJ|PNH,|PNH|CAN|IST|ABJ|
ABJ|REP,|REP|CAN|IST|ABJ|
ABJ|RGN,|RGN|CAN|IST|ABJ|
ABJ|SGN,|SGN|BKK|IST|ABJ|
ABJ|SHA,|SHA|URC|IST|ABJ|
ABJ|SIN,|SIN|IST|ABJ|
ABJ|SVO,|SVO|URC|IST|ABJ|
ABJ|SYX,|SYX|CKG|URC|IST|ABJ|
ABJ|TAO,|TAO|TYN|URC|IST|ABJ|
ABJ|TEN,|TEN|CAN|IST|ABJ|
ABJ|TNA,|TNA|URC|IST|ABJ|
ABJ|TPE,|TPE|URC|IST|ABJ|
ABJ|TSN,|TSN|HET|URC|IST|ABJ|
