CMH|HEK,|HEK|HRB|PEK|ORD|CMH|
CMH|KIJ,|KIJ|HRB|PEK|ORD|CMH|
CMH|LDS,|LDS|HRB|PEK|ORD|CMH|
CMH|OHE,|OHE|HRB|PEK|ORD|CMH|
CMH|HSN,|HSN|PEK|ORD|CMH|
CMH|DLU,|DLU|KMG|PEK|ORD|CMH|
CMH|SYM,|SYM|KMG|PEK|ORD|CMH|
CMH|ZAT,|ZAT|KMG|PEK|ORD|CMH|
CMH|LUN,|LUN|NBO|ZRH|YYZ|CMH|
CMH|AOG,|AOG|PEK|ORD|CMH|
CMH|GMP,|GMP|PEK|ORD|CMH|
CMH|ISB,|ISB|IST|YYZ|CMH|
CMH|TAS,|TAS|IST|YYZ|CMH|
CMH|WUS,|WUS|PEK|ORD|CMH|
CMH|JMU,|JMU|PVG|ORD|CMH|
CMH|NDG,|NDG|PVG|ORD|CMH|
CMH|JXA,|JXA|SHE|PEK|ORD|CMH|
CMH|PUS,|PUS|SHE|PEK|ORD|CMH|
CMH|BKI,|BKI|SZX|PEK|ORD|CMH|
CMH|AKU,|AKU|URC|TSE|FRA|YYZ|CMH|
CMH|ALA,|ALA|TSE|FRA|YYZ|CMH|
CMH|ASB,|ASB|GYD|FRA|YYZ|CMH|
CMH|DNH,|DNH|URC|TSE|FRA|YYZ|CMH|
CMH|DYU,|DYU|IST|YYZ|CMH|
CMH|FRU,|FRU|IST|YYZ|CMH|
CMH|GYD,|GYD|FRA|YYZ|CMH|
CMH|HTN,|HTN|URC|TSE|FRA|YYZ|CMH|
CMH|IKA,|IKA|SAW|VIE|YYZ|CMH|
CMH|KCA,|KCA|URC|TSE|FRA|YYZ|CMH|
CMH|KHG,|KHG|URC|TSE|FRA|YYZ|CMH|
CMH|KRL,|KRL|URC|TSE|FRA|YYZ|CMH|
CMH|KRY,|KRY|URC|TSE|FRA|YYZ|CMH|
CMH|LBD,|LBD|URC|TSE|FRA|YYZ|CMH|
CMH|NLT,|NLT|URC|TSE|FRA|YYZ|CMH|
CMH|OSS,|OSS|IST|YYZ|CMH|
CMH|OVB,|OVB|IST|YYZ|CMH|
CMH|TBS,|TBS|SAW|VIE|YYZ|CMH|
CMH|TCG,|TCG|URC|TSE|FRA|YYZ|CMH|
CMH|TSE,|TSE|FRA|YYZ|CMH|
CMH|YIN,|YIN|URC|TSE|FRA|YYZ|CMH|
CMH|ENH,|ENH|WUH|PEK|ORD|CMH|
CMH|ENY,|ENY|XIY|PEK|ORD|CMH|
CMH|WXN,|WXN|XIY|PEK|ORD|CMH|
CMH|BLL,|BLL|IST|YYZ|CMH|
CMH|ESB,|ESB|VIE|YYZ|CMH|
CMH|SAW,|SAW|VIE|YYZ|CMH|
CMH|HAM,|HAM|EWR|CMH|
CMH|HRE,|HRE|ADD|JED|FRA|YYZ|CMH|
CMH|JUB,|JUB|CAI|JFK|IAD|CMH|
CMH|SSG,|SSG|DLA|BRU|YUL|YYZ|CMH|
CMH|BGW,|BGW|ESB|VIE|YYZ|CMH|
CMH|EBL,|EBL|IST|YYZ|CMH|
CMH|VKO,|VKO|IST|YYZ|CMH|
CMH|MCT,|MCT|AUH|YYZ|CMH|
CMH|AYT,|AYT|IST|YYZ|CMH|
CMH|SCQ,|SCQ|BIO|IST|YYZ|CMH|
CMH|AAL,|AAL|IST|YYZ|CMH|
CMH|AOE,|AOE|BRU|YUL|YYZ|CMH|
CMH|JNB,|JNB|DKR|IAD|CMH|
CMH|LBV,|LBV|DLA|BRU|YUL|YYZ|CMH|
CMH|ADA,|ADA|SAW|VIE|YYZ|CMH|
CMH|ADB,|ADB|IST|YYZ|CMH|
CMH|ADF,|ADF|ESB|VIE|YYZ|CMH|
CMH|AJI,|AJI|ESB|VIE|YYZ|CMH|
CMH|BAL,|BAL|ESB|VIE|YYZ|CMH|
CMH|BJV,|BJV|IST|YYZ|CMH|
CMH|CKZ,|CKZ|ESB|VIE|YYZ|CMH|
CMH|DIY,|DIY|ESB|VIE|YYZ|CMH|
CMH|ECN,|ECN|IST|YYZ|CMH|
CMH|ERC,|ERC|ESB|VIE|YYZ|CMH|
CMH|ERZ,|ERZ|ESB|VIE|YYZ|CMH|
CMH|EZS,|EZS|ESB|VIE|YYZ|CMH|
CMH|GNY,|GNY|ESB|VIE|YYZ|CMH|
CMH|GZP,|GZP|ESB|VIE|YYZ|CMH|
CMH|GZT,|GZT|ESB|VIE|YYZ|CMH|
CMH|HTY,|HTY|SAW|VIE|YYZ|CMH|
CMH|KCM,|KCM|ESB|VIE|YYZ|CMH|
