GRU|YYB,|YYB|YYZ|GRU|
GRU|YZR,|YZR|YYZ|GRU|
GRU|CAN,|CAN|IST|GRU|
GRU|URC,|URC|IST|GRU|
GRU|CTU,|CTU|URC|IST|GRU|
GRU|HGH,|HGH|URC|IST|GRU|
GRU|XMN,|XMN|CSX|URC|IST|GRU|
GRU|CGO,|CGO|URC|IST|GRU|
GRU|CSX,|CSX|URC|IST|GRU|
GRU|SHE,|SHE|PEK|IST|GRU|
GRU|SJW,|SJW|URC|IST|GRU|
GRU|WUH,|WUH|URC|IST|GRU|
GRU|SZX,|SZX|CKG|URC|IST|GRU|
GRU|CKG,|CKG|URC|IST|GRU|
GRU|KMG,|KMG|CTU|URC|IST|GRU|
GRU|FOC,|FOC|XIY|URC|IST|GRU|
GRU|NNG,|NNG|KWE|URC|IST|GRU|
GRU|SWA,|SWA|CAN|IST|GRU|
GRU|ACX,|ACX|CAN|IST|GRU|
GRU|AQG,|AQG|CAN|IST|GRU|
GRU|AVA,|AVA|CAN|IST|GRU|
GRU|BFJ,|BFJ|CAN|IST|GRU|
GRU|BHY,|BHY|CKG|URC|IST|GRU|
GRU|BNE,|BNE|BKK|IST|GRU|
GRU|CGD,|CGD|PEK|IST|GRU|
GRU|CGK,|CGK|SIN|IST|GRU|
GRU|CGQ,|CGQ|HET|URC|IST|GRU|
GRU|CIH,|CIH|PEK|IST|GRU|
GRU|CNX,|CNX|CAN|IST|GRU|
GRU|CZX,|CZX|TYN|URC|IST|GRU|
GRU|DAC,|DAC|IST|GRU|
GRU|DAD,|DAD|CAN|IST|GRU|
GRU|DEL,|DEL|IST|GRU|
GRU|DIG,|DIG|KMG|CTU|URC|IST|GRU|
GRU|DLC,|DLC|PEK|IST|GRU|
GRU|DPS,|DPS|CAN|IST|GRU|
GRU|DXB,|DXB|IST|GRU|
GRU|DYG,|DYG|CSX|URC|IST|GRU|
GRU|FUG,|FUG|CAN|IST|GRU|
GRU|FUK,|FUK|ICN|IST|GRU|
GRU|HAK,|HAK|CTU|URC|IST|GRU|
GRU|HAN,|HAN|CAN|IST|GRU|
GRU|HDG,|HDG|CAN|IST|GRU|
GRU|HET,|HET|URC|IST|GRU|
GRU|HFE,|HFE|XIY|URC|IST|GRU|
GRU|HJJ,|HJJ|CSX|URC|IST|GRU|
GRU|HKT,|HKT|KWE|URC|IST|GRU|
GRU|HRB,|HRB|PEK|IST|GRU|
GRU|HZH,|HZH|CAN|IST|GRU|
GRU|JIU,|JIU|CAN|IST|GRU|
GRU|JJN,|JJN|CSX|URC|IST|GRU|
GRU|JNG,|JNG|CAN|IST|GRU|
GRU|KHN,|KHN|XIY|URC|IST|GRU|
GRU|KIX,|KIX|SFO|IAH|GRU|
GRU|KOW,|KOW|CAN|IST|GRU|
GRU|KTM,|KTM|IST|GRU|
GRU|KUL,|KUL|IST|GRU|
GRU|KWE,|KWE|URC|IST|GRU|
GRU|KWL,|KWL|CKG|URC|IST|GRU|
GRU|LHW,|LHW|URC|IST|GRU|
GRU|LYA,|LYA|KHN|XIY|URC|IST|GRU|
GRU|LYG,|LYG|XUZ|INC|URC|IST|GRU|
GRU|LZH,|LZH|CAN|IST|GRU|
GRU|MEL,|MEL|SYD|LAX|IAH|GRU|
GRU|MIG,|MIG|CSX|URC|IST|GRU|
GRU|MLE,|MLE|IST|GRU|
GRU|MNL,|MNL|CAN|IST|GRU|
GRU|MXZ,|MXZ|CAN|IST|GRU|
GRU|NAO,|NAO|PEK|IST|GRU|
GRU|NGB,|NGB|WUH|URC|IST|GRU|
GRU|NKG,|NKG|URC|IST|GRU|
GRU|NNY,|NNY|CGO|URC|IST|GRU|
GRU|PEN,|PEN|CAN|IST|GRU|
GRU|PER,|PER|BKK|IST|GRU|
GRU|PNH,|PNH|CAN|IST|GRU|
GRU|REP,|REP|CAN|IST|GRU|
GRU|RGN,|RGN|CAN|IST|GRU|
GRU|SGN,|SGN|BKK|IST|GRU|
GRU|SHA,|SHA|URC|IST|GRU|
GRU|SIN,|SIN|IST|GRU|
GRU|SVO,|SVO|URC|IST|GRU|
GRU|SYX,|SYX|CKG|URC|IST|GRU|
GRU|TAO,|TAO|TYN|URC|IST|GRU|
GRU|TEN,|TEN|CAN|IST|GRU|
GRU|TNA,|TNA|URC|IST|GRU|
GRU|TPE,|TPE|URC|IST|GRU|
GRU|TSN,|TSN|HET|URC|IST|GRU|
GRU|TXN,|TXN|TYN|URC|IST|GRU|
GRU|TYN,|TYN|URC|IST|GRU|
GRU|WNZ,|WNZ|XIY|URC|IST|GRU|
GRU|WUX,|WUX|CAN|IST|GRU|
GRU|XFN,|XFN|CAN|IST|GRU|
GRU|XIY,|XIY|URC|IST|GRU|
GRU|XUZ,|XUZ|INC|URC|IST|GRU|
GRU|YIH,|YIH|CKG|URC|IST|GRU|
GRU|YIW,|YIW|URC|IST|GRU|
GRU|YNT,|YNT|SHE|PEK|IST|GRU|
GRU|YNZ,|YNZ|WUH|URC|IST|GRU|
GRU|YTY,|YTY|CGO|URC|IST|GRU|
GRU|ZHA,|ZHA|CAN|IST|GRU|
GRU|ZYI,|ZYI|CAN|IST|GRU|
GRU|BAV,|BAV|URC|IST|GRU|
GRU|CJU,|CJU|DLC|PEK|IST|GRU|
GRU|DSN,|DSN|CGO|URC|IST|GRU|
GRU|HMI,|HMI|URC|IST|GRU|
GRU|INC,|INC|URC|IST|GRU|
GRU|KHH,|KHH|WUH|URC|IST|GRU|
GRU|UYN,|UYN|XIY|URC|IST|GRU|
GRU|XNN,|XNN|URC|IST|GRU|
GRU|ZUH,|ZUH|KWE|URC|IST|GRU|
GRU|YNJ,|YNJ|PEK|IST|GRU|
GRU|DAT,|DAT|TYN|URC|IST|GRU|
GRU|JHG,|JHG|KMG|CTU|URC|IST|GRU|
GRU|LJG,|LJG|KMG|CTU|URC|IST|GRU|
GRU|LXA,|LXA|CKG|URC|IST|GRU|
GRU|YCU,|YCU|CKG|URC|IST|GRU|
GRU|LZO,|LZO|CSX|URC|IST|GRU|
GRU|MDG,|MDG|DLC|PEK|IST|GRU|
GRU|NGO,|NGO|ICN|IST|GRU|
GRU|TOY,|TOY|DLC|PEK|IST|GRU|
GRU|MFM,|MFM|XMN|CSX|URC|IST|GRU|
GRU|TGO,|TGO|HET|URC|IST|GRU|
GRU|XIL,|XIL|HET|URC|IST|GRU|
GRU|HEK,|HEK|HRB|PEK|IST|GRU|
GRU|KIJ,|KIJ|HRB|PEK|IST|GRU|
GRU|LDS,|LDS|HRB|PEK|IST|GRU|
GRU|OHE,|OHE|HRB|PEK|IST|GRU|
GRU|HSN,|HSN|LYG|XUZ|INC|URC|IST|GRU|
GRU|DLU,|DLU|KMG|CTU|URC|IST|GRU|
GRU|SYM,|SYM|KMG|CTU|URC|IST|GRU|
GRU|ZAT,|ZAT|KMG|CTU|URC|IST|GRU|
GRU|LUN,|LUN|NBO|IST|GRU|
GRU|AOG,|AOG|PEK|IST|GRU|
GRU|GMP,|GMP|PEK|IST|GRU|
GRU|ISB,|ISB|IST|GRU|
GRU|TAS,|TAS|IST|GRU|
GRU|WUS,|WUS|PEK|IST|GRU|
GRU|JMU,|JMU|PVG|IST|GRU|
GRU|NDG,|NDG|PVG|IST|GRU|
GRU|JXA,|JXA|SHE|PEK|IST|GRU|
GRU|PUS,|PUS|SHE|PEK|IST|GRU|
GRU|BKI,|BKI|SZX|CKG|URC|IST|GRU|
GRU|AKU,|AKU|URC|IST|GRU|
GRU|ALA,|ALA|IST|GRU|
GRU|ASB,|ASB|IST|GRU|
GRU|DNH,|DNH|URC|IST|GRU|
GRU|DYU,|DYU|IST|GRU|
GRU|FRU,|FRU|IST|GRU|
GRU|GYD,|GYD|IST|GRU|
GRU|HTN,|HTN|URC|IST|GRU|
GRU|IKA,|IKA|IST|GRU|
GRU|KCA,|KCA|URC|IST|GRU|
GRU|KHG,|KHG|URC|IST|GRU|
GRU|KRL,|KRL|URC|IST|GRU|
GRU|KRY,|KRY|URC|IST|GRU|
GRU|LBD,|LBD|URC|IST|GRU|
GRU|NLT,|NLT|URC|IST|GRU|
GRU|OSS,|OSS|IST|GRU|
GRU|OVB,|OVB|IST|GRU|
GRU|TBS,|TBS|IST|GRU|
GRU|TCG,|TCG|URC|IST|GRU|
GRU|TSE,|TSE|IST|GRU|
GRU|YIN,|YIN|URC|IST|GRU|
GRU|ENH,|ENH|WUH|URC|IST|GRU|
GRU|ENY,|ENY|XIY|URC|IST|GRU|
GRU|WXN,|WXN|XIY|URC|IST|GRU|
GRU|BLL,|BLL|IST|GRU|
GRU|ESB,|ESB|IST|GRU|
GRU|SAW,|SAW|ADB|IST|GRU|
GRU|HAM,|HAM|IST|GRU|
GRU|HRE,|HRE|ADD|IST|GRU|
GRU|JUB,|JUB|CAI|IST|GRU|
GRU|SSG,|SSG|DLA|IST|GRU|
GRU|BGW,|BGW|IST|GRU|
GRU|EBL,|EBL|IST|GRU|
GRU|VKO,|VKO|IST|GRU|
GRU|MCT,|MCT|IST|GRU|
GRU|AYT,|AYT|IST|GRU|
GRU|SCQ,|SCQ|BIO|IST|GRU|
GRU|AAL,|AAL|IST|GRU|
GRU|AOE,|AOE|BRU|IST|GRU|
GRU|JNB,|JNB|IST|GRU|
GRU|LBV,|LBV|DLA|IST|GRU|
GRU|ADA,|ADA|IST|GRU|
GRU|ADB,|ADB|IST|GRU|
GRU|ADF,|ADF|IST|GRU|
GRU|AJI,|AJI|IST|GRU|
GRU|BAL,|BAL|IST|GRU|
GRU|BJV,|BJV|IST|GRU|
GRU|CKZ,|CKZ|ESB|IST|GRU|
GRU|DIY,|DIY|IST|GRU|
GRU|ECN,|ECN|IST|GRU|
GRU|ERC,|ERC|IST|GRU|
GRU|ERZ,|ERZ|IST|GRU|
GRU|EZS,|EZS|IST|GRU|
GRU|GNY,|GNY|IST|GRU|
GRU|GZP,|GZP|ESB|IST|GRU|
GRU|GZT,|GZT|IST|GRU|
GRU|HTY,|HTY|IST|GRU|
GRU|KCM,|KCM|IST|GRU|
GRU|KSY,|KSY|IST|GRU|
GRU|MLX,|MLX|IST|GRU|
GRU|MQM,|MQM|IST|GRU|
GRU|MSR,|MSR|IST|GRU|
GRU|TEQ,|TEQ|ESB|IST|GRU|
GRU|TZX,|TZX|IST|GRU|
GRU|VAN,|VAN|IST|GRU|
GRU|ULN,|ULN|FRU|IST|GRU|
GRU|HIJ,|HIJ|ICN|IST|GRU|
GRU|VVO,|VVO|ICN|IST|GRU|
GRU|ACC,|ACC|IST|GRU|
GRU|AER,|AER|IST|GRU|
GRU|AGP,|AGP|IST|GRU|
GRU|ALG,|ALG|IST|GRU|
GRU|AMM,|AMM|IST|GRU|
GRU|AQJ,|AQJ|IST|GRU|
GRU|ARN,|ARN|IST|GRU|
GRU|ASR,|ASR|IST|GRU|
GRU|ATH,|ATH|IST|GRU|
