MEX|JIU,|JIU|CAN|PVG|SFO|MEX|
MEX|JJN,|JJN|PEK|YVR|MEX|
MEX|JNG,|JNG|CAN|PVG|SFO|MEX|
MEX|KHN,|KHN|DLC|ICN|SFO|MEX|
MEX|KIX,|KIX|SFO|MEX|
MEX|KOW,|KOW|PEK|YVR|MEX|
MEX|KTM,|KTM|IST|IAD|MEX|
MEX|KUL,|KUL|PVG|SFO|MEX|
MEX|KWE,|KWE|PEK|YVR|MEX|
MEX|KWL,|KWL|PEK|YVR|MEX|
MEX|LHW,|LHW|CGO|PEK|YVR|MEX|
MEX|LYA,|LYA|KHN|DLC|ICN|SFO|MEX|
MEX|LYG,|LYG|HSN|PEK|YVR|MEX|
MEX|LZH,|LZH|CAN|PVG|SFO|MEX|
MEX|MEL,|MEL|SYD|LAX|MEX|
MEX|MIG,|MIG|CSX|ICN|SFO|MEX|
MEX|MLE,|MLE|IST|IAD|MEX|
MEX|MNL,|MNL|GUM|HNL|LAX|MEX|
MEX|MXZ,|MXZ|CAN|PVG|SFO|MEX|
MEX|NAO,|NAO|PEK|YVR|MEX|
MEX|NGB,|NGB|DLC|ICN|SFO|MEX|
MEX|NKG,|NKG|DLC|ICN|SFO|MEX|
MEX|NNY,|NNY|CGO|PEK|YVR|MEX|
MEX|PEN,|PEN|CAN|PVG|SFO|MEX|
MEX|PER,|PER|CAN|PVG|SFO|MEX|
MEX|PNH,|PNH|CAN|PVG|SFO|MEX|
MEX|REP,|REP|CAN|PVG|SFO|MEX|
MEX|RGN,|RGN|CAN|PVG|SFO|MEX|
MEX|SGN,|SGN|HKG|SFO|MEX|
MEX|SHA,|SHA|PEK|YVR|MEX|
MEX|SIN,|SIN|NRT|LAX|MEX|
MEX|SVO,|SVO|URC|PEK|YVR|MEX|
MEX|SYX,|SYX|PVG|SFO|MEX|
MEX|TAO,|TAO|DLC|ICN|SFO|MEX|
MEX|TEN,|TEN|PEK|YVR|MEX|
MEX|TNA,|TNA|DLC|ICN|SFO|MEX|
MEX|TPE,|TPE|SFO|MEX|
MEX|TSN,|TSN|DLC|ICN|SFO|MEX|
MEX|TXN,|TXN|DLC|ICN|SFO|MEX|
MEX|TYN,|TYN|DLC|ICN|SFO|MEX|
MEX|WNZ,|WNZ|CGO|PEK|YVR|MEX|
MEX|WUX,|WUX|CAN|PVG|SFO|MEX|
MEX|XFN,|XFN|CAN|PVG|SFO|MEX|
MEX|XIY,|XIY|PEK|YVR|MEX|
MEX|XUZ,|XUZ|LYG|HSN|PEK|YVR|MEX|
MEX|YIH,|YIH|CKG|PEK|YVR|MEX|
MEX|YIW,|YIW|PEK|YVR|MEX|
MEX|YNT,|YNT|SHE|ICN|SFO|MEX|
MEX|YNZ,|YNZ|DLC|ICN|SFO|MEX|
MEX|YTY,|YTY|DLC|ICN|SFO|MEX|
MEX|ZHA,|ZHA|CAN|PVG|SFO|MEX|
MEX|ZYI,|ZYI|PEK|YVR|MEX|
MEX|BAV,|BAV|SJW|DLC|ICN|SFO|MEX|
MEX|CJU,|CJU|DLC|ICN|SFO|MEX|
MEX|DSN,|DSN|CGO|PEK|YVR|MEX|
MEX|HMI,|HMI|CGO|PEK|YVR|MEX|
MEX|INC,|INC|PEK|YVR|MEX|
MEX|KHH,|KHH|WUH|ICN|SFO|MEX|
MEX|UYN,|UYN|CGO|PEK|YVR|MEX|
MEX|XNN,|XNN|PEK|YVR|MEX|
MEX|ZUH,|ZUH|PVG|SFO|MEX|
MEX|YNJ,|YNJ|ICN|SFO|MEX|
MEX|DAT,|DAT|CIH|PEK|YVR|MEX|
MEX|JHG,|JHG|CKG|PEK|YVR|MEX|
MEX|LJG,|LJG|CKG|PEK|YVR|MEX|
MEX|LXA,|LXA|XIY|PEK|YVR|MEX|
MEX|YCU,|YCU|CSX|ICN|SFO|MEX|
MEX|LZO,|LZO|CSX|ICN|SFO|MEX|
MEX|MDG,|MDG|ICN|SFO|MEX|
MEX|NGO,|NGO|ICN|SFO|MEX|
MEX|TOY,|TOY|DLC|ICN|SFO|MEX|
MEX|MFM,|MFM|HGH|DLC|ICN|SFO|MEX|
MEX|TGO,|TGO|HET|DLC|ICN|SFO|MEX|
MEX|XIL,|XIL|HET|DLC|ICN|SFO|MEX|
MEX|HEK,|HEK|HRB|ICN|SFO|MEX|
MEX|KIJ,|KIJ|HRB|ICN|SFO|MEX|
MEX|LDS,|LDS|HRB|ICN|SFO|MEX|
MEX|OHE,|OHE|HRB|ICN|SFO|MEX|
MEX|HSN,|HSN|PEK|YVR|MEX|
MEX|DLU,|DLU|KMG|PEK|YVR|MEX|
MEX|SYM,|SYM|KMG|PEK|YVR|MEX|
MEX|ZAT,|ZAT|KMG|PEK|YVR|MEX|
MEX|LUN,|LUN|NBO|ZRH|EWR|MEX|
MEX|AOG,|AOG|PEK|YVR|MEX|
MEX|GMP,|GMP|PEK|YVR|MEX|
MEX|ISB,|ISB|IST|IAD|MEX|
MEX|TAS,|TAS|IST|IAD|MEX|
