SVX|MDT,|MDT|IAD|IST|SVX|
SVX|MIA,|MIA|ZRH|IST|SVX|
SVX|MKE,|MKE|YYZ|IST|SVX|
SVX|MSP,|MSP|YUL|FRA|IST|SVX|
SVX|NAS,|NAS|EWR|BHX|IST|SVX|
SVX|PHL,|PHL|IAD|IST|SVX|
SVX|PHX,|PHX|DEN|FRA|IST|SVX|
SVX|PIT,|PIT|YYZ|IST|SVX|
SVX|PLS,|PLS|EWR|BHX|IST|SVX|
SVX|POP,|POP|EWR|BHX|IST|SVX|
SVX|RDU,|RDU|EWR|BHX|IST|SVX|
SVX|ROC,|ROC|YYZ|IST|SVX|
SVX|RSW,|RSW|MCO|FRA|IST|SVX|
SVX|SAN,|SAN|LAX|IST|SVX|
SVX|SJO,|SJO|EWR|BHX|IST|SVX|
SVX|STL,|STL|ORD|IST|SVX|
SVX|SYR,|SYR|EWR|BHX|IST|SVX|
SVX|TLV,|TLV|IST|SVX|
SVX|TPA,|TPA|EWR|BHX|IST|SVX|
SVX|UVF,|UVF|EWR|BHX|IST|SVX|
SVX|VIE,|VIE|IST|SVX|
SVX|YAM,|YAM|YYZ|IST|SVX|
SVX|YGK,|YGK|YYZ|IST|SVX|
SVX|YQG,|YQG|YYZ|IST|SVX|
SVX|YSB,|YSB|YYZ|IST|SVX|
SVX|YTS,|YTS|YYZ|IST|SVX|
SVX|YYB,|YYB|YYZ|IST|SVX|
SVX|YZR,|YZR|YYZ|IST|SVX|
SVX|CAN,|CAN|IST|SVX|
SVX|URC,|URC|IST|SVX|
SVX|CTU,|CTU|URC|IST|SVX|
SVX|HGH,|HGH|URC|IST|SVX|
SVX|XMN,|XMN|CSX|URC|IST|SVX|
SVX|CGO,|CGO|URC|IST|SVX|
SVX|CSX,|CSX|URC|IST|SVX|
SVX|SHE,|SHE|PEK|IST|SVX|
SVX|SJW,|SJW|URC|IST|SVX|
SVX|WUH,|WUH|URC|IST|SVX|
SVX|SZX,|SZX|CKG|URC|IST|SVX|
SVX|CKG,|CKG|URC|IST|SVX|
SVX|KMG,|KMG|CTU|URC|IST|SVX|
SVX|FOC,|FOC|XIY|URC|IST|SVX|
SVX|NNG,|NNG|KWE|URC|IST|SVX|
SVX|SWA,|SWA|CAN|IST|SVX|
SVX|ACX,|ACX|CAN|IST|SVX|
SVX|AQG,|AQG|CAN|IST|SVX|
SVX|AVA,|AVA|CAN|IST|SVX|
SVX|BFJ,|BFJ|CAN|IST|SVX|
SVX|BHY,|BHY|CKG|URC|IST|SVX|
SVX|BNE,|BNE|BKK|IST|SVX|
SVX|CGD,|CGD|PEK|IST|SVX|
SVX|CGK,|CGK|SIN|IST|SVX|
