MGA|HZH,|HZH|CAN|YVR|IAH|MGA|
MGA|JIU,|JIU|CAN|YVR|IAH|MGA|
MGA|JJN,|JJN|PEK|IAH|MGA|
MGA|JNG,|JNG|CAN|YVR|IAH|MGA|
MGA|KHN,|KHN|DLC|ICN|YVR|IAH|MGA|
MGA|KIX,|KIX|SFO|IAH|MGA|
MGA|KOW,|KOW|PEK|IAH|MGA|
MGA|KTM,|KTM|IST|IAH|MGA|
MGA|KUL,|KUL|PVG|YVR|IAH|MGA|
MGA|KWE,|KWE|PEK|IAH|MGA|
MGA|KWL,|KWL|PEK|IAH|MGA|
MGA|LHW,|LHW|CGO|PEK|IAH|MGA|
MGA|LYA,|LYA|KHN|DLC|ICN|YVR|IAH|MGA|
MGA|LYG,|LYG|HSN|PEK|IAH|MGA|
MGA|LZH,|LZH|CAN|YVR|IAH|MGA|
MGA|MEL,|MEL|SYD|LAX|IAH|MGA|
MGA|MIG,|MIG|CSX|PEK|IAH|MGA|
MGA|MLE,|MLE|IST|IAH|MGA|
MGA|MNL,|MNL|XMN|PEK|IAH|MGA|
MGA|MXZ,|MXZ|CAN|YVR|IAH|MGA|
MGA|NAO,|NAO|PEK|IAH|MGA|
MGA|NGB,|NGB|PEK|IAH|MGA|
MGA|NKG,|NKG|DLC|ICN|YVR|IAH|MGA|
MGA|NNY,|NNY|CGO|PEK|IAH|MGA|
MGA|PEN,|PEN|CAN|YVR|IAH|MGA|
MGA|PER,|PER|CAN|YVR|IAH|MGA|
MGA|PNH,|PNH|CAN|YVR|IAH|MGA|
MGA|REP,|REP|ICN|YVR|IAH|MGA|
MGA|RGN,|RGN|CAN|YVR|IAH|MGA|
MGA|SGN,|SGN|HKG|YVR|IAH|MGA|
MGA|SHA,|SHA|PEK|IAH|MGA|
MGA|SIN,|SIN|HKG|YVR|IAH|MGA|
MGA|SVO,|SVO|URC|PEK|IAH|MGA|
MGA|SYX,|SYX|CAN|YVR|IAH|MGA|
MGA|TAO,|TAO|DLC|ICN|YVR|IAH|MGA|
MGA|TEN,|TEN|PEK|IAH|MGA|
MGA|TNA,|TNA|DLC|ICN|YVR|IAH|MGA|
MGA|TPE,|TPE|PVG|YVR|IAH|MGA|
MGA|TSN,|TSN|DLC|ICN|YVR|IAH|MGA|
MGA|TXN,|TXN|DLC|ICN|YVR|IAH|MGA|
MGA|TYN,|TYN|DLC|ICN|YVR|IAH|MGA|
MGA|WNZ,|WNZ|CGO|PEK|IAH|MGA|
MGA|WUX,|WUX|CAN|YVR|IAH|MGA|
MGA|XFN,|XFN|XMN|PEK|IAH|MGA|
MGA|XIY,|XIY|PEK|IAH|MGA|
MGA|XUZ,|XUZ|LYG|HSN|PEK|IAH|MGA|
MGA|YIH,|YIH|CKG|PEK|IAH|MGA|
MGA|YIW,|YIW|PEK|IAH|MGA|
MGA|YNT,|YNT|SHE|ICN|YVR|IAH|MGA|
MGA|YNZ,|YNZ|DLC|ICN|YVR|IAH|MGA|
MGA|YTY,|YTY|DLC|ICN|YVR|IAH|MGA|
MGA|ZHA,|ZHA|CAN|YVR|IAH|MGA|
MGA|ZYI,|ZYI|PEK|IAH|MGA|
MGA|BAV,|BAV|SJW|DLC|ICN|YVR|IAH|MGA|
MGA|CJU,|CJU|DLC|ICN|YVR|IAH|MGA|
MGA|DSN,|DSN|CGO|PEK|IAH|MGA|
MGA|HMI,|HMI|CGO|PEK|IAH|MGA|
MGA|INC,|INC|PEK|IAH|MGA|
MGA|KHH,|KHH|CGO|PEK|IAH|MGA|
MGA|UYN,|UYN|CGO|PEK|IAH|MGA|
MGA|XNN,|XNN|PEK|IAH|MGA|
MGA|ZUH,|ZUH|PVG|YVR|IAH|MGA|
MGA|YNJ,|YNJ|ICN|YVR|IAH|MGA|
MGA|DAT,|DAT|CIH|PEK|IAH|MGA|
MGA|JHG,|JHG|CKG|PEK|IAH|MGA|
MGA|LJG,|LJG|CKG|PEK|IAH|MGA|
MGA|LXA,|LXA|XIY|PEK|IAH|MGA|
MGA|YCU,|YCU|CSX|PEK|IAH|MGA|
MGA|LZO,|LZO|CSX|PEK|IAH|MGA|
MGA|MDG,|MDG|ICN|YVR|IAH|MGA|
MGA|NGO,|NGO|ICN|YVR|IAH|MGA|
MGA|TOY,|TOY|DLC|ICN|YVR|IAH|MGA|
MGA|MFM,|MFM|XMN|PEK|IAH|MGA|
MGA|TGO,|TGO|HET|DLC|ICN|YVR|IAH|MGA|
MGA|XIL,|XIL|HET|DLC|ICN|YVR|IAH|MGA|
MGA|HEK,|HEK|HRB|ICN|YVR|IAH|MGA|
MGA|KIJ,|KIJ|HRB|ICN|YVR|IAH|MGA|
MGA|LDS,|LDS|HRB|ICN|YVR|IAH|MGA|
MGA|OHE,|OHE|HRB|ICN|YVR|IAH|MGA|
MGA|HSN,|HSN|PEK|IAH|MGA|
MGA|DLU,|DLU|KMG|PEK|IAH|MGA|
MGA|SYM,|SYM|KMG|PEK|IAH|MGA|
MGA|ZAT,|ZAT|KMG|PEK|IAH|MGA|
MGA|LUN,|LUN|NBO|ZRH|YUL|IAH|MGA|
MGA|AOG,|AOG|PEK|IAH|MGA|
MGA|GMP,|GMP|PEK|IAH|MGA|
MGA|ISB,|ISB|IST|IAH|MGA|
MGA|TAS,|TAS|IST|IAH|MGA|
MGA|WUS,|WUS|PEK|IAH|MGA|
MGA|JMU,|JMU|PVG|YVR|IAH|MGA|
MGA|NDG,|NDG|PVG|YVR|IAH|MGA|
MGA|JXA,|JXA|SHE|ICN|YVR|IAH|MGA|
MGA|PUS,|PUS|SHE|ICN|YVR|IAH|MGA|
MGA|BKI,|BKI|SZX|PVG|YVR|IAH|MGA|
MGA|AKU,|AKU|URC|PEK|IAH|MGA|
MGA|ALA,|ALA|TSE|FRA|IAH|MGA|
MGA|ASB,|ASB|GYD|FRA|IAH|MGA|
