KBP|MLX,|MLX|ESB|SAW|KBP|
KBP|MQM,|MQM|SAW|KBP|
KBP|MSR,|MSR|ESB|SAW|KBP|
KBP|TEQ,|TEQ|ESB|SAW|KBP|
KBP|TZX,|TZX|SAW|KBP|
KBP|VAN,|VAN|SAW|KBP|
KBP|ULN,|ULN|FRU|IST|KBP|
KBP|HIJ,|HIJ|ICN|IST|KBP|
KBP|VVO,|VVO|ICN|IST|KBP|
KBP|ACC,|ACC|IST|KBP|
KBP|AER,|AER|IST|KBP|
KBP|AGP,|AGP|IST|KBP|
KBP|ALG,|ALG|IST|KBP|
KBP|AMM,|AMM|IST|KBP|
KBP|AQJ,|AQJ|IST|KBP|
KBP|ARN,|ARN|IST|KBP|
KBP|ASR,|ASR|SAW|KBP|
KBP|ATH,|ATH|IST|KBP|
KBP|BAH,|BAH|KWI|SAW|KBP|
KBP|BEG,|BEG|IST|KBP|
KBP|BEN,|BEN|IST|KBP|
KBP|BEY,|BEY|IST|KBP|
KBP|BHX,|BHX|IST|KBP|
KBP|BIO,|BIO|IST|KBP|
KBP|BLQ,|BLQ|IST|KBP|
KBP|BOM,|BOM|IST|KBP|
KBP|BRE,|BRE|IST|KBP|
KBP|BSL,|BSL|IST|KBP|
KBP|BSR,|BSR|IST|KBP|
KBP|BUD,|BUD|IST|KBP|
KBP|BUS,|BUS|IST|KBP|
KBP|CAI,|CAI|IST|KBP|
KBP|CGN,|CGN|IST|KBP|
KBP|CMN,|CMN|IST|KBP|
KBP|CND,|CND|IST|KBP|
KBP|DAR,|DAR|IST|KBP|
KBP|DLM,|DLM|IST|KBP|
KBP|DMM,|DMM|IST|KBP|
KBP|DNK,|DNK|IST|KBP|
KBP|DNZ,|DNZ|IST|KBP|
KBP|DOK,|DOK|IST|KBP|
KBP|DUS,|DUS|IST|KBP|
KBP|EDI,|EDI|IST|KBP|
KBP|ELQ,|ELQ|IST|KBP|
KBP|FDH,|FDH|IST|KBP|
KBP|GOA,|GOA|IST|KBP|
KBP|GOT,|GOT|IST|KBP|
KBP|HAJ,|HAJ|IST|KBP|
KBP|HBE,|HBE|IST|KBP|
KBP|HEL,|HEL|IST|KBP|
KBP|HRG,|HRG|IST|KBP|
KBP|IFN,|IFN|IST|KBP|
KBP|ISE,|ISE|IST|KBP|
KBP|ISU,|ISU|IST|KBP|
KBP|JIB,|JIB|IST|KBP|
KBP|JRO,|JRO|IST|KBP|
KBP|KAN,|KAN|IST|KBP|
KBP|KBL,|KBL|IST|KBP|
KBP|KFS,|KFS|IST|KBP|
KBP|KHI,|KHI|IST|KBP|
KBP|KIV,|KIV|IST|KBP|
KBP|KRT,|KRT|IST|KBP|
KBP|KSH,|KSH|IST|KBP|
KBP|KVD,|KVD|IST|KBP|
KBP|KWI,|KWI|SAW|KBP|
KBP|KYA,|KYA|SAW|KBP|
KBP|KZN,|KZN|IST|KBP|
KBP|KZR,|KZR|IST|KBP|
KBP|LED,|LED|IST|KBP|
KBP|LEJ,|LEJ|IST|KBP|
KBP|LGW,|LGW|IST|KBP|
KBP|LHE,|LHE|IST|KBP|
KBP|LIS,|LIS|IST|KBP|
KBP|LJU,|LJU|IST|KBP|
KBP|LOS,|LOS|IST|KBP|
KBP|LUX,|LUX|IST|KBP|
KBP|LWO,|LWO|IST|KBP|
KBP|LYS,|LYS|IST|KBP|
KBP|MAD,|MAD|IST|KBP|
KBP|MAN,|MAN|IST|KBP|
KBP|MED,|MED|IST|KBP|
KBP|MHD,|MHD|IST|KBP|
KBP|MLA,|MLA|IST|KBP|
KBP|MRS,|MRS|IST|KBP|
KBP|MSQ,|MSQ|IST|KBP|
KBP|MXP,|MXP|IST|KBP|
KBP|MZH,|MZH|IST|KBP|
KBP|MZR,|MZR|IST|KBP|
KBP|NAJ,|NAJ|IST|KBP|
KBP|NAV,|NAV|IST|KBP|
KBP|NCE,|NCE|IST|KBP|
KBP|NIM,|NIM|IST|KBP|
KBP|NJF,|NJF|IST|KBP|
KBP|NSI,|NSI|IST|KBP|
KBP|NUE,|NUE|IST|KBP|
KBP|ODS,|ODS|IST|KBP|
KBP|ORN,|ORN|IST|KBP|
KBP|OTP,|OTP|IST|KBP|
KBP|PRG,|PRG|IST|KBP|
KBP|PRN,|PRN|IST|KBP|
KBP|RIX,|RIX|IST|KBP|
KBP|ROV,|ROV|IST|KBP|
KBP|RTM,|RTM|IST|KBP|
KBP|RUH,|RUH|IST|KBP|
KBP|SAH,|SAH|IST|KBP|
KBP|SJJ,|SJJ|IST|KBP|
KBP|SKG,|SKG|IST|KBP|
KBP|SKP,|SKP|IST|KBP|
KBP|SSH,|SSH|IST|KBP|
KBP|STR,|STR|IST|KBP|
KBP|SVX,|SVX|IST|KBP|
KBP|SYZ,|SYZ|IST|KBP|
KBP|SZG,|SZG|IST|KBP|
KBP|TBZ,|TBZ|IST|KBP|
KBP|TGD,|TGD|IST|KBP|
KBP|TIA,|TIA|IST|KBP|
KBP|TIF,|TIF|IST|KBP|
KBP|TIP,|TIP|IST|KBP|
KBP|TLL,|TLL|IST|KBP|
KBP|TLS,|TLS|IST|KBP|
KBP|TRN,|TRN|IST|KBP|
KBP|TUN,|TUN|IST|KBP|
KBP|TXL,|TXL|IST|KBP|
KBP|UFA,|UFA|IST|KBP|
KBP|VAS,|VAS|SAW|KBP|
KBP|VCE,|VCE|IST|KBP|
KBP|YNB,|YNB|IST|KBP|
KBP|ZAG,|ZAG|IST|KBP|
KBP|MGQ,|MGQ|JIB|IST|KBP|
KBP|CPT,|CPT|JNB|IST|KBP|
KBP|MBA,|MBA|JRO|IST|KBP|
KBP|NDJ,|NDJ|KAN|IST|KBP|
KBP|CMB,|CMB|MLE|IST|KBP|
KBP|ADE,|ADE|SAH|IST|KBP|
KBP|ASF,|ASF|SAW|KBP|
KBP|STW,|STW|SAW|KBP|
KBP|LFW,|LFW|ABJ|OUA|NIM|IST|KBP|
KBP|CEC,|CEC|ACV|SMF|SEA|FRA|IST|KBP|
KBP|SMF,|SMF|SEA|FRA|IST|KBP|
KBP|CDR,|CDR|AIA|DEN|FRA|IST|KBP|
KBP|FMN,|FMN|DEN|FRA|IST|KBP|
KBP|JST,|JST|IAD|IST|KBP|
KBP|JHW,|JHW|CLE|YYZ|IST|KBP|
KBP|SHD,|SHD|IAD|IST|KBP|
KBP|PTY,|PTY|MIA|ZRH|IST|KBP|
KBP|FNA,|FNA|BRU|IST|KBP|
KBP|SXB,|SXB|BRU|IST|KBP|
KBP|ACV,|ACV|SMF|SEA|FRA|IST|KBP|
KBP|MGW,|MGW|IAD|IST|KBP|
KBP|ALB,|ALB|EWR|BHX|IST|KBP|
KBP|AUS,|AUS|ORD|IST|KBP|
KBP|BFD,|BFD|CLE|YYZ|IST|KBP|
KBP|BUF,|BUF|EWR|BHX|IST|KBP|
KBP|CHS,|CHS|EWR|BHX|IST|KBP|
KBP|DAY,|DAY|CLE|YYZ|IST|KBP|
KBP|DUJ,|DUJ|CLE|YYZ|IST|KBP|
KBP|ERI,|ERI|CLE|YYZ|IST|KBP|
KBP|FKL,|FKL|CLE|YYZ|IST|KBP|
KBP|FNT,|FNT|CLE|YYZ|IST|KBP|
KBP|GRR,|GRR|CLE|YYZ|IST|KBP|
KBP|GSP,|GSP|EWR|BHX|IST|KBP|
KBP|PBI,|PBI|EWR|BHX|IST|KBP|
KBP|PKB,|PKB|CLE|YYZ|IST|KBP|
KBP|RIC,|RIC|EWR|BHX|IST|KBP|
KBP|SDF,|SDF|CLE|YYZ|IST|KBP|
KBP|GUM,|GUM|FUK|ICN|IST|KBP|
KBP|WRL,|WRL|CYS|DEN|FRA|IST|KBP|
