LUN|HGH,|HGH|CAN|NBO|LUN|
LUN|XMN,|XMN|CAN|NBO|LUN|
LUN|CGO,|CGO|BKK|NBO|LUN|
LUN|CSX,|CSX|CAN|NBO|LUN|
LUN|SHE,|SHE|CAN|NBO|LUN|
LUN|SJW,|SJW|CAN|NBO|LUN|
LUN|WUH,|WUH|CAN|NBO|LUN|
LUN|SZX,|SZX|NNG|BKK|NBO|LUN|
LUN|CKG,|CKG|NNG|BKK|NBO|LUN|
LUN|KMG,|KMG|NNG|BKK|NBO|LUN|
LUN|FOC,|FOC|CAN|NBO|LUN|
LUN|NNG,|NNG|BKK|NBO|LUN|
LUN|SWA,|SWA|CAN|NBO|LUN|
LUN|ACX,|ACX|CAN|NBO|LUN|
LUN|AQG,|AQG|CAN|NBO|LUN|
LUN|AVA,|AVA|CAN|NBO|LUN|
LUN|BFJ,|BFJ|CAN|NBO|LUN|
LUN|BHY,|BHY|CAN|NBO|LUN|
LUN|BNE,|BNE|BKK|NBO|LUN|
LUN|CGD,|CGD|CAN|NBO|LUN|
LUN|CGK,|CGK|CAN|NBO|LUN|
LUN|CGQ,|CGQ|CAN|NBO|LUN|
LUN|CIH,|CIH|CAN|NBO|LUN|
LUN|CNX,|CNX|CAN|NBO|LUN|
LUN|CZX,|CZX|CAN|NBO|LUN|
LUN|DAC,|DAC|IST|NBO|LUN|
LUN|DAD,|DAD|CAN|NBO|LUN|
LUN|DEL,|DEL|IST|NBO|LUN|
LUN|DIG,|DIG|KMG|NNG|BKK|NBO|LUN|
LUN|DLC,|DLC|CAN|NBO|LUN|
LUN|DPS,|DPS|CAN|NBO|LUN|
LUN|DXB,|DXB|IST|NBO|LUN|
LUN|DYG,|DYG|CAN|NBO|LUN|
LUN|FUG,|FUG|CAN|NBO|LUN|
LUN|FUK,|FUK|CAN|NBO|LUN|
LUN|HAK,|HAK|NNG|BKK|NBO|LUN|
LUN|HAN,|HAN|CAN|NBO|LUN|
LUN|HDG,|HDG|CAN|NBO|LUN|
LUN|HET,|HET|CAN|NBO|LUN|
LUN|HFE,|HFE|CAN|NBO|LUN|
LUN|HJJ,|HJJ|CAN|NBO|LUN|
LUN|HKT,|HKT|CAN|NBO|LUN|
LUN|HRB,|HRB|CAN|NBO|LUN|
LUN|HZH,|HZH|CAN|NBO|LUN|
LUN|JIU,|JIU|CAN|NBO|LUN|
LUN|JJN,|JJN|CAN|NBO|LUN|
LUN|JNG,|JNG|CAN|NBO|LUN|
LUN|KHN,|KHN|CAN|NBO|LUN|
LUN|KIX,|KIX|CAN|NBO|LUN|
LUN|KOW,|KOW|CAN|NBO|LUN|
LUN|KTM,|KTM|IST|NBO|LUN|
LUN|KUL,|KUL|BKK|NBO|LUN|
LUN|KWE,|KWE|NNG|BKK|NBO|LUN|
LUN|KWL,|KWL|NNG|BKK|NBO|LUN|
LUN|LHW,|LHW|KMG|NNG|BKK|NBO|LUN|
LUN|LYA,|LYA|CAN|NBO|LUN|
LUN|LYG,|LYG|CAN|NBO|LUN|
LUN|LZH,|LZH|CAN|NBO|LUN|
LUN|MEL,|MEL|BKK|NBO|LUN|
LUN|MIG,|MIG|CAN|NBO|LUN|
LUN|MLE,|MLE|IST|NBO|LUN|
LUN|MNL,|MNL|CAN|NBO|LUN|
LUN|MXZ,|MXZ|CAN|NBO|LUN|
LUN|NAO,|NAO|CAN|NBO|LUN|
LUN|NGB,|NGB|CAN|NBO|LUN|
LUN|NKG,|NKG|CAN|NBO|LUN|
LUN|NNY,|NNY|CAN|NBO|LUN|
LUN|PEN,|PEN|CAN|NBO|LUN|
LUN|PER,|PER|BKK|NBO|LUN|
LUN|PNH,|PNH|CAN|NBO|LUN|
LUN|REP,|REP|CAN|NBO|LUN|
LUN|RGN,|RGN|CAN|NBO|LUN|
LUN|SGN,|SGN|BKK|NBO|LUN|
LUN|SHA,|SHA|CAN|NBO|LUN|
LUN|SIN,|SIN|CAN|NBO|LUN|
LUN|SVO,|SVO|URC|IST|NBO|LUN|
LUN|SYX,|SYX|CAN|NBO|LUN|
LUN|TAO,|TAO|CAN|NBO|LUN|
LUN|TEN,|TEN|CAN|NBO|LUN|
LUN|TNA,|TNA|CAN|NBO|LUN|
LUN|TPE,|TPE|CAN|NBO|LUN|
LUN|TSN,|TSN|CAN|NBO|LUN|
LUN|TXN,|TXN|CAN|NBO|LUN|
LUN|TYN,|TYN|CAN|NBO|LUN|
LUN|WNZ,|WNZ|CAN|NBO|LUN|
LUN|WUX,|WUX|CAN|NBO|LUN|
LUN|XFN,|XFN|CAN|NBO|LUN|
LUN|XIY,|XIY|KWE|NNG|BKK|NBO|LUN|
LUN|XUZ,|XUZ|CAN|NBO|LUN|
LUN|YIH,|YIH|CAN|NBO|LUN|
LUN|YIW,|YIW|CAN|NBO|LUN|
LUN|YNT,|YNT|CAN|NBO|LUN|
LUN|YNZ,|YNZ|CAN|NBO|LUN|
LUN|YTY,|YTY|CAN|NBO|LUN|
LUN|ZHA,|ZHA|CAN|NBO|LUN|
LUN|ZYI,|ZYI|CAN|NBO|LUN|
LUN|BAV,|BAV|CSX|CAN|NBO|LUN|
LUN|CJU,|CJU|CSX|CAN|NBO|LUN|
LUN|DSN,|DSN|CGO|BKK|NBO|LUN|
LUN|HMI,|HMI|URC|IST|NBO|LUN|
LUN|INC,|INC|XIY|KWE|NNG|BKK|NBO|LUN|
LUN|KHH,|KHH|WUH|CAN|NBO|LUN|
LUN|UYN,|UYN|XIY|KWE|NNG|BKK|NBO|LUN|
LUN|XNN,|XNN|KWE|NNG|BKK|NBO|LUN|
LUN|ZUH,|ZUH|HAK|NNG|BKK|NBO|LUN|
LUN|YNJ,|YNJ|ICN|CAN|NBO|LUN|
LUN|DAT,|DAT|CIH|CAN|NBO|LUN|
LUN|JHG,|JHG|KMG|NNG|BKK|NBO|LUN|
LUN|LJG,|LJG|KMG|NNG|BKK|NBO|LUN|
LUN|LXA,|LXA|CKG|NNG|BKK|NBO|LUN|
LUN|YCU,|YCU|CSX|CAN|NBO|LUN|
LUN|LZO,|LZO|CSX|CAN|NBO|LUN|
LUN|MDG,|MDG|DLC|CAN|NBO|LUN|
LUN|NGO,|NGO|PVG|CAN|NBO|LUN|
LUN|TOY,|TOY|DLC|CAN|NBO|LUN|
LUN|MFM,|MFM|XMN|CAN|NBO|LUN|
LUN|TGO,|TGO|HET|CAN|NBO|LUN|
LUN|XIL,|XIL|HET|CAN|NBO|LUN|
LUN|HEK,|HEK|HRB|CAN|NBO|LUN|
LUN|KIJ,|KIJ|HRB|CAN|NBO|LUN|
LUN|LDS,|LDS|HRB|CAN|NBO|LUN|
LUN|OHE,|OHE|HRB|CAN|NBO|LUN|
LUN|HSN,|HSN|XMN|CAN|NBO|LUN|
LUN|DLU,|DLU|KMG|NNG|BKK|NBO|LUN|
LUN|SYM,|SYM|KMG|NNG|BKK|NBO|LUN|
LUN|ZAT,|ZAT|KMG|NNG|BKK|NBO|LUN|
LUN|AOG,|AOG|PEK|CGO|BKK|NBO|LUN|
LUN|GMP,|GMP|PEK|CGO|BKK|NBO|LUN|
LUN|ISB,|ISB|IST|NBO|LUN|
LUN|TAS,|TAS|IST|NBO|LUN|
LUN|WUS,|WUS|PEK|CGO|BKK|NBO|LUN|
LUN|JMU,|JMU|PVG|CAN|NBO|LUN|
LUN|NDG,|NDG|PVG|CAN|NBO|LUN|
LUN|JXA,|JXA|SHE|CAN|NBO|LUN|
LUN|PUS,|PUS|SHE|CAN|NBO|LUN|
LUN|BKI,|BKI|SZX|NNG|BKK|NBO|LUN|
LUN|AKU,|AKU|URC|IST|NBO|LUN|
LUN|ALA,|ALA|IST|NBO|LUN|
LUN|ASB,|ASB|IST|NBO|LUN|
LUN|DNH,|DNH|URC|IST|NBO|LUN|
LUN|DYU,|DYU|IST|NBO|LUN|
LUN|FRU,|FRU|IST|NBO|LUN|
LUN|GYD,|GYD|IST|NBO|LUN|
LUN|HTN,|HTN|URC|IST|NBO|LUN|
LUN|IKA,|IKA|IST|NBO|LUN|
LUN|KCA,|KCA|URC|IST|NBO|LUN|
LUN|KHG,|KHG|URC|IST|NBO|LUN|
LUN|KRL,|KRL|URC|IST|NBO|LUN|
LUN|KRY,|KRY|URC|IST|NBO|LUN|
LUN|LBD,|LBD|URC|IST|NBO|LUN|
LUN|NLT,|NLT|URC|IST|NBO|LUN|
LUN|OSS,|OSS|IST|NBO|LUN|
LUN|OVB,|OVB|IST|NBO|LUN|
LUN|TBS,|TBS|IST|NBO|LUN|
LUN|TCG,|TCG|URC|IST|NBO|LUN|
LUN|TSE,|TSE|IST|NBO|LUN|
LUN|YIN,|YIN|URC|IST|NBO|LUN|
LUN|ENH,|ENH|WUH|CAN|NBO|LUN|
LUN|ENY,|ENY|XIY|KWE|NNG|BKK|NBO|LUN|
LUN|WXN,|WXN|XIY|KWE|NNG|BKK|NBO|LUN|
LUN|BLL,|BLL|IST|NBO|LUN|
LUN|ESB,|ESB|IST|NBO|LUN|
LUN|SAW,|SAW|ADB|IST|NBO|LUN|
LUN|HAM,|HAM|IST|NBO|LUN|
LUN|HRE,|HRE|ADD|IST|NBO|LUN|
LUN|JUB,|JUB|CAI|IST|NBO|LUN|
LUN|SSG,|SSG|DLA|IST|NBO|LUN|
LUN|BGW,|BGW|IST|NBO|LUN|
LUN|EBL,|EBL|IST|NBO|LUN|
LUN|VKO,|VKO|IST|NBO|LUN|
LUN|MCT,|MCT|IST|NBO|LUN|
LUN|AYT,|AYT|IST|NBO|LUN|
LUN|SCQ,|SCQ|BIO|IST|NBO|LUN|
LUN|AAL,|AAL|IST|NBO|LUN|
LUN|AOE,|AOE|BRU|NBO|LUN|
LUN|JNB,|JNB|IST|NBO|LUN|
LUN|LBV,|LBV|DLA|IST|NBO|LUN|
LUN|ADA,|ADA|IST|NBO|LUN|
LUN|ADB,|ADB|IST|NBO|LUN|
LUN|ADF,|ADF|IST|NBO|LUN|
LUN|AJI,|AJI|IST|NBO|LUN|
LUN|BAL,|BAL|IST|NBO|LUN|
LUN|BJV,|BJV|IST|NBO|LUN|
LUN|CKZ,|CKZ|ESB|IST|NBO|LUN|
LUN|DIY,|DIY|IST|NBO|LUN|
LUN|ECN,|ECN|IST|NBO|LUN|
LUN|ERC,|ERC|IST|NBO|LUN|
LUN|ERZ,|ERZ|IST|NBO|LUN|
LUN|EZS,|EZS|IST|NBO|LUN|
LUN|GNY,|GNY|IST|NBO|LUN|
LUN|GZP,|GZP|ESB|IST|NBO|LUN|
LUN|GZT,|GZT|IST|NBO|LUN|
LUN|HTY,|HTY|IST|NBO|LUN|
LUN|KCM,|KCM|IST|NBO|LUN|
LUN|KSY,|KSY|IST|NBO|LUN|
LUN|MLX,|MLX|IST|NBO|LUN|
LUN|MQM,|MQM|IST|NBO|LUN|
LUN|MSR,|MSR|IST|NBO|LUN|
LUN|TEQ,|TEQ|ESB|IST|NBO|LUN|
LUN|TZX,|TZX|IST|NBO|LUN|
LUN|VAN,|VAN|IST|NBO|LUN|
LUN|ULN,|ULN|FRU|IST|NBO|LUN|
LUN|HIJ,|HIJ|ICN|CAN|NBO|LUN|
LUN|VVO,|VVO|ICN|CAN|NBO|LUN|
LUN|ACC,|ACC|IST|NBO|LUN|
LUN|AER,|AER|IST|NBO|LUN|
LUN|AGP,|AGP|IST|NBO|LUN|
LUN|ALG,|ALG|IST|NBO|LUN|
LUN|AMM,|AMM|IST|NBO|LUN|
LUN|AQJ,|AQJ|IST|NBO|LUN|
LUN|ARN,|ARN|IST|NBO|LUN|
LUN|ASR,|ASR|IST|NBO|LUN|
LUN|ATH,|ATH|IST|NBO|LUN|
LUN|BAH,|BAH|IST|NBO|LUN|
LUN|BEG,|BEG|IST|NBO|LUN|
LUN|BEN,|BEN|IST|NBO|LUN|
LUN|BEY,|BEY|IST|NBO|LUN|
LUN|BHX,|BHX|BRU|NBO|LUN|
LUN|BIO,|BIO|IST|NBO|LUN|
LUN|BLQ,|BLQ|IST|NBO|LUN|
LUN|BOM,|BOM|IST|NBO|LUN|
LUN|BRE,|BRE|IST|NBO|LUN|
LUN|BSL,|BSL|IST|NBO|LUN|
LUN|BSR,|BSR|IST|NBO|LUN|
LUN|BUD,|BUD|IST|NBO|LUN|
LUN|BUS,|BUS|IST|NBO|LUN|
LUN|CAI,|CAI|IST|NBO|LUN|
LUN|CGN,|CGN|IST|NBO|LUN|
LUN|CMN,|CMN|IST|NBO|LUN|
LUN|CND,|CND|IST|NBO|LUN|
LUN|DAR,|DAR|NBO|LUN|
LUN|DLM,|DLM|IST|NBO|LUN|
LUN|DMM,|DMM|IST|NBO|LUN|
LUN|DNK,|DNK|IST|NBO|LUN|
LUN|DNZ,|DNZ|IST|NBO|LUN|
LUN|DOK,|DOK|IST|NBO|LUN|
LUN|DUS,|DUS|IST|NBO|LUN|
LUN|EDI,|EDI|IST|NBO|LUN|
LUN|ELQ,|ELQ|IST|NBO|LUN|
LUN|FDH,|FDH|IST|NBO|LUN|
LUN|GOA,|GOA|IST|NBO|LUN|
LUN|GOT,|GOT|IST|NBO|LUN|
LUN|HAJ,|HAJ|IST|NBO|LUN|
LUN|HBE,|HBE|IST|NBO|LUN|
LUN|HEL,|HEL|IST|NBO|LUN|
LUN|HRG,|HRG|IST|NBO|LUN|
LUN|IFN,|IFN|IST|NBO|LUN|
LUN|ISE,|ISE|IST|NBO|LUN|
LUN|ISU,|ISU|IST|NBO|LUN|
LUN|JIB,|JIB|IST|NBO|LUN|
LUN|JRO,|JRO|IST|NBO|LUN|
LUN|KAN,|KAN|IST|NBO|LUN|
LUN|KBL,|KBL|IST|NBO|LUN|
LUN|KBP,|KBP|IST|NBO|LUN|
LUN|KFS,|KFS|IST|NBO|LUN|
LUN|KHI,|KHI|IST|NBO|LUN|
LUN|KIV,|KIV|IST|NBO|LUN|
LUN|KRT,|KRT|IST|NBO|LUN|
LUN|KSH,|KSH|IST|NBO|LUN|
LUN|KVD,|KVD|IST|NBO|LUN|
LUN|KWI,|KWI|IST|NBO|LUN|
LUN|KYA,|KYA|IST|NBO|LUN|
LUN|KZN,|KZN|IST|NBO|LUN|
LUN|KZR,|KZR|IST|NBO|LUN|
LUN|LED,|LED|IST|NBO|LUN|
