OKJ|NAS,|NAS|IAH|HNL|GUM|OKJ|
OKJ|PHL,|PHL|YYZ|NRT|GUM|OKJ|
OKJ|PHX,|PHX|LAX|HNL|GUM|OKJ|
OKJ|PIT,|PIT|YYZ|NRT|GUM|OKJ|
OKJ|PLS,|PLS|YYZ|NRT|GUM|OKJ|
OKJ|POP,|POP|YYZ|NRT|GUM|OKJ|
OKJ|RDU,|RDU|ORD|NRT|GUM|OKJ|
OKJ|ROC,|ROC|YYZ|NRT|GUM|OKJ|
OKJ|RSW,|RSW|IAH|HNL|GUM|OKJ|
OKJ|SAN,|SAN|LAX|HNL|GUM|OKJ|
OKJ|SJO,|SJO|IAH|HNL|GUM|OKJ|
OKJ|STL,|STL|SFO|HNL|GUM|OKJ|
OKJ|SYR,|SYR|YYZ|NRT|GUM|OKJ|
OKJ|TLV,|TLV|IST|ICN|FUK|GUM|OKJ|
OKJ|TPA,|TPA|IAH|HNL|GUM|OKJ|
OKJ|UVF,|UVF|EWR|NRT|GUM|OKJ|
OKJ|VIE,|VIE|IST|ICN|FUK|GUM|OKJ|
OKJ|YAM,|YAM|YYZ|NRT|GUM|OKJ|
OKJ|YGK,|YGK|YYZ|NRT|GUM|OKJ|
OKJ|YQG,|YQG|YYC|NRT|GUM|OKJ|
OKJ|YSB,|YSB|YYZ|NRT|GUM|OKJ|
OKJ|YTS,|YTS|YYZ|NRT|GUM|OKJ|
OKJ|YYB,|YYB|YYZ|NRT|GUM|OKJ|
OKJ|YZR,|YZR|YYZ|NRT|GUM|OKJ|
OKJ|CAN,|CAN|HKG|GUM|OKJ|
OKJ|URC,|URC|PEK|ICN|FUK|GUM|OKJ|
OKJ|CTU,|CTU|CAN|HKG|GUM|OKJ|
OKJ|HGH,|HGH|XMN|MNL|GUM|OKJ|
OKJ|XMN,|XMN|MNL|GUM|OKJ|
OKJ|CGO,|CGO|ICN|FUK|GUM|OKJ|
OKJ|CSX,|CSX|CAN|HKG|GUM|OKJ|
OKJ|SHE,|SHE|FUK|GUM|OKJ|
OKJ|SJW,|SJW|DLC|ICN|FUK|GUM|OKJ|
OKJ|WUH,|WUH|HKG|GUM|OKJ|
OKJ|SZX,|SZX|MXZ|HKG|GUM|OKJ|
OKJ|CKG,|CKG|CAN|HKG|GUM|OKJ|
OKJ|KMG,|KMG|CAN|HKG|GUM|OKJ|
OKJ|FOC,|FOC|CAN|HKG|GUM|OKJ|
