HEK|MDT,|MDT|YYZ|PEK|HRB|HEK|
HEK|MIA,|MIA|ORD|PEK|HRB|HEK|
HEK|MKE,|MKE|ORD|PEK|HRB|HEK|
HEK|MSP,|MSP|DEN|YVR|ICN|HRB|HEK|
HEK|NAS,|NAS|YYZ|PEK|HRB|HEK|
HEK|PHL,|PHL|YYZ|PEK|HRB|HEK|
HEK|PHX,|PHX|SFO|ICN|HRB|HEK|
HEK|PIT,|PIT|YYZ|PEK|HRB|HEK|
HEK|PLS,|PLS|EWR|PEK|HRB|HEK|
HEK|POP,|POP|EWR|PEK|HRB|HEK|
HEK|RDU,|RDU|YYZ|PEK|HRB|HEK|
HEK|ROC,|ROC|YYZ|PEK|HRB|HEK|
HEK|RSW,|RSW|ORD|PEK|HRB|HEK|
HEK|SAN,|SAN|LAX|ICN|HRB|HEK|
HEK|SJO,|SJO|IAH|YVR|ICN|HRB|HEK|
HEK|STL,|STL|ORD|PEK|HRB|HEK|
HEK|SYR,|SYR|YYZ|PEK|HRB|HEK|
HEK|TLV,|TLV|IST|PEK|HRB|HEK|
HEK|TPA,|TPA|ORD|PEK|HRB|HEK|
HEK|UVF,|UVF|EWR|PEK|HRB|HEK|
HEK|VIE,|VIE|IST|PEK|HRB|HEK|
HEK|YAM,|YAM|YYZ|PEK|HRB|HEK|
HEK|YGK,|YGK|YYZ|PEK|HRB|HEK|
HEK|YQG,|YQG|YYZ|PEK|HRB|HEK|
HEK|YSB,|YSB|YYZ|PEK|HRB|HEK|
HEK|YTS,|YTS|YYZ|PEK|HRB|HEK|
HEK|YYB,|YYB|YYZ|PEK|HRB|HEK|
HEK|YZR,|YZR|YYZ|PEK|HRB|HEK|
HEK|CAN,|CAN|HRB|HEK|
HEK|URC,|URC|PEK|HRB|HEK|
HEK|CTU,|CTU|PEK|HRB|HEK|
HEK|HGH,|HGH|HRB|HEK|
HEK|XMN,|XMN|YIW|HRB|HEK|
HEK|CGO,|CGO|HRB|HEK|
HEK|CSX,|CSX|HRB|HEK|
HEK|SHE,|SHE|ICN|HRB|HEK|
HEK|SJW,|SJW|HRB|HEK|
HEK|WUH,|WUH|TNA|HRB|HEK|
HEK|SZX,|SZX|HRB|HEK|
HEK|CKG,|CKG|TSN|HRB|HEK|
HEK|KMG,|KMG|CKG|TSN|HRB|HEK|
HEK|FOC,|FOC|HRB|HEK|
HEK|NNG,|NNG|KWL|TNA|HRB|HEK|
HEK|SWA,|SWA|NKG|HRB|HEK|
HEK|ACX,|ACX|CAN|HRB|HEK|
HEK|AQG,|AQG|CAN|HRB|HEK|
HEK|AVA,|AVA|CAN|HRB|HEK|
HEK|BFJ,|BFJ|CAN|HRB|HEK|
HEK|BHY,|BHY|CSX|HRB|HEK|
HEK|BNE,|BNE|CAN|HRB|HEK|
HEK|CGD,|CGD|PEK|HRB|HEK|
HEK|CGK,|CGK|XMN|YIW|HRB|HEK|
HEK|CGQ,|CGQ|ICN|HRB|HEK|
HEK|CIH,|CIH|PEK|HRB|HEK|
HEK|CNX,|CNX|CAN|HRB|HEK|
HEK|CZX,|CZX|SHE|ICN|HRB|HEK|
HEK|DAC,|DAC|CAN|HRB|HEK|
HEK|DAD,|DAD|CAN|HRB|HEK|
HEK|DEL,|DEL|CAN|HRB|HEK|
HEK|DIG,|DIG|KMG|CKG|TSN|HRB|HEK|
HEK|DLC,|DLC|ICN|HRB|HEK|
HEK|DPS,|DPS|SZX|HRB|HEK|
HEK|DXB,|DXB|CAN|HRB|HEK|
HEK|DYG,|DYG|PEK|HRB|HEK|
HEK|FUG,|FUG|CAN|HRB|HEK|
HEK|FUK,|FUK|ICN|HRB|HEK|
HEK|HAK,|HAK|CSX|HRB|HEK|
HEK|HAN,|HAN|PEK|HRB|HEK|
HEK|HDG,|HDG|CAN|HRB|HEK|
HEK|HET,|HET|TSN|HRB|HEK|
HEK|HFE,|HFE|HRB|HEK|
HEK|HJJ,|HJJ|CSX|HRB|HEK|
HEK|HKT,|HKT|KWE|CGO|HRB|HEK|
HEK|HRB,|HRB|HEK|
HEK|HZH,|HZH|CAN|HRB|HEK|
HEK|JIU,|JIU|CAN|HRB|HEK|
HEK|JJN,|JJN|HGH|HRB|HEK|
HEK|JNG,|JNG|CAN|HRB|HEK|
HEK|KHN,|KHN|HRB|HEK|
HEK|KIX,|KIX|HRB|HEK|
HEK|KOW,|KOW|PEK|HRB|HEK|
HEK|KTM,|KTM|CAN|HRB|HEK|
HEK|KUL,|KUL|CAN|HRB|HEK|
HEK|KWE,|KWE|CGO|HRB|HEK|
HEK|KWL,|KWL|TNA|HRB|HEK|
HEK|LHW,|LHW|TNA|HRB|HEK|
HEK|LYA,|LYA|KHN|HRB|HEK|
HEK|LYG,|LYG|HSN|PEK|HRB|HEK|
HEK|LZH,|LZH|CAN|HRB|HEK|
HEK|MEL,|MEL|SYD|ICN|HRB|HEK|
HEK|MIG,|MIG|CSX|HRB|HEK|
HEK|MLE,|MLE|CAN|HRB|HEK|
HEK|MNL,|MNL|XMN|YIW|HRB|HEK|
HEK|MXZ,|MXZ|CAN|HRB|HEK|
HEK|NAO,|NAO|PEK|HRB|HEK|
HEK|NGB,|NGB|HRB|HEK|
HEK|NKG,|NKG|HRB|HEK|
HEK|NNY,|NNY|CGO|HRB|HEK|
HEK|PEN,|PEN|CAN|HRB|HEK|
HEK|PER,|PER|CAN|HRB|HEK|
HEK|PNH,|PNH|CAN|HRB|HEK|
HEK|REP,|REP|CAN|HRB|HEK|
HEK|RGN,|RGN|CAN|HRB|HEK|
HEK|SGN,|SGN|CAN|HRB|HEK|
HEK|SHA,|SHA|PEK|HRB|HEK|
HEK|SIN,|SIN|CAN|HRB|HEK|
HEK|SVO,|SVO|URC|PEK|HRB|HEK|
HEK|SYX,|SYX|CSX|HRB|HEK|
HEK|TAO,|TAO|HRB|HEK|
HEK|TEN,|TEN|PEK|HRB|HEK|
HEK|TNA,|TNA|HRB|HEK|
HEK|TPE,|TPE|HRB|HEK|
HEK|TSN,|TSN|HRB|HEK|
HEK|TXN,|TXN|TAO|HRB|HEK|
HEK|TYN,|TYN|TAO|HRB|HEK|
HEK|WNZ,|WNZ|CGO|HRB|HEK|
HEK|WUX,|WUX|CAN|HRB|HEK|
HEK|XFN,|XFN|XMN|YIW|HRB|HEK|
HEK|XIY,|XIY|HRB|HEK|
HEK|XUZ,|XUZ|LYG|HSN|PEK|HRB|HEK|
HEK|YIH,|YIH|CKG|TSN|HRB|HEK|
HEK|YIW,|YIW|HRB|HEK|
HEK|YNT,|YNT|HRB|HEK|
HEK|YNZ,|YNZ|HRB|HEK|
HEK|YTY,|YTY|HRB|HEK|
HEK|ZHA,|ZHA|CAN|HRB|HEK|
HEK|ZYI,|ZYI|PEK|HRB|HEK|
HEK|BAV,|BAV|SJW|HRB|HEK|
HEK|CJU,|CJU|HRB|HEK|
HEK|DSN,|DSN|CGO|HRB|HEK|
HEK|HMI,|HMI|CGO|HRB|HEK|
HEK|INC,|INC|PEK|HRB|HEK|
HEK|KHH,|KHH|WUH|TNA|HRB|HEK|
HEK|UYN,|UYN|CGO|HRB|HEK|
HEK|XNN,|XNN|PEK|HRB|HEK|
HEK|ZUH,|ZUH|HFE|HRB|HEK|
HEK|YNJ,|YNJ|ICN|HRB|HEK|
HEK|DAT,|DAT|CIH|PEK|HRB|HEK|
HEK|JHG,|JHG|CKG|TSN|HRB|HEK|
HEK|LJG,|LJG|CKG|TSN|HRB|HEK|
HEK|LXA,|LXA|XIY|HRB|HEK|
HEK|YCU,|YCU|HRB|HEK|
HEK|LZO,|LZO|CSX|HRB|HEK|
HEK|MDG,|MDG|ICN|HRB|HEK|
HEK|NGO,|NGO|ICN|HRB|HEK|
