MIA|XMN,|XMN|PEK|ORD|MIA|
MIA|CGO,|CGO|PEK|ORD|MIA|
MIA|CSX,|CSX|PEK|ORD|MIA|
MIA|SHE,|SHE|PEK|ORD|MIA|
MIA|SJW,|SJW|DLC|PEK|ORD|MIA|
MIA|WUH,|WUH|PEK|ORD|MIA|
MIA|SZX,|SZX|PEK|ORD|MIA|
MIA|CKG,|CKG|PEK|ORD|MIA|
MIA|KMG,|KMG|PEK|ORD|MIA|
MIA|FOC,|FOC|PEK|ORD|MIA|
MIA|NNG,|NNG|PEK|ORD|MIA|
MIA|SWA,|SWA|PEK|ORD|MIA|
MIA|ACX,|ACX|CAN|PEK|ORD|MIA|
MIA|AQG,|AQG|CAN|PEK|ORD|MIA|
MIA|AVA,|AVA|CAN|PEK|ORD|MIA|
MIA|BFJ,|BFJ|CAN|PEK|ORD|MIA|
MIA|BHY,|BHY|CGO|PEK|ORD|MIA|
MIA|BNE,|BNE|CAN|PEK|ORD|MIA|
MIA|CGD,|CGD|PEK|ORD|MIA|
MIA|CGK,|CGK|CAN|PEK|ORD|MIA|
MIA|CGQ,|CGQ|PEK|ORD|MIA|
MIA|CIH,|CIH|PEK|ORD|MIA|
MIA|CNX,|CNX|CAN|PEK|ORD|MIA|
MIA|CZX,|CZX|SHE|PEK|ORD|MIA|
MIA|DAC,|DAC|IST|ZRH|MIA|
MIA|DAD,|DAD|CAN|PEK|ORD|MIA|
MIA|DEL,|DEL|EWR|MIA|
MIA|DIG,|DIG|KMG|PEK|ORD|MIA|
MIA|DLC,|DLC|PEK|ORD|MIA|
MIA|DPS,|DPS|SZX|PEK|ORD|MIA|
MIA|DXB,|DXB|IST|ZRH|MIA|
MIA|DYG,|DYG|PEK|ORD|MIA|
MIA|FUG,|FUG|CAN|PEK|ORD|MIA|
MIA|FUK,|FUK|ICN|YVR|DEN|MIA|
MIA|HAK,|HAK|PEK|ORD|MIA|
MIA|HAN,|HAN|PEK|ORD|MIA|
MIA|HDG,|HDG|CAN|PEK|ORD|MIA|
MIA|HET,|HET|DLC|PEK|ORD|MIA|
MIA|HFE,|HFE|XIY|PEK|ORD|MIA|
MIA|HJJ,|HJJ|CSX|PEK|ORD|MIA|
MIA|HKT,|HKT|KWE|PEK|ORD|MIA|
MIA|HRB,|HRB|PEK|ORD|MIA|
MIA|HZH,|HZH|CAN|PEK|ORD|MIA|
MIA|JIU,|JIU|CAN|PEK|ORD|MIA|
MIA|JJN,|JJN|PEK|ORD|MIA|
MIA|JNG,|JNG|CAN|PEK|ORD|MIA|
MIA|KHN,|KHN|DLC|PEK|ORD|MIA|
MIA|KIX,|KIX|SFO|MSY|MIA|
MIA|KOW,|KOW|PEK|ORD|MIA|
MIA|KTM,|KTM|IST|ZRH|MIA|
MIA|KUL,|KUL|CAN|PEK|ORD|MIA|
MIA|KWE,|KWE|PEK|ORD|MIA|
MIA|KWL,|KWL|PEK|ORD|MIA|
MIA|LHW,|LHW|CGO|PEK|ORD|MIA|
MIA|LYA,|LYA|KHN|DLC|PEK|ORD|MIA|
MIA|LYG,|LYG|HSN|PEK|ORD|MIA|
MIA|LZH,|LZH|CAN|PEK|ORD|MIA|
MIA|MEL,|MEL|SYD|LAX|IAH|MIA|
MIA|MIG,|MIG|CSX|PEK|ORD|MIA|
MIA|MLE,|MLE|IST|ZRH|MIA|
MIA|MNL,|MNL|XMN|PEK|ORD|MIA|
MIA|MXZ,|MXZ|CAN|PEK|ORD|MIA|
MIA|NAO,|NAO|PEK|ORD|MIA|
MIA|NGB,|NGB|PEK|ORD|MIA|
MIA|NKG,|NKG|DLC|PEK|ORD|MIA|
MIA|NNY,|NNY|CGO|PEK|ORD|MIA|
MIA|PEN,|PEN|CAN|PEK|ORD|MIA|
MIA|PER,|PER|CAN|PEK|ORD|MIA|
MIA|PNH,|PNH|CAN|PEK|ORD|MIA|
MIA|REP,|REP|CAN|PEK|ORD|MIA|
MIA|RGN,|RGN|CAN|PEK|ORD|MIA|
MIA|SGN,|SGN|CAN|PEK|ORD|MIA|
MIA|SHA,|SHA|PEK|ORD|MIA|
MIA|SIN,|SIN|HKG|ORD|MIA|
MIA|SVO,|SVO|URC|TSE|FRA|MIA|
MIA|SYX,|SYX|PEK|ORD|MIA|
MIA|TAO,|TAO|DLC|PEK|ORD|MIA|
MIA|TEN,|TEN|PEK|ORD|MIA|
MIA|TNA,|TNA|DLC|PEK|ORD|MIA|
MIA|TPE,|TPE|PVG|ORD|MIA|
MIA|TSN,|TSN|DLC|PEK|ORD|MIA|
MIA|TXN,|TXN|DLC|PEK|ORD|MIA|
MIA|TYN,|TYN|DAT|CIH|PEK|ORD|MIA|
MIA|WNZ,|WNZ|CGO|PEK|ORD|MIA|
MIA|WUX,|WUX|CAN|PEK|ORD|MIA|
MIA|XFN,|XFN|XMN|PEK|ORD|MIA|
MIA|XIY,|XIY|PEK|ORD|MIA|
MIA|XUZ,|XUZ|LYG|HSN|PEK|ORD|MIA|
MIA|YIH,|YIH|CKG|PEK|ORD|MIA|
MIA|YIW,|YIW|PEK|ORD|MIA|
MIA|YNT,|YNT|SHE|PEK|ORD|MIA|
MIA|YNZ,|YNZ|DLC|PEK|ORD|MIA|
MIA|YTY,|YTY|DLC|PEK|ORD|MIA|
MIA|ZHA,|ZHA|CAN|PEK|ORD|MIA|
MIA|ZYI,|ZYI|PEK|ORD|MIA|
MIA|BAV,|BAV|CGO|PEK|ORD|MIA|
MIA|CJU,|CJU|DLC|PEK|ORD|MIA|
MIA|DSN,|DSN|CGO|PEK|ORD|MIA|
MIA|HMI,|HMI|URC|TSE|FRA|MIA|
MIA|INC,|INC|PEK|ORD|MIA|
MIA|KHH,|KHH|CGO|PEK|ORD|MIA|
MIA|UYN,|UYN|CGO|PEK|ORD|MIA|
MIA|XNN,|XNN|PEK|ORD|MIA|
MIA|ZUH,|ZUH|PEK|ORD|MIA|
MIA|YNJ,|YNJ|ICN|YVR|DEN|MIA|
MIA|DAT,|DAT|CIH|PEK|ORD|MIA|
MIA|JHG,|JHG|CKG|PEK|ORD|MIA|
MIA|LJG,|LJG|CKG|PEK|ORD|MIA|
MIA|LXA,|LXA|XIY|PEK|ORD|MIA|
MIA|YCU,|YCU|CSX|PEK|ORD|MIA|
MIA|LZO,|LZO|CSX|PEK|ORD|MIA|
MIA|MDG,|MDG|ICN|YVR|DEN|MIA|
MIA|NGO,|NGO|ICN|YVR|DEN|MIA|
MIA|TOY,|TOY|DLC|PEK|ORD|MIA|
MIA|MFM,|MFM|XMN|PEK|ORD|MIA|
MIA|TGO,|TGO|HET|DLC|PEK|ORD|MIA|
MIA|XIL,|XIL|HET|DLC|PEK|ORD|MIA|
MIA|HEK,|HEK|HRB|PEK|ORD|MIA|
MIA|KIJ,|KIJ|HRB|PEK|ORD|MIA|
MIA|LDS,|LDS|HRB|PEK|ORD|MIA|
MIA|OHE,|OHE|HRB|PEK|ORD|MIA|
MIA|HSN,|HSN|PEK|ORD|MIA|
MIA|DLU,|DLU|KMG|PEK|ORD|MIA|
MIA|SYM,|SYM|KMG|PEK|ORD|MIA|
MIA|ZAT,|ZAT|KMG|PEK|ORD|MIA|
MIA|LUN,|LUN|NBO|ZRH|MIA|
MIA|AOG,|AOG|PEK|ORD|MIA|
MIA|GMP,|GMP|PEK|ORD|MIA|
MIA|ISB,|ISB|IST|ZRH|MIA|
MIA|TAS,|TAS|IST|ZRH|MIA|
MIA|WUS,|WUS|PEK|ORD|MIA|
MIA|JMU,|JMU|PVG|ORD|MIA|
MIA|NDG,|NDG|PVG|ORD|MIA|
MIA|JXA,|JXA|SHE|PEK|ORD|MIA|
MIA|PUS,|PUS|SHE|PEK|ORD|MIA|
MIA|BKI,|BKI|SZX|PEK|ORD|MIA|
MIA|AKU,|AKU|URC|TSE|FRA|MIA|
MIA|ALA,|ALA|TSE|FRA|MIA|
MIA|ASB,|ASB|GYD|FRA|MIA|
MIA|DNH,|DNH|URC|TSE|FRA|MIA|
MIA|DYU,|DYU|IST|ZRH|MIA|
MIA|FRU,|FRU|IST|ZRH|MIA|
MIA|GYD,|GYD|FRA|MIA|
MIA|HTN,|HTN|URC|TSE|FRA|MIA|
MIA|IKA,|IKA|IST|ZRH|MIA|
MIA|KCA,|KCA|URC|TSE|FRA|MIA|
MIA|KHG,|KHG|URC|TSE|FRA|MIA|
MIA|KRL,|KRL|URC|TSE|FRA|MIA|
MIA|KRY,|KRY|URC|TSE|FRA|MIA|
MIA|LBD,|LBD|URC|TSE|FRA|MIA|
MIA|NLT,|NLT|URC|TSE|FRA|MIA|
MIA|OSS,|OSS|IST|ZRH|MIA|
MIA|OVB,|OVB|IST|ZRH|MIA|
MIA|TBS,|TBS|IST|ZRH|MIA|
MIA|TCG,|TCG|URC|TSE|FRA|MIA|
MIA|TSE,|TSE|FRA|MIA|
MIA|YIN,|YIN|URC|TSE|FRA|MIA|
MIA|ENH,|ENH|WUH|PEK|ORD|MIA|
MIA|ENY,|ENY|XIY|PEK|ORD|MIA|
MIA|WXN,|WXN|XIY|PEK|ORD|MIA|
MIA|BLL,|BLL|IST|ZRH|MIA|
MIA|ESB,|ESB|FRA|MIA|
MIA|SAW,|SAW|FRA|MIA|
MIA|HAM,|HAM|EWR|MIA|
MIA|HRE,|HRE|ADD|IST|ZRH|MIA|
MIA|JUB,|JUB|CAI|IST|ZRH|MIA|
MIA|SSG,|SSG|DLA|BRU|EWR|MIA|
