NGB|YAM,|YAM|YYZ|PEK|NGB|
NGB|YGK,|YGK|YYZ|PEK|NGB|
NGB|YQG,|YQG|YYZ|PEK|NGB|
NGB|YSB,|YSB|YYZ|PEK|NGB|
NGB|YTS,|YTS|YYZ|PEK|NGB|
NGB|YYB,|YYB|YYZ|PEK|NGB|
NGB|YZR,|YZR|YYZ|PEK|NGB|
NGB|CAN,|CAN|NGB|
NGB|URC,|URC|WUH|NGB|
NGB|CTU,|CTU|WUH|NGB|
NGB|HGH,|HGH|WUH|NGB|
NGB|XMN,|XMN|NGB|
NGB|CGO,|CGO|TAO|NGB|
NGB|CSX,|CSX|NGB|
NGB|SHE,|SHE|TAO|NGB|
NGB|SJW,|SJW|DLC|NGB|
NGB|WUH,|WUH|NGB|
NGB|SZX,|SZX|NGB|
NGB|CKG,|CKG|WUH|NGB|
NGB|KMG,|KMG|CSX|NGB|
NGB|FOC,|FOC|WUH|NGB|
NGB|NNG,|NNG|KWL|NGB|
NGB|SWA,|SWA|NGB|
NGB|ACX,|ACX|CAN|NGB|
NGB|AQG,|AQG|CAN|NGB|
NGB|AVA,|AVA|CAN|NGB|
NGB|BFJ,|BFJ|CAN|NGB|
NGB|BHY,|BHY|CAN|NGB|
NGB|BNE,|BNE|CAN|NGB|
NGB|CGD,|CGD|CAN|NGB|
NGB|CGK,|CGK|XMN|NGB|
NGB|CGQ,|CGQ|NGB|
NGB|CIH,|CIH|PEK|NGB|
NGB|CNX,|CNX|CAN|NGB|
NGB|CZX,|CZX|CSX|NGB|
NGB|DAC,|DAC|CAN|NGB|
NGB|DAD,|DAD|CAN|NGB|
NGB|DEL,|DEL|CAN|NGB|
NGB|DIG,|DIG|KMG|CSX|NGB|
NGB|DLC,|DLC|NGB|
NGB|DPS,|DPS|SZX|NGB|
NGB|DXB,|DXB|CAN|NGB|
NGB|DYG,|DYG|CSX|NGB|
NGB|FUG,|FUG|CAN|NGB|
NGB|FUK,|FUK|ICN|DLC|NGB|
NGB|HAK,|HAK|SZX|NGB|
NGB|HAN,|HAN|CAN|NGB|
NGB|HDG,|HDG|CAN|NGB|
NGB|HET,|HET|TAO|NGB|
NGB|HFE,|HFE|CSX|NGB|
NGB|HJJ,|HJJ|CSX|NGB|
NGB|HKT,|HKT|CAN|NGB|
NGB|HRB,|HRB|NGB|
NGB|HZH,|HZH|CAN|NGB|
NGB|JIU,|JIU|CAN|NGB|
NGB|JJN,|JJN|CSX|NGB|
NGB|JNG,|JNG|CAN|NGB|
NGB|KHN,|KHN|XMN|NGB|
NGB|KIX,|KIX|DLC|NGB|
NGB|KOW,|KOW|CAN|NGB|
NGB|KTM,|KTM|CAN|NGB|
NGB|KUL,|KUL|XMN|NGB|
NGB|KWE,|KWE|CSX|NGB|
NGB|KWL,|KWL|NGB|
NGB|LHW,|LHW|WUH|NGB|
NGB|LYA,|LYA|KHN|XMN|NGB|
NGB|LYG,|LYG|HSN|XMN|NGB|
NGB|LZH,|LZH|CAN|NGB|
NGB|MEL,|MEL|CAN|NGB|
NGB|MIG,|MIG|CSX|NGB|
NGB|MLE,|MLE|CAN|NGB|
NGB|MNL,|MNL|XMN|NGB|
NGB|MXZ,|MXZ|CAN|NGB|
NGB|NAO,|NAO|CAN|NGB|
NGB|NKG,|NKG|XMN|NGB|
NGB|NNY,|NNY|CGO|TAO|NGB|
NGB|PEN,|PEN|CAN|NGB|
NGB|PER,|PER|CAN|NGB|
NGB|PNH,|PNH|CAN|NGB|
NGB|REP,|REP|CAN|NGB|
NGB|RGN,|RGN|CAN|NGB|
NGB|SGN,|SGN|HKG|SWA|NGB|
NGB|SHA,|SHA|WUH|NGB|
NGB|SIN,|SIN|XMN|NGB|
NGB|SVO,|SVO|URC|WUH|NGB|
NGB|SYX,|SYX|SZX|NGB|
NGB|TAO,|TAO|NGB|
NGB|TEN,|TEN|CAN|NGB|
NGB|TNA,|TNA|WUH|NGB|
NGB|TPE,|TPE|WUH|NGB|
NGB|TSN,|TSN|DLC|NGB|
NGB|TXN,|TXN|XMN|NGB|
NGB|TYN,|TYN|TAO|NGB|
NGB|WNZ,|WNZ|WUH|NGB|
NGB|WUX,|WUX|CAN|NGB|
NGB|XFN,|XFN|XMN|NGB|
NGB|XIY,|XIY|WUH|NGB|
NGB|XUZ,|XUZ|LYG|HSN|XMN|NGB|
NGB|YIH,|YIH|XMN|NGB|
NGB|YIW,|YIW|XMN|NGB|
NGB|YNT,|YNT|SHE|TAO|NGB|
NGB|YNZ,|YNZ|WUH|NGB|
NGB|YTY,|YTY|CSX|NGB|
NGB|ZHA,|ZHA|CAN|NGB|
NGB|ZYI,|ZYI|CAN|NGB|
NGB|BAV,|BAV|WUH|NGB|
NGB|CJU,|CJU|DLC|NGB|
NGB|DSN,|DSN|CGO|TAO|NGB|
NGB|HMI,|HMI|CGO|TAO|NGB|
NGB|INC,|INC|WUH|NGB|
NGB|KHH,|KHH|WUH|NGB|
NGB|UYN,|UYN|XIY|WUH|NGB|
NGB|XNN,|XNN|XIY|WUH|NGB|
NGB|ZUH,|ZUH|SWA|NGB|
NGB|YNJ,|YNJ|DLC|NGB|
NGB|DAT,|DAT|TYN|TAO|NGB|
NGB|JHG,|JHG|KMG|CSX|NGB|
NGB|LJG,|LJG|KWE|CSX|NGB|
