HPN|PTP,|PTP|YUL|ORD|HPN|
HPN|PUJ,|PUJ|ORD|HPN|
HPN|SNU,|SNU|YYZ|ORD|HPN|
HPN|VRA,|VRA|YYZ|ORD|HPN|
HPN|YBC,|YBC|YUL|ORD|HPN|
HPN|YBG,|YBG|YUL|ORD|HPN|
HPN|YTZ,|YTZ|YUL|ORD|HPN|
HPN|YUY,|YUY|YUL|ORD|HPN|
HPN|YVO,|YVO|YUL|ORD|HPN|
HPN|ZBF,|ZBF|YUL|ORD|HPN|
HPN|ZRH,|ZRH|ORD|HPN|
HPN|ZSA,|ZSA|YUL|ORD|HPN|
HPN|AKL,|AKL|LAX|ORD|HPN|
HPN|HKG,|HKG|ORD|HPN|
HPN|HND,|HND|YVR|ORD|HPN|
HPN|HNL,|HNL|ORD|HPN|
HPN|MEX,|MEX|ORD|HPN|
HPN|OGG,|OGG|ORD|HPN|
HPN|PDX,|PDX|ORD|HPN|
HPN|PEK,|PEK|ORD|HPN|
HPN|PVG,|PVG|ORD|HPN|
HPN|PVR,|PVR|ORD|HPN|
HPN|SEA,|SEA|ORD|HPN|
HPN|SYD,|SYD|LAX|ORD|HPN|
HPN|YBL,|YBL|YVR|ORD|HPN|
HPN|YCD,|YCD|YVR|ORD|HPN|
HPN|YCG,|YCG|YYC|ORD|HPN|
HPN|YKA,|YKA|YYC|ORD|HPN|
HPN|YPR,|YPR|YVR|ORD|HPN|
HPN|YQZ,|YQZ|YVR|ORD|HPN|
HPN|YXC,|YXC|YYC|ORD|HPN|
HPN|YXJ,|YXJ|YYC|ORD|HPN|
HPN|YXS,|YXS|YYC|ORD|HPN|
HPN|YXT,|YXT|YVR|ORD|HPN|
HPN|YXY,|YXY|YVR|ORD|HPN|
HPN|YYD,|YYD|YVR|ORD|HPN|
HPN|YYF,|YYF|YVR|ORD|HPN|
HPN|YZP,|YZP|YVR|ORD|HPN|
HPN|YQT,|YQT|YYZ|ORD|HPN|
HPN|SJD,|SJD|ORD|HPN|
HPN|YQF,|YQF|YYC|ORD|HPN|
HPN|YQL,|YQL|YYC|ORD|HPN|
HPN|YXH,|YXH|YYC|ORD|HPN|
HPN|YWK,|YWK|YZV|YQB|ORD|HPN|
HPN|ANU,|ANU|EWR|ORD|HPN|
HPN|AUA,|AUA|ATL|ORD|HPN|
HPN|AUH,|AUH|YYZ|ORD|HPN|
HPN|BCN,|BCN|YYZ|ORD|HPN|
HPN|BDA,|BDA|EWR|ORD|HPN|
HPN|BGI,|BGI|YYZ|ORD|HPN|
HPN|BNA,|BNA|ORD|HPN|
HPN|BOG,|BOG|MIA|ORD|HPN|
HPN|BWI,|BWI|ORD|HPN|
HPN|CLE,|CLE|ORD|HPN|
HPN|CLT,|CLT|ORD|HPN|
HPN|CMH,|CMH|ORD|HPN|
HPN|CVG,|CVG|ORD|HPN|
HPN|DFW,|DFW|ORD|HPN|
HPN|DTW,|DTW|ORD|HPN|
HPN|DUB,|DUB|ORD|HPN|
HPN|FCO,|FCO|YYZ|ORD|HPN|
