HTN|ADF,|ADF|ESB|SAW|TBS|URC|HTN|
HTN|AJI,|AJI|ESB|SAW|TBS|URC|HTN|
HTN|BAL,|BAL|ESB|SAW|TBS|URC|HTN|
HTN|BJV,|BJV|IST|URC|HTN|
HTN|CKZ,|CKZ|ESB|SAW|TBS|URC|HTN|
HTN|DIY,|DIY|SAW|TBS|URC|HTN|
HTN|ECN,|ECN|SAW|TBS|URC|HTN|
HTN|ERC,|ERC|ESB|SAW|TBS|URC|HTN|
HTN|ERZ,|ERZ|SAW|TBS|URC|HTN|
HTN|EZS,|EZS|SAW|TBS|URC|HTN|
HTN|GNY,|GNY|ESB|SAW|TBS|URC|HTN|
HTN|GZP,|GZP|ESB|SAW|TBS|URC|HTN|
HTN|GZT,|GZT|SAW|TBS|URC|HTN|
HTN|HTY,|HTY|SAW|TBS|URC|HTN|
HTN|KCM,|KCM|ESB|SAW|TBS|URC|HTN|
HTN|KSY,|KSY|SAW|TBS|URC|HTN|
HTN|MLX,|MLX|ESB|SAW|TBS|URC|HTN|
HTN|MQM,|MQM|SAW|TBS|URC|HTN|
HTN|MSR,|MSR|ESB|SAW|TBS|URC|HTN|
HTN|TEQ,|TEQ|ESB|SAW|TBS|URC|HTN|
HTN|TZX,|TZX|SAW|TBS|URC|HTN|
HTN|VAN,|VAN|SAW|TBS|URC|HTN|
HTN|ULN,|ULN|FRU|URC|HTN|
HTN|HIJ,|HIJ|ICN|PEK|URC|HTN|
HTN|VVO,|VVO|ICN|PEK|URC|HTN|
HTN|ACC,|ACC|IST|URC|HTN|
HTN|AER,|AER|IST|URC|HTN|
HTN|AGP,|AGP|IST|URC|HTN|
HTN|ALG,|ALG|IST|URC|HTN|
HTN|AMM,|AMM|IST|URC|HTN|
HTN|AQJ,|AQJ|IST|URC|HTN|
HTN|ARN,|ARN|IST|URC|HTN|
HTN|ASR,|ASR|SAW|TBS|URC|HTN|
HTN|ATH,|ATH|IST|URC|HTN|
HTN|BAH,|BAH|KWI|SAW|TBS|URC|HTN|
HTN|BEG,|BEG|IST|URC|HTN|
HTN|BEN,|BEN|IST|URC|HTN|
HTN|BEY,|BEY|IST|URC|HTN|
HTN|BHX,|BHX|IST|URC|HTN|
HTN|BIO,|BIO|IST|URC|HTN|
HTN|BLQ,|BLQ|IST|URC|HTN|
HTN|BOM,|BOM|IST|URC|HTN|
HTN|BRE,|BRE|IST|URC|HTN|
HTN|BSL,|BSL|IST|URC|HTN|
HTN|BSR,|BSR|IST|URC|HTN|
HTN|BUD,|BUD|IST|URC|HTN|
HTN|BUS,|BUS|IST|URC|HTN|
HTN|CAI,|CAI|IST|URC|HTN|
HTN|CGN,|CGN|IST|URC|HTN|
HTN|CMN,|CMN|IST|URC|HTN|
HTN|CND,|CND|IST|URC|HTN|
HTN|DAR,|DAR|IST|URC|HTN|
HTN|DLM,|DLM|IST|URC|HTN|
HTN|DMM,|DMM|IST|URC|HTN|
HTN|DNK,|DNK|IST|URC|HTN|
HTN|DNZ,|DNZ|IST|URC|HTN|
HTN|DOK,|DOK|IST|URC|HTN|
HTN|DUS,|DUS|IST|URC|HTN|
HTN|EDI,|EDI|IST|URC|HTN|
HTN|ELQ,|ELQ|IST|URC|HTN|
HTN|FDH,|FDH|IST|URC|HTN|
HTN|GOA,|GOA|IST|URC|HTN|
HTN|GOT,|GOT|IST|URC|HTN|
HTN|HAJ,|HAJ|IST|URC|HTN|
HTN|HBE,|HBE|IST|URC|HTN|
HTN|HEL,|HEL|IST|URC|HTN|
HTN|HRG,|HRG|IST|URC|HTN|
HTN|IFN,|IFN|IST|URC|HTN|
HTN|ISE,|ISE|IST|URC|HTN|
HTN|ISU,|ISU|IST|URC|HTN|
HTN|JIB,|JIB|IST|URC|HTN|
HTN|JRO,|JRO|IST|URC|HTN|
HTN|KAN,|KAN|IST|URC|HTN|
HTN|KBL,|KBL|IST|URC|HTN|
HTN|KBP,|KBP|IST|URC|HTN|
HTN|KFS,|KFS|IST|URC|HTN|
HTN|KHI,|KHI|IST|URC|HTN|
HTN|KIV,|KIV|IST|URC|HTN|
HTN|KRT,|KRT|IST|URC|HTN|
HTN|KSH,|KSH|IST|URC|HTN|
HTN|KVD,|KVD|IST|URC|HTN|
HTN|KWI,|KWI|SAW|TBS|URC|HTN|
HTN|KYA,|KYA|SAW|TBS|URC|HTN|
HTN|KZN,|KZN|IST|URC|HTN|
HTN|KZR,|KZR|IST|URC|HTN|
HTN|LED,|LED|IST|URC|HTN|
HTN|LEJ,|LEJ|IST|URC|HTN|
HTN|LGW,|LGW|IST|URC|HTN|
HTN|LHE,|LHE|IST|URC|HTN|
HTN|LIS,|LIS|IST|URC|HTN|
HTN|LJU,|LJU|IST|URC|HTN|
HTN|LOS,|LOS|IST|URC|HTN|
HTN|LUX,|LUX|IST|URC|HTN|
HTN|LWO,|LWO|IST|URC|HTN|
HTN|LYS,|LYS|IST|URC|HTN|
HTN|MAD,|MAD|IST|URC|HTN|
HTN|MAN,|MAN|IST|URC|HTN|
HTN|MED,|MED|IST|URC|HTN|
HTN|MHD,|MHD|IST|URC|HTN|
HTN|MLA,|MLA|IST|URC|HTN|
HTN|MRS,|MRS|IST|URC|HTN|
HTN|MSQ,|MSQ|IST|URC|HTN|
HTN|MXP,|MXP|IST|URC|HTN|
HTN|MZH,|MZH|IST|URC|HTN|
HTN|MZR,|MZR|IST|URC|HTN|
HTN|NAJ,|NAJ|IST|URC|HTN|
HTN|NAV,|NAV|IST|URC|HTN|
HTN|NCE,|NCE|IST|URC|HTN|
HTN|NIM,|NIM|IST|URC|HTN|
HTN|NJF,|NJF|IST|URC|HTN|
HTN|NSI,|NSI|IST|URC|HTN|
HTN|NUE,|NUE|IST|URC|HTN|
HTN|ODS,|ODS|IST|URC|HTN|
HTN|ORN,|ORN|IST|URC|HTN|
HTN|OTP,|OTP|IST|URC|HTN|
HTN|PRG,|PRG|IST|URC|HTN|
HTN|PRN,|PRN|IST|URC|HTN|
HTN|RIX,|RIX|IST|URC|HTN|
HTN|ROV,|ROV|IST|URC|HTN|
HTN|RTM,|RTM|IST|URC|HTN|
HTN|RUH,|RUH|IST|URC|HTN|
HTN|SAH,|SAH|IST|URC|HTN|
HTN|SJJ,|SJJ|IST|URC|HTN|
HTN|SKG,|SKG|IST|URC|HTN|
HTN|SKP,|SKP|IST|URC|HTN|
HTN|SSH,|SSH|IST|URC|HTN|
HTN|STR,|STR|IST|URC|HTN|
HTN|SVX,|SVX|IST|URC|HTN|
HTN|SYZ,|SYZ|IST|URC|HTN|
HTN|SZG,|SZG|IST|URC|HTN|
HTN|TBZ,|TBZ|IST|URC|HTN|
HTN|TGD,|TGD|IST|URC|HTN|
HTN|TIA,|TIA|IST|URC|HTN|
HTN|TIF,|TIF|IST|URC|HTN|
HTN|TIP,|TIP|IST|URC|HTN|
HTN|TLL,|TLL|IST|URC|HTN|
HTN|TLS,|TLS|IST|URC|HTN|
HTN|TRN,|TRN|IST|URC|HTN|
HTN|TUN,|TUN|IST|URC|HTN|
HTN|TXL,|TXL|IST|URC|HTN|
HTN|UFA,|UFA|IST|URC|HTN|
HTN|VAS,|VAS|SAW|TBS|URC|HTN|
HTN|VCE,|VCE|IST|URC|HTN|
HTN|YNB,|YNB|IST|URC|HTN|
HTN|ZAG,|ZAG|IST|URC|HTN|
