IND|SJO,|SJO|ORD|IND|
IND|STL,|STL|ORD|IND|
IND|SYR,|SYR|CLE|IND|
IND|TLV,|TLV|YYZ|IND|
IND|TPA,|TPA|IND|
IND|UVF,|UVF|EWR|IND|
IND|VIE,|VIE|YYZ|IND|
IND|YAM,|YAM|YYZ|IND|
IND|YGK,|YGK|YYZ|IND|
IND|YQG,|YQG|YYZ|IND|
IND|YSB,|YSB|YYZ|IND|
IND|YTS,|YTS|YYZ|IND|
IND|YYB,|YYB|YYZ|IND|
IND|YZR,|YZR|YYZ|IND|
IND|CAN,|CAN|PEK|ORD|IND|
IND|URC,|URC|TSE|FRA|YYZ|IND|
IND|CTU,|CTU|PEK|ORD|IND|
IND|HGH,|HGH|PEK|ORD|IND|
IND|XMN,|XMN|PEK|ORD|IND|
IND|CGO,|CGO|PEK|ORD|IND|
IND|CSX,|CSX|PEK|ORD|IND|
IND|SHE,|SHE|PEK|ORD|IND|
IND|SJW,|SJW|DLC|PEK|ORD|IND|
IND|WUH,|WUH|PEK|ORD|IND|
IND|SZX,|SZX|PEK|ORD|IND|
IND|CKG,|CKG|PEK|ORD|IND|
IND|KMG,|KMG|PEK|ORD|IND|
IND|FOC,|FOC|PEK|ORD|IND|
IND|NNG,|NNG|PEK|ORD|IND|
IND|SWA,|SWA|PEK|ORD|IND|
IND|ACX,|ACX|CAN|PEK|ORD|IND|
IND|AQG,|AQG|CAN|PEK|ORD|IND|
IND|AVA,|AVA|CAN|PEK|ORD|IND|
IND|BFJ,|BFJ|CAN|PEK|ORD|IND|
IND|BHY,|BHY|CGO|PEK|ORD|IND|
IND|BNE,|BNE|CAN|PEK|ORD|IND|
IND|CGD,|CGD|PEK|ORD|IND|
IND|CGK,|CGK|CAN|PEK|ORD|IND|
IND|CGQ,|CGQ|PEK|ORD|IND|
IND|CIH,|CIH|PEK|ORD|IND|
IND|CNX,|CNX|CAN|PEK|ORD|IND|
IND|CZX,|CZX|SHE|PEK|ORD|IND|
IND|DAC,|DAC|IST|YYZ|IND|
IND|DAD,|DAD|CAN|PEK|ORD|IND|
IND|DEL,|DEL|EWR|IND|
IND|DIG,|DIG|KMG|PEK|ORD|IND|
IND|DLC,|DLC|PEK|ORD|IND|
IND|DPS,|DPS|SZX|PEK|ORD|IND|
IND|DXB,|DXB|IST|YYZ|IND|
IND|DYG,|DYG|PEK|ORD|IND|
IND|FUG,|FUG|CAN|PEK|ORD|IND|
IND|FUK,|FUK|ICN|YVR|ORD|IND|
IND|HAK,|HAK|PEK|ORD|IND|
IND|HAN,|HAN|PEK|ORD|IND|
IND|HDG,|HDG|CAN|PEK|ORD|IND|
IND|HET,|HET|DLC|PEK|ORD|IND|
IND|HFE,|HFE|XIY|PEK|ORD|IND|
IND|HJJ,|HJJ|CSX|PEK|ORD|IND|
IND|HKT,|HKT|KWE|PEK|ORD|IND|
IND|HRB,|HRB|PEK|ORD|IND|
IND|HZH,|HZH|CAN|PEK|ORD|IND|
IND|JIU,|JIU|CAN|PEK|ORD|IND|
IND|JJN,|JJN|PEK|ORD|IND|
IND|JNG,|JNG|CAN|PEK|ORD|IND|
IND|KHN,|KHN|DLC|PEK|ORD|IND|
IND|KIX,|KIX|SFO|IND|
IND|KOW,|KOW|PEK|ORD|IND|
IND|KTM,|KTM|IST|YYZ|IND|
IND|KUL,|KUL|CAN|PEK|ORD|IND|
IND|KWE,|KWE|PEK|ORD|IND|
