CID|AVA,|AVA|CAN|PEK|ORD|CID|
CID|BFJ,|BFJ|CAN|PEK|ORD|CID|
CID|BHY,|BHY|CGO|PEK|ORD|CID|
CID|BNE,|BNE|CAN|PEK|ORD|CID|
CID|CGD,|CGD|PEK|ORD|CID|
CID|CGK,|CGK|CAN|PEK|ORD|CID|
CID|CGQ,|CGQ|PEK|ORD|CID|
CID|CIH,|CIH|PEK|ORD|CID|
CID|CNX,|CNX|CAN|PEK|ORD|CID|
CID|CZX,|CZX|SHE|PEK|ORD|CID|
CID|DAC,|DAC|IST|ORD|CID|
CID|DAD,|DAD|CAN|PEK|ORD|CID|
CID|DEL,|DEL|EWR|ORD|CID|
CID|DIG,|DIG|KMG|PEK|ORD|CID|
CID|DLC,|DLC|PEK|ORD|CID|
CID|DPS,|DPS|SZX|PEK|ORD|CID|
CID|DXB,|DXB|IST|ORD|CID|
CID|DYG,|DYG|PEK|ORD|CID|
CID|FUG,|FUG|CAN|PEK|ORD|CID|
CID|FUK,|FUK|ICN|YVR|DEN|CID|
CID|HAK,|HAK|PEK|ORD|CID|
CID|HAN,|HAN|PEK|ORD|CID|
CID|HDG,|HDG|CAN|PEK|ORD|CID|
CID|HET,|HET|DLC|PEK|ORD|CID|
CID|HFE,|HFE|XIY|PEK|ORD|CID|
CID|HJJ,|HJJ|CSX|PEK|ORD|CID|
CID|HKT,|HKT|KWE|PEK|ORD|CID|
CID|HRB,|HRB|PEK|ORD|CID|
CID|HZH,|HZH|CAN|PEK|ORD|CID|
CID|JIU,|JIU|CAN|PEK|ORD|CID|
CID|JJN,|JJN|PEK|ORD|CID|
CID|JNG,|JNG|CAN|PEK|ORD|CID|
CID|KHN,|KHN|DLC|PEK|ORD|CID|
CID|KIX,|KIX|SFO|DEN|CID|
CID|KOW,|KOW|PEK|ORD|CID|
CID|KTM,|KTM|IST|ORD|CID|
CID|KUL,|KUL|CAN|PEK|ORD|CID|
CID|KWE,|KWE|PEK|ORD|CID|
CID|KWL,|KWL|PEK|ORD|CID|
CID|LHW,|LHW|CGO|PEK|ORD|CID|
CID|LYA,|LYA|KHN|DLC|PEK|ORD|CID|
CID|LYG,|LYG|HSN|PEK|ORD|CID|
CID|LZH,|LZH|CAN|PEK|ORD|CID|
CID|MEL,|MEL|SYD|LAX|DEN|CID|
CID|MIG,|MIG|CSX|PEK|ORD|CID|
CID|MLE,|MLE|IST|ORD|CID|
CID|MNL,|MNL|XMN|PEK|ORD|CID|
CID|MXZ,|MXZ|CAN|PEK|ORD|CID|
CID|NAO,|NAO|PEK|ORD|CID|
CID|NGB,|NGB|PEK|ORD|CID|
CID|NKG,|NKG|DLC|PEK|ORD|CID|
CID|NNY,|NNY|CGO|PEK|ORD|CID|
CID|PEN,|PEN|CAN|PEK|ORD|CID|
CID|PER,|PER|CAN|PEK|ORD|CID|
CID|PNH,|PNH|CAN|PEK|ORD|CID|
CID|REP,|REP|CAN|PEK|ORD|CID|
CID|RGN,|RGN|CAN|PEK|ORD|CID|
CID|SGN,|SGN|CAN|PEK|ORD|CID|
CID|SHA,|SHA|PEK|ORD|CID|
CID|SIN,|SIN|HKG|ORD|CID|
CID|SVO,|SVO|URC|TSE|FRA|ORD|CID|
CID|SYX,|SYX|PEK|ORD|CID|
CID|TAO,|TAO|DLC|PEK|ORD|CID|
CID|TEN,|TEN|PEK|ORD|CID|
CID|TNA,|TNA|DLC|PEK|ORD|CID|
CID|TPE,|TPE|PVG|ORD|CID|
CID|TSN,|TSN|DLC|PEK|ORD|CID|
CID|TXN,|TXN|DLC|PEK|ORD|CID|
CID|TYN,|TYN|DAT|CIH|PEK|ORD|CID|
CID|WNZ,|WNZ|CGO|PEK|ORD|CID|
CID|WUX,|WUX|CAN|PEK|ORD|CID|
CID|XFN,|XFN|XMN|PEK|ORD|CID|
CID|XIY,|XIY|PEK|ORD|CID|
CID|XUZ,|XUZ|LYG|HSN|PEK|ORD|CID|
CID|YIH,|YIH|CKG|PEK|ORD|CID|
CID|YIW,|YIW|PEK|ORD|CID|
CID|YNT,|YNT|SHE|PEK|ORD|CID|
CID|YNZ,|YNZ|DLC|PEK|ORD|CID|
CID|YTY,|YTY|DLC|PEK|ORD|CID|
CID|ZHA,|ZHA|CAN|PEK|ORD|CID|
CID|ZYI,|ZYI|PEK|ORD|CID|
CID|BAV,|BAV|CGO|PEK|ORD|CID|
CID|CJU,|CJU|DLC|PEK|ORD|CID|
CID|DSN,|DSN|CGO|PEK|ORD|CID|
CID|HMI,|HMI|CGO|PEK|ORD|CID|
CID|INC,|INC|PEK|ORD|CID|
CID|KHH,|KHH|CGO|PEK|ORD|CID|
CID|UYN,|UYN|CGO|PEK|ORD|CID|
CID|XNN,|XNN|PEK|ORD|CID|
CID|ZUH,|ZUH|PEK|ORD|CID|
CID|YNJ,|YNJ|ICN|YVR|DEN|CID|
CID|DAT,|DAT|CIH|PEK|ORD|CID|
CID|JHG,|JHG|CKG|PEK|ORD|CID|
CID|LJG,|LJG|CKG|PEK|ORD|CID|
CID|LXA,|LXA|XIY|PEK|ORD|CID|
CID|YCU,|YCU|CSX|PEK|ORD|CID|
CID|LZO,|LZO|CSX|PEK|ORD|CID|
CID|MDG,|MDG|ICN|YVR|DEN|CID|
CID|NGO,|NGO|ICN|YVR|DEN|CID|
CID|TOY,|TOY|DLC|PEK|ORD|CID|
CID|MFM,|MFM|XMN|PEK|ORD|CID|
CID|TGO,|TGO|HET|DLC|PEK|ORD|CID|
CID|XIL,|XIL|HET|DLC|PEK|ORD|CID|
CID|HEK,|HEK|HRB|PEK|ORD|CID|
CID|KIJ,|KIJ|HRB|PEK|ORD|CID|
CID|LDS,|LDS|HRB|PEK|ORD|CID|
CID|OHE,|OHE|HRB|PEK|ORD|CID|
CID|HSN,|HSN|PEK|ORD|CID|
CID|DLU,|DLU|KMG|PEK|ORD|CID|
CID|SYM,|SYM|KMG|PEK|ORD|CID|
CID|ZAT,|ZAT|KMG|PEK|ORD|CID|
CID|LUN,|LUN|NBO|ZRH|ORD|CID|
CID|AOG,|AOG|PEK|ORD|CID|
CID|GMP,|GMP|PEK|ORD|CID|
CID|ISB,|ISB|IST|ORD|CID|
CID|TAS,|TAS|IST|ORD|CID|
CID|WUS,|WUS|PEK|ORD|CID|
CID|JMU,|JMU|PVG|ORD|CID|
CID|NDG,|NDG|PVG|ORD|CID|
CID|JXA,|JXA|SHE|PEK|ORD|CID|
CID|PUS,|PUS|SHE|PEK|ORD|CID|
CID|BKI,|BKI|SZX|PEK|ORD|CID|
CID|AKU,|AKU|URC|TSE|FRA|ORD|CID|
CID|ALA,|ALA|TSE|FRA|ORD|CID|
CID|ASB,|ASB|GYD|FRA|ORD|CID|
CID|DNH,|DNH|XIY|PEK|ORD|CID|
CID|DYU,|DYU|IST|ORD|CID|
CID|FRU,|FRU|IST|ORD|CID|
CID|GYD,|GYD|FRA|ORD|CID|
CID|HTN,|HTN|URC|TSE|FRA|ORD|CID|
CID|IKA,|IKA|SAW|VIE|ORD|CID|
CID|KCA,|KCA|URC|TSE|FRA|ORD|CID|
CID|KHG,|KHG|URC|TSE|FRA|ORD|CID|
CID|KRL,|KRL|URC|TSE|FRA|ORD|CID|
CID|KRY,|KRY|URC|TSE|FRA|ORD|CID|
CID|LBD,|LBD|URC|TSE|FRA|ORD|CID|
CID|NLT,|NLT|URC|TSE|FRA|ORD|CID|
CID|OSS,|OSS|IST|ORD|CID|
CID|OVB,|OVB|IST|ORD|CID|
CID|TBS,|TBS|SAW|VIE|ORD|CID|
CID|TCG,|TCG|URC|TSE|FRA|ORD|CID|
CID|TSE,|TSE|FRA|ORD|CID|
CID|YIN,|YIN|URC|TSE|FRA|ORD|CID|
CID|ENH,|ENH|WUH|PEK|ORD|CID|
CID|ENY,|ENY|XIY|PEK|ORD|CID|
CID|WXN,|WXN|XIY|PEK|ORD|CID|
CID|BLL,|BLL|IST|ORD|CID|
CID|ESB,|ESB|VIE|ORD|CID|
CID|SAW,|SAW|VIE|ORD|CID|
CID|HAM,|HAM|EWR|ORD|CID|
CID|HRE,|HRE|ADD|IST|ORD|CID|
CID|JUB,|JUB|CAI|IST|ORD|CID|
CID|SSG,|SSG|DLA|BRU|ORD|CID|
CID|BGW,|BGW|ESB|VIE|ORD|CID|
CID|EBL,|EBL|IST|ORD|CID|
CID|VKO,|VKO|IST|ORD|CID|
CID|MCT,|MCT|IST|ORD|CID|
CID|AYT,|AYT|IST|ORD|CID|
CID|SCQ,|SCQ|BIO|IST|ORD|CID|
CID|AAL,|AAL|IST|ORD|CID|
CID|AOE,|AOE|BRU|ORD|CID|
CID|JNB,|JNB|DKR|IAD|ORD|CID|
CID|LBV,|LBV|DLA|BRU|ORD|CID|
CID|ADA,|ADA|IST|ORD|CID|
CID|ADB,|ADB|IST|ORD|CID|
CID|ADF,|ADF|ESB|VIE|ORD|CID|
CID|AJI,|AJI|ESB|VIE|ORD|CID|
CID|BAL,|BAL|ESB|VIE|ORD|CID|
CID|BJV,|BJV|IST|ORD|CID|
CID|CKZ,|CKZ|ESB|VIE|ORD|CID|
CID|DIY,|DIY|ESB|VIE|ORD|CID|
CID|ECN,|ECN|IST|ORD|CID|
CID|ERC,|ERC|ESB|VIE|ORD|CID|
CID|ERZ,|ERZ|ESB|VIE|ORD|CID|
CID|EZS,|EZS|ESB|VIE|ORD|CID|
CID|GNY,|GNY|ESB|VIE|ORD|CID|
CID|GZP,|GZP|ESB|VIE|ORD|CID|
CID|GZT,|GZT|ESB|VIE|ORD|CID|
CID|HTY,|HTY|IST|ORD|CID|
CID|KCM,|KCM|ESB|VIE|ORD|CID|
CID|KSY,|KSY|ESB|VIE|ORD|CID|
CID|MLX,|MLX|ESB|VIE|ORD|CID|
CID|MQM,|MQM|ESB|VIE|ORD|CID|
CID|MSR,|MSR|ESB|VIE|ORD|CID|
CID|TEQ,|TEQ|ESB|VIE|ORD|CID|
CID|TZX,|TZX|ESB|VIE|ORD|CID|
CID|VAN,|VAN|ESB|VIE|ORD|CID|
CID|ULN,|ULN|FRU|IST|ORD|CID|
CID|HIJ,|HIJ|ICN|YVR|DEN|CID|
CID|VVO,|VVO|ICN|YVR|DEN|CID|
CID|ACC,|ACC|IST|ORD|CID|
CID|AER,|AER|IST|ORD|CID|
CID|AGP,|AGP|IST|ORD|CID|
CID|ALG,|ALG|IST|ORD|CID|
CID|AMM,|AMM|IST|ORD|CID|
CID|AQJ,|AQJ|IST|ORD|CID|
CID|ARN,|ARN|EWR|ORD|CID|
CID|ASR,|ASR|SAW|VIE|ORD|CID|
CID|ATH,|ATH|IST|ORD|CID|
CID|BAH,|BAH|IST|ORD|CID|
CID|BEG,|BEG|IST|ORD|CID|
CID|BEN,|BEN|IST|ORD|CID|
CID|BEY,|BEY|IST|ORD|CID|
CID|BHX,|BHX|EWR|ORD|CID|
CID|BIO,|BIO|IST|ORD|CID|
CID|BLQ,|BLQ|IST|ORD|CID|
CID|BOM,|BOM|IST|ORD|CID|
CID|BRE,|BRE|IST|ORD|CID|
CID|BSL,|BSL|IST|ORD|CID|
CID|BSR,|BSR|IST|ORD|CID|
CID|BUD,|BUD|IST|ORD|CID|
CID|BUS,|BUS|IST|ORD|CID|
CID|CAI,|CAI|IST|ORD|CID|
CID|CGN,|CGN|IST|ORD|CID|
CID|CMN,|CMN|IST|ORD|CID|
CID|CND,|CND|IST|ORD|CID|
CID|DAR,|DAR|NBO|ZRH|ORD|CID|
CID|DLM,|DLM|IST|ORD|CID|
CID|DMM,|DMM|IST|ORD|CID|
CID|DNK,|DNK|IST|ORD|CID|
CID|DNZ,|DNZ|IST|ORD|CID|
CID|DOK,|DOK|IST|ORD|CID|
CID|DUS,|DUS|ORD|CID|
CID|EDI,|EDI|EWR|ORD|CID|
CID|ELQ,|ELQ|IST|ORD|CID|
CID|FDH,|FDH|IST|ORD|CID|
CID|GOA,|GOA|IST|ORD|CID|
CID|GOT,|GOT|BRU|ORD|CID|
CID|HAJ,|HAJ|BRU|ORD|CID|
CID|HBE,|HBE|IST|ORD|CID|
CID|HEL,|HEL|IST|ORD|CID|
CID|HRG,|HRG|IST|ORD|CID|
CID|IFN,|IFN|IST|ORD|CID|
CID|ISE,|ISE|IST|ORD|CID|
CID|ISU,|ISU|IST|ORD|CID|
CID|JIB,|JIB|IST|ORD|CID|
CID|JRO,|JRO|IST|ORD|CID|
CID|KAN,|KAN|IST|ORD|CID|
CID|KBL,|KBL|IST|ORD|CID|
CID|KBP,|KBP|IST|ORD|CID|
CID|KFS,|KFS|IST|ORD|CID|
CID|KHI,|KHI|IST|ORD|CID|
CID|KIV,|KIV|IST|ORD|CID|
CID|KRT,|KRT|IST|ORD|CID|
CID|KSH,|KSH|IST|ORD|CID|
CID|KVD,|KVD|IST|ORD|CID|
CID|KWI,|KWI|SAW|VIE|ORD|CID|
CID|KYA,|KYA|IST|ORD|CID|
CID|KZN,|KZN|IST|ORD|CID|
CID|KZR,|KZR|IST|ORD|CID|
CID|LED,|LED|VIE|ORD|CID|
CID|LEJ,|LEJ|IST|ORD|CID|
CID|LGW,|LGW|IST|ORD|CID|
CID|LHE,|LHE|IST|ORD|CID|
CID|LIS,|LIS|EWR|ORD|CID|
CID|LJU,|LJU|IST|ORD|CID|
CID|LOS,|LOS|FRA|ORD|CID|
CID|LUX,|LUX|IST|ORD|CID|
CID|LWO,|LWO|IST|ORD|CID|
CID|LYS,|LYS|IST|ORD|CID|
CID|MAD,|MAD|EWR|ORD|CID|
