CJU|RDU,|RDU|YYZ|PEK|DLC|CJU|
CJU|ROC,|ROC|YYZ|PEK|DLC|CJU|
CJU|RSW,|RSW|ORD|PEK|DLC|CJU|
CJU|SAN,|SAN|LAX|ICN|DLC|CJU|
CJU|SJO,|SJO|IAH|YVR|ICN|DLC|CJU|
CJU|STL,|STL|ORD|PEK|DLC|CJU|
CJU|SYR,|SYR|YYZ|PEK|DLC|CJU|
CJU|TLV,|TLV|IST|PEK|DLC|CJU|
CJU|TPA,|TPA|ORD|PEK|DLC|CJU|
CJU|UVF,|UVF|EWR|PEK|DLC|CJU|
CJU|VIE,|VIE|IST|PEK|DLC|CJU|
CJU|YAM,|YAM|YYZ|PEK|DLC|CJU|
CJU|YGK,|YGK|YYZ|PEK|DLC|CJU|
CJU|YQG,|YQG|YYZ|PEK|DLC|CJU|
CJU|YSB,|YSB|YYZ|PEK|DLC|CJU|
CJU|YTS,|YTS|YYZ|PEK|DLC|CJU|
CJU|YYB,|YYB|YYZ|PEK|DLC|CJU|
CJU|YZR,|YZR|YYZ|PEK|DLC|CJU|
CJU|CAN,|CAN|CSX|CJU|
CJU|URC,|URC|PEK|DLC|CJU|
CJU|CTU,|CTU|CGO|CJU|
CJU|HGH,|HGH|DLC|CJU|
CJU|XMN,|XMN|CSX|CJU|
CJU|CGO,|CGO|CJU|
CJU|CSX,|CSX|CJU|
CJU|SHE,|SHE|CJU|
CJU|SJW,|SJW|DLC|CJU|
CJU|WUH,|WUH|DLC|CJU|
CJU|SZX,|SZX|CJU|
CJU|CKG,|CKG|CGO|CJU|
CJU|KMG,|KMG|CSX|CJU|
CJU|FOC,|FOC|CSX|CJU|
CJU|NNG,|NNG|CSX|CJU|
CJU|SWA,|SWA|CSX|CJU|
CJU|ACX,|ACX|CAN|CSX|CJU|
CJU|AQG,|AQG|CAN|CSX|CJU|
CJU|AVA,|AVA|CAN|CSX|CJU|
CJU|BFJ,|BFJ|SZX|CJU|
CJU|BHY,|BHY|CSX|CJU|
CJU|BNE,|BNE|CAN|CSX|CJU|
CJU|CGD,|CGD|SZX|CJU|
CJU|CGK,|CGK|CAN|CSX|CJU|
CJU|CGQ,|CGQ|CJU|
CJU|CIH,|CIH|PEK|DLC|CJU|
CJU|CNX,|CNX|CAN|CSX|CJU|
CJU|CZX,|CZX|SHE|CJU|
CJU|DAC,|DAC|CAN|CSX|CJU|
CJU|DAD,|DAD|CAN|CSX|CJU|
CJU|DEL,|DEL|CAN|CSX|CJU|
CJU|DIG,|DIG|KMG|CSX|CJU|
CJU|DLC,|DLC|CJU|
CJU|DPS,|DPS|SZX|CJU|
CJU|DXB,|DXB|CAN|CSX|CJU|
CJU|DYG,|DYG|CSX|CJU|
CJU|FUG,|FUG|CAN|CSX|CJU|
CJU|FUK,|FUK|ICN|DLC|CJU|
CJU|HAK,|HAK|SZX|CJU|
CJU|HAN,|HAN|CAN|CSX|CJU|
CJU|HDG,|HDG|CAN|CSX|CJU|
CJU|HET,|HET|DLC|CJU|
CJU|HFE,|HFE|CSX|CJU|
CJU|HJJ,|HJJ|CSX|CJU|
CJU|HKT,|HKT|SZX|CJU|
CJU|HRB,|HRB|CJU|
CJU|HZH,|HZH|CAN|CSX|CJU|
CJU|JIU,|JIU|CAN|CSX|CJU|
CJU|JJN,|JJN|CSX|CJU|
CJU|JNG,|JNG|CAN|CSX|CJU|
CJU|KHN,|KHN|DLC|CJU|
CJU|KIX,|KIX|DLC|CJU|
CJU|KOW,|KOW|SZX|CJU|
CJU|KTM,|KTM|CAN|CSX|CJU|
CJU|KUL,|KUL|CAN|CSX|CJU|
CJU|KWE,|KWE|CSX|CJU|
CJU|KWL,|KWL|SZX|CJU|
CJU|LHW,|LHW|CGO|CJU|
CJU|LYA,|LYA|KHN|DLC|CJU|
CJU|LYG,|LYG|HSN|PEK|DLC|CJU|
CJU|LZH,|LZH|CAN|CSX|CJU|
CJU|MEL,|MEL|CAN|CSX|CJU|
CJU|MIG,|MIG|CSX|CJU|
CJU|MLE,|MLE|CAN|CSX|CJU|
CJU|MNL,|MNL|XMN|CSX|CJU|
CJU|MXZ,|MXZ|SZX|CJU|
CJU|NAO,|NAO|PEK|DLC|CJU|
CJU|NGB,|NGB|DLC|CJU|
CJU|NKG,|NKG|DLC|CJU|
CJU|NNY,|NNY|CGO|CJU|
CJU|PEN,|PEN|CAN|CSX|CJU|
CJU|PER,|PER|CAN|CSX|CJU|
CJU|PNH,|PNH|CAN|CSX|CJU|
CJU|REP,|REP|CAN|CSX|CJU|
CJU|RGN,|RGN|CAN|CSX|CJU|
CJU|SGN,|SGN|CAN|CSX|CJU|
CJU|SHA,|SHA|CGO|CJU|
CJU|SIN,|SIN|CAN|CSX|CJU|
CJU|SVO,|SVO|URC|PEK|DLC|CJU|
CJU|SYX,|SYX|SZX|CJU|
CJU|TAO,|TAO|DLC|CJU|
CJU|TEN,|TEN|SZX|CJU|
CJU|TNA,|TNA|DLC|CJU|
CJU|TPE,|TPE|CSX|CJU|
CJU|TSN,|TSN|DLC|CJU|
CJU|TXN,|TXN|DLC|CJU|
CJU|TYN,|TYN|DLC|CJU|
CJU|WNZ,|WNZ|CSX|CJU|
CJU|WUX,|WUX|SZX|CJU|
CJU|XFN,|XFN|CAN|CSX|CJU|
CJU|XIY,|XIY|DLC|CJU|
CJU|XUZ,|XUZ|INC|CGO|CJU|
CJU|YIH,|YIH|CKG|CGO|CJU|
CJU|YIW,|YIW|CGO|CJU|
CJU|YNT,|YNT|SHE|CJU|
CJU|YNZ,|YNZ|DLC|CJU|
CJU|YTY,|YTY|DLC|CJU|
CJU|ZHA,|ZHA|CAN|CSX|CJU|
CJU|ZYI,|ZYI|SZX|CJU|
CJU|BAV,|BAV|SJW|DLC|CJU|
CJU|DSN,|DSN|CGO|CJU|
CJU|HMI,|HMI|CGO|CJU|
CJU|INC,|INC|CGO|CJU|
CJU|KHH,|KHH|CGO|CJU|
CJU|UYN,|UYN|CGO|CJU|
CJU|XNN,|XNN|CGO|CJU|
CJU|ZUH,|ZUH|CSX|CJU|
CJU|YNJ,|YNJ|CGQ|CJU|
CJU|DAT,|DAT|TYN|DLC|CJU|
CJU|JHG,|JHG|KMG|CSX|CJU|
CJU|LJG,|LJG|KWE|CSX|CJU|
CJU|LXA,|LXA|CKG|CGO|CJU|
CJU|YCU,|YCU|CSX|CJU|
CJU|LZO,|LZO|CSX|CJU|
CJU|MDG,|MDG|DLC|CJU|
CJU|NGO,|NGO|DLC|CJU|
CJU|TOY,|TOY|DLC|CJU|
CJU|MFM,|MFM|XMN|CSX|CJU|
CJU|TGO,|TGO|HET|DLC|CJU|
CJU|XIL,|XIL|HET|DLC|CJU|
CJU|HEK,|HEK|HRB|CJU|
CJU|KIJ,|KIJ|HRB|CJU|
CJU|LDS,|LDS|HRB|CJU|
CJU|OHE,|OHE|HRB|CJU|
CJU|HSN,|HSN|PEK|DLC|CJU|
CJU|DLU,|DLU|KWE|CSX|CJU|
CJU|SYM,|SYM|KMG|CSX|CJU|
CJU|ZAT,|ZAT|KMG|CSX|CJU|
CJU|LUN,|LUN|NBO|CAN|CSX|CJU|
CJU|AOG,|AOG|PEK|DLC|CJU|
CJU|GMP,|GMP|PEK|DLC|CJU|
CJU|ISB,|ISB|PEK|DLC|CJU|
CJU|TAS,|TAS|PEK|DLC|CJU|
CJU|WUS,|WUS|PEK|DLC|CJU|
CJU|JMU,|JMU|PVG|DLC|CJU|
CJU|NDG,|NDG|PVG|DLC|CJU|
CJU|JXA,|JXA|SHE|CJU|
CJU|PUS,|PUS|SHE|CJU|
CJU|BKI,|BKI|SZX|CJU|
CJU|AKU,|AKU|URC|PEK|DLC|CJU|
CJU|ALA,|ALA|URC|PEK|DLC|CJU|
CJU|ASB,|ASB|URC|PEK|DLC|CJU|
CJU|DNH,|DNH|XIY|DLC|CJU|
CJU|DYU,|DYU|URC|PEK|DLC|CJU|
CJU|FRU,|FRU|URC|PEK|DLC|CJU|
CJU|GYD,|GYD|URC|PEK|DLC|CJU|
CJU|HTN,|HTN|URC|PEK|DLC|CJU|
CJU|IKA,|IKA|URC|PEK|DLC|CJU|
CJU|KCA,|KCA|URC|PEK|DLC|CJU|
CJU|KHG,|KHG|URC|PEK|DLC|CJU|
CJU|KRL,|KRL|URC|PEK|DLC|CJU|
CJU|KRY,|KRY|URC|PEK|DLC|CJU|
CJU|LBD,|LBD|URC|PEK|DLC|CJU|
CJU|NLT,|NLT|URC|PEK|DLC|CJU|
CJU|OSS,|OSS|URC|PEK|DLC|CJU|
CJU|OVB,|OVB|URC|PEK|DLC|CJU|
CJU|TBS,|TBS|URC|PEK|DLC|CJU|
CJU|TCG,|TCG|URC|PEK|DLC|CJU|
CJU|TSE,|TSE|URC|PEK|DLC|CJU|
CJU|YIN,|YIN|URC|PEK|DLC|CJU|
CJU|ENH,|ENH|WUH|DLC|CJU|
CJU|ENY,|ENY|XIY|DLC|CJU|
CJU|WXN,|WXN|XIY|DLC|CJU|
CJU|BLL,|BLL|IST|PEK|DLC|CJU|
CJU|ESB,|ESB|IST|PEK|DLC|CJU|
CJU|SAW,|SAW|TBS|URC|PEK|DLC|CJU|
CJU|HAM,|HAM|IST|PEK|DLC|CJU|
CJU|HRE,|HRE|ADD|IST|PEK|DLC|CJU|
CJU|JUB,|JUB|CAI|IST|PEK|DLC|CJU|
CJU|SSG,|SSG|DLA|IST|PEK|DLC|CJU|
CJU|BGW,|BGW|IST|PEK|DLC|CJU|
CJU|EBL,|EBL|IST|PEK|DLC|CJU|
CJU|VKO,|VKO|IST|PEK|DLC|CJU|
CJU|MCT,|MCT|IST|PEK|DLC|CJU|
CJU|AYT,|AYT|IST|PEK|DLC|CJU|
CJU|SCQ,|SCQ|BIO|IST|PEK|DLC|CJU|
CJU|AAL,|AAL|IST|PEK|DLC|CJU|
CJU|AOE,|AOE|BRU|IST|PEK|DLC|CJU|
CJU|JNB,|JNB|IST|PEK|DLC|CJU|
CJU|LBV,|LBV|DLA|IST|PEK|DLC|CJU|
CJU|ADA,|ADA|IST|PEK|DLC|CJU|
CJU|ADB,|ADB|IST|PEK|DLC|CJU|
CJU|ADF,|ADF|IST|PEK|DLC|CJU|
CJU|AJI,|AJI|IST|PEK|DLC|CJU|
CJU|BAL,|BAL|IST|PEK|DLC|CJU|
CJU|BJV,|BJV|IST|PEK|DLC|CJU|
CJU|CKZ,|CKZ|ESB|IST|PEK|DLC|CJU|
CJU|DIY,|DIY|IST|PEK|DLC|CJU|
CJU|ECN,|ECN|IST|PEK|DLC|CJU|
CJU|ERC,|ERC|IST|PEK|DLC|CJU|
CJU|ERZ,|ERZ|IST|PEK|DLC|CJU|
CJU|EZS,|EZS|IST|PEK|DLC|CJU|
CJU|GNY,|GNY|IST|PEK|DLC|CJU|
CJU|GZP,|GZP|ESB|IST|PEK|DLC|CJU|
CJU|GZT,|GZT|IST|PEK|DLC|CJU|
CJU|HTY,|HTY|IST|PEK|DLC|CJU|
CJU|KCM,|KCM|IST|PEK|DLC|CJU|
CJU|KSY,|KSY|IST|PEK|DLC|CJU|
CJU|MLX,|MLX|IST|PEK|DLC|CJU|
CJU|MQM,|MQM|IST|PEK|DLC|CJU|
CJU|MSR,|MSR|IST|PEK|DLC|CJU|
CJU|TEQ,|TEQ|ESB|IST|PEK|DLC|CJU|
CJU|TZX,|TZX|IST|PEK|DLC|CJU|
CJU|VAN,|VAN|IST|PEK|DLC|CJU|
CJU|ULN,|ULN|FRU|URC|PEK|DLC|CJU|
CJU|HIJ,|HIJ|ICN|DLC|CJU|
CJU|VVO,|VVO|ICN|DLC|CJU|
CJU|ACC,|ACC|IST|PEK|DLC|CJU|
CJU|AER,|AER|IST|PEK|DLC|CJU|
CJU|AGP,|AGP|IST|PEK|DLC|CJU|
CJU|ALG,|ALG|IST|PEK|DLC|CJU|
CJU|AMM,|AMM|IST|PEK|DLC|CJU|
CJU|AQJ,|AQJ|IST|PEK|DLC|CJU|
CJU|ARN,|ARN|IST|PEK|DLC|CJU|
CJU|ASR,|ASR|IST|PEK|DLC|CJU|
CJU|ATH,|ATH|IST|PEK|DLC|CJU|
CJU|BAH,|BAH|IST|PEK|DLC|CJU|
CJU|BEG,|BEG|IST|PEK|DLC|CJU|
CJU|BEN,|BEN|IST|PEK|DLC|CJU|
CJU|BEY,|BEY|IST|PEK|DLC|CJU|
CJU|BHX,|BHX|IST|PEK|DLC|CJU|
CJU|BIO,|BIO|IST|PEK|DLC|CJU|
CJU|BLQ,|BLQ|IST|PEK|DLC|CJU|
CJU|BOM,|BOM|IST|PEK|DLC|CJU|
CJU|BRE,|BRE|IST|PEK|DLC|CJU|
CJU|BSL,|BSL|IST|PEK|DLC|CJU|
CJU|BSR,|BSR|IST|PEK|DLC|CJU|
CJU|BUD,|BUD|IST|PEK|DLC|CJU|
CJU|BUS,|BUS|IST|PEK|DLC|CJU|
CJU|CAI,|CAI|IST|PEK|DLC|CJU|
CJU|CGN,|CGN|IST|PEK|DLC|CJU|
CJU|CMN,|CMN|IST|PEK|DLC|CJU|
CJU|CND,|CND|IST|PEK|DLC|CJU|
CJU|DAR,|DAR|NBO|CAN|CSX|CJU|
CJU|DLM,|DLM|IST|PEK|DLC|CJU|
CJU|DMM,|DMM|IST|PEK|DLC|CJU|
CJU|DNK,|DNK|IST|PEK|DLC|CJU|
CJU|DNZ,|DNZ|IST|PEK|DLC|CJU|
CJU|DOK,|DOK|IST|PEK|DLC|CJU|
CJU|DUS,|DUS|IST|PEK|DLC|CJU|
CJU|EDI,|EDI|IST|PEK|DLC|CJU|
CJU|ELQ,|ELQ|IST|PEK|DLC|CJU|
CJU|FDH,|FDH|IST|PEK|DLC|CJU|
CJU|GOA,|GOA|IST|PEK|DLC|CJU|
CJU|GOT,|GOT|IST|PEK|DLC|CJU|
CJU|HAJ,|HAJ|IST|PEK|DLC|CJU|
CJU|HBE,|HBE|IST|PEK|DLC|CJU|
CJU|HEL,|HEL|IST|PEK|DLC|CJU|
CJU|HRG,|HRG|IST|PEK|DLC|CJU|
CJU|IFN,|IFN|IST|PEK|DLC|CJU|
CJU|ISE,|ISE|IST|PEK|DLC|CJU|
CJU|ISU,|ISU|IST|PEK|DLC|CJU|
CJU|JIB,|JIB|IST|PEK|DLC|CJU|
CJU|JRO,|JRO|IST|PEK|DLC|CJU|
CJU|KAN,|KAN|IST|PEK|DLC|CJU|
CJU|KBL,|KBL|IST|PEK|DLC|CJU|
CJU|KBP,|KBP|IST|PEK|DLC|CJU|
CJU|KFS,|KFS|IST|PEK|DLC|CJU|
CJU|KHI,|KHI|IST|PEK|DLC|CJU|
CJU|KIV,|KIV|IST|PEK|DLC|CJU|
CJU|KRT,|KRT|IST|PEK|DLC|CJU|
CJU|KSH,|KSH|IST|PEK|DLC|CJU|
CJU|KVD,|KVD|IST|PEK|DLC|CJU|
CJU|KWI,|KWI|IST|PEK|DLC|CJU|
CJU|KYA,|KYA|IST|PEK|DLC|CJU|
CJU|KZN,|KZN|IST|PEK|DLC|CJU|
CJU|KZR,|KZR|IST|PEK|DLC|CJU|
CJU|LED,|LED|IST|PEK|DLC|CJU|
CJU|LEJ,|LEJ|IST|PEK|DLC|CJU|
CJU|LGW,|LGW|IST|PEK|DLC|CJU|
CJU|LHE,|LHE|IST|PEK|DLC|CJU|
CJU|LIS,|LIS|IST|PEK|DLC|CJU|
CJU|LJU,|LJU|IST|PEK|DLC|CJU|
CJU|LOS,|LOS|IST|PEK|DLC|CJU|
CJU|LUX,|LUX|IST|PEK|DLC|CJU|
CJU|LWO,|LWO|IST|PEK|DLC|CJU|
CJU|LYS,|LYS|IST|PEK|DLC|CJU|
CJU|MAD,|MAD|IST|PEK|DLC|CJU|
CJU|MAN,|MAN|IST|PEK|DLC|CJU|
CJU|MED,|MED|IST|PEK|DLC|CJU|
CJU|MHD,|MHD|IST|PEK|DLC|CJU|
CJU|MLA,|MLA|IST|PEK|DLC|CJU|
CJU|MRS,|MRS|IST|PEK|DLC|CJU|
CJU|MSQ,|MSQ|IST|PEK|DLC|CJU|
CJU|MXP,|MXP|IST|PEK|DLC|CJU|
CJU|MZH,|MZH|IST|PEK|DLC|CJU|
CJU|MZR,|MZR|IST|PEK|DLC|CJU|
CJU|NAJ,|NAJ|IST|PEK|DLC|CJU|
CJU|NAV,|NAV|IST|PEK|DLC|CJU|
CJU|NCE,|NCE|IST|PEK|DLC|CJU|
CJU|NIM,|NIM|IST|PEK|DLC|CJU|
CJU|NJF,|NJF|IST|PEK|DLC|CJU|
CJU|NSI,|NSI|IST|PEK|DLC|CJU|
CJU|NUE,|NUE|IST|PEK|DLC|CJU|
CJU|ODS,|ODS|IST|PEK|DLC|CJU|
CJU|ORN,|ORN|IST|PEK|DLC|CJU|
CJU|OTP,|OTP|IST|PEK|DLC|CJU|
CJU|PRG,|PRG|IST|PEK|DLC|CJU|
CJU|PRN,|PRN|IST|PEK|DLC|CJU|
CJU|RIX,|RIX|IST|PEK|DLC|CJU|
CJU|ROV,|ROV|IST|PEK|DLC|CJU|
CJU|RTM,|RTM|IST|PEK|DLC|CJU|
