URC|KCM,|KCM|ESB|SAW|TBS|URC|
URC|KSY,|KSY|SAW|TBS|URC|
URC|MLX,|MLX|ESB|SAW|TBS|URC|
URC|MQM,|MQM|SAW|TBS|URC|
URC|MSR,|MSR|ESB|SAW|TBS|URC|
URC|TEQ,|TEQ|ESB|SAW|TBS|URC|
URC|TZX,|TZX|SAW|TBS|URC|
URC|VAN,|VAN|SAW|TBS|URC|
URC|ULN,|ULN|FRU|URC|
URC|HIJ,|HIJ|ICN|PEK|URC|
URC|VVO,|VVO|ICN|PEK|URC|
URC|ACC,|ACC|IST|URC|
URC|AER,|AER|IST|URC|
URC|AGP,|AGP|IST|URC|
URC|ALG,|ALG|IST|URC|
URC|AMM,|AMM|IST|URC|
URC|AQJ,|AQJ|IST|URC|
URC|ARN,|ARN|IST|URC|
URC|ASR,|ASR|SAW|TBS|URC|
URC|ATH,|ATH|IST|URC|
URC|BAH,|BAH|KWI|SAW|TBS|URC|
URC|BEG,|BEG|IST|URC|
URC|BEN,|BEN|IST|URC|
URC|BEY,|BEY|IST|URC|
URC|BHX,|BHX|IST|URC|
URC|BIO,|BIO|IST|URC|
URC|BLQ,|BLQ|IST|URC|
URC|BOM,|BOM|IST|URC|
URC|BRE,|BRE|IST|URC|
URC|BSL,|BSL|IST|URC|
URC|BSR,|BSR|IST|URC|
URC|BUD,|BUD|IST|URC|
URC|BUS,|BUS|IST|URC|
URC|CAI,|CAI|IST|URC|
URC|CGN,|CGN|IST|URC|
URC|CMN,|CMN|IST|URC|
URC|CND,|CND|IST|URC|
URC|DAR,|DAR|IST|URC|
URC|DLM,|DLM|IST|URC|
URC|DMM,|DMM|IST|URC|
URC|DNK,|DNK|IST|URC|
URC|DNZ,|DNZ|IST|URC|
URC|DOK,|DOK|IST|URC|
URC|DUS,|DUS|IST|URC|
URC|EDI,|EDI|IST|URC|
URC|ELQ,|ELQ|IST|URC|
URC|FDH,|FDH|IST|URC|
URC|GOA,|GOA|IST|URC|
URC|GOT,|GOT|IST|URC|
URC|HAJ,|HAJ|IST|URC|
URC|HBE,|HBE|IST|URC|
URC|HEL,|HEL|IST|URC|
URC|HRG,|HRG|IST|URC|
URC|IFN,|IFN|IST|URC|
URC|ISE,|ISE|IST|URC|
URC|ISU,|ISU|IST|URC|
URC|JIB,|JIB|IST|URC|
URC|JRO,|JRO|IST|URC|
URC|KAN,|KAN|IST|URC|
URC|KBL,|KBL|IST|URC|
URC|KBP,|KBP|IST|URC|
URC|KFS,|KFS|IST|URC|
URC|KHI,|KHI|IST|URC|
URC|KIV,|KIV|IST|URC|
URC|KRT,|KRT|IST|URC|
URC|KSH,|KSH|IST|URC|
URC|KVD,|KVD|IST|URC|
URC|KWI,|KWI|SAW|TBS|URC|
URC|KYA,|KYA|SAW|TBS|URC|
URC|KZN,|KZN|IST|URC|
URC|KZR,|KZR|IST|URC|
URC|LED,|LED|IST|URC|
URC|LEJ,|LEJ|IST|URC|
URC|LGW,|LGW|IST|URC|
URC|LHE,|LHE|IST|URC|
URC|LIS,|LIS|IST|URC|
URC|LJU,|LJU|IST|URC|
URC|LOS,|LOS|IST|URC|
URC|LUX,|LUX|IST|URC|
URC|LWO,|LWO|IST|URC|
URC|LYS,|LYS|IST|URC|
URC|MAD,|MAD|IST|URC|
URC|MAN,|MAN|IST|URC|
URC|MED,|MED|IST|URC|
URC|MHD,|MHD|IST|URC|
URC|MLA,|MLA|IST|URC|
URC|MRS,|MRS|IST|URC|
URC|MSQ,|MSQ|IST|URC|
URC|MXP,|MXP|IST|URC|
URC|MZH,|MZH|IST|URC|
URC|MZR,|MZR|IST|URC|
URC|NAJ,|NAJ|IST|URC|
URC|NAV,|NAV|IST|URC|
URC|NCE,|NCE|IST|URC|
URC|NIM,|NIM|IST|URC|
URC|NJF,|NJF|IST|URC|
URC|NSI,|NSI|IST|URC|
URC|NUE,|NUE|IST|URC|
URC|ODS,|ODS|IST|URC|
URC|ORN,|ORN|IST|URC|
URC|OTP,|OTP|IST|URC|
URC|PRG,|PRG|IST|URC|
URC|PRN,|PRN|IST|URC|
URC|RIX,|RIX|IST|URC|
URC|ROV,|ROV|IST|URC|
URC|RTM,|RTM|IST|URC|
URC|RUH,|RUH|IST|URC|
URC|SAH,|SAH|IST|URC|
URC|SJJ,|SJJ|IST|URC|
