CND|XMN,|XMN|CSX|URC|IST|CND|
CND|CGO,|CGO|URC|IST|CND|
CND|CSX,|CSX|URC|IST|CND|
CND|SHE,|SHE|PEK|IST|CND|
CND|SJW,|SJW|URC|IST|CND|
CND|WUH,|WUH|URC|IST|CND|
CND|SZX,|SZX|CKG|URC|IST|CND|
CND|CKG,|CKG|URC|IST|CND|
CND|KMG,|KMG|CTU|URC|IST|CND|
CND|FOC,|FOC|XIY|URC|IST|CND|
CND|NNG,|NNG|KWE|URC|IST|CND|
CND|SWA,|SWA|CAN|IST|CND|
CND|ACX,|ACX|CAN|IST|CND|
CND|AQG,|AQG|CAN|IST|CND|
CND|AVA,|AVA|CAN|IST|CND|
CND|BFJ,|BFJ|CAN|IST|CND|
CND|BHY,|BHY|CKG|URC|IST|CND|
CND|BNE,|BNE|BKK|IST|CND|
CND|CGD,|CGD|PEK|IST|CND|
CND|CGK,|CGK|SIN|IST|CND|
CND|CGQ,|CGQ|HET|URC|IST|CND|
CND|CIH,|CIH|PEK|IST|CND|
CND|CNX,|CNX|CAN|IST|CND|
CND|CZX,|CZX|TYN|URC|IST|CND|
CND|DAC,|DAC|IST|CND|
CND|DAD,|DAD|CAN|IST|CND|
CND|DEL,|DEL|IST|CND|
CND|DIG,|DIG|KMG|CTU|URC|IST|CND|
CND|DLC,|DLC|PEK|IST|CND|
CND|DPS,|DPS|CAN|IST|CND|
CND|DXB,|DXB|IST|CND|
CND|DYG,|DYG|CSX|URC|IST|CND|
CND|FUG,|FUG|CAN|IST|CND|
CND|FUK,|FUK|ICN|IST|CND|
CND|HAK,|HAK|CTU|URC|IST|CND|
CND|HAN,|HAN|CAN|IST|CND|
CND|HDG,|HDG|CAN|IST|CND|
CND|HET,|HET|URC|IST|CND|
CND|HFE,|HFE|XIY|URC|IST|CND|
CND|HJJ,|HJJ|CSX|URC|IST|CND|
CND|HKT,|HKT|KWE|URC|IST|CND|
CND|HRB,|HRB|PEK|IST|CND|
CND|HZH,|HZH|CAN|IST|CND|
CND|JIU,|JIU|CAN|IST|CND|
CND|JJN,|JJN|CSX|URC|IST|CND|
CND|JNG,|JNG|CAN|IST|CND|
CND|KHN,|KHN|XIY|URC|IST|CND|
CND|KIX,|KIX|IST|CND|
CND|KOW,|KOW|CAN|IST|CND|
CND|KTM,|KTM|IST|CND|
CND|KUL,|KUL|IST|CND|
CND|KWE,|KWE|URC|IST|CND|
CND|KWL,|KWL|CKG|URC|IST|CND|
CND|LHW,|LHW|URC|IST|CND|
CND|LYA,|LYA|KHN|XIY|URC|IST|CND|
CND|LYG,|LYG|XUZ|INC|URC|IST|CND|
CND|LZH,|LZH|CAN|IST|CND|
CND|MEL,|MEL|BKK|IST|CND|
CND|MIG,|MIG|CSX|URC|IST|CND|
CND|MLE,|MLE|IST|CND|
CND|MNL,|MNL|CAN|IST|CND|
CND|MXZ,|MXZ|CAN|IST|CND|
CND|NAO,|NAO|PEK|IST|CND|
CND|NGB,|NGB|WUH|URC|IST|CND|
CND|NKG,|NKG|URC|IST|CND|
CND|NNY,|NNY|CGO|URC|IST|CND|
CND|PEN,|PEN|CAN|IST|CND|
CND|PER,|PER|BKK|IST|CND|
CND|PNH,|PNH|CAN|IST|CND|
CND|REP,|REP|CAN|IST|CND|
CND|RGN,|RGN|CAN|IST|CND|
CND|SGN,|SGN|BKK|IST|CND|
CND|SHA,|SHA|URC|IST|CND|
CND|SIN,|SIN|IST|CND|
CND|SVO,|SVO|URC|IST|CND|
CND|SYX,|SYX|CKG|URC|IST|CND|
CND|TAO,|TAO|TYN|URC|IST|CND|
CND|TEN,|TEN|CAN|IST|CND|
CND|TNA,|TNA|URC|IST|CND|
CND|TPE,|TPE|URC|IST|CND|
CND|TSN,|TSN|HET|URC|IST|CND|
CND|TXN,|TXN|TYN|URC|IST|CND|
CND|TYN,|TYN|URC|IST|CND|
CND|WNZ,|WNZ|XIY|URC|IST|CND|
CND|WUX,|WUX|CAN|IST|CND|
CND|XFN,|XFN|CAN|IST|CND|
CND|XIY,|XIY|URC|IST|CND|
CND|XUZ,|XUZ|INC|URC|IST|CND|
CND|YIH,|YIH|CKG|URC|IST|CND|
CND|YIW,|YIW|URC|IST|CND|
CND|YNT,|YNT|SHE|PEK|IST|CND|
CND|YNZ,|YNZ|WUH|URC|IST|CND|
CND|YTY,|YTY|CGO|URC|IST|CND|
CND|ZHA,|ZHA|CAN|IST|CND|
CND|ZYI,|ZYI|CAN|IST|CND|
CND|BAV,|BAV|URC|IST|CND|
CND|CJU,|CJU|DLC|PEK|IST|CND|
CND|DSN,|DSN|CGO|URC|IST|CND|
CND|HMI,|HMI|URC|IST|CND|
CND|INC,|INC|URC|IST|CND|
CND|KHH,|KHH|WUH|URC|IST|CND|
CND|UYN,|UYN|XIY|URC|IST|CND|
CND|XNN,|XNN|URC|IST|CND|
CND|ZUH,|ZUH|KWE|URC|IST|CND|
CND|YNJ,|YNJ|PEK|IST|CND|
CND|DAT,|DAT|TYN|URC|IST|CND|
CND|JHG,|JHG|KMG|CTU|URC|IST|CND|
CND|LJG,|LJG|KMG|CTU|URC|IST|CND|
CND|LXA,|LXA|CKG|URC|IST|CND|
CND|YCU,|YCU|CKG|URC|IST|CND|
CND|LZO,|LZO|CSX|URC|IST|CND|
CND|MDG,|MDG|DLC|PEK|IST|CND|
CND|NGO,|NGO|ICN|IST|CND|
CND|TOY,|TOY|DLC|PEK|IST|CND|
CND|MFM,|MFM|XMN|CSX|URC|IST|CND|
CND|TGO,|TGO|HET|URC|IST|CND|
CND|XIL,|XIL|HET|URC|IST|CND|
CND|HEK,|HEK|HRB|PEK|IST|CND|
CND|KIJ,|KIJ|HRB|PEK|IST|CND|
CND|LDS,|LDS|HRB|PEK|IST|CND|
CND|OHE,|OHE|HRB|PEK|IST|CND|
CND|HSN,|HSN|LYG|XUZ|INC|URC|IST|CND|
CND|DLU,|DLU|KMG|CTU|URC|IST|CND|
CND|SYM,|SYM|KMG|CTU|URC|IST|CND|
CND|ZAT,|ZAT|KMG|CTU|URC|IST|CND|
CND|LUN,|LUN|NBO|IST|CND|
CND|AOG,|AOG|PEK|IST|CND|
CND|GMP,|GMP|PEK|IST|CND|
CND|ISB,|ISB|IST|CND|
CND|TAS,|TAS|IST|CND|
CND|WUS,|WUS|PEK|IST|CND|
CND|JMU,|JMU|PVG|IST|CND|
CND|NDG,|NDG|PVG|IST|CND|
CND|JXA,|JXA|SHE|PEK|IST|CND|
CND|PUS,|PUS|SHE|PEK|IST|CND|
CND|BKI,|BKI|SZX|CKG|URC|IST|CND|
CND|AKU,|AKU|URC|IST|CND|
CND|ALA,|ALA|IST|CND|
CND|ASB,|ASB|IST|CND|
CND|DNH,|DNH|URC|IST|CND|
CND|DYU,|DYU|IST|CND|
CND|FRU,|FRU|IST|CND|
CND|GYD,|GYD|IST|CND|
CND|HTN,|HTN|URC|IST|CND|
CND|IKA,|IKA|IST|CND|
CND|KCA,|KCA|URC|IST|CND|
CND|KHG,|KHG|URC|IST|CND|
CND|KRL,|KRL|URC|IST|CND|
CND|KRY,|KRY|URC|IST|CND|
CND|LBD,|LBD|URC|IST|CND|
CND|NLT,|NLT|URC|IST|CND|
CND|OSS,|OSS|IST|CND|
CND|OVB,|OVB|IST|CND|
CND|TBS,|TBS|IST|CND|
