SYX|HAM,|HAM|IST|URC|CKG|SYX|
SYX|HRE,|HRE|ADD|IST|URC|CKG|SYX|
SYX|JUB,|JUB|CAI|IST|URC|CKG|SYX|
SYX|SSG,|SSG|DLA|IST|URC|CKG|SYX|
SYX|BGW,|BGW|ESB|SAW|TBS|URC|CKG|SYX|
SYX|EBL,|EBL|IST|URC|CKG|SYX|
SYX|VKO,|VKO|IST|URC|CKG|SYX|
SYX|MCT,|MCT|IST|URC|CKG|SYX|
SYX|AYT,|AYT|IST|URC|CKG|SYX|
SYX|SCQ,|SCQ|BIO|IST|URC|CKG|SYX|
SYX|AAL,|AAL|IST|URC|CKG|SYX|
SYX|AOE,|AOE|BRU|IST|URC|CKG|SYX|
SYX|JNB,|JNB|IST|URC|CKG|SYX|
SYX|LBV,|LBV|DLA|IST|URC|CKG|SYX|
SYX|ADA,|ADA|SAW|TBS|URC|CKG|SYX|
SYX|ADB,|ADB|IST|URC|CKG|SYX|
SYX|ADF,|ADF|ESB|SAW|TBS|URC|CKG|SYX|
SYX|AJI,|AJI|ESB|SAW|TBS|URC|CKG|SYX|
SYX|BAL,|BAL|ESB|SAW|TBS|URC|CKG|SYX|
SYX|BJV,|BJV|IST|URC|CKG|SYX|
SYX|CKZ,|CKZ|ESB|SAW|TBS|URC|CKG|SYX|
SYX|DIY,|DIY|SAW|TBS|URC|CKG|SYX|
SYX|ECN,|ECN|SAW|TBS|URC|CKG|SYX|
SYX|ERC,|ERC|ESB|SAW|TBS|URC|CKG|SYX|
SYX|ERZ,|ERZ|SAW|TBS|URC|CKG|SYX|
SYX|EZS,|EZS|SAW|TBS|URC|CKG|SYX|
SYX|GNY,|GNY|ESB|SAW|TBS|URC|CKG|SYX|
SYX|GZP,|GZP|ESB|SAW|TBS|URC|CKG|SYX|
SYX|GZT,|GZT|SAW|TBS|URC|CKG|SYX|
SYX|HTY,|HTY|SAW|TBS|URC|CKG|SYX|
SYX|KCM,|KCM|ESB|SAW|TBS|URC|CKG|SYX|
SYX|KSY,|KSY|SAW|TBS|URC|CKG|SYX|
SYX|MLX,|MLX|ESB|SAW|TBS|URC|CKG|SYX|
SYX|MQM,|MQM|SAW|TBS|URC|CKG|SYX|
SYX|MSR,|MSR|ESB|SAW|TBS|URC|CKG|SYX|
SYX|TEQ,|TEQ|ESB|SAW|TBS|URC|CKG|SYX|
SYX|TZX,|TZX|SAW|TBS|URC|CKG|SYX|
SYX|VAN,|VAN|SAW|TBS|URC|CKG|SYX|
SYX|ULN,|ULN|FRU|URC|CKG|SYX|
SYX|HIJ,|HIJ|ICN|CAN|SYX|
SYX|VVO,|VVO|ICN|CAN|SYX|
SYX|ACC,|ACC|IST|URC|CKG|SYX|
SYX|AER,|AER|IST|URC|CKG|SYX|
SYX|AGP,|AGP|IST|URC|CKG|SYX|
SYX|ALG,|ALG|IST|URC|CKG|SYX|
SYX|AMM,|AMM|IST|URC|CKG|SYX|
SYX|AQJ,|AQJ|IST|URC|CKG|SYX|
SYX|ARN,|ARN|IST|URC|CKG|SYX|
SYX|ASR,|ASR|SAW|TBS|URC|CKG|SYX|
SYX|ATH,|ATH|IST|URC|CKG|SYX|
SYX|BAH,|BAH|KWI|SAW|TBS|URC|CKG|SYX|
SYX|BEG,|BEG|IST|URC|CKG|SYX|
SYX|BEN,|BEN|IST|URC|CKG|SYX|
SYX|BEY,|BEY|IST|URC|CKG|SYX|
SYX|BHX,|BHX|IST|URC|CKG|SYX|
SYX|BIO,|BIO|IST|URC|CKG|SYX|
SYX|BLQ,|BLQ|IST|URC|CKG|SYX|
SYX|BOM,|BOM|IST|URC|CKG|SYX|
SYX|BRE,|BRE|IST|URC|CKG|SYX|
SYX|BSL,|BSL|IST|URC|CKG|SYX|
SYX|BSR,|BSR|IST|URC|CKG|SYX|
SYX|BUD,|BUD|IST|URC|CKG|SYX|
SYX|BUS,|BUS|IST|URC|CKG|SYX|
SYX|CAI,|CAI|IST|URC|CKG|SYX|
SYX|CGN,|CGN|IST|URC|CKG|SYX|
SYX|CMN,|CMN|IST|URC|CKG|SYX|
SYX|CND,|CND|IST|URC|CKG|SYX|
SYX|DAR,|DAR|NBO|CAN|SYX|
SYX|DLM,|DLM|IST|URC|CKG|SYX|
SYX|DMM,|DMM|IST|URC|CKG|SYX|
SYX|DNK,|DNK|IST|URC|CKG|SYX|
SYX|DNZ,|DNZ|IST|URC|CKG|SYX|
SYX|DOK,|DOK|IST|URC|CKG|SYX|
SYX|DUS,|DUS|IST|URC|CKG|SYX|
SYX|EDI,|EDI|IST|URC|CKG|SYX|
SYX|ELQ,|ELQ|IST|URC|CKG|SYX|
SYX|FDH,|FDH|IST|URC|CKG|SYX|
SYX|GOA,|GOA|IST|URC|CKG|SYX|
SYX|GOT,|GOT|IST|URC|CKG|SYX|
SYX|HAJ,|HAJ|IST|URC|CKG|SYX|
SYX|HBE,|HBE|IST|URC|CKG|SYX|
SYX|HEL,|HEL|IST|URC|CKG|SYX|
SYX|HRG,|HRG|IST|URC|CKG|SYX|
SYX|IFN,|IFN|IST|URC|CKG|SYX|
SYX|ISE,|ISE|IST|URC|CKG|SYX|
