YYY|PHL,|PHL|IAD|YUL|YYY|
YYY|PHX,|PHX|ORD|YUL|YYY|
YYY|PIT,|PIT|YYZ|YUL|YYY|
YYY|PLS,|PLS|EWR|YUL|YYY|
YYY|POP,|POP|EWR|YUL|YYY|
YYY|RDU,|RDU|IAD|YUL|YYY|
YYY|ROC,|ROC|YYZ|YUL|YYY|
YYY|RSW,|RSW|DCA|YUL|YYY|
YYY|SAN,|SAN|DEN|YUL|YYY|
YYY|SJO,|SJO|IAD|YUL|YYY|
YYY|STL,|STL|YYZ|YUL|YYY|
YYY|SYR,|SYR|YYZ|YUL|YYY|
YYY|TLV,|TLV|IST|FRA|YUL|YYY|
YYY|TPA,|TPA|IAD|YUL|YYY|
YYY|UVF,|UVF|EWR|YUL|YYY|
YYY|VIE,|VIE|JFK|YUL|YYY|
YYY|YAM,|YAM|YYZ|YUL|YYY|
YYY|YGK,|YGK|YYZ|YUL|YYY|
YYY|YQG,|YQG|YYZ|YUL|YYY|
YYY|YSB,|YSB|YYZ|YUL|YYY|
YYY|YTS,|YTS|YYZ|YUL|YYY|
YYY|YYB,|YYB|YYZ|YUL|YYY|
YYY|YZR,|YZR|YYZ|YUL|YYY|
YYY|CAN,|CAN|PEK|YYZ|YUL|YYY|
YYY|URC,|URC|TSE|FRA|YUL|YYY|
YYY|CTU,|CTU|PEK|YYZ|YUL|YYY|
YYY|HGH,|HGH|PEK|YYZ|YUL|YYY|
YYY|XMN,|XMN|PEK|YYZ|YUL|YYY|
YYY|CGO,|CGO|PEK|YYZ|YUL|YYY|
YYY|CSX,|CSX|PEK|YYZ|YUL|YYY|
YYY|SHE,|SHE|PEK|YYZ|YUL|YYY|
YYY|SJW,|SJW|DLC|PEK|YYZ|YUL|YYY|
YYY|WUH,|WUH|PEK|YYZ|YUL|YYY|
YYY|SZX,|SZX|PEK|YYZ|YUL|YYY|
YYY|CKG,|CKG|PEK|YYZ|YUL|YYY|
YYY|KMG,|KMG|PEK|YYZ|YUL|YYY|
YYY|FOC,|FOC|PEK|YYZ|YUL|YYY|
YYY|NNG,|NNG|PEK|YYZ|YUL|YYY|
YYY|SWA,|SWA|PEK|YYZ|YUL|YYY|
YYY|ACX,|ACX|CAN|PEK|YYZ|YUL|YYY|
YYY|AQG,|AQG|CAN|PEK|YYZ|YUL|YYY|
YYY|AVA,|AVA|CAN|PEK|YYZ|YUL|YYY|
YYY|BFJ,|BFJ|CAN|PEK|YYZ|YUL|YYY|
YYY|BHY,|BHY|CGO|PEK|YYZ|YUL|YYY|
YYY|BNE,|BNE|CAN|PEK|YYZ|YUL|YYY|
YYY|CGD,|CGD|PEK|YYZ|YUL|YYY|
YYY|CGK,|CGK|CAN|PEK|YYZ|YUL|YYY|
YYY|CGQ,|CGQ|PEK|YYZ|YUL|YYY|
YYY|CIH,|CIH|PEK|YYZ|YUL|YYY|
YYY|CNX,|CNX|CAN|PEK|YYZ|YUL|YYY|
YYY|CZX,|CZX|SHE|PEK|YYZ|YUL|YYY|
YYY|DAC,|DAC|IST|FRA|YUL|YYY|
YYY|DAD,|DAD|CAN|PEK|YYZ|YUL|YYY|
YYY|DEL,|DEL|IST|FRA|YUL|YYY|
YYY|DIG,|DIG|KMG|PEK|YYZ|YUL|YYY|
YYY|DLC,|DLC|PEK|YYZ|YUL|YYY|
YYY|DPS,|DPS|SZX|PEK|YYZ|YUL|YYY|
YYY|DXB,|DXB|IST|FRA|YUL|YYY|
YYY|DYG,|DYG|PEK|YYZ|YUL|YYY|
YYY|FUG,|FUG|CAN|PEK|YYZ|YUL|YYY|
YYY|FUK,|FUK|ICN|JFK|YUL|YYY|
YYY|HAK,|HAK|PEK|YYZ|YUL|YYY|
YYY|HAN,|HAN|PEK|YYZ|YUL|YYY|
YYY|HDG,|HDG|CAN|PEK|YYZ|YUL|YYY|
YYY|HET,|HET|DLC|PEK|YYZ|YUL|YYY|
YYY|HFE,|HFE|XIY|PEK|YYZ|YUL|YYY|
YYY|HJJ,|HJJ|CSX|PEK|YYZ|YUL|YYY|
YYY|HKT,|HKT|KWE|PEK|YYZ|YUL|YYY|
YYY|HRB,|HRB|PEK|YYZ|YUL|YYY|
YYY|HZH,|HZH|CAN|PEK|YYZ|YUL|YYY|
YYY|JIU,|JIU|CAN|PEK|YYZ|YUL|YYY|
YYY|JJN,|JJN|PEK|YYZ|YUL|YYY|
YYY|JNG,|JNG|CAN|PEK|YYZ|YUL|YYY|
YYY|KHN,|KHN|DLC|PEK|YYZ|YUL|YYY|
YYY|KIX,|KIX|SFO|YUL|YYY|
YYY|KOW,|KOW|PEK|YYZ|YUL|YYY|
YYY|KTM,|KTM|IST|FRA|YUL|YYY|
YYY|KUL,|KUL|CAN|PEK|YYZ|YUL|YYY|
YYY|KWE,|KWE|PEK|YYZ|YUL|YYY|
YYY|KWL,|KWL|PEK|YYZ|YUL|YYY|
YYY|LHW,|LHW|CGO|PEK|YYZ|YUL|YYY|
YYY|LYA,|LYA|KHN|DLC|PEK|YYZ|YUL|YYY|
YYY|LYG,|LYG|HSN|PEK|YYZ|YUL|YYY|
YYY|LZH,|LZH|CAN|PEK|YYZ|YUL|YYY|
YYY|MEL,|MEL|SYD|SFO|YUL|YYY|
YYY|MIG,|MIG|CSX|PEK|YYZ|YUL|YYY|
YYY|MLE,|MLE|IST|FRA|YUL|YYY|
YYY|MNL,|MNL|XMN|PEK|YYZ|YUL|YYY|
YYY|MXZ,|MXZ|CAN|PEK|YYZ|YUL|YYY|
YYY|NAO,|NAO|PEK|YYZ|YUL|YYY|
YYY|NGB,|NGB|PEK|YYZ|YUL|YYY|
YYY|NKG,|NKG|DLC|PEK|YYZ|YUL|YYY|
YYY|NNY,|NNY|CGO|PEK|YYZ|YUL|YYY|
YYY|PEN,|PEN|CAN|PEK|YYZ|YUL|YYY|
YYY|PER,|PER|CAN|PEK|YYZ|YUL|YYY|
YYY|PNH,|PNH|CAN|PEK|YYZ|YUL|YYY|
YYY|REP,|REP|CAN|PEK|YYZ|YUL|YYY|
YYY|RGN,|RGN|CAN|PEK|YYZ|YUL|YYY|
YYY|SGN,|SGN|CAN|PEK|YYZ|YUL|YYY|
YYY|SHA,|SHA|PEK|YYZ|YUL|YYY|
YYY|SIN,|SIN|CAN|PEK|YYZ|YUL|YYY|
YYY|SVO,|SVO|URC|TSE|FRA|YUL|YYY|
YYY|SYX,|SYX|PEK|YYZ|YUL|YYY|
YYY|TAO,|TAO|DLC|PEK|YYZ|YUL|YYY|
YYY|TEN,|TEN|PEK|YYZ|YUL|YYY|
YYY|TNA,|TNA|DLC|PEK|YYZ|YUL|YYY|
YYY|TPE,|TPE|PVG|YYZ|YUL|YYY|
YYY|TSN,|TSN|DLC|PEK|YYZ|YUL|YYY|
YYY|TXN,|TXN|DLC|PEK|YYZ|YUL|YYY|
YYY|TYN,|TYN|DAT|CIH|PEK|YYZ|YUL|YYY|
YYY|WNZ,|WNZ|CGO|PEK|YYZ|YUL|YYY|
YYY|WUX,|WUX|CAN|PEK|YYZ|YUL|YYY|
YYY|XFN,|XFN|XMN|PEK|YYZ|YUL|YYY|
YYY|XIY,|XIY|PEK|YYZ|YUL|YYY|
YYY|XUZ,|XUZ|LYG|HSN|PEK|YYZ|YUL|YYY|
YYY|YIH,|YIH|CKG|PEK|YYZ|YUL|YYY|
YYY|YIW,|YIW|PEK|YYZ|YUL|YYY|
YYY|YNT,|YNT|SHE|PEK|YYZ|YUL|YYY|
YYY|YNZ,|YNZ|DLC|PEK|YYZ|YUL|YYY|
YYY|YTY,|YTY|DLC|PEK|YYZ|YUL|YYY|
YYY|ZHA,|ZHA|CAN|PEK|YYZ|YUL|YYY|
YYY|ZYI,|ZYI|PEK|YYZ|YUL|YYY|
YYY|BAV,|BAV|CGO|PEK|YYZ|YUL|YYY|
YYY|CJU,|CJU|DLC|PEK|YYZ|YUL|YYY|
