CNS|JFK,|JFK|NRT|GUM|CNS|
CNS|KIN,|KIN|YYZ|NRT|GUM|CNS|
CNS|LIM,|LIM|IAH|HNL|GUM|CNS|
CNS|LIR,|LIR|IAH|HNL|GUM|CNS|
CNS|MCI,|MCI|SFO|HNL|GUM|CNS|
CNS|MDT,|MDT|YYZ|NRT|GUM|CNS|
CNS|MIA,|MIA|IAH|HNL|GUM|CNS|
CNS|MKE,|MKE|ORD|NRT|GUM|CNS|
CNS|MSP,|MSP|SFO|HNL|GUM|CNS|
CNS|NAS,|NAS|IAH|HNL|GUM|CNS|
CNS|PHL,|PHL|YYZ|NRT|GUM|CNS|
CNS|PHX,|PHX|LAX|HNL|GUM|CNS|
CNS|PIT,|PIT|YYZ|NRT|GUM|CNS|
CNS|PLS,|PLS|YYZ|NRT|GUM|CNS|
CNS|POP,|POP|YYZ|NRT|GUM|CNS|
CNS|RDU,|RDU|ORD|NRT|GUM|CNS|
CNS|ROC,|ROC|YYZ|NRT|GUM|CNS|
CNS|RSW,|RSW|IAH|HNL|GUM|CNS|
CNS|SAN,|SAN|LAX|HNL|GUM|CNS|
CNS|SJO,|SJO|IAH|HNL|GUM|CNS|
CNS|STL,|STL|SFO|HNL|GUM|CNS|
CNS|SYR,|SYR|YYZ|NRT|GUM|CNS|
CNS|TLV,|TLV|IST|ICN|FUK|GUM|CNS|
CNS|TPA,|TPA|IAH|HNL|GUM|CNS|
CNS|UVF,|UVF|EWR|NRT|GUM|CNS|
CNS|VIE,|VIE|IST|ICN|FUK|GUM|CNS|
CNS|YAM,|YAM|YYZ|NRT|GUM|CNS|
CNS|YGK,|YGK|YYZ|NRT|GUM|CNS|
CNS|YQG,|YQG|YYC|NRT|GUM|CNS|
CNS|YSB,|YSB|YYZ|NRT|GUM|CNS|
CNS|YTS,|YTS|YYZ|NRT|GUM|CNS|
CNS|YYB,|YYB|YYZ|NRT|GUM|CNS|
CNS|YZR,|YZR|YYZ|NRT|GUM|CNS|
CNS|CAN,|CAN|HKG|GUM|CNS|
CNS|URC,|URC|PEK|ICN|FUK|GUM|CNS|
CNS|CTU,|CTU|CAN|HKG|GUM|CNS|
CNS|HGH,|HGH|XMN|MNL|GUM|CNS|
CNS|XMN,|XMN|MNL|GUM|CNS|
CNS|CGO,|CGO|ICN|FUK|GUM|CNS|
CNS|CSX,|CSX|CAN|HKG|GUM|CNS|
CNS|SHE,|SHE|FUK|GUM|CNS|
CNS|SJW,|SJW|DLC|ICN|FUK|GUM|CNS|
CNS|WUH,|WUH|HKG|GUM|CNS|
CNS|SZX,|SZX|MXZ|HKG|GUM|CNS|
CNS|CKG,|CKG|CAN|HKG|GUM|CNS|
CNS|KMG,|KMG|CAN|HKG|GUM|CNS|
CNS|FOC,|FOC|CAN|HKG|GUM|CNS|
CNS|NNG,|NNG|CAN|HKG|GUM|CNS|
CNS|SWA,|SWA|HKG|GUM|CNS|
CNS|ACX,|ACX|CAN|HKG|GUM|CNS|
CNS|AQG,|AQG|CAN|HKG|GUM|CNS|
CNS|AVA,|AVA|CAN|HKG|GUM|CNS|
CNS|BFJ,|BFJ|CAN|HKG|GUM|CNS|
CNS|BHY,|BHY|CAN|HKG|GUM|CNS|
CNS|BNE,|BNE|CAN|HKG|GUM|CNS|
CNS|CGD,|CGD|CAN|HKG|GUM|CNS|
CNS|CGK,|CGK|SIN|HKG|GUM|CNS|
CNS|CGQ,|CGQ|ICN|FUK|GUM|CNS|
CNS|CIH,|CIH|PEK|ICN|FUK|GUM|CNS|
CNS|CNX,|CNX|CAN|HKG|GUM|CNS|
CNS|CZX,|CZX|CAN|HKG|GUM|CNS|
CNS|DAC,|DAC|CAN|HKG|GUM|CNS|
CNS|DAD,|DAD|CAN|HKG|GUM|CNS|
CNS|DEL,|DEL|CAN|HKG|GUM|CNS|
CNS|DIG,|DIG|CAN|HKG|GUM|CNS|
CNS|DLC,|DLC|ICN|FUK|GUM|CNS|
CNS|DPS,|DPS|CAN|HKG|GUM|CNS|
CNS|DXB,|DXB|CAN|HKG|GUM|CNS|
CNS|DYG,|DYG|CAN|HKG|GUM|CNS|
CNS|FUG,|FUG|CAN|HKG|GUM|CNS|
CNS|FUK,|FUK|GUM|CNS|
CNS|HAK,|HAK|CAN|HKG|GUM|CNS|
CNS|HAN,|HAN|CAN|HKG|GUM|CNS|
CNS|HDG,|HDG|CAN|HKG|GUM|CNS|
CNS|HET,|HET|DLC|ICN|FUK|GUM|CNS|
CNS|HFE,|HFE|XMN|MNL|GUM|CNS|
CNS|HJJ,|HJJ|CAN|HKG|GUM|CNS|
CNS|HKT,|HKT|CAN|HKG|GUM|CNS|
CNS|HRB,|HRB|KIX|GUM|CNS|
CNS|HZH,|HZH|CAN|HKG|GUM|CNS|
CNS|JIU,|JIU|CAN|HKG|GUM|CNS|
CNS|JJN,|JJN|CAN|HKG|GUM|CNS|
CNS|JNG,|JNG|CAN|HKG|GUM|CNS|
CNS|KHN,|KHN|CAN|HKG|GUM|CNS|
CNS|KIX,|KIX|GUM|CNS|
CNS|KOW,|KOW|CAN|HKG|GUM|CNS|
CNS|KTM,|KTM|CAN|HKG|GUM|CNS|
CNS|KUL,|KUL|CAN|HKG|GUM|CNS|
CNS|KWE,|KWE|CAN|HKG|GUM|CNS|
CNS|KWL,|KWL|CAN|HKG|GUM|CNS|
CNS|LHW,|LHW|CAN|HKG|GUM|CNS|
CNS|LYA,|LYA|CAN|HKG|GUM|CNS|
CNS|LYG,|LYG|CAN|HKG|GUM|CNS|
CNS|LZH,|LZH|CAN|HKG|GUM|CNS|
CNS|MEL,|MEL|CAN|HKG|GUM|CNS|
CNS|MIG,|MIG|CAN|HKG|GUM|CNS|
CNS|MLE,|MLE|CAN|HKG|GUM|CNS|
CNS|MNL,|MNL|GUM|CNS|
CNS|MXZ,|MXZ|HKG|GUM|CNS|
CNS|NAO,|NAO|CAN|HKG|GUM|CNS|
CNS|NGB,|NGB|XMN|MNL|GUM|CNS|
CNS|NKG,|NKG|XMN|MNL|GUM|CNS|
CNS|NNY,|NNY|CAN|HKG|GUM|CNS|
CNS|PEN,|PEN|CAN|HKG|GUM|CNS|
CNS|PER,|PER|CAN|HKG|GUM|CNS|
CNS|PNH,|PNH|CAN|HKG|GUM|CNS|
CNS|REP,|REP|CAN|HKG|GUM|CNS|
CNS|RGN,|RGN|CAN|HKG|GUM|CNS|
CNS|SGN,|SGN|HKG|GUM|CNS|
CNS|SHA,|SHA|XMN|MNL|GUM|CNS|
CNS|SIN,|SIN|HKG|GUM|CNS|
CNS|SVO,|SVO|URC|PEK|ICN|FUK|GUM|CNS|
CNS|SYX,|SYX|CAN|HKG|GUM|CNS|
CNS|TAO,|TAO|DLC|ICN|FUK|GUM|CNS|
CNS|TEN,|TEN|CAN|HKG|GUM|CNS|
CNS|TNA,|TNA|DLC|ICN|FUK|GUM|CNS|
CNS|TPE,|TPE|CAN|HKG|GUM|CNS|
CNS|TSN,|TSN|DLC|ICN|FUK|GUM|CNS|
CNS|TXN,|TXN|XMN|MNL|GUM|CNS|
CNS|TYN,|TYN|DLC|ICN|FUK|GUM|CNS|
CNS|WNZ,|WNZ|CAN|HKG|GUM|CNS|
CNS|WUX,|WUX|CAN|HKG|GUM|CNS|
CNS|XFN,|XFN|CAN|HKG|GUM|CNS|
CNS|XIY,|XIY|CAN|HKG|GUM|CNS|
CNS|XUZ,|XUZ|CAN|HKG|GUM|CNS|
CNS|YIH,|YIH|CAN|HKG|GUM|CNS|
CNS|YIW,|YIW|XMN|MNL|GUM|CNS|
CNS|YNT,|YNT|SHE|FUK|GUM|CNS|
CNS|YNZ,|YNZ|DLC|ICN|FUK|GUM|CNS|
CNS|YTY,|YTY|DLC|ICN|FUK|GUM|CNS|
CNS|ZHA,|ZHA|CAN|HKG|GUM|CNS|
CNS|ZYI,|ZYI|CAN|HKG|GUM|CNS|
CNS|BAV,|BAV|SJW|DLC|ICN|FUK|GUM|CNS|
CNS|CJU,|CJU|DLC|ICN|FUK|GUM|CNS|
CNS|DSN,|DSN|CGO|ICN|FUK|GUM|CNS|
CNS|HMI,|HMI|CGO|ICN|FUK|GUM|CNS|
CNS|INC,|INC|PEK|ICN|FUK|GUM|CNS|
CNS|KHH,|KHH|WUH|HKG|GUM|CNS|
