SGF|DXB,|DXB|IST|ORD|SGF|
SGF|DYG,|DYG|PEK|ORD|SGF|
SGF|FUG,|FUG|CAN|YVR|DEN|SGF|
SGF|FUK,|FUK|ICN|YVR|DEN|SGF|
SGF|HAK,|HAK|CAN|YVR|DEN|SGF|
SGF|HAN,|HAN|PEK|ORD|SGF|
SGF|HDG,|HDG|CAN|YVR|DEN|SGF|
SGF|HET,|HET|DLC|ICN|YVR|DEN|SGF|
SGF|HFE,|HFE|TYN|DLC|ICN|YVR|DEN|SGF|
SGF|HJJ,|HJJ|CSX|ICN|YVR|DEN|SGF|
SGF|HKT,|HKT|KWE|PEK|ORD|SGF|
SGF|HRB,|HRB|ICN|YVR|DEN|SGF|
SGF|HZH,|HZH|CAN|YVR|DEN|SGF|
SGF|JIU,|JIU|CAN|YVR|DEN|SGF|
SGF|JJN,|JJN|PEK|ORD|SGF|
SGF|JNG,|JNG|CAN|YVR|DEN|SGF|
SGF|KHN,|KHN|DLC|ICN|YVR|DEN|SGF|
SGF|KIX,|KIX|SFO|DEN|SGF|
SGF|KOW,|KOW|PEK|ORD|SGF|
SGF|KTM,|KTM|IST|ORD|SGF|
SGF|KUL,|KUL|PVG|YVR|DEN|SGF|
SGF|KWE,|KWE|PEK|ORD|SGF|
SGF|KWL,|KWL|PEK|ORD|SGF|
SGF|LHW,|LHW|CGO|PEK|ORD|SGF|
SGF|LYA,|LYA|KHN|DLC|ICN|YVR|DEN|SGF|
SGF|LYG,|LYG|HSN|PEK|ORD|SGF|
SGF|LZH,|LZH|CAN|YVR|DEN|SGF|
SGF|MEL,|MEL|SYD|LAX|DEN|SGF|
SGF|MIG,|MIG|CSX|ICN|YVR|DEN|SGF|
SGF|MLE,|MLE|IST|ORD|SGF|
SGF|MNL,|MNL|XMN|PEK|ORD|SGF|
SGF|MXZ,|MXZ|CAN|YVR|DEN|SGF|
SGF|NAO,|NAO|PEK|ORD|SGF|
SGF|NGB,|NGB|DLC|ICN|YVR|DEN|SGF|
SGF|NKG,|NKG|DLC|ICN|YVR|DEN|SGF|
SGF|NNY,|NNY|CGO|PEK|ORD|SGF|
SGF|PEN,|PEN|CAN|YVR|DEN|SGF|
SGF|PER,|PER|CAN|YVR|DEN|SGF|
SGF|PNH,|PNH|CAN|YVR|DEN|SGF|
SGF|REP,|REP|ICN|YVR|DEN|SGF|
SGF|RGN,|RGN|CAN|YVR|DEN|SGF|
SGF|SGN,|SGN|HKG|YVR|DEN|SGF|
SGF|SHA,|SHA|PEK|ORD|SGF|
SGF|SIN,|SIN|HKG|YVR|DEN|SGF|
SGF|SVO,|SVO|URC|TSE|FRA|ORD|SGF|
SGF|SYX,|SYX|CAN|YVR|DEN|SGF|
SGF|TAO,|TAO|DLC|ICN|YVR|DEN|SGF|
SGF|TEN,|TEN|PEK|ORD|SGF|
SGF|TNA,|TNA|DLC|ICN|YVR|DEN|SGF|
SGF|TPE,|TPE|PVG|YVR|DEN|SGF|
SGF|TSN,|TSN|DLC|ICN|YVR|DEN|SGF|
SGF|TXN,|TXN|DLC|ICN|YVR|DEN|SGF|
SGF|TYN,|TYN|DLC|ICN|YVR|DEN|SGF|
SGF|WNZ,|WNZ|CGO|PEK|ORD|SGF|
SGF|WUX,|WUX|CAN|YVR|DEN|SGF|
SGF|XFN,|XFN|CAN|YVR|DEN|SGF|
SGF|XIY,|XIY|PEK|ORD|SGF|
SGF|XUZ,|XUZ|LYG|HSN|PEK|ORD|SGF|
SGF|YIH,|YIH|CKG|PEK|ORD|SGF|
SGF|YIW,|YIW|PEK|ORD|SGF|
SGF|YNT,|YNT|SHE|ICN|YVR|DEN|SGF|
SGF|YNZ,|YNZ|DLC|ICN|YVR|DEN|SGF|
SGF|YTY,|YTY|DLC|ICN|YVR|DEN|SGF|
SGF|ZHA,|ZHA|CAN|YVR|DEN|SGF|
SGF|ZYI,|ZYI|PEK|ORD|SGF|
SGF|BAV,|BAV|SJW|DLC|ICN|YVR|DEN|SGF|
SGF|CJU,|CJU|DLC|ICN|YVR|DEN|SGF|
SGF|DSN,|DSN|CGO|PEK|ORD|SGF|
SGF|HMI,|HMI|CGO|PEK|ORD|SGF|
SGF|INC,|INC|PEK|ORD|SGF|
SGF|KHH,|KHH|CGO|PEK|ORD|SGF|
SGF|UYN,|UYN|CGO|PEK|ORD|SGF|
SGF|XNN,|XNN|PEK|ORD|SGF|
SGF|ZUH,|ZUH|PVG|YVR|DEN|SGF|
SGF|YNJ,|YNJ|ICN|YVR|DEN|SGF|
SGF|DAT,|DAT|CIH|PEK|ORD|SGF|
SGF|JHG,|JHG|CKG|PEK|ORD|SGF|
SGF|LJG,|LJG|CKG|PEK|ORD|SGF|
SGF|LXA,|LXA|XIY|PEK|ORD|SGF|
SGF|YCU,|YCU|CSX|ICN|YVR|DEN|SGF|
SGF|LZO,|LZO|CSX|ICN|YVR|DEN|SGF|
SGF|MDG,|MDG|ICN|YVR|DEN|SGF|
SGF|NGO,|NGO|ICN|YVR|DEN|SGF|
SGF|TOY,|TOY|DLC|ICN|YVR|DEN|SGF|
SGF|MFM,|MFM|XMN|PEK|ORD|SGF|
SGF|TGO,|TGO|HET|DLC|ICN|YVR|DEN|SGF|
SGF|XIL,|XIL|HET|DLC|ICN|YVR|DEN|SGF|
SGF|HEK,|HEK|HRB|ICN|YVR|DEN|SGF|
SGF|KIJ,|KIJ|HRB|ICN|YVR|DEN|SGF|
SGF|LDS,|LDS|HRB|ICN|YVR|DEN|SGF|
SGF|OHE,|OHE|HRB|ICN|YVR|DEN|SGF|
SGF|HSN,|HSN|PEK|ORD|SGF|
SGF|DLU,|DLU|KMG|PEK|ORD|SGF|
SGF|SYM,|SYM|KMG|PEK|ORD|SGF|
SGF|ZAT,|ZAT|KMG|PEK|ORD|SGF|
SGF|LUN,|LUN|NBO|ZRH|ORD|SGF|
SGF|AOG,|AOG|PEK|ORD|SGF|
SGF|GMP,|GMP|PEK|ORD|SGF|
SGF|ISB,|ISB|IST|ORD|SGF|
SGF|TAS,|TAS|IST|ORD|SGF|
SGF|WUS,|WUS|PEK|ORD|SGF|
SGF|JMU,|JMU|PVG|YVR|DEN|SGF|
SGF|NDG,|NDG|PVG|YVR|DEN|SGF|
SGF|JXA,|JXA|SHE|ICN|YVR|DEN|SGF|
SGF|PUS,|PUS|SHE|ICN|YVR|DEN|SGF|
SGF|BKI,|BKI|SZX|PVG|YVR|DEN|SGF|
