PRG|LIM,|LIM|EWR|BRU|PRG|
PRG|LIR,|LIR|EWR|BRU|PRG|
PRG|MCI,|MCI|ORD|BRU|PRG|
PRG|MDT,|MDT|IAD|BRU|PRG|
PRG|MIA,|MIA|EWR|BRU|PRG|
PRG|MKE,|MKE|YYZ|BRU|PRG|
PRG|MSP,|MSP|YUL|BRU|PRG|
PRG|NAS,|NAS|EWR|BRU|PRG|
PRG|PHL,|PHL|IAD|BRU|PRG|
PRG|PHX,|PHX|ORD|BRU|PRG|
PRG|PIT,|PIT|YYZ|BRU|PRG|
PRG|PLS,|PLS|EWR|BRU|PRG|
PRG|POP,|POP|EWR|BRU|PRG|
PRG|RDU,|RDU|EWR|BRU|PRG|
PRG|ROC,|ROC|YYZ|BRU|PRG|
PRG|RSW,|RSW|EWR|BRU|PRG|
PRG|SAN,|SAN|ORD|BRU|PRG|
PRG|SJO,|SJO|EWR|BRU|PRG|
PRG|STL,|STL|ORD|BRU|PRG|
PRG|SYR,|SYR|EWR|BRU|PRG|
PRG|TLV,|TLV|IST|PRG|
PRG|TPA,|TPA|EWR|BRU|PRG|
PRG|UVF,|UVF|EWR|BRU|PRG|
PRG|VIE,|VIE|IST|PRG|
PRG|YAM,|YAM|YYZ|BRU|PRG|
PRG|YGK,|YGK|YYZ|BRU|PRG|
PRG|YQG,|YQG|YYZ|BRU|PRG|
PRG|YSB,|YSB|YYZ|BRU|PRG|
PRG|YTS,|YTS|YYZ|BRU|PRG|
PRG|YYB,|YYB|YYZ|BRU|PRG|
PRG|YZR,|YZR|YYZ|BRU|PRG|
PRG|CAN,|CAN|IST|PRG|
PRG|URC,|URC|IST|PRG|
PRG|CTU,|CTU|URC|IST|PRG|
PRG|HGH,|HGH|URC|IST|PRG|
PRG|XMN,|XMN|CSX|URC|IST|PRG|
PRG|CGO,|CGO|URC|IST|PRG|
PRG|CSX,|CSX|URC|IST|PRG|
PRG|SHE,|SHE|PEK|IST|PRG|
PRG|SJW,|SJW|URC|IST|PRG|
PRG|WUH,|WUH|URC|IST|PRG|
PRG|SZX,|SZX|CKG|URC|IST|PRG|
PRG|CKG,|CKG|URC|IST|PRG|
PRG|KMG,|KMG|CTU|URC|IST|PRG|
PRG|FOC,|FOC|XIY|URC|IST|PRG|
PRG|NNG,|NNG|KWE|URC|IST|PRG|
PRG|SWA,|SWA|CAN|IST|PRG|
PRG|ACX,|ACX|CAN|IST|PRG|
PRG|AQG,|AQG|CAN|IST|PRG|
PRG|AVA,|AVA|CAN|IST|PRG|
PRG|BFJ,|BFJ|CAN|IST|PRG|
PRG|BHY,|BHY|CKG|URC|IST|PRG|
PRG|BNE,|BNE|BKK|IST|PRG|
PRG|CGD,|CGD|PEK|IST|PRG|
PRG|CGK,|CGK|SIN|IST|PRG|
PRG|CGQ,|CGQ|HET|URC|IST|PRG|
PRG|CIH,|CIH|PEK|IST|PRG|
PRG|CNX,|CNX|CAN|IST|PRG|
