YBC|YTY,|YTY|DLC|PEK|YYZ|YUL|YBC|
YBC|ZHA,|ZHA|CAN|PEK|YYZ|YUL|YBC|
YBC|ZYI,|ZYI|PEK|YYZ|YUL|YBC|
YBC|BAV,|BAV|CGO|PEK|YYZ|YUL|YBC|
YBC|CJU,|CJU|DLC|PEK|YYZ|YUL|YBC|
YBC|DSN,|DSN|CGO|PEK|YYZ|YUL|YBC|
YBC|HMI,|HMI|URC|TSE|FRA|YUL|YBC|
YBC|INC,|INC|PEK|YYZ|YUL|YBC|
YBC|KHH,|KHH|CGO|PEK|YYZ|YUL|YBC|
YBC|UYN,|UYN|CGO|PEK|YYZ|YUL|YBC|
YBC|XNN,|XNN|PEK|YYZ|YUL|YBC|
YBC|ZUH,|ZUH|PEK|YYZ|YUL|YBC|
YBC|YNJ,|YNJ|PEK|YYZ|YUL|YBC|
YBC|DAT,|DAT|CIH|PEK|YYZ|YUL|YBC|
YBC|JHG,|JHG|CKG|PEK|YYZ|YUL|YBC|
YBC|LJG,|LJG|CKG|PEK|YYZ|YUL|YBC|
YBC|LXA,|LXA|XIY|PEK|YYZ|YUL|YBC|
YBC|YCU,|YCU|CSX|PEK|YYZ|YUL|YBC|
YBC|LZO,|LZO|CSX|PEK|YYZ|YUL|YBC|
YBC|MDG,|MDG|DLC|PEK|YYZ|YUL|YBC|
YBC|NGO,|NGO|ICN|JFK|YUL|YBC|
YBC|TOY,|TOY|DLC|PEK|YYZ|YUL|YBC|
YBC|MFM,|MFM|XMN|PEK|YYZ|YUL|YBC|
YBC|TGO,|TGO|HET|DLC|PEK|YYZ|YUL|YBC|
YBC|XIL,|XIL|HET|DLC|PEK|YYZ|YUL|YBC|
YBC|HEK,|HEK|HRB|PEK|YYZ|YUL|YBC|
YBC|KIJ,|KIJ|HRB|PEK|YYZ|YUL|YBC|
YBC|LDS,|LDS|HRB|PEK|YYZ|YUL|YBC|
YBC|OHE,|OHE|HRB|PEK|YYZ|YUL|YBC|
YBC|HSN,|HSN|PEK|YYZ|YUL|YBC|
YBC|DLU,|DLU|KMG|PEK|YYZ|YUL|YBC|
YBC|SYM,|SYM|KMG|PEK|YYZ|YUL|YBC|
YBC|ZAT,|ZAT|KMG|PEK|YYZ|YUL|YBC|
YBC|LUN,|LUN|NBO|ZRH|YUL|YBC|
YBC|AOG,|AOG|PEK|YYZ|YUL|YBC|
