KOA|NAS,|NAS|IAH|LAX|KOA|
KOA|PHL,|PHL|DEN|KOA|
KOA|PHX,|PHX|LAX|KOA|
KOA|PIT,|PIT|DEN|KOA|
KOA|PLS,|PLS|YYZ|SFO|KOA|
KOA|POP,|POP|YYZ|SFO|KOA|
KOA|RDU,|RDU|BNA|LAX|KOA|
KOA|ROC,|ROC|YYZ|SFO|KOA|
KOA|RSW,|RSW|IAH|LAX|KOA|
KOA|SAN,|SAN|LAX|KOA|
KOA|SJO,|SJO|IAH|LAX|KOA|
KOA|STL,|STL|LAX|KOA|
KOA|SYR,|SYR|YYZ|SFO|KOA|
KOA|TLV,|TLV|IST|MUC|YVR|KOA|
KOA|TPA,|TPA|MSY|LAX|KOA|
KOA|UVF,|UVF|EWR|SFO|KOA|
KOA|VIE,|VIE|ORD|SFO|KOA|
KOA|YAM,|YAM|YYZ|SFO|KOA|
KOA|YGK,|YGK|YYZ|SFO|KOA|
KOA|YQG,|YQG|YYC|YVR|KOA|
KOA|YSB,|YSB|YYZ|SFO|KOA|
KOA|YTS,|YTS|YYZ|SFO|KOA|
KOA|YYB,|YYB|YYZ|SFO|KOA|
KOA|YZR,|YZR|YYZ|SFO|KOA|
KOA|CAN,|CAN|YVR|KOA|
KOA|URC,|URC|PEK|YVR|KOA|
KOA|CTU,|CTU|PEK|YVR|KOA|
KOA|HGH,|HGH|DLC|ICN|YVR|KOA|
KOA|XMN,|XMN|PEK|YVR|KOA|
KOA|CGO,|CGO|PEK|YVR|KOA|
KOA|CSX,|CSX|ICN|YVR|KOA|
KOA|SHE,|SHE|ICN|YVR|KOA|
KOA|SJW,|SJW|DLC|ICN|YVR|KOA|
KOA|WUH,|WUH|ICN|YVR|KOA|
KOA|SZX,|SZX|PVG|YVR|KOA|
KOA|CKG,|CKG|PEK|YVR|KOA|
KOA|KMG,|KMG|PEK|YVR|KOA|
KOA|FOC,|FOC|PEK|YVR|KOA|
KOA|NNG,|NNG|PEK|YVR|KOA|
KOA|SWA,|SWA|PEK|YVR|KOA|
KOA|ACX,|ACX|CAN|YVR|KOA|
KOA|AQG,|AQG|CAN|YVR|KOA|
KOA|AVA,|AVA|CAN|YVR|KOA|
KOA|BFJ,|BFJ|CAN|YVR|KOA|
KOA|BHY,|BHY|CSX|ICN|YVR|KOA|
KOA|BNE,|BNE|CAN|YVR|KOA|
KOA|CGD,|CGD|PEK|YVR|KOA|
KOA|CGK,|CGK|CAN|YVR|KOA|
KOA|CGQ,|CGQ|ICN|YVR|KOA|
KOA|CIH,|CIH|PEK|YVR|KOA|
KOA|CNX,|CNX|CAN|YVR|KOA|
KOA|CZX,|CZX|SHE|ICN|YVR|KOA|
KOA|DAC,|DAC|CAN|YVR|KOA|
KOA|DAD,|DAD|CAN|YVR|KOA|
KOA|DEL,|DEL|CAN|YVR|KOA|
KOA|DIG,|DIG|KMG|PEK|YVR|KOA|
KOA|DLC,|DLC|ICN|YVR|KOA|
