BHY|MEX,|MEX|SFO|ICN|CSX|BHY|
BHY|OGG,|OGG|HNL|NRT|CAN|BHY|
BHY|PDX,|PDX|SEA|ICN|CSX|BHY|
BHY|PEK,|PEK|CGO|BHY|
BHY|PVG,|PVG|CAN|BHY|
BHY|PVR,|PVR|LAX|ICN|CSX|BHY|
BHY|SEA,|SEA|ICN|CSX|BHY|
BHY|SYD,|SYD|CAN|BHY|
BHY|YBL,|YBL|YVR|ICN|CSX|BHY|
BHY|YCD,|YCD|YVR|ICN|CSX|BHY|
BHY|YCG,|YCG|YVR|ICN|CSX|BHY|
BHY|YKA,|YKA|YVR|ICN|CSX|BHY|
BHY|YPR,|YPR|YVR|ICN|CSX|BHY|
BHY|YQZ,|YQZ|YVR|ICN|CSX|BHY|
BHY|YXC,|YXC|YVR|ICN|CSX|BHY|
BHY|YXJ,|YXJ|YVR|ICN|CSX|BHY|
BHY|YXS,|YXS|YVR|ICN|CSX|BHY|
BHY|YXT,|YXT|YVR|ICN|CSX|BHY|
BHY|YXY,|YXY|YVR|ICN|CSX|BHY|
BHY|YYD,|YYD|YVR|ICN|CSX|BHY|
BHY|YYF,|YYF|YVR|ICN|CSX|BHY|
BHY|YZP,|YZP|YVR|ICN|CSX|BHY|
BHY|YQT,|YQT|YWG|YVR|ICN|CSX|BHY|
BHY|SJD,|SJD|LAX|ICN|CSX|BHY|
BHY|YQF,|YQF|YYC|YVR|ICN|CSX|BHY|
BHY|YQL,|YQL|YYC|YVR|ICN|CSX|BHY|
BHY|YXH,|YXH|YYC|YVR|ICN|CSX|BHY|
BHY|YWK,|YWK|YZV|YQB|YYZ|PEK|CGO|BHY|
BHY|ANU,|ANU|EWR|PEK|CGO|BHY|
BHY|AUA,|AUA|EWR|PEK|CGO|BHY|
BHY|AUH,|AUH|IST|URC|CKG|BHY|
BHY|BCN,|BCN|IST|URC|CKG|BHY|
BHY|BDA,|BDA|EWR|PEK|CGO|BHY|
BHY|BGI,|BGI|YYZ|PEK|CGO|BHY|
BHY|BNA,|BNA|ORD|PEK|CGO|BHY|
BHY|BOG,|BOG|MIA|ORD|PEK|CGO|BHY|
BHY|BWI,|BWI|YYZ|PEK|CGO|BHY|
BHY|CLE,|CLE|YYZ|PEK|CGO|BHY|
BHY|CLT,|CLT|YYZ|PEK|CGO|BHY|
BHY|CMH,|CMH|ORD|PEK|CGO|BHY|
BHY|CVG,|CVG|ORD|PEK|CGO|BHY|
BHY|DFW,|DFW|YVR|ICN|CSX|BHY|
BHY|DTW,|DTW|PEK|CGO|BHY|
BHY|DUB,|DUB|IST|URC|CKG|BHY|
BHY|FCO,|FCO|IST|URC|CKG|BHY|
BHY|GCM,|GCM|YYZ|PEK|CGO|BHY|
BHY|GGT,|GGT|YYZ|PEK|CGO|BHY|
BHY|GND,|GND|YYZ|PEK|CGO|BHY|
BHY|GRU,|GRU|IST|URC|CKG|BHY|
BHY|HAV,|HAV|YYZ|PEK|CGO|BHY|
