COO|BUD,|BUD|IST|ABJ|COO|
COO|BUS,|BUS|IST|ABJ|COO|
COO|CAI,|CAI|IST|ABJ|COO|
COO|CGN,|CGN|IST|ABJ|COO|
COO|CMN,|CMN|IST|ABJ|COO|
COO|CND,|CND|IST|ABJ|COO|
COO|DAR,|DAR|IST|ABJ|COO|
COO|DLM,|DLM|IST|ABJ|COO|
COO|DMM,|DMM|IST|ABJ|COO|
COO|DNK,|DNK|IST|ABJ|COO|
COO|DNZ,|DNZ|IST|ABJ|COO|
COO|DOK,|DOK|IST|ABJ|COO|
COO|DUS,|DUS|IST|ABJ|COO|
COO|EDI,|EDI|IST|ABJ|COO|
COO|ELQ,|ELQ|IST|ABJ|COO|
COO|FDH,|FDH|IST|ABJ|COO|
COO|GOA,|GOA|IST|ABJ|COO|
COO|GOT,|GOT|BRU|ABJ|COO|
COO|HAJ,|HAJ|BRU|ABJ|COO|
COO|HBE,|HBE|IST|ABJ|COO|
COO|HEL,|HEL|IST|ABJ|COO|
COO|HRG,|HRG|IST|ABJ|COO|
COO|IFN,|IFN|IST|ABJ|COO|
COO|ISE,|ISE|IST|ABJ|COO|
COO|ISU,|ISU|IST|ABJ|COO|
COO|JIB,|JIB|IST|ABJ|COO|
COO|JRO,|JRO|IST|ABJ|COO|
COO|KAN,|KAN|IST|ABJ|COO|
COO|KBL,|KBL|IST|ABJ|COO|
COO|KBP,|KBP|IST|ABJ|COO|
COO|KFS,|KFS|IST|ABJ|COO|
COO|KHI,|KHI|IST|ABJ|COO|
COO|KIV,|KIV|IST|ABJ|COO|
COO|KRT,|KRT|IST|ABJ|COO|
COO|KSH,|KSH|IST|ABJ|COO|
COO|KVD,|KVD|IST|ABJ|COO|
COO|KWI,|KWI|IST|ABJ|COO|
COO|KYA,|KYA|IST|ABJ|COO|
COO|KZN,|KZN|IST|ABJ|COO|
COO|KZR,|KZR|IST|ABJ|COO|
COO|LED,|LED|IST|ABJ|COO|
COO|LEJ,|LEJ|IST|ABJ|COO|
COO|LGW,|LGW|IST|ABJ|COO|
COO|LHE,|LHE|IST|ABJ|COO|
COO|LIS,|LIS|IST|ABJ|COO|
COO|LJU,|LJU|IST|ABJ|COO|
COO|LOS,|LOS|IST|ABJ|COO|
COO|LUX,|LUX|IST|ABJ|COO|
COO|LWO,|LWO|IST|ABJ|COO|
COO|LYS,|LYS|IST|ABJ|COO|
COO|MAD,|MAD|IST|ABJ|COO|
