MOT|ISB,|ISB|IST|FRA|DEN|MOT|
MOT|TAS,|TAS|IST|FRA|DEN|MOT|
MOT|WUS,|WUS|PEK|YVR|DEN|MOT|
MOT|JMU,|JMU|PVG|YVR|DEN|MOT|
MOT|NDG,|NDG|PVG|YVR|DEN|MOT|
MOT|JXA,|JXA|SHE|ICN|YVR|DEN|MOT|
MOT|PUS,|PUS|SHE|ICN|YVR|DEN|MOT|
MOT|BKI,|BKI|SZX|PVG|YVR|DEN|MOT|
MOT|AKU,|AKU|URC|PEK|YVR|DEN|MOT|
MOT|ALA,|ALA|TSE|FRA|DEN|MOT|
MOT|ASB,|ASB|GYD|FRA|DEN|MOT|
MOT|DNH,|DNH|XIY|PEK|YVR|DEN|MOT|
MOT|DYU,|DYU|IST|FRA|DEN|MOT|
MOT|FRU,|FRU|IST|FRA|DEN|MOT|
MOT|GYD,|GYD|FRA|DEN|MOT|
MOT|HTN,|HTN|URC|PEK|YVR|DEN|MOT|
MOT|IKA,|IKA|SAW|FRA|DEN|MOT|
MOT|KCA,|KCA|URC|PEK|YVR|DEN|MOT|
MOT|KHG,|KHG|URC|PEK|YVR|DEN|MOT|
MOT|KRL,|KRL|URC|PEK|YVR|DEN|MOT|
MOT|KRY,|KRY|URC|PEK|YVR|DEN|MOT|
MOT|LBD,|LBD|URC|PEK|YVR|DEN|MOT|
MOT|NLT,|NLT|URC|PEK|YVR|DEN|MOT|
MOT|OSS,|OSS|IST|FRA|DEN|MOT|
MOT|OVB,|OVB|URC|PEK|YVR|DEN|MOT|
MOT|TBS,|TBS|SAW|FRA|DEN|MOT|
MOT|TCG,|TCG|URC|PEK|YVR|DEN|MOT|
MOT|TSE,|TSE|FRA|DEN|MOT|
MOT|YIN,|YIN|URC|PEK|YVR|DEN|MOT|
MOT|ENH,|ENH|WUH|ICN|YVR|DEN|MOT|
MOT|ENY,|ENY|XIY|PEK|YVR|DEN|MOT|
MOT|WXN,|WXN|XIY|PEK|YVR|DEN|MOT|
MOT|BLL,|BLL|IST|FRA|DEN|MOT|
MOT|ESB,|ESB|FRA|DEN|MOT|
MOT|SAW,|SAW|FRA|DEN|MOT|
MOT|HAM,|HAM|EWR|DEN|MOT|
MOT|HRE,|HRE|ADD|JED|FRA|DEN|MOT|
MOT|JUB,|JUB|CAI|IST|FRA|DEN|MOT|
MOT|SSG,|SSG|DLA|BRU|ORD|DEN|MOT|
MOT|BGW,|BGW|ESB|FRA|DEN|MOT|
MOT|EBL,|EBL|IST|FRA|DEN|MOT|
MOT|VKO,|VKO|IST|FRA|DEN|MOT|
MOT|MCT,|MCT|IST|FRA|DEN|MOT|
MOT|AYT,|AYT|IST|FRA|DEN|MOT|
MOT|SCQ,|SCQ|BIO|IST|FRA|DEN|MOT|
MOT|AAL,|AAL|IST|FRA|DEN|MOT|
MOT|AOE,|AOE|BRU|ORD|DEN|MOT|
MOT|JNB,|JNB|DKR|IAD|DEN|MOT|
MOT|LBV,|LBV|DLA|BRU|ORD|DEN|MOT|
MOT|ADA,|ADA|SAW|FRA|DEN|MOT|
MOT|ADB,|ADB|IST|FRA|DEN|MOT|
MOT|ADF,|ADF|ESB|FRA|DEN|MOT|
MOT|AJI,|AJI|ESB|FRA|DEN|MOT|
MOT|BAL,|BAL|ESB|FRA|DEN|MOT|
MOT|BJV,|BJV|IST|FRA|DEN|MOT|
MOT|CKZ,|CKZ|ESB|FRA|DEN|MOT|
MOT|DIY,|DIY|ESB|FRA|DEN|MOT|
MOT|ECN,|ECN|IST|FRA|DEN|MOT|
MOT|ERC,|ERC|ESB|FRA|DEN|MOT|
MOT|ERZ,|ERZ|ESB|FRA|DEN|MOT|
MOT|EZS,|EZS|ESB|FRA|DEN|MOT|
MOT|GNY,|GNY|ESB|FRA|DEN|MOT|
MOT|GZP,|GZP|ESB|FRA|DEN|MOT|
MOT|GZT,|GZT|ESB|FRA|DEN|MOT|
MOT|HTY,|HTY|SAW|FRA|DEN|MOT|
MOT|KCM,|KCM|ESB|FRA|DEN|MOT|
MOT|KSY,|KSY|ESB|FRA|DEN|MOT|
MOT|MLX,|MLX|ESB|FRA|DEN|MOT|
MOT|MQM,|MQM|ESB|FRA|DEN|MOT|
MOT|MSR,|MSR|ESB|FRA|DEN|MOT|
MOT|TEQ,|TEQ|ESB|FRA|DEN|MOT|
MOT|TZX,|TZX|ESB|FRA|DEN|MOT|
MOT|VAN,|VAN|ESB|FRA|DEN|MOT|
MOT|ULN,|ULN|FRU|IST|FRA|DEN|MOT|
MOT|HIJ,|HIJ|ICN|YVR|DEN|MOT|
MOT|VVO,|VVO|ICN|YVR|DEN|MOT|
MOT|ACC,|ACC|IST|FRA|DEN|MOT|
MOT|AER,|AER|IST|FRA|DEN|MOT|
MOT|AGP,|AGP|IST|FRA|DEN|MOT|
MOT|ALG,|ALG|IST|FRA|DEN|MOT|
MOT|AMM,|AMM|IST|FRA|DEN|MOT|
MOT|AQJ,|AQJ|IST|FRA|DEN|MOT|
MOT|ARN,|ARN|EWR|DEN|MOT|
MOT|ASR,|ASR|SAW|FRA|DEN|MOT|
MOT|ATH,|ATH|IST|FRA|DEN|MOT|
MOT|BAH,|BAH|IST|FRA|DEN|MOT|
MOT|BEG,|BEG|IST|FRA|DEN|MOT|
MOT|BEN,|BEN|IST|FRA|DEN|MOT|
MOT|BEY,|BEY|IST|FRA|DEN|MOT|
MOT|BHX,|BHX|EWR|DEN|MOT|
