BOI|VKO,|VKO|IST|FRA|DEN|BOI|
BOI|MCT,|MCT|IST|FRA|DEN|BOI|
BOI|AYT,|AYT|IST|FRA|DEN|BOI|
BOI|SCQ,|SCQ|BIO|IST|FRA|DEN|BOI|
BOI|AAL,|AAL|IST|FRA|DEN|BOI|
BOI|AOE,|AOE|BRU|ORD|BOI|
BOI|JNB,|JNB|DKR|IAD|ORD|BOI|
BOI|LBV,|LBV|DLA|BRU|ORD|BOI|
BOI|ADA,|ADA|SAW|FRA|DEN|BOI|
BOI|ADB,|ADB|IST|FRA|DEN|BOI|
BOI|ADF,|ADF|ESB|FRA|DEN|BOI|
BOI|AJI,|AJI|ESB|FRA|DEN|BOI|
BOI|BAL,|BAL|ESB|FRA|DEN|BOI|
BOI|BJV,|BJV|IST|FRA|DEN|BOI|
BOI|CKZ,|CKZ|ESB|FRA|DEN|BOI|
BOI|DIY,|DIY|ESB|FRA|DEN|BOI|
BOI|ECN,|ECN|IST|FRA|DEN|BOI|
BOI|ERC,|ERC|ESB|FRA|DEN|BOI|
BOI|ERZ,|ERZ|ESB|FRA|DEN|BOI|
BOI|EZS,|EZS|ESB|FRA|DEN|BOI|
BOI|GNY,|GNY|ESB|FRA|DEN|BOI|
BOI|GZP,|GZP|ESB|FRA|DEN|BOI|
BOI|GZT,|GZT|ESB|FRA|DEN|BOI|
BOI|HTY,|HTY|SAW|FRA|DEN|BOI|
BOI|KCM,|KCM|ESB|FRA|DEN|BOI|
BOI|KSY,|KSY|ESB|FRA|DEN|BOI|
BOI|MLX,|MLX|ESB|FRA|DEN|BOI|
BOI|MQM,|MQM|ESB|FRA|DEN|BOI|
BOI|MSR,|MSR|ESB|FRA|DEN|BOI|
BOI|TEQ,|TEQ|ESB|FRA|DEN|BOI|
BOI|TZX,|TZX|ESB|FRA|DEN|BOI|
BOI|VAN,|VAN|ESB|FRA|DEN|BOI|
BOI|ULN,|ULN|FRU|URC|PEK|SFO|BOI|
BOI|HIJ,|HIJ|ICN|SFO|BOI|
BOI|VVO,|VVO|ICN|SFO|BOI|
BOI|ACC,|ACC|IST|FRA|DEN|BOI|
BOI|AER,|AER|IST|FRA|DEN|BOI|
BOI|AGP,|AGP|IST|FRA|DEN|BOI|
BOI|ALG,|ALG|IST|FRA|DEN|BOI|
BOI|AMM,|AMM|IST|FRA|DEN|BOI|
BOI|AQJ,|AQJ|IST|FRA|DEN|BOI|
BOI|ARN,|ARN|EWR|ORD|BOI|
BOI|ASR,|ASR|SAW|FRA|DEN|BOI|
BOI|ATH,|ATH|IST|FRA|DEN|BOI|
BOI|BAH,|BAH|IST|FRA|DEN|BOI|
BOI|BEG,|BEG|IST|FRA|DEN|BOI|
BOI|BEN,|BEN|IST|FRA|DEN|BOI|
BOI|BEY,|BEY|IST|FRA|DEN|BOI|
BOI|BHX,|BHX|EWR|ORD|BOI|
BOI|BIO,|BIO|IST|FRA|DEN|BOI|
BOI|BLQ,|BLQ|IST|FRA|DEN|BOI|
BOI|BOM,|BOM|IST|FRA|DEN|BOI|
BOI|BRE,|BRE|IST|FRA|DEN|BOI|
BOI|BSL,|BSL|IST|FRA|DEN|BOI|
BOI|BSR,|BSR|IST|FRA|DEN|BOI|
BOI|BUD,|BUD|IST|FRA|DEN|BOI|
BOI|BUS,|BUS|IST|FRA|DEN|BOI|
BOI|CAI,|CAI|IST|FRA|DEN|BOI|
BOI|CGN,|CGN|IST|FRA|DEN|BOI|
BOI|CMN,|CMN|IST|FRA|DEN|BOI|
BOI|CND,|CND|IST|FRA|DEN|BOI|
BOI|DAR,|DAR|NBO|ZRH|ORD|BOI|
BOI|DLM,|DLM|IST|FRA|DEN|BOI|
BOI|DMM,|DMM|IST|FRA|DEN|BOI|
BOI|DNK,|DNK|IST|FRA|DEN|BOI|
BOI|DNZ,|DNZ|IST|FRA|DEN|BOI|
BOI|DOK,|DOK|IST|FRA|DEN|BOI|
BOI|DUS,|DUS|ORD|BOI|
BOI|EDI,|EDI|EWR|ORD|BOI|
BOI|ELQ,|ELQ|IST|FRA|DEN|BOI|
BOI|FDH,|FDH|IST|FRA|DEN|BOI|
BOI|GOA,|GOA|IST|FRA|DEN|BOI|
BOI|GOT,|GOT|BRU|ORD|BOI|
BOI|HAJ,|HAJ|BRU|ORD|BOI|
BOI|HBE,|HBE|IST|FRA|DEN|BOI|
BOI|HEL,|HEL|IST|FRA|DEN|BOI|
BOI|HRG,|HRG|IST|FRA|DEN|BOI|
BOI|IFN,|IFN|IST|FRA|DEN|BOI|
BOI|ISE,|ISE|IST|FRA|DEN|BOI|
BOI|ISU,|ISU|IST|FRA|DEN|BOI|
BOI|JIB,|JIB|IST|FRA|DEN|BOI|
BOI|JRO,|JRO|IST|FRA|DEN|BOI|
BOI|KAN,|KAN|IST|FRA|DEN|BOI|
BOI|KBL,|KBL|IST|FRA|DEN|BOI|
BOI|KBP,|KBP|IST|FRA|DEN|BOI|
BOI|KFS,|KFS|IST|FRA|DEN|BOI|
BOI|KHI,|KHI|IST|FRA|DEN|BOI|
BOI|KIV,|KIV|IST|FRA|DEN|BOI|
BOI|KRT,|KRT|IST|FRA|DEN|BOI|
BOI|KSH,|KSH|IST|FRA|DEN|BOI|
BOI|KVD,|KVD|IST|FRA|DEN|BOI|
BOI|KWI,|KWI|SAW|FRA|DEN|BOI|
BOI|KYA,|KYA|IST|FRA|DEN|BOI|
BOI|KZN,|KZN|IST|FRA|DEN|BOI|
